51-Sb_n-tot
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
5.105790e+01 7.40051616e+00
5.118610e+01 6.49325677e+00
5.131060e+01 5.98338056e+00
5.131430e+01 5.96841645e+00
5.144240e+01 5.64293855e+00
5.157060e+01 5.42574947e+00
5.174740e+01 5.24570608e+00
5.182690e+01 5.17126903e+00
5.196580e+01 5.10567305e+00
5.208330e+01 5.06318783e+00
5.218430e+01 5.04997897e+00
5.233960e+01 5.06252221e+00
5.240270e+01 5.07575313e+00
5.259600e+01 5.20330093e+00
5.262110e+01 5.22244584e+00
5.273030e+01 5.38070846e+00
5.283950e+01 5.63574752e+00
5.294870e+01 6.06771423e+00
5.305800e+01 6.85792923e+00
5.310870e+01 7.61502898e+00
5.316720e+01 8.49274835e+00
5.322180e+01 1.00271696e+01
5.327640e+01 1.26096781e+01
5.333100e+01 1.74139369e+01
5.335830e+01 2.15026458e+01
5.338560e+01 2.77565815e+01
5.341290e+01 3.79182462e+01
5.344020e+01 5.56934177e+01
5.346750e+01 8.95840170e+01
5.348120e+01 1.17899198e+02
5.349480e+01 1.58151256e+02
5.350610e+01 2.02070152e+02
5.351740e+01 2.52596231e+02
5.354000e+01 3.17497389e+02
5.356260e+01 2.57245951e+02
5.358520e+01 1.63961460e+02
5.360660e+01 1.05980817e+02
5.362140e+01 8.26777340e+01
5.362800e+01 7.22861200e+01
5.364940e+01 5.22818226e+01
5.367080e+01 3.97782711e+01
5.371360e+01 2.58850114e+01
5.375640e+01 1.88447660e+01
5.379920e+01 1.48159406e+01
5.384200e+01 1.23017500e+01
5.392760e+01 9.45730321e+00
5.401320e+01 7.96535806e+00
5.409880e+01 7.08345458e+00
5.418440e+01 6.51724733e+00
5.427000e+01 6.13160627e+00
5.444110e+01 5.65805124e+00
5.461230e+01 5.41143632e+00
5.464670e+01 5.39083189e+00
5.469790e+01 5.36151675e+00
5.478350e+01 5.40009972e+00
5.482630e+01 5.49624998e+00
5.486910e+01 5.72620298e+00
5.489050e+01 5.94887159e+00
5.491190e+01 6.31677351e+00
5.493330e+01 6.95031861e+00
5.495470e+01 8.05700186e+00
5.497740e+01 9.86785334e+00
5.500000e+01 1.10721680e+01
5.502270e+01 9.84368102e+00
5.504530e+01 8.00705534e+00
5.506360e+01 7.00285845e+00
5.508190e+01 6.37124169e+00
5.510030e+01 5.96964557e+00
5.511860e+01 5.70445314e+00
5.515520e+01 5.39041361e+00
5.519180e+01 5.21822627e+00
5.526510e+01 5.04006021e+00
5.533840e+01 4.94798375e+00
5.548490e+01 4.84732672e+00
5.563140e+01 4.78701990e+00
5.567210e+01 4.77607968e+00
5.592440e+01 4.71116485e+00
5.621750e+01 4.66002137e+00
5.669750e+01 4.60212561e+00
5.680360e+01 4.59014534e+00
5.738970e+01 4.54448715e+00
5.856180e+01 4.47970644e+00
5.874830e+01 4.47192436e+00
5.973400e+01 4.43534698e+00
6.079900e+01 4.40309346e+00
6.090620e+01 4.40006751e+00
6.149230e+01 4.38641842e+00
6.207840e+01 4.37639073e+00
6.266440e+01 4.37549477e+00
6.284980e+01 4.38085792e+00
6.295750e+01 4.38410863e+00
6.325050e+01 4.40838571e+00
6.354360e+01 4.47237708e+00
6.369010e+01 4.54154255e+00
6.383660e+01 4.67128769e+00
6.398310e+01 4.94724442e+00
6.405640e+01 5.21348431e+00
6.412970e+01 5.67445559e+00
6.420290e+01 6.56625910e+00
6.423960e+01 7.35560304e+00
6.427620e+01 8.61104346e+00
6.431280e+01 1.07637026e+01
6.434940e+01 1.48434234e+01
6.436780e+01 1.83420520e+01
6.438610e+01 2.36482888e+01
6.440440e+01 3.19657739e+01
6.442270e+01 4.50673308e+01
6.444640e+01 7.01993018e+01
6.447000e+01 8.75211362e+01
6.449370e+01 7.15478939e+01
6.451730e+01 4.67521267e+01
6.453530e+01 3.37592899e+01
6.455320e+01 2.53428535e+01
6.457120e+01 1.98734178e+01
6.458920e+01 1.62147358e+01
6.462510e+01 1.18640544e+01
6.466100e+01 9.51389223e+00
6.469700e+01 8.11387290e+00
6.473290e+01 7.21632416e+00
6.480480e+01 6.17469865e+00
6.487660e+01 5.61548020e+00
6.490050e+01 5.50395617e+00
6.494850e+01 5.28012679e+00
6.509220e+01 4.91274482e+00
6.523600e+01 4.72436665e+00
6.537970e+01 4.61357726e+00
6.566710e+01 4.49245922e+00
6.592590e+01 4.43509001e+00
6.595460e+01 4.42900723e+00
6.618230e+01 4.40001823e+00
6.624210e+01 4.39369396e+00
6.643860e+01 4.38357898e+00
6.656680e+01 4.38383775e+00
6.663090e+01 4.38875320e+00
6.669500e+01 4.40069904e+00
6.675910e+01 4.42762994e+00
6.679110e+01 4.45259692e+00
6.681700e+01 4.48491578e+00
6.682310e+01 4.49276020e+00
6.685520e+01 4.56141707e+00
6.688720e+01 4.68520418e+00
6.691930e+01 4.93089612e+00
6.693530e+01 5.14387261e+00
6.695130e+01 5.45548860e+00
6.697570e+01 6.13105327e+00
6.700000e+01 6.58123833e+00
6.702440e+01 6.12937636e+00
6.704870e+01 5.45163842e+00
6.706750e+01 5.09580118e+00
6.708620e+01 4.86774304e+00
6.710490e+01 4.72067354e+00
6.712370e+01 4.62276585e+00
6.716120e+01 4.50681764e+00
6.719860e+01 4.44410835e+00
6.723610e+01 4.40640592e+00
6.727360e+01 4.38181007e+00
6.734860e+01 4.35209638e+00
6.749850e+01 4.32301101e+00
6.764840e+01 4.30713063e+00
6.794830e+01 4.28601640e+00
6.796680e+01 4.28497434e+00
6.824810e+01 4.27427786e+00
6.911670e+01 4.24668705e+00
6.944750e+01 4.23993968e+00
6.969160e+01 4.23544842e+00
7.026650e+01 4.23259976e+00
7.064690e+01 4.24106055e+00
7.084140e+01 4.24573297e+00
7.141630e+01 4.29624954e+00
7.170380e+01 4.35186595e+00
7.184640e+01 4.40028263e+00
7.199130e+01 4.45000070e+00
7.227870e+01 4.63019517e+00
7.244610e+01 4.83810987e+00
7.256620e+01 4.98798727e+00
7.270990e+01 5.30413309e+00
7.285360e+01 5.79896291e+00
7.299740e+01 6.62382026e+00
7.304580e+01 7.12943191e+00
7.314110e+01 8.12622368e+00
7.328480e+01 1.12390767e+01
7.335670e+01 1.41863649e+01
7.342860e+01 1.92052844e+01
7.350040e+01 2.87007705e+01
7.353640e+01 3.69195315e+01
7.357230e+01 4.97009602e+01
7.360820e+01 7.09346515e+01
7.364410e+01 1.09313951e+02
7.364550e+01 1.11754080e+02
7.366210e+01 1.40687563e+02
7.368010e+01 1.86137740e+02
7.369800e+01 2.53410095e+02
7.371600e+01 3.52696598e+02
7.374300e+01 5.68107234e+02
7.377000e+01 7.16994081e+02
7.379700e+01 5.80795489e+02
7.382400e+01 3.68571100e+02
7.385470e+01 2.17447735e+02
7.388540e+01 1.38401533e+02
7.391610e+01 9.51070038e+01
7.394680e+01 6.95384212e+01
7.397750e+01 5.33638923e+01
7.400820e+01 4.25507984e+01
7.406960e+01 2.94864878e+01
7.413100e+01 2.22109710e+01
7.419240e+01 1.77490419e+01
7.424520e+01 1.56089247e+01
7.431510e+01 1.27793624e+01
7.443790e+01 1.02105297e+01
7.454500e+01 8.89798297e+00
7.456070e+01 8.70671385e+00
7.468350e+01 7.75565502e+00
7.480630e+01 7.11332995e+00
7.484490e+01 6.98980971e+00
7.505180e+01 6.35698430e+00
7.514470e+01 6.20348752e+00
7.529740e+01 5.99802441e+00
7.544460e+01 5.90379830e+00
7.554300e+01 5.88757478e+00
7.559450e+01 5.89944037e+00
7.574450e+01 6.02698905e+00
7.578850e+01 6.11495282e+00
7.589440e+01 6.36035914e+00
7.604430e+01 7.06042927e+00
7.619420e+01 8.60091639e+00
7.626920e+01 1.00974758e+01
7.627970e+01 1.04586581e+01
7.634420e+01 1.26915052e+01
7.641910e+01 1.76307955e+01
7.645660e+01 2.19192346e+01
7.649410e+01 2.86015602e+01
7.653160e+01 3.97252312e+01
7.655030e+01 4.82056605e+01
7.656900e+01 5.98777959e+01
7.658780e+01 7.63796060e+01
