63-Eu_n-g
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
1.010900e+00 8.63791333e+02
1.021930e+00 1.07401295e+03
1.032950e+00 1.31295403e+03
1.055000e+00 1.60069583e+03
1.077050e+00 1.27931910e+03
1.099100e+00 8.15592881e+02
1.125400e+00 4.81170812e+02
1.125410e+00 4.81096015e+02
1.125420e+00 4.80995215e+02
1.125440e+00 4.80827932e+02
1.125480e+00 4.80494375e+02
1.125550e+00 4.79836783e+02
1.125560e+00 4.79748756e+02
1.125700e+00 4.78516416e+02
1.125710e+00 4.78431757e+02
1.126010e+00 4.75891907e+02
1.126030e+00 4.75719328e+02
1.126610e+00 4.70714642e+02
1.126650e+00 4.70380169e+02
1.127820e+00 4.60596783e+02
1.127900e+00 4.59956608e+02
1.130230e+00 4.41311825e+02
1.130400e+00 4.40076243e+02
1.135060e+00 4.06207828e+02
1.135390e+00 4.04209721e+02
1.144710e+00 3.47782679e+02
1.145380e+00 3.44908866e+02
1.164010e+00 2.65017861e+02
1.165350e+00 2.61873267e+02
1.202630e+00 1.74466146e+02
1.205300e+00 1.71342923e+02
1.241240e+00 1.29487794e+02
1.279850e+00 1.04039269e+02
1.285200e+00 1.02225877e+02
1.357080e+00 7.92747416e+01
1.434300e+00 6.85891794e+01
1.445000e+00 6.76856160e+01
1.445010e+00 6.76851556e+01
1.445020e+00 6.76841866e+01
1.445030e+00 6.76838981e+01
1.445040e+00 6.76833313e+01
1.445060e+00 6.76821976e+01
1.445080e+00 6.76810639e+01
1.445120e+00 6.76788683e+01
1.445160e+00 6.76768940e+01
1.445230e+00 6.76734182e+01
1.445320e+00 6.76686893e+01
1.445460e+00 6.76613543e+01
1.445640e+00 6.76517601e+01
1.445930e+00 6.76358812e+01
1.446270e+00 6.76178046e+01
1.446850e+00 6.75880044e+01
1.447540e+00 6.75526180e+01
1.448710e+00 6.74941388e+01
1.450070e+00 6.74286499e+01
1.452410e+00 6.73242412e+01
1.455140e+00 6.72111338e+01
1.459810e+00 6.70473314e+01
1.465280e+00 6.68941765e+01
1.474630e+00 6.67432595e+01
1.485560e+00 6.67676728e+01
1.504250e+00 6.72070487e+01
1.526130e+00 6.91585722e+01
1.563500e+00 7.40332782e+01
1.593130e+00 8.19695890e+01
1.607250e+00 8.87587202e+01
1.622750e+00 9.77168735e+01
1.652380e+00 1.28620344e+02
1.682000e+00 1.90747325e+02
1.688380e+00 2.12777395e+02
1.704500e+00 2.72239207e+02
1.727000e+00 3.29099725e+02
1.728940e+00 3.25328330e+02
1.749220e+00 2.92892823e+02
1.749500e+00 2.92572751e+02
1.769500e+00 2.48250863e+02
1.772000e+00 2.44146708e+02
1.792250e+00 2.34946362e+02
1.792850e+00 2.34320083e+02
1.813700e+00 2.31778459e+02
1.815000e+00 2.32490407e+02
1.835200e+00 1.99214711e+02
1.855400e+00 1.51906063e+02
1.855410e+00 1.51890327e+02
1.855420e+00 1.51866833e+02
1.855440e+00 1.51829581e+02
1.855470e+00 1.51771094e+02
1.855480e+00 1.51752021e+02
1.855540e+00 1.51638299e+02
1.855560e+00 1.51600466e+02
1.855680e+00 1.51374545e+02
1.855720e+00 1.51299727e+02
1.855970e+00 1.50833232e+02
1.856040e+00 1.50702084e+02
1.856530e+00 1.49791740e+02
1.856680e+00 1.49514497e+02
1.857660e+00 1.47719911e+02
1.857950e+00 1.47192410e+02
1.859920e+00 1.43740632e+02
1.860500e+00 1.42738302e+02
1.864440e+00 1.36624280e+02
1.869220e+00 1.29408764e+02
1.873480e+00 1.24052608e+02
1.877940e+00 1.18747573e+02
1.891550e+00 1.06577971e+02
1.895380e+00 1.03510940e+02
1.927700e+00 8.89022620e+01
1.930250e+00 8.80360391e+01
1.965130e+00 8.36712885e+01
2.000000e+00 8.24453862e+01
2.095600e+00 9.89463337e+01
2.143400e+00 1.17802391e+02
2.191200e+00 1.47744127e+02
2.239000e+00 1.99618876e+02
2.286800e+00 2.95995516e+02
2.310700e+00 3.79175373e+02
2.334600e+00 5.06740216e+02
2.358500e+00 7.14484555e+02
2.370450e+00 8.68947623e+02
2.382400e+00 1.07555894e+03
2.382410e+00 1.07572137e+03
2.382420e+00 1.07585798e+03
2.382430e+00 1.07611964e+03
2.382440e+00 1.07629955e+03
2.382460e+00 1.07665980e+03
2.382470e+00 1.07687680e+03
2.382510e+00 1.07774432e+03
2.382540e+00 1.07833746e+03
2.382620e+00 1.07991912e+03
2.382680e+00 1.08116461e+03
2.382830e+00 1.08427840e+03
2.382960e+00 1.08693029e+03
2.383260e+00 1.09304970e+03
2.383530e+00 1.09858644e+03
2.384130e+00 1.11089147e+03
2.384650e+00 1.12204382e+03
2.385850e+00 1.14778142e+03
2.386890e+00 1.17153799e+03
2.389300e+00 1.22659423e+03
2.391390e+00 1.28108392e+03
2.396200e+00 1.40651411e+03
2.400370e+00 1.54719180e+03
2.410000e+00 1.87217709e+03
2.418340e+00 2.26499633e+03
2.433000e+00 2.95592825e+03
2.454280e+00 3.61472140e+03
2.456000e+00 3.66815854e+03
2.467500e+00 3.45053236e+03
2.479000e+00 2.93789177e+03
2.502000e+00 1.85655853e+03
2.519410e+00 1.30116913e+03
2.526150e+00 1.16338352e+03
2.536810e+00 9.48018061e+02
2.554220e+00 7.24019754e+02
2.562090e+00 6.57974708e+02
2.571630e+00 5.81694469e+02
2.598030e+00 4.67044088e+02
2.606440e+00 4.38482438e+02
2.633960e+00 4.12461803e+02
2.641250e+00 4.16724799e+02
2.651930e+00 4.35344343e+02
2.669900e+00 4.99551277e+02
2.676060e+00 5.33091742e+02
2.681680e+00 5.67131126e+02
2.693450e+00 6.50017092e+02
2.710880e+00 7.19455369e+02
2.717000e+00 7.46674498e+02
2.740550e+00 6.15548917e+02
2.764100e+00 4.27140263e+02
2.780500e+00 3.36132222e+02
2.782530e+00 3.25505315e+02
2.800960e+00 2.63578330e+02
2.837830e+00 1.96333964e+02
2.850130e+00 1.85459978e+02
2.874690e+00 1.68228975e+02
2.911550e+00 1.57280854e+02
2.919750e+00 1.57227561e+02
2.985280e+00 1.67935858e+02
2.989380e+00 1.69778582e+02
3.059000e+00 2.19761310e+02
3.059010e+00 2.19772354e+02
3.059020e+00 2.19784790e+02
3.059030e+00 2.19797137e+02
3.059050e+00 2.19814420e+02
3.059070e+00 2.19836139e+02
3.059090e+00 2.19860328e+02
3.059130e+00 2.19906097e+02
3.059180e+00 2.19961500e+02
3.059260e+00 2.20049913e+02
3.059360e+00 2.20162164e+02
3.059510e+00 2.20328226e+02
3.059730e+00 2.20570249e+02
3.060020e+00 2.20895859e+02
3.060450e+00 2.21380473e+02
3.061040e+00 2.22048151e+02
3.061900e+00 2.23026917e+02
3.063090e+00 2.24404170e+02
3.064800e+00 2.26417721e+02
3.067170e+00 2.29304185e+02
3.070600e+00 2.33608910e+02
3.075340e+00 2.39986589e+02
3.082190e+00 2.49777100e+02
3.091680e+00 2.65481552e+02
3.105380e+00 2.91082926e+02
3.124350e+00 3.41055214e+02
3.151750e+00 4.24734631e+02
3.157030e+00 4.48548628e+02
3.174940e+00 5.42050830e+02
3.189700e+00 6.47961369e+02
3.198130e+00 7.19438334e+02
3.221310e+00 9.98403187e+02
3.222380e+00 1.01799152e+03
3.244500e+00 1.48140697e+03
3.255050e+00 1.78601464e+03
3.269250e+00 2.24942591e+03
3.271390e+00 2.30246268e+03
3.287730e+00 2.77905934e+03
3.294000e+00 3.00479454e+03
3.304060e+00 3.05888839e+03
3.318750e+00 3.28586705e+03
3.320400e+00 3.29899500e+03
3.343500e+00 3.79114453e+03
3.344200e+00 3.81102969e+03
3.360790e+00 4.03206351e+03
3.368000e+00 4.16649749e+03
3.378080e+00 3.75888419e+03
3.391800e+00 3.25282511e+03
3.395370e+00 3.06972826e+03
3.412660e+00 2.22202561e+03
3.415600e+00 2.08352707e+03
3.431060e+00 1.56143340e+03
3.446530e+00 1.19105513e+03
3.447240e+00 1.18047577e+03
3.477450e+00 7.70823279e+02
3.481830e+00 7.38933247e+02
3.508380e+00 5.63262972e+02
3.516410e+00 5.34837521e+02
3.539300e+00 4.62344194e+02
3.550990e+00 4.48079221e+02
3.570230e+00 4.30898825e+02
3.601150e+00 4.61386462e+02
3.620150e+00 5.35598002e+02
3.632080e+00 5.86250033e+02
3.647540e+00 7.11878578e+02
3.663000e+00 9.00946213e+02
3.674750e+00 1.09449032e+03
3.686500e+00 1.31655309e+03
3.689310e+00 1.34929344e+03
3.710000e+00 1.59722620e+03
3.721750e+00 1.51341284e+03
3.723890e+00 1.47709854e+03
3.733500e+00 1.31769222e+03
3.757000e+00 9.06198278e+02
3.758480e+00 8.89620845e+02
3.778360e+00 6.80636980e+02
3.793060e+00 5.98297049e+02
3.799730e+00 5.70336614e+02
3.821090e+00 5.40939689e+02
3.827640e+00 5.42244361e+02
3.842450e+00 5.75642275e+02
3.844930e+00 5.84189804e+02
3.862220e+00 6.86412130e+02
3.879510e+00 8.57091035e+02
3.885180e+00 9.47407208e+02
3.896800e+00 1.14122475e+03
3.912350e+00 1.50825359e+03
3.927900e+00 1.90650509e+03
3.927910e+00 1.90670431e+03
