82-Pb_n-tot
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
2.456580e+03 1.07698473e+01
2.458450e+03 1.07819369e+01
2.460310e+03 1.08003490e+01
2.462170e+03 1.08283393e+01
2.464040e+03 1.08713518e+01
2.465900e+03 1.09386730e+01
2.467760e+03 1.10473403e+01
2.469630e+03 1.12300657e+01
2.471490e+03 1.15557457e+01
2.472420e+03 1.18149868e+01
2.473350e+03 1.21811922e+01
2.474290e+03 1.27123996e+01
2.475220e+03 1.35012496e+01
2.476150e+03 1.46953016e+01
2.477080e+03 1.65004676e+01
2.478540e+03 2.08507490e+01
2.480000e+03 2.45524245e+01
2.481470e+03 2.27774114e+01
2.482930e+03 1.89085169e+01
2.484670e+03 1.58085433e+01
2.486410e+03 1.41353937e+01
2.488160e+03 1.31926795e+01
2.489900e+03 1.26200419e+01
2.491640e+03 1.22470443e+01
2.493380e+03 1.19903853e+01
2.496860e+03 1.16673959e+01
2.500350e+03 1.14773136e+01
2.503830e+03 1.13544584e+01
2.510790e+03 1.12078134e+01
2.517760e+03 1.11247712e+01
2.524720e+03 1.10719570e+01
2.531440e+03 1.10369101e+01
2.531690e+03 1.10356063e+01
2.538660e+03 1.10091381e+01
2.552590e+03 1.09732138e+01
2.566520e+03 1.09499370e+01
2.580450e+03 1.09335553e+01
2.594380e+03 1.09213287e+01
2.622240e+03 1.09040898e+01
2.650110e+03 1.08922753e+01
2.677970e+03 1.08834798e+01
2.678420e+03 1.08833593e+01
2.684930e+03 1.08816443e+01
2.691900e+03 1.08799559e+01
2.695380e+03 1.08792071e+01
2.698870e+03 1.08786552e+01
2.700610e+03 1.08786225e+01
2.701480e+03 1.08787881e+01
2.702350e+03 1.08792477e+01
2.703220e+03 1.08804213e+01
2.703650e+03 1.08816418e+01
2.704090e+03 1.08838545e+01
2.704530e+03 1.08883841e+01
2.704740e+03 1.08926088e+01
2.704960e+03 1.08996623e+01
2.705180e+03 1.09128254e+01
2.705290e+03 1.09240578e+01
2.705400e+03 1.09411197e+01
2.705500e+03 1.09692450e+01
2.705610e+03 1.10191076e+01
2.705720e+03 1.11162831e+01
2.705780e+03 1.11983216e+01
2.705830e+03 1.13164777e+01
2.705920e+03 1.15793807e+01
2.706000e+03 1.17543109e+01
2.706090e+03 1.15764715e+01
2.706170e+03 1.13143609e+01
2.706240e+03 1.11744316e+01
2.706310e+03 1.10856878e+01
2.706370e+03 1.10290394e+01
2.706440e+03 1.09916714e+01
2.706570e+03 1.09479555e+01
2.706710e+03 1.09247506e+01
2.706840e+03 1.09111138e+01
2.706980e+03 1.09024633e+01
2.707240e+03 1.08925510e+01
2.707510e+03 1.08873045e+01
2.707780e+03 1.08841901e+01
2.708320e+03 1.08808077e+01
2.708850e+03 1.08790763e+01
2.709390e+03 1.08780458e+01
2.710460e+03 1.08768701e+01
2.711530e+03 1.08761886e+01
2.712600e+03 1.08757087e+01
2.714750e+03 1.08750019e+01
2.719040e+03 1.08739289e+01
2.723320e+03 1.08730006e+01
2.731900e+03 1.08712914e+01
2.740470e+03 1.08696919e+01
2.750000e+03 1.08681100e+01
2.774770e+03 1.08639985e+01
2.797150e+03 1.08609873e+01
2.843380e+03 1.08547941e+01
2.848030e+03 1.08542853e+01
2.911980e+03 1.08474082e+01
2.930010e+03 1.08457262e+01
2.932830e+03 1.08454757e+01
2.980580e+03 1.08412951e+01
2.996440e+03 1.08400984e+01
3.013050e+03 1.08390991e+01
3.017630e+03 1.08389881e+01
3.029660e+03 1.08387133e+01
3.037960e+03 1.08393859e+01
3.046260e+03 1.08424232e+01
3.050420e+03 1.08472340e+01
3.052490e+03 1.08521705e+01
3.054570e+03 1.08613275e+01
3.056640e+03 1.08810269e+01
3.057680e+03 1.09006223e+01
3.058720e+03 1.09361518e+01
3.059240e+03 1.09659058e+01
3.059760e+03 1.10110415e+01
3.060280e+03 1.10842662e+01
3.060800e+03 1.12148625e+01
3.061060e+03 1.13226700e+01
3.061310e+03 1.14829436e+01
3.061570e+03 1.17384454e+01
3.061830e+03 1.21782391e+01
3.062090e+03 1.30404301e+01
3.062220e+03 1.38179652e+01
3.062350e+03 1.50726614e+01
3.062480e+03 1.73236477e+01
3.062550e+03 1.91667165e+01
3.062610e+03 2.18346464e+01
3.062680e+03 2.60158067e+01
3.062740e+03 3.28634875e+01
3.062810e+03 4.47528405e+01
3.062870e+03 6.55553453e+01
3.062940e+03 9.83840063e+01
3.063000e+03 1.20283334e+02
3.063070e+03 9.84032241e+01
3.063130e+03 6.55623989e+01
3.063190e+03 4.57325066e+01
3.063250e+03 3.42736524e+01
3.063310e+03 2.73796636e+01
3.063370e+03 2.30315507e+01
3.063490e+03 1.81662935e+01
3.063600e+03 1.56914835e+01
3.063720e+03 1.42677709e+01
3.063840e+03 1.33913648e+01
3.064080e+03 1.24064393e+01
3.064310e+03 1.18946975e+01
3.064550e+03 1.15979659e+01
3.064790e+03 1.14094801e+01
3.065020e+03 1.12833613e+01
3.065500e+03 1.11293566e+01
3.065970e+03 1.10427356e+01
3.066440e+03 1.09892424e+01
3.066910e+03 1.09539818e+01
3.067860e+03 1.09116594e+01
3.068810e+03 1.08882546e+01
3.070700e+03 1.08645844e+01
3.072590e+03 1.08534007e+01
3.074480e+03 1.08472116e+01
3.078260e+03 1.08408888e+01
3.085830e+03 1.08359554e+01
3.093390e+03 1.08338294e+01
3.102430e+03 1.08324773e+01
3.108530e+03 1.08315780e+01
3.117780e+03 1.08306326e+01
3.123660e+03 1.08300842e+01
3.184190e+03 1.08256108e+01
3.187240e+03 1.08254004e+01
3.229640e+03 1.08226420e+01
3.254990e+03 1.08212291e+01
3.272040e+03 1.08203874e+01
3.293240e+03 1.08198602e+01
3.303840e+03 1.08199991e+01
3.305240e+03 1.08201050e+01
3.314440e+03 1.08208075e+01
3.325040e+03 1.08232870e+01
3.330340e+03 1.08260812e+01
3.335640e+03 1.08314613e+01
3.338290e+03 1.08361180e+01
3.340940e+03 1.08433292e+01
3.343590e+03 1.08553291e+01
3.346240e+03 1.08773305e+01
3.347560e+03 1.08959108e+01
3.348890e+03 1.09243477e+01
3.350210e+03 1.09710286e+01
3.351540e+03 1.10555944e+01
3.352200e+03 1.11264480e+01
3.352860e+03 1.12337408e+01
3.353530e+03 1.14081759e+01
3.354190e+03 1.17188968e+01
3.354520e+03 1.19757664e+01
3.354850e+03 1.23583899e+01
3.355180e+03 1.29663484e+01
3.355510e+03 1.40178914e+01
3.355850e+03 1.60833693e+01
