73-Ta_n-tot
> 73-Ta-181:1.000000
2.208810e+01 7.68126000e+00
2.223450e+01 8.06502000e+00
2.238100e+01 9.04603000e+00
2.245420e+01 1.02271000e+01
2.249080e+01 1.12910000e+01
2.252740e+01 1.30490000e+01
2.256410e+01 1.62998000e+01
2.258240e+01 1.90838000e+01
2.260070e+01 2.33953000e+01
2.261900e+01 3.05679000e+01
2.263730e+01 4.36292000e+01
2.265560e+01 7.02336000e+01
2.266480e+01 9.39697000e+01
2.267390e+01 1.29607000e+02
2.268700e+01 2.03068000e+02
2.270000e+01 2.52627000e+02
2.271310e+01 2.04652000e+02
2.272610e+01 1.31669000e+02
2.273500e+01 9.66979000e+01
2.274400e+01 7.31086000e+01
2.276190e+01 4.63223000e+01
2.277970e+01 3.30069000e+01
2.279760e+01 2.56664000e+01
2.283330e+01 1.84655000e+01
2.286910e+01 1.53022000e+01
2.294060e+01 1.29542000e+01
2.301200e+01 1.25128000e+01
2.315500e+01 1.38652000e+01
2.329800e+01 1.78312000e+01
2.336940e+01 2.14265000e+01
2.344090e+01 2.70139000e+01
2.351240e+01 3.61904000e+01
2.358390e+01 5.25652000e+01
2.361960e+01 6.59477000e+01
2.365540e+01 8.56859000e+01
2.369110e+01 1.16408000e+02
2.372680e+01 1.67770000e+02
2.376260e+01 2.62588000e+02
2.378050e+01 3.42806000e+02
2.379830e+01 4.64868000e+02
2.381620e+01 6.61836000e+02
2.383410e+01 1.00356000e+03
2.385190e+01 1.64740000e+03
2.386090e+01 2.17983000e+03
2.386980e+01 2.92924000e+03
2.388490e+01 4.71420000e+03
2.390000e+01 5.93053000e+03
2.391510e+01 4.77900000e+03
2.393020e+01 3.01052000e+03
2.394200e+01 2.06469000e+03
2.395380e+01 1.46129000e+03
2.396560e+01 1.07396000e+03
2.397740e+01 8.17284000e+02
2.400100e+01 5.15382000e+02
2.402460e+01 3.54090000e+02
2.404820e+01 2.58763000e+02
2.407180e+01 1.98049000e+02
2.411900e+01 1.28097000e+02
2.416620e+01 9.08705000e+01
2.421340e+01 6.87158000e+01
2.426060e+01 5.44406000e+01
2.430780e+01 4.46920000e+01
2.440230e+01 3.25647000e+01
2.449670e+01 2.55561000e+01
2.459110e+01 2.11174000e+01
2.468550e+01 1.81142000e+01
2.487430e+01 1.43970000e+01
2.506310e+01 1.22432000e+01
2.525190e+01 1.08654000e+01
2.544080e+01 9.91892000e+00
2.581840e+01 8.71368000e+00
2.619600e+01 7.98004000e+00
2.695130e+01 7.11782000e+00
2.770660e+01 6.60450000e+00
2.846190e+01 6.25251000e+00
2.921710e+01 6.07895000e+00
2.940600e+01 6.14580000e+00
2.959480e+01 6.46031000e+00
2.968920e+01 6.93914000e+00
2.973640e+01 7.41295000e+00
2.978360e+01 8.24482000e+00
2.983080e+01 9.87829000e+00
2.985440e+01 1.13425000e+01
2.987800e+01 1.37009000e+01
2.990160e+01 1.78187000e+01
2.992520e+01 2.58463000e+01
2.993700e+01 3.29355000e+01
2.994880e+01 4.40188000e+01
2.996060e+01 6.20716000e+01
2.997240e+01 9.18647000e+01
2.998620e+01 1.44587000e+02
3.000000e+01 1.80595000e+02
3.001380e+01 1.46637000e+02
3.002760e+01 9.44216000e+01
3.003760e+01 6.82598000e+01
3.004750e+01 5.09473000e+01
3.005750e+01 3.94848000e+01
3.006740e+01 3.17005000e+01
3.008730e+01 2.23103000e+01
3.010720e+01 1.71674000e+01
3.012710e+01 1.40781000e+01
3.014700e+01 1.20857000e+01
3.018680e+01 9.76227000e+00
3.022660e+01 8.50872000e+00
3.026640e+01 7.75403000e+00
3.034600e+01 6.92231000e+00
3.050520e+01 6.23401000e+00
3.066430e+01 5.94490000e+00
3.130110e+01 5.55823000e+00
3.193780e+01 5.47545000e+00
3.257450e+01 5.62731000e+00
3.321120e+01 6.30670000e+00
3.352960e+01 7.13048000e+00
3.384800e+01 8.73569000e+00
3.416630e+01 1.22235000e+01
3.432550e+01 1.56382000e+01
3.448470e+01 2.16715000e+01
3.456430e+01 2.65900000e+01
3.464390e+01 3.38705000e+01
3.472350e+01 4.53321000e+01
3.476330e+01 5.37251000e+01
3.480300e+01 6.49808000e+01
3.484280e+01 8.05898000e+01
3.488260e+01 1.03130000e+02
3.492240e+01 1.37441000e+02
3.496220e+01 1.93341000e+02
3.500200e+01 2.93348000e+02
3.502190e+01 3.75571000e+02
3.504180e+01 4.97361000e+02
3.506170e+01 6.87329000e+02
3.508160e+01 1.00178000e+03
3.510150e+01 1.55625000e+03
