Pd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
578.999 1.47196
579.056 0.903329
579.112 0.609718
579.168 0.438912
579.281 0.258457
579.393 0.170176
579.506 0.120538
579.731 0.0696719
580.181 0.0320621
580.632 0.0185361
581.532 0.00869015
582.433 0.00518129
584.234 0.00262592
586.035 0.00170346
593.240 0.000746554
607.650 0.000467558
622.060 0.000553297
629.265 0.00117106
632.867 0.00367651
633.768 0.00625432
634.669 0.0135289
635.119 0.0235479
635.569 0.0514448
635.794 0.0892321
635.907 0.126118
636.020 0.191679
636.132 0.325864
636.188 0.452959
636.245 0.671582
636.301 1.09543
636.329 1.47508
636.357 2.08582
636.386 3.16471
636.414 5.29768
636.428 7.22898
636.442 10.2960
636.456 15.4910
636.470 24.3436
636.485 38.9676
636.500 48.7247
636.515 38.9685
636.530 24.3447
636.542 16.4351
636.554 11.4986
636.566 8.34188
636.578 6.28811
636.603 3.88712
636.627 2.62412
636.651 1.88141
636.675 1.41381
636.723 0.879017
636.771 0.597664
636.819 0.432599
636.915 0.256441
637.012 0.169395
637.108 0.120233
637.300 0.0695786
637.685 0.0319276
638.070 0.0183390
638.840 0.00843787
639.610 0.00491867
642.689 0.00148240
648.848 0.000612829
661.165 0.000401749
685.800 0.000391909
698.118 0.000431361
710.435 0.000521501
722.752 0.000895669
728.911 0.00225876
730.451 0.00364765
731.990 0.00757657
732.760 0.0130204
733.530 0.0283360
733.915 0.0493624
734.300 0.107636
734.492 0.186108
734.589 0.262258
734.685 0.396916
734.781 0.670058
734.829 0.925864
734.877 1.36075
734.925 2.18856
734.950 2.91596
734.974 4.06145
734.998 6.02581
735.022 9.72624
735.034 12.9303
735.046 17.7686
735.058 25.3735
735.070 37.4056
735.085 59.9077
735.100 74.7697
735.115 59.7511
735.130 37.4070
735.145 23.1307
735.160 15.0877
735.175 10.4306
735.190 7.57520
735.205 5.72436
735.220 4.46592
735.250 2.92776
735.280 2.05886
735.310 1.52440
735.370 0.930951
735.430 0.626046
735.490 0.449732
735.610 0.264085
735.730 0.173489
735.850 0.122702
736.089 0.0707165
736.569 0.0323877
737.048 0.0186381
738.007 0.00866107
738.966 0.00512850
742.801 0.00170302
750.472 0.000878267
758.143 0.000771018
765.814 0.000780454
781.155 0.000921345
796.497 0.00119902
811.838 0.00172153
819.509 0.00217837
827.180 0.00292586
834.851 0.00434839
838.686 0.00565890
842.521 0.00793456
846.357 0.0126048
848.274 0.0171635
850.192 0.0254080
852.110 0.0429494
853.069 0.0604191
854.028 0.0923317
854.507 0.119304
854.986 0.160622
855.466 0.228652
855.945 0.352623
856.185 0.456986
856.425 0.616205
856.664 0.876721
856.904 1.34694
857.024 1.73911
857.144 2.33109
857.264 3.28754
857.383 4.97862
857.443 6.36294
857.503 8.41055
857.563 11.6278
857.623 17.1026
857.683 27.5642
857.713 36.7584
857.743 51.2771
857.773 76.2235
857.803 123.463
857.818 164.315
857.833 226.796
857.848 325.758
857.863 482.400
857.881 771.934
857.900 964.993
857.919 771.935
857.937 482.408
857.958 283.266
857.978 178.399
857.999 120.211
858.019 85.8845
858.040 64.0512
858.060 49.5373
858.101 32.0468
858.142 22.3467
858.182 16.4597
858.264 9.97156
858.346 6.67328
858.428 4.77743
858.509 3.58782
858.591 2.79297
858.755 1.82992
858.918 1.29172
859.081 0.960501
859.245 0.742540
859.572 0.482373
859.899 0.339009
860.226 0.251728
860.552 0.194691
861.206 0.127183
861.860 0.0903153
862.514 0.0680416
863.168 0.0535973
864.475 0.0367170
865.783 0.0277271
868.398 0.0193404
871.013 0.0162661
873.628 0.0155791
878.859 0.0186532
881.474 0.0226142
884.089 0.0292121
886.704 0.0405102
889.320 0.0615210
890.627 0.0793789
891.935 0.106788
893.242 0.151932
894.550 0.234115
895.204 0.303192
895.858 0.408394
896.511 0.580099
897.165 0.888876
897.492 1.14532
897.656 1.31743
897.819 1.53134
897.982 1.80212
898.146 2.15137
898.228 2.36562
898.309 2.61319
898.473 3.24070
898.636 4.12472
898.800 5.42428
898.963 7.44834
899.045 8.91005
899.127 10.8444
899.208 13.4809
899.290 17.1895
899.372 22.6355
899.453 31.0657
899.535 45.0254
