Nb-93(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
463.518 5.91659
464.144 5.85068
464.771 5.80579
465.397 5.77323
466.650 5.72888
467.904 5.69974
470.410 5.66276
472.916 5.63922
475.422 5.62215
480.435 5.59764
485.448 5.58013
487.954 5.57336
490.460 5.56831
492.967 5.56656
494.220 5.56846
495.473 5.57477
496.099 5.58123
496.726 5.59194
497.353 5.61046
497.979 5.64504
498.292 5.67431
498.606 5.71876
498.919 5.79067
499.232 5.91763
499.389 6.02094
499.546 6.17302
499.702 6.41015
499.859 6.80841
500.016 7.55315
500.094 8.19273
500.172 9.18324
500.251 10.8244
500.329 13.7900
500.368 16.2219
500.407 19.7488
500.446 25.0028
500.485 32.7777
500.543 49.1214
500.600 60.0176
500.657 49.0966
500.715 32.7610
500.770 22.6344
500.824 16.8191
500.879 13.3999
500.934 11.2832
500.989 9.89687
501.043 8.94860
501.153 7.78029
501.263 7.11824
501.372 6.70947
501.591 6.25268
501.810 6.01731
502.029 5.88044
502.248 5.79386
502.467 5.73562
502.906 5.66435
503.344 5.62387
503.782 5.59852
504.220 5.58145
505.097 5.56024
505.973 5.54766
507.725 5.53308
509.478 5.52426
511.231 5.51778
514.736 5.50774
521.747 5.49176
528.757 5.47761
542.779 5.45118
556.800 5.42555
577.964 5.38623
583.254 5.37613
588.545 5.36622
591.191 5.36175
593.836 5.35878
595.159 5.35919
596.482 5.36454
597.143 5.37353
597.804 5.39934
598.135 5.43384
598.300 5.46689
598.466 5.52435
598.631 5.63778
598.714 5.74116
598.796 5.91136
598.879 6.22087
598.920 6.47885
598.962 6.86667
599.003 7.48500
599.044 8.53499
599.086 10.4609
599.127 14.1606
599.164 19.4489
599.200 22.9601
599.237 19.4350
599.273 14.1506
599.310 10.7863
599.346 8.89426
599.382 7.80011
599.419 7.12984
599.455 6.69567
599.491 6.40063
599.564 6.03939
599.636 5.83641
599.709 5.71170
599.854 5.57352
599.999 5.50311
600.144 5.46287
600.435 5.42208
600.725 5.40448
601.015 5.39751
601.596 5.40190
602.177 5.43252
602.467 5.46692
602.757 5.53044
602.903 5.58338
603.048 5.66264
603.193 5.78846
603.338 6.00474
603.483 6.42312
603.556 6.79552
603.628 7.39276
603.701 8.43697
603.774 10.4832
603.810 12.3051
603.846 15.1819
603.883 19.9344
603.919 27.8870
603.959 41.4457
604.000 50.4593
604.041 41.4134
604.081 27.8908
604.108 21.7276
604.134 17.4833
604.186 12.5417
604.239 10.0134
604.291 8.58892
604.344 7.71853
604.396 7.15154
604.501 6.48572
604.607 6.12588
604.712 5.91054
604.922 5.67666
605.132 5.55903
605.342 5.49159
605.762 5.42080
606.182 5.38592
606.602 5.36583
607.442 5.34393
608.282 5.33195
609.123 5.32387
610.803 5.31204
612.483 5.30160
614.164 5.29011
615.004 5.28390
615.844 5.28065
616.264 5.28668
616.474 5.29715
616.684 5.32115
616.894 5.38030
616.999 5.44213
617.104 5.55435
617.209 5.77984
617.262 5.98334
617.314 6.30955
617.367 6.86924
617.419 7.91812
617.446 8.80286
617.472 10.1116
617.498 12.1096
617.524 15.1410
617.562 21.6727
617.600 26.5535
617.638 22.9235
617.676 16.7119
617.721 11.9949
617.766 9.55609
617.812 8.22545
617.857 7.43823
617.902 6.93795
617.947 6.60099
618.038 6.18893
618.128 5.95475
618.219 5.80832
618.399 5.64018
618.580 5.54934
618.761 5.49381
619.123 5.43064
619.846 5.37469
620.569 5.34903
622.016 5.32346
623.463 5.30910
626.356 5.28957
629.249 5.27275
632.142 5.25416
633.589 5.24287
635.036 5.22905
636.482 5.21116
637.206 5.20008
637.929 5.18773
638.652 5.17680
639.014 5.17584
639.376 5.18621
639.557 5.20173
639.737 5.23223
639.918 5.29243
640.099 5.41729
640.280 5.70412
640.370 5.99133
640.461 6.49605
640.551 7.47167
640.596 8.32223
640.641 9.64234
640.687 11.8122
640.732 15.6400
640.777 22.9593
640.822 37.7421
640.861 59.3744
640.900 75.5168
640.939 63.5866
640.978 43.0359
641.008 31.7999
641.039 24.4669
641.069 19.6724
641.099 16.4434
641.159 12.5674
641.220 10.4449
641.280 9.15839
641.340 8.32050
641.461 7.32744
641.582 6.77780
641.703 6.43898
641.823 6.21322
641.944 6.05403
642.186 5.84740
642.427 5.72124
642.669 5.63723
642.910 5.57773
643.393 5.49954
643.876 5.45072
644.842 5.39311
645.808 5.35991
646.774 5.33792
648.705 5.30960
650.637 5.29108
652.569 5.27720
656.432 5.25629
660.296 5.24080
662.228 5.23526
664.160 5.23255
666.091 5.23654
667.057 5.24465
668.023 5.26275
668.506 5.27931
668.989 5.30551
669.472 5.34938
669.955 5.42933
670.196 5.49598
670.438 5.59616
670.679 5.75626
670.921 6.03453
671.162 6.58222
671.283 7.07875
671.404 7.89263
671.525 9.35902
671.585 10.5715
671.645 12.3738
671.706 15.2062
671.766 19.9268
671.826 28.3662
671.887 43.9721
671.943 67.2474
672.000 82.7667
672.057 67.2544
672.113 43.9809
672.161 30.8728
672.209 22.8338
672.257 17.8476
672.305 14.6310
672.400 10.9522
672.496 9.04190
672.591 7.93574
672.687 7.24161
672.878 6.45527
673.069 6.04479
673.261 5.80422
673.452 5.65135
673.643 5.54826
674.025 5.42213
674.408 5.35108
674.790 5.30755
675.172 5.27967
675.937 5.25193
676.319 5.24972
676.702 5.25846
677.084 5.28952
677.275 5.32396
677.466 5.38756
677.658 5.51896
677.753 5.64234
677.849 5.85088
677.944 6.24249
677.992 6.58016
678.040 7.10463
678.088 7.97682
678.136 9.56100
678.160 10.8646
678.183 12.7684
678.207 15.6127
678.231 19.8359
678.266 28.6317
678.300 34.4678
678.335 28.6057
678.369 19.8156
678.409 13.5393
678.449 10.3323
678.489 8.60717
678.529 7.60221
678.570 6.97393
678.610 6.55782
678.690 6.06150
678.770 5.78862
678.850 5.62326
679.010 5.44162
679.171 5.34896
679.331 5.29515
679.652 5.23753
679.973 5.20820
680.293 5.19065
680.935 5.17032
682.217 5.14960
683.500 5.13671
685.861 5.11835
688.221 5.10192
692.942 5.06901
697.663 5.03300
702.384 4.99187
707.105 4.94408
709.465 4.91764
711.825 4.89046
714.186 4.86628
715.366 4.85921
716.546 4.86224
717.727 4.89247
718.317 4.93337
718.907 5.01647
719.202 5.08944
719.497 5.20208
719.792 5.38599
720.087 5.71100
720.382 6.35925
720.530 6.95211
720.677 7.93041
720.825 9.70739
720.899 11.1879
720.972 13.4056
721.046 16.9237
721.120 22.8690
721.194 33.7030
721.267 54.2642
721.334 84.0439
721.400 103.860
721.467 84.0022
721.533 54.2326
721.611 32.9608
721.688 22.1123
721.765 16.2705
721.843 12.8724
721.920 10.7452
721.997 9.33812
722.152 7.65723
722.307 6.73300
722.461 6.17217
722.771 5.55400
723.080 5.23633
723.389 5.04946
724.008 4.84346
724.627 4.73118
725.245 4.65685
726.482 4.55228
727.720 4.46702
728.957 4.38362
731.432 4.19502
732.669 4.08133
733.906 3.95083
735.144 3.80482
736.381 3.66077
737.000 3.61035
737.618 3.60821
738.237 3.72469
738.856 4.14499
739.165 4.61383
739.474 5.44082
739.784 6.95364
740.093 9.90515
740.248 12.4459
740.402 16.3038
740.557 22.4400
740.712 32.8084
740.866 51.8730
740.944 67.7085
741.021 91.1957
741.098 127.622
741.176 186.796
741.253 287.821
741.330 464.049
741.415 771.866
741.500 1004.20
741.585 836.783
741.670 545.400
741.731 395.933
741.792 294.713
741.852 226.365
741.913 179.211
742.034 121.026
742.155 88.2907
742.276 68.1396
742.397 54.8736
742.639 38.9650
742.882 30.0754
743.124 24.5594
743.366 20.8685
743.608 18.2605
744.093 14.8686
744.577 12.7953
745.062 11.4155
745.546 10.4395
746.515 9.16277
747.484 8.37251
748.453 7.83913
749.422 7.45667
751.360 6.94785
753.298 6.63055
754.267 6.51935
755.236 6.44507
755.721 6.43694
755.963 6.45102
756.205 6.49171
756.448 6.59132
756.569 6.68886
756.690 6.85312
756.811 7.15127
756.932 7.75738
756.993 8.31369
757.053 9.21414
757.114 10.7556
757.174 13.4473
757.237 17.7773
757.300 20.6562
757.363 17.7624
757.426 13.4252
757.466 11.4852
757.506 10.1403
757.585 8.55125
757.665 7.72767
757.745 7.25885
757.824 6.96870
757.904 6.77753
758.063 6.54798
758.223 6.41901
758.382 6.33778
758.701 6.24088
759.019 6.18320
759.338 6.14286
759.975 6.08540
761.250 6.00619
762.524 5.94570
765.074 5.85053
767.623 5.77591
772.721 5.66327
777.820 5.58034
788.016 5.46156
798.213 5.37498
818.607 5.23989
839.000 5.11604
857.350 4.99095
875.699 4.82789
884.874 4.71799
894.049 4.57283
903.223 4.36220
905.517 4.29125
907.811 4.20776
908.958 4.15989
910.105 4.10967
910.678 4.08997
910.965 4.08746
911.251 4.09956
911.538 4.15164
911.681 4.21551
911.825 4.33960
911.968 4.60150
912.040 4.84417
912.111 5.23880
912.183 5.92682
912.255 7.23568
912.291 8.35159
912.327 10.0187
912.362 12.5779
912.398 16.5161
912.449 24.9797
912.500 31.4318
912.551 26.9450
912.602 18.9779
912.645 14.2954
912.688 11.3411
912.731 9.45595
912.774 8.21416
912.860 6.74835
912.945 5.95602
913.031 5.47928
913.117 5.16868
913.288 4.79770
913.459 4.58865
913.631 4.45605
913.974 4.29713
914.316 4.20294
914.659 4.13787
915.345 4.04663
916.716 3.91801
918.087 3.80655
920.829 3.57240
923.572 3.28981
924.943 3.12439
926.314 2.94567
927.685 2.77044
929.056 2.66135
929.742 2.69001
930.427 2.85866
931.113 3.33024
931.799 4.50977
932.141 5.66733
932.484 7.57626
932.827 10.8668
933.170 16.9208
933.341 21.9051
933.512 29.2050
933.684 40.3307
933.855 58.1645
934.027 88.6642
934.198 145.357
934.284 192.588
934.369 261.989
934.455 366.113
934.541 522.103
934.671 874.243
934.800 1143.50
934.930 957.516
935.060 626.406
935.198 392.440
935.337 261.941
935.475 186.747
935.614 140.547
935.752 110.387
935.890 89.6669
936.167 63.8081
936.444 48.8232
936.721 39.3146
937.274 28.2545
937.828 22.2100
938.382 18.4893
938.935 16.0042
939.489 14.2435
940.596 11.9385
941.704 10.5124
942.811 9.55083
943.918 8.86222
946.133 7.94885
948.347 7.38932
949.454 7.20808
950.008 7.15003
950.562 7.13080
951.115 7.19403
951.392 7.29513
951.669 7.50178
951.946 7.94813
952.084 8.37026
952.223 9.07750
952.361 10.3746
952.430 11.4609
952.499 13.0955
952.569 15.6924
952.638 20.0997
952.707 28.1457
952.776 43.4958
952.838 65.6108
952.900 80.3517
952.962 65.5654
953.024 43.4464
953.070 32.2071
953.116 24.8823
953.162 20.0958
953.208 16.8856
953.300 13.0477
953.391 10.9726
953.483 9.73461
953.575 8.94135
953.758 8.01886
953.942 7.52091
954.125 7.21867
954.492 6.87768
954.859 6.69099
955.226 6.57072
955.960 6.41625
956.694 6.31191
957.428 6.23011
958.896 6.09930
961.832 5.89800
964.768 5.73650
970.640 5.47266
976.512 5.24618
982.384 5.03129
988.256 4.82032
991.192 4.72565
994.128 4.66350
997.064 4.70375
998.532 4.82250
1000.00 5.09098
1001.04 5.45112
1002.07 6.07474
1003.11 7.19276
1004.15 9.32168
1005.18 13.7931
1005.70 17.9456
1006.22 24.7495
1006.74 36.7115
1007.00 46.2348
1007.25 59.8013
1007.51 79.7432
1007.77 110.039
1008.03 157.394
1008.29 231.827
1008.65 387.595
1009.00 507.847
1009.36 425.901
1009.71 279.639
1010.10 175.274
1010.48 117.758
1010.86 84.7690
1011.25 64.6518
1011.63 51.5299
1012.02 42.5657
1012.79 31.4338
1013.55 25.0955
1014.32 21.4003
1014.71 20.4262
1015.09 20.5264
1015.28 21.5756
1015.48 24.5859
1015.57 27.8963
1015.67 34.0900
1015.76 46.7980
