Rh-103(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
205.190 5.53147
205.235 4.44112
205.280 2.80424
205.325 1.75417
205.370 1.16674
205.415 0.827018
205.460 0.619661
205.550 0.393893
205.640 0.282024
205.729 0.218874
205.819 0.179870
205.999 0.136137
206.359 0.0996730
206.718 0.0846023
208.156 0.0649127
211.032 0.0532923
216.783 0.0450953
222.535 0.0444576
228.286 0.0497083
234.037 0.0635764
236.913 0.0766376
239.789 0.0980032
242.665 0.136385
245.540 0.217330
246.978 0.298015
248.416 0.447282
249.135 0.576131
249.854 0.779902
250.573 1.14574
250.932 1.51074
251.112 1.95112
251.202 2.56463
251.247 3.26976
251.292 4.71549
251.360 7.78827
251.428 4.90101
251.466 3.71786
251.504 3.12676
251.580 2.68690
251.732 2.65437
252.036 3.33330
252.340 4.61013
252.644 6.90377
252.796 8.77940
252.948 11.5501
253.099 15.8883
253.251 23.2311
253.327 28.9741
253.403 37.1251
253.479 49.2194
253.555 68.1766
253.631 100.239
253.669 125.102
253.707 159.810
253.745 210.116
253.783 285.381
253.821 401.273
253.859 579.667
253.910 926.216
253.960 1156.69
254.011 925.980
254.061 579.396
254.096 410.595
254.132 297.922
254.167 222.758
254.203 171.434
254.273 109.232
254.344 75.0721
254.415 54.5598
254.486 41.3620
254.627 26.0603
254.769 17.8883
254.910 13.0363
255.052 9.92266
255.194 7.81059
255.477 5.21018
255.760 3.73434
256.043 2.81794
256.326 2.21105
256.892 1.48466
257.459 1.08622
258.025 0.847715
258.591 0.697509
259.724 0.542012
260.856 0.513328
261.422 0.561577
261.989 0.729050
262.272 0.949702
262.413 1.15318
262.555 1.49164
262.696 2.11645
262.767 2.64727
262.838 3.45967
262.909 4.78967
262.980 7.15000
263.050 11.7669
263.086 15.7266
263.121 21.4550
263.176 33.9885
263.230 42.3243
263.285 34.0185
263.339 21.5103
263.398 12.9945
263.457 8.45158
263.516 5.93434
263.575 4.44868
263.693 2.92604
263.810 2.29579
263.928 2.14751
264.046 2.53285
264.105 3.12805
264.164 4.38565
264.193 5.52923
264.223 7.32988
264.252 10.2926
264.282 15.1835
264.316 23.7641
264.350 29.4612
264.384 23.6962
264.418 15.0987
264.448 10.0910
264.478 7.07919
264.508 5.23900
264.538 4.06686
264.598 2.73220
264.658 2.04012
264.778 1.38273
264.898 1.09024
265.137 0.843605
265.377 0.749864
265.856 0.702297
266.336 0.729095
267.294 0.909871
268.253 1.30276
268.732 1.64395
269.211 2.16747
269.691 3.02295
270.170 4.55561
270.410 5.82166
270.649 7.71478
270.889 10.7301
271.129 15.9563
271.248 20.1441
271.368 26.2206
271.488 35.5149
271.608 50.7376
