34-Se_n-tot
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
3.406600e+02 8.12111448e+01
3.408000e+02 1.02584153e+02
3.409400e+02 8.55601019e+01
3.410800e+02 5.73056826e+01
3.411880e+02 4.19957971e+01
3.412970e+02 3.20611484e+01
3.414050e+02 2.55902364e+01
3.415130e+02 2.12469498e+01
3.417300e+02 1.60543608e+01
3.419470e+02 1.32248209e+01
3.421630e+02 1.15208957e+01
3.423800e+02 1.04161936e+01
3.427600e+02 9.27139815e+00
3.428130e+02 9.11160649e+00
3.432470e+02 8.39219787e+00
3.436800e+02 7.94840894e+00
3.441130e+02 7.65173404e+00
3.444060e+02 7.50921551e+00
3.445360e+02 7.44573888e+00
3.445460e+02 7.44088162e+00
3.454130e+02 7.16346536e+00
3.462790e+02 6.98826108e+00
3.471460e+02 6.86599323e+00
3.480130e+02 6.77420723e+00
3.484710e+02 6.73899531e+00
3.497460e+02 6.63659230e+00
3.499600e+02 6.62382373e+00
3.500000e+02 6.62134966e+00
3.514790e+02 6.52978828e+00
3.532120e+02 6.44112719e+00
3.541810e+02 6.39760271e+00
3.549450e+02 6.35922352e+00
3.555140e+02 6.33362548e+00
3.584110e+02 6.19305474e+00
3.586690e+02 6.18154333e+00
3.598910e+02 6.12866586e+00
3.610680e+02 6.07084087e+00
3.618780e+02 6.02795929e+00
3.627470e+02 5.98367005e+00
3.636110e+02 5.93502562e+00
3.638450e+02 5.92224412e+00
3.653440e+02 5.83638658e+00
3.656020e+02 5.82235039e+00
3.662100e+02 5.78536900e+00
3.666220e+02 5.76185148e+00
3.666440e+02 5.76058422e+00
3.670770e+02 5.73808271e+00
3.675100e+02 5.72110381e+00
3.677270e+02 5.71717054e+00
3.679440e+02 5.71981738e+00
3.680110e+02 5.72490207e+00
3.681600e+02 5.73663941e+00
3.682690e+02 5.75527096e+00
3.683770e+02 5.78678225e+00
3.684570e+02 5.82688734e+00
3.684850e+02 5.84075355e+00
3.685930e+02 5.93713259e+00
3.687020e+02 6.12064288e+00
3.688100e+02 6.48168373e+00
3.689050e+02 6.99676441e+00
3.690000e+02 7.33730884e+00
3.690950e+02 6.98429390e+00
3.691900e+02 6.45646803e+00
3.692610e+02 6.18403761e+00
3.693320e+02 6.00557826e+00
3.693990e+02 5.89424848e+00
3.694030e+02 5.88764459e+00
3.694740e+02 5.80775912e+00
3.696160e+02 5.70952031e+00
3.697570e+02 5.65292407e+00
3.698990e+02 5.61603427e+00
3.700410e+02 5.58960521e+00
3.703250e+02 5.55236569e+00
3.706080e+02 5.52513780e+00
3.707880e+02 5.51075883e+00
3.708920e+02 5.50588248e+00
3.713120e+02 5.49074814e+00
3.714590e+02 5.48535375e+00
3.720260e+02 5.46817565e+00
3.721760e+02 5.46404902e+00
