Cr-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
33506.6 0.674106
33510.4 0.457142
33514.3 0.329539
33518.2 0.248976
33525.9 0.156824
33533.7 0.108373
33541.4 0.0798597
33549.2 0.0616980
33556.9 0.0494310
33572.4 0.0344161
33587.9 0.0259364
33603.4 0.0206920
33618.9 0.0172299
33649.9 0.0131008
33680.9 0.0108439
33711.9 0.00949218
33742.9 0.00863169
33805.0 0.00767280
33867.0 0.00722142
33991.0 0.00694924
34115.0 0.00703911
34239.0 0.00730023
34487.0 0.00813157
34735.0 0.00931848
34983.0 0.0109672
35231.0 0.0136643
35355.1 0.0170487
35386.1 0.0192522
35417.1 0.0243812
35432.6 0.0307838
35448.1 0.0477823
35455.8 0.0703668
35463.6 0.131298
35467.4 0.211344
35469.4 0.287498
35471.3 0.418339
35473.2 0.675203
35474.2 0.906994
35475.2 1.28514
35476.2 1.96117
35476.6 2.52304
35477.1 3.33718
35477.6 4.63044
35478.1 6.71920
35478.6 10.3622
35479.1 16.9965
35479.5 27.2989
35480.0 34.2624
35480.5 27.6694
35480.9 17.2866
35481.3 12.3386
35481.6 9.03882
35481.9 6.75358
35482.2 5.23409
35482.9 3.35026
35483.5 2.31177
35484.2 1.68671
35484.8 1.28391
35486.1 0.816008
35487.4 0.566036
35488.7 0.417422
35491.3 0.257785
35496.5 0.132709
35501.7 0.0861680
35512.1 0.0520838
35522.5 0.0406809
35543.3 0.0351974
35564.0 0.0386232
35584.8 0.0509782
35595.2 0.0639437
35605.6 0.0873570
35616.0 0.135551
35621.2 0.181285
35626.4 0.259738
35631.6 0.411842
35634.2 0.547543
35636.8 0.765092
35639.4 1.14773
35642.0 1.89828
35643.3 2.57254
35644.6 3.64389
35645.9 5.42820
35647.1 8.42146
35648.6 13.4508
35650.0 16.7460
35651.4 13.3507
35652.9 8.34344
35654.4 4.91859
35656.0 3.11260
35657.6 2.10613
35659.1 1.51202
35660.7 1.13296
35662.3 0.881064
35665.4 0.576318
35668.5 0.407626
35671.6 0.304948
35677.9 0.191921
35684.2 0.134509
35690.4 0.101470
35702.9 0.0669357
35715.5 0.0502469
35728.0 0.0409747
35753.0 0.0316706
35803.1 0.0252761
35853.2 0.0234982
36053.4 0.0246852
36454.0 0.0346387
36710.5 0.0437908
36967.0 0.0541070
37480.0 0.0659105
37736.5 0.0613646
37993.0 0.0518117
38506.0 0.0322756
39046.5 0.0194372
39587.0 0.0124937
40127.5 0.00869722
40397.8 0.00788366
40465.4 0.00812062
40532.9 0.00932311
40566.7 0.0112235
40583.6 0.0131748
40600.5 0.0167666
40617.4 0.0244148
40625.8 0.0319450
40634.3 0.0454123
40642.7 0.0732270
40646.9 0.0997672
40651.2 0.145825
40655.4 0.236655
40657.5 0.318925
40659.6 0.453893
40661.7 0.697177
40662.8 0.899726
40663.8 1.19897
40664.9 1.67414
40665.9 2.46231
40667.0 3.88925
40668.0 6.52040
40669.0 10.4117
40670.0 12.9929
40671.0 10.3582
40672.0 6.47871
40672.7 4.45688
40673.5 3.17154
40674.2 2.33721
40674.9 1.77951
40676.4 1.11504
40677.9 0.760816
40679.4 0.549780
40680.9 0.416306
40683.8 0.262722
40686.8 0.181173
40689.8 0.133019
40695.7 0.0815095
40701.7 0.0559347
40707.6 0.0414577
40719.5 0.0264806
40731.3 0.0192881
40743.2 0.0152805
40766.9 0.0111838
40814.4 0.00810378
40861.9 0.00691857
41051.8 0.00538165
41431.6 0.00428386
42191.3 0.00307074
42950.9 0.00233368
43710.5 0.00184516
45229.8 0.00126572
45989.5 0.00111361
46369.3 0.00115908
46559.2 0.00159796
46654.2 0.00344977
46701.6 0.0107536
46725.4 0.0387562
46731.3 0.0665683
46737.3 0.141452
46740.2 0.238951
46743.2 0.486186
46744.7 0.787025
46746.2 1.47101
46746.9 2.19456
46747.6 3.58251
46748.0 4.79093
46748.4 6.65619
46748.7 9.64659
46749.1 14.4901
46749.6 23.2883
46750.0 28.9828
46750.5 23.0843
46750.9 14.4936
46751.3 9.34841
46751.7 6.29419
46752.1 4.45016
46752.5 3.30792
46753.3 1.98861
46754.1 1.32366
46755.7 0.700302
46757.2 0.432413
46760.4 0.210862
46763.6 0.124722
46769.9 0.0585687
46776.3 0.0341439
46801.7 0.00953362
46852.4 0.00311232
46954.0 0.00146041
47157.0 0.00101863
47563.2 0.000864912
48375.5 0.000763189
49187.7 0.000721599
49593.9 0.000755760
49796.9 0.000893227
49898.5 0.00120181
50000.0 0.00339146
50039.5 0.0112854
50049.4 0.0192356
50059.3 0.0410617
50064.2 0.0701543
50069.1 0.147107
50071.6 0.244659
50072.9 0.334892
50074.1 0.484023
50075.3 0.761644
50075.9 0.997743
50076.6 1.35226
50077.2 1.93762
50077.8 2.94732
50078.4 4.91833
50078.7 6.58430
50079.0 8.88148
50079.5 14.2689
50080.0 17.7716
50080.5 14.1659
50081.0 8.89083
50081.4 6.15896
50081.7 4.38662
50082.1 3.23338
50082.5 2.47859
50083.2 1.55350
50083.9 1.06138
50084.7 0.765150
50085.4 0.578684
50086.9 0.362274
50088.3 0.247649
50089.8 0.179866
50092.8 0.107192
50098.6 0.0507237
50104.5 0.0296480
50116.3 0.0139203
50128.0 0.00823063
50151.5 0.00407923
50175.0 0.00260189
50269.0 0.00115864
50457.0 0.000794221
50833.0 0.000711183
51585.1 0.000745349
52337.1 0.000904121
52713.1 0.00112113
52807.2 0.00124855
52901.2 0.00153109
52995.2 0.00281826
53042.2 0.00765630
53065.7 0.0261057
53071.5 0.0444447
53077.4 0.0939190
53080.4 0.158511
53083.3 0.323951
53084.8 0.525278
53086.2 0.990710
53087.0 1.49466
53087.7 2.46497
53088.1 3.33674
53088.4 4.66550
53088.8 6.90171
53089.2 10.5769
53089.6 16.8842
53090.0 21.1680
53090.4 16.9040
53090.8 10.5924
53091.3 6.25533
53091.8 3.92880
53092.2 2.64674
53092.7 1.88781
53093.6 1.08795
53094.5 0.702976
53096.4 0.361119
53098.2 0.219058
53101.9 0.105507
53105.6 0.0621323
53112.9 0.0293551
53120.3 0.0173838
53149.7 0.00544416
53208.5 0.00240457
53326.2 0.00174210
53561.6 0.00187993
53797.0 0.00236693
54032.4 0.00322931
54267.8 0.00483743
54385.5 0.00620079
54444.4 0.00712395
54473.8 0.00766775
54503.2 0.00827799
54532.6 0.00896579
54562.1 0.00974376
54591.5 0.0106282
54620.9 0.0116379
54650.3 0.0127969
54679.8 0.0141332
54709.2 0.0156834
54738.6 0.0174903
54768.0 0.0196095
54797.5 0.0221064
54856.3 0.0285838
54915.2 0.0377902
54974.0 0.0507584
55023.0 0.0647906
55072.0 0.0805172
55170.0 0.0982271
55219.0 0.0911993
55268.0 0.0768054
55366.0 0.0477871
55426.1 0.0353814
55486.3 0.0266909
55606.6 0.0163005
55726.8 0.0108359
55847.1 0.00769757
55967.4 0.00575408
56087.6 0.00447569
56328.2 0.00296029
56568.7 0.00213513
56809.3 0.00163931
57290.3 0.00110591
57771.4 0.000859614
58252.5 0.000791054
58493.0 0.000864266
58613.3 0.000970101
58733.6 0.00118623
58853.9 0.00167597
58914.0 0.00217429
58974.1 0.00308932
59034.3 0.00504161
59064.3 0.00697097
59094.4 0.0104456
59109.4 0.0133372
59124.5 0.0176913
59139.5 0.0246990
59154.5 0.0370225
59162.1 0.0470420
59169.6 0.0618040
59177.1 0.0848307
59184.6 0.123539
59192.1 0.196202
59195.9 0.258890
59199.6 0.356072
59203.4 0.518404
59207.2 0.814444
59209.0 1.05910
59210.9 1.41793
59212.8 1.95689
59214.7 2.76103
59217.3 4.41662
59220.0 5.52691
59222.7 4.42333
59225.4 2.76635
59227.3 1.91900
59229.3 1.36832
59231.3 1.00948
59233.3 0.769968
59237.3 0.483601
59241.3 0.329628
59245.2 0.238050
59249.2 0.179774
59257.2 0.112617
59265.1 0.0770530
59273.1 0.0560254
59281.0 0.0425851
59288.9 0.0334918
59304.8 0.0223095
59320.7 0.0159720
59336.6 0.0120336
59352.5 0.00942314
59384.3 0.00628288
59416.1 0.00453922
59479.7 0.00276918
59543.3 0.00193233
59606.9 0.00147039
59734.0 0.00100159
59861.2 0.000777837
59988.4 0.000652002
60242.7 0.000519622
60751.4 0.000412904
61260.1 0.000371209
62277.4 0.000379445
62786.1 0.000534108
62913.3 0.000686978
63040.4 0.00110615
63104.0 0.00167395
63167.6 0.00323562
63199.4 0.00532847
63215.3 0.00735591
63231.2 0.0109308
63247.1 0.0181525
63255.0 0.0248982
63263.0 0.0363061
63270.9 0.0579186
63274.9 0.0767771
63278.9 0.106339
63282.9 0.156494
63286.8 0.249841
63288.8 0.329009
63290.8 0.447133
63292.8 0.630579
63294.8 0.913810
63297.4 1.46386
63300.0 1.83605
63302.6 1.47514
63305.2 0.922652
63308.3 0.530107
63311.3 0.328584
63314.3 0.219231
63317.3 0.155542
63320.3 0.115508
63323.3 0.0890515
63329.3 0.0574172
63335.3 0.0400171
63341.3 0.0295009
63353.3 0.0179700
63365.3 0.0121392
63377.3 0.00879244
63401.3 0.00530013
63425.4 0.00361187
63449.4 0.00267169
63497.4 0.00171912
63593.5 0.00103649
63689.6 0.000814142
63881.8 0.000719780
64074.0 0.000812020
64266.1 0.00110296
64362.2 0.00140160
64458.3 0.00193826
