Ge-76(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
27614.5 0.719104
27815.2 0.414309
28015.9 0.160484
28116.2 0.0727448
28166.4 0.0443750
28216.6 0.0294556
28266.7 0.0309597
28316.9 0.0525096
28367.1 0.0985331
28417.3 0.174462
28467.4 0.287009
28517.6 0.444398
28567.8 0.656903
28617.9 0.937306
28718.3 1.76997
28818.6 3.12652
28919.0 5.30204
29019.3 8.76937
29119.7 14.2749
29220.0 22.9136
29315.0 35.1467
29410.0 51.8028
29600.0 86.4802
29695.0 92.6052
29790.0 88.8885
29980.0 69.5445
30000.0 67.4703
30000.0 8.70645
35000.0 8.44538
40000.0 8.23459
50000.0 7.91079
60000.0 7.66942
72000.0 7.44586
85000.0 7.25549
100000 7.07924
125000 6.85022
150000 6.67141
170000 6.55168
200000 6.39859
250000 6.19036
300000 6.01982
350000 5.87396
400000 5.74553
450000 5.63005
550000 5.42691
570379 5.38902
570400 5.38912
570400 5.40938
600000 5.31582
700000 5.03987
800000 4.79698
900000 4.58263
1.00000E+06 4.39365
1.12313E+06 4.20226
1.20000E+06 4.08278
1.40000E+06 3.85003
1.42883E+06 3.82614
1.42884E+06 3.82614
1.55995E+06 3.71749
1.55995E+06 3.71749
1.60000E+06 3.68431
1.80000E+06 3.57557
1.93649E+06 3.53351
1.93649E+06 3.53350
2.00000E+06 3.51393
2.04674E+06 3.50819
2.18464E+06 3.49128
2.18465E+06 3.49128
2.20000E+06 3.48939
2.23419E+06 3.48987
2.23420E+06 3.48987
2.31455E+06 3.49099
2.40000E+06 3.49220
2.48863E+06 3.50160
2.48863E+06 3.50160
2.51112E+06 3.50399
2.51113E+06 3.50398
2.53686E+06 3.50672
2.53686E+06 3.50672
2.58793E+06 3.51214
2.58793E+06 3.51214
2.60000E+06 3.51342
2.62552E+06 3.51786
2.62553E+06 3.51786
2.65886E+06 3.52366
2.65886E+06 3.52366
2.68977E+06 3.52904
2.72817E+06 3.53572
2.72817E+06 3.53572
2.76972E+06 3.54295
2.78431E+06 3.54549
2.80000E+06 3.54822
2.80559E+06 3.54919
2.87935E+06 3.56204
2.87935E+06 3.56204
2.93620E+06 3.57193
2.95859E+06 3.57582
2.95859E+06 3.57582
2.95981E+06 3.57604
3.00000E+06 3.58303
3.00155E+06 3.58332
3.00156E+06 3.58332
3.03378E+06 3.58929
3.04776E+06 3.59189
3.04776E+06 3.59189
3.08140E+06 3.59813
3.08140E+06 3.59813
3.09305E+06 3.60030
3.09306E+06 3.60030
3.11180E+06 3.60376
3.11180E+06 3.60376
3.13105E+06 3.60734
3.13105E+06 3.60734
3.17341E+06 3.61520
3.18324E+06 3.61702
3.20000E+06 3.62013
3.20806E+06 3.62163
3.20806E+06 3.62163
3.22448E+06 3.62468
3.23745E+06 3.62709
3.26683E+06 3.63254
3.26683E+06 3.63254
3.27474E+06 3.63400
3.31142E+06 3.64080
3.35631E+06 3.64913
3.50000E+06 3.67579
3.70000E+06 3.71289
4.00000E+06 3.75990
4.50000E+06 3.82578
5.00000E+06 3.87858
6.00000E+06 3.95343
6.30973E+06 3.96590
6.30973E+06 3.96590
6.48432E+06 3.97294
6.51188E+06 3.97405
6.51188E+06 3.97405
6.58869E+06 3.97714
6.59507E+06 3.97740
6.59507E+06 3.97740
6.68444E+06 3.98099
6.68444E+06 3.98099
6.88274E+06 3.98898
6.88274E+06 3.98898
6.99958E+06 3.99369
7.00000E+06 3.99370
7.10161E+06 3.99455
7.10161E+06 3.99455
7.60915E+06 3.99878
8.00000E+06 4.00203
9.00000E+06 3.97930
9.55356E+06 3.94993
9.55356E+06 3.94993
1.00000E+07 3.92624
1.10000E+07 3.84373
1.20000E+07 3.73269
1.21976E+07 3.70590
1.21976E+07 3.70590
1.30000E+07 3.59711
1.40000E+07 3.44590
1.49890E+07 3.29634
1.49890E+07 3.29633
1.50000E+07 3.29468
1.60000E+07 3.15231
1.61452E+07 3.13411
1.66052E+07 3.07643
1.70000E+07 3.02693
1.80000E+07 2.92094
1.90000E+07 2.83244
2.00000E+07 2.75695
