Mo-95(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
146.879 0.0536519
146.978 0.0541824
147.175 0.0552835
147.570 0.0576617
148.359 0.0632374
149.938 0.0789862
151.516 0.105228
153.095 0.153439
153.885 0.194216
154.674 0.256622
155.463 0.359105
156.253 0.544953
156.647 0.700643
157.042 0.936992
157.437 1.32110
157.831 2.00741
158.029 2.57425
158.226 3.42205
158.423 4.77373
158.621 7.12011
158.818 11.7418
158.917 15.9424
159.015 22.8390
159.114 35.3193
159.163 45.6732
159.213 61.1621
159.262 85.6804
159.311 126.932
159.336 158.549
159.361 201.566
159.385 261.148
159.410 342.382
159.433 438.408
159.455 548.245
159.500 685.630
159.523 645.127
159.545 548.072
159.590 342.174
159.626 231.789
159.661 162.310
159.697 118.117
159.733 89.0488
159.804 55.1165
159.875 37.1988
159.946 26.6868
160.018 20.0478
160.160 12.4657
160.303 8.48238
160.445 6.13944
160.588 4.64744
160.730 3.64037
161.015 2.40644
161.300 1.70896
161.585 1.27686
161.870 0.990937
162.440 0.647871
163.010 0.457895
163.580 0.341826
164.150 0.265770
165.289 0.175454
166.429 0.125911
167.569 0.0958219
168.709 0.0761771
170.989 0.0528948
173.269 0.0401090
177.828 0.0271771
177.828 0.0271768
177.829 0.0271755
177.830 0.0271742
177.831 0.0271716
177.834 0.0271666
177.839 0.0271566
177.850 0.0271367
177.872 0.0270967
177.915 0.0270174
178.001 0.0268603
178.175 0.0265525
178.521 0.0259611
179.214 0.0248674
180.600 0.0229839
183.371 0.0201229
188.914 0.0165870
200.000 0.0137674
207.722 0.0151086
209.652 0.0168323
211.582 0.0205078
213.513 0.0298202
214.478 0.0407174
214.960 0.0500635
215.443 0.0645537
215.443 0.0645613
215.444 0.0645878
215.445 0.0646143
215.446 0.0646637
215.449 0.0647663
215.454 0.0649725
215.465 0.0653846
215.486 0.0662269
215.529 0.0679706
215.615 0.0717131
215.787 0.0803787
216.131 0.104301
216.475 0.142958
216.819 0.211407
216.991 0.267411
217.163 0.350373
217.334 0.480817
217.506 0.702987
217.678 1.12740
217.764 1.50059
217.850 2.09185
217.936 3.10705
218.022 5.03846
