Cl-35(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
0.00233154 165.932
0.00234856 165.398
0.00237500 164.596
0.00238094 164.416
0.00239973 163.847
0.00243033 162.937
0.00247973 161.513
0.00252912 160.131
0.00256250 159.224
0.00257852 158.789
0.00262791 157.485
0.00267731 156.217
0.00272670 154.984
0.00275000 154.419
0.00277609 153.786
0.00278062 153.677
0.00282549 152.619
0.00283418 152.415
0.00287488 151.490
0.00292428 150.367
0.00297367 149.292
0.00299062 148.924
0.00302307 148.241
0.00307246 147.201
0.00312500 146.145
0.00317125 145.215
0.00327004 143.319
0.00336883 141.508
0.00346762 139.774
0.00350000 139.230
0.00356641 138.113
0.00366520 136.526
0.00367524 136.364
0.00376399 134.989
0.00386277 133.518
0.00387500 133.343
0.00396156 132.103
0.00396320 132.080
0.00406035 130.739
0.00415914 129.424
0.00425000 128.257
0.00425793 128.155
0.00435672 126.929
0.00445551 125.754
0.00448975 125.347
0.00455430 124.602
0.00456408 124.489
0.00462500 123.805
0.00465309 123.490
0.00475188 122.415
0.00485067 121.374
0.00494945 120.366
0.00495714 120.288
0.00500000 119.862
0.00504824 119.384
0.00514703 118.432
0.00524582 117.507
0.00534461 116.608
0.00544340 115.735
0.00545279 115.653
0.00554219 114.886
0.00556124 114.723
0.00562500 114.191
0.00564098 114.058
0.00566835 113.830
0.00573977 113.255
0.00583856 112.460
0.00593734 111.699
0.00598124 111.361
0.00603613 110.952
0.00613492 110.216
0.00625000 109.396
0.00633250 108.808
0.00653008 107.464
0.00672766 106.180
0.00687500 105.264
0.00692524 104.952
0.00712281 103.775
0.00732039 102.651
0.00735049 102.480
0.00750000 101.660
0.00751797 101.561
0.00771555 100.519
0.00791313 99.5178
0.00792640 99.4506
0.00811070 98.5492
0.00812500 98.4818
0.00830828 97.6177
0.00850586 96.7187
0.00870344 95.8505
0.00875000 95.6528
0.00890102 95.0115
0.00909859 94.2032
0.00912816 94.0823
0.00929617 93.4143
0.00949375 92.6533
0.00969133 91.9157
0.00988891 91.2028
0.00991427 91.1113
0.0100000 90.8100
0.0100865 90.5062
0.0102841 89.8320
0.0104816 89.1771
0.0106792 88.5409
0.0106861 88.5187
0.0108768 87.9231
0.0109056 87.8332
0.0110744 87.3214
0.0111225 87.1756
0.0112500 86.8024
0.0112720 86.7382
0.0114695 86.1602
0.0116671 85.6075
0.0117568 85.3568
0.0118647 85.0650
0.0120623 84.5307
0.0122598 84.0140
0.0125000 83.4081
0.0126550 83.0171
0.0130502 82.0658
0.0134453 81.1568
0.0137500 80.4861
0.0138405 80.2870
0.0142356 79.4536
0.0146308 78.6590
0.0147010 78.5179
0.0150000 77.9370
0.0150259 77.8866
0.0154211 77.1487
0.0158163 76.4407
0.0158528 76.3753
0.0162114 75.7546
0.0162500 75.6902
0.0166066 75.0951
0.0170017 74.4588
0.0173969 73.8443
0.0175000 73.6893
0.0177920 73.2504
0.0181872 72.6786
0.0182563 72.5786
0.0185823 72.1198
0.0189775 71.5812
0.0193727 71.0592
0.0197678 70.5548
0.0198285 70.4773
0.0200000 70.2642
0.0201630 70.0615
0.0205581 69.5844
0.0209533 69.1228
0.0210283 69.0353
0.0213484 68.6736
0.0215201 68.4798
0.0217436 68.2361
0.0221388 67.8053
0.0225339 67.3901
0.0226500 67.2720
0.0229291 66.9881
0.0230550 66.8599
0.0233242 66.5954
0.0237194 66.2072
0.0241145 65.8324
0.0245097 65.4700
0.0246474 65.3437
0.0253000 64.7611
0.0260413 64.1288
0.0267826 63.5229
0.0275238 62.9416
0.0282651 62.3833
0.0283875 62.2949
0.0290064 61.8476
0.0290475 61.8179
0.0297477 61.3300
0.0304889 60.8324
0.0312302 60.3526
0.0314750 60.2000
0.0319715 59.8904
0.0320134 59.8643
0.0327128 59.4458
0.0329426 59.3083
0.0334540 59.0101
0.0341953 58.5920
0.0345625 58.3914
0.0349366 58.1872
0.0356779 57.7951
0.0364191 57.4150
0.0371604 57.0464
0.0376500 56.8101
0.0379017 56.6886
0.0386430 56.3411
0.0393842 56.0036
0.0401255 55.6780
0.0404417 55.5392
0.0407375 55.4139
0.0408668 55.3592
0.0416081 55.0454
0.0423493 54.7450
0.0426225 54.6343
0.0430906 54.4512
0.0438250 54.1638
0.0438319 54.1611
0.0445732 53.8840
0.0451059 53.6849
0.0453144 53.6095
0.0460557 53.3416
0.0475383 52.8275
0.0490208 52.3369
0.0500000 52.0280
0.0505034 51.8692
0.0506000 51.8388
0.0519859 51.4193
0.0534685 50.9894
0.0549510 50.5771
0.0549607 50.5744
0.0562500 50.2299
0.0564336 50.1809
0.0579161 49.8016
0.0580950 49.7559
0.0593987 49.4337
0.0608812 49.0807
0.0623638 48.7403
0.0625000 48.7102
0.0638463 48.4131
0.0640268 48.3732
0.0653289 48.0946
0.0668114 47.7880
0.0682940 47.4915
0.0687500 47.4031
0.0697765 47.2044
0.0712591 46.9263
0.0727416 46.6567
0.0742242 46.3952
0.0750000 46.2624
