K-39(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
32217.7 1.19642
32219.6 1.63390
32221.5 2.65871
32222.4 3.77380
32223.4 5.93240
32223.8 7.83966
32224.3 10.8219
32224.8 15.6773
32225.2 23.6758
32225.8 37.7588
32226.3 47.2143
32226.9 38.1215
32227.4 24.2724
32228.0 15.1846
32228.5 10.1705
32229.1 7.25613
32229.6 5.46153
32230.7 3.49498
32231.8 2.51080
32234.1 1.60283
32236.3 1.21376
32240.7 0.890484
32245.1 0.761517
32253.9 0.658970
32262.7 0.618786
32280.3 0.586448
32298.0 0.573225
32333.2 0.561672
32368.5 0.556194
32509.6 0.546480
32650.6 0.541451
32791.7 0.538917
32932.7 0.540887
33003.3 0.545813
33073.8 0.557108
33109.0 0.567533
33144.3 0.584075
33179.6 0.611820
33214.8 0.662429
33232.5 0.704638
33250.1 0.768049
33267.7 0.869379
33285.4 1.04561
33303.0 1.39249
33311.8 1.70759
33320.6 2.22415
33329.4 3.15697
33333.9 3.93001
33338.3 5.08110
33342.7 6.89706
33347.1 9.94526
33351.5 15.4291
33355.9 25.6657
33360.0 40.7662
33364.0 50.8687
33368.1 40.8062
33372.2 25.6770
33376.2 15.9642
33380.3 10.5364
33384.4 7.41354
33388.5 5.50764
33392.6 4.27643
33396.6 3.44143
33404.8 2.42105
33413.0 1.84855
33421.1 1.49691
33437.4 1.10650
33453.8 0.906454
33470.1 0.790528
33486.4 0.717360
33502.7 0.668202
33535.4 0.608035
33568.0 0.573783
33600.6 0.552207
33633.3 0.537558
33698.5 0.519016
33763.8 0.507619
33894.4 0.493505
34024.9 0.484040
34155.4 0.476398
34416.5 0.463217
35460.9 0.414759
35983.1 0.389317
36505.3 0.362296
37027.4 0.334710
37158.0 0.329261
37288.5 0.328453
37353.8 0.334759
37386.4 0.343221
37419.1 0.360466
37451.7 0.399535
37468.0 0.438957
37484.3 0.510112
37492.5 0.569001
37500.7 0.656912
37508.8 0.796062
37517.0 1.03456
37525.1 1.49263
37529.2 1.89707
37533.3 2.54076
37537.4 3.64884
37541.5 5.76891
37543.5 7.60814
37545.5 10.4352
37547.6 14.9407
37549.6 22.1387
37552.1 35.3216
37554.6 44.1370
37557.1 35.4181
37559.6 22.2996
37561.2 16.4956
37562.7 12.4382
37565.9 7.61925
37569.0 5.10754
37572.1 3.67434
37575.2 2.79068
37578.3 2.21109
37584.6 1.52557
37590.8 1.15258
37597.1 0.928026
37609.5 0.683818
37622.0 0.563008
37634.5 0.502218
37647.0 0.512955
37653.2 0.691533
37654.8 0.864954
37656.3 1.29086
37657.1 1.77830
37657.9 2.81014
37658.7 5.53566
37659.0 8.77306
37659.4 14.9482
37659.8 23.6490
37660.1 29.4570
37660.4 23.6311
37660.7 14.8923
37661.0 9.68350
37661.3 6.69289
37661.9 3.67670
37662.5 2.36586
37663.1 1.69776
37664.3 1.07739
37665.5 0.809486
37667.8 0.588448
37670.2 0.500875
37679.6 0.400480
37698.5 0.358118
37736.2 0.328768
37811.6 0.303981
37887.0 0.290926
37962.4 0.281626
38113.2 0.266920
38264.0 0.253930
38565.7 0.228753
38867.3 0.202827
39470.6 0.146662
40073.9 0.0858830
40375.5 0.0567919
40677.2 0.0340238
40828.0 0.0281122
40978.8 0.0290085
41054.2 0.0332383
41129.6 0.0409320
41205.0 0.0530614
41280.4 0.0708983
41355.9 0.0961242
41431.3 0.130987
41582.1 0.242919
41732.9 0.447925
41883.7 0.829750
41959.1 1.13768
42034.5 1.57357
42110.0 2.20305
