56-Ba_n-g
> 56-Ba-130:0.001060
> 56-Ba-132:0.001010
> 56-Ba-134:0.024170
> 56-Ba-135:0.065920
> 56-Ba-136:0.078540
> 56-Ba-137:0.112320
> 56-Ba-138:0.716980
7.191240e+01 8.04302590e-02
7.377160e+01 1.11149941e-01
7.390440e+01 1.13351416e-01
7.490040e+01 1.40534926e-01
7.500000e+01 1.44613273e-01
7.589640e+01 1.81494734e-01
7.639440e+01 2.14397830e-01
7.689240e+01 2.47315480e-01
7.739040e+01 2.96563822e-01
7.788840e+01 3.64035089e-01
7.838650e+01 4.60245516e-01
7.888450e+01 6.04648060e-01
7.901730e+01 6.66514816e-01
7.938250e+01 8.36656644e-01
7.988050e+01 1.24644326e+00
8.012950e+01 1.58175599e+00
8.037850e+01 2.08008229e+00
8.062750e+01 2.86804130e+00
8.087650e+01 4.22347262e+00
8.100100e+01 5.30129632e+00
8.112550e+01 6.85698728e+00
8.125000e+01 9.21866230e+00
8.137450e+01 1.30480784e+01
8.149900e+01 1.98347316e+01
8.156130e+01 2.53581971e+01
8.162350e+01 3.34607826e+01
8.168580e+01 4.59189662e+01
8.174800e+01 6.61460854e+01
8.181030e+01 1.00864200e+02
8.187250e+01 1.62010962e+02
8.193630e+01 2.59028092e+02
8.200000e+01 3.23516998e+02
8.206380e+01 2.58645815e+02
8.212750e+01 1.61624129e+02
8.219910e+01 9.40060628e+01
8.227080e+01 5.87118028e+01
8.234240e+01 3.94250940e+01
8.241400e+01 2.80747577e+01
8.248560e+01 2.09286672e+01
8.255730e+01 1.61747476e+01
8.270050e+01 1.04781390e+01
8.284370e+01 7.34529108e+00
8.298700e+01 5.45003845e+00
8.327350e+01 3.38478481e+00
8.356000e+01 2.35901705e+00
8.384650e+01 1.79397077e+00
8.413300e+01 1.47065971e+00
8.426290e+01 1.39144375e+00
8.437500e+01 1.32308434e+00
8.441950e+01 1.29596535e+00
8.499240e+01 1.27447166e+00
8.527890e+01 1.45424685e+00
8.542220e+01 1.62140591e+00
8.556540e+01 1.86858517e+00
8.563710e+01 2.03397476e+00
8.570870e+01 2.23672772e+00
8.578030e+01 2.48729245e+00
8.581610e+01 2.63478656e+00
8.585190e+01 2.80005271e+00
8.588780e+01 2.98590575e+00
8.592360e+01 3.19557561e+00
8.599520e+01 3.70357113e+00
8.606680e+01 4.36878584e+00
8.613840e+01 5.26060056e+00
8.621010e+01 6.49144852e+00
8.628170e+01 8.25187789e+00
8.635330e+01 1.08868943e+01
8.642490e+01 1.50689871e+01
8.649650e+01 2.22412771e+01
8.653240e+01 2.78826760e+01
8.656820e+01 3.58884274e+01
8.660400e+01 4.76680987e+01
8.663980e+01 6.56919762e+01
8.667560e+01 9.42582415e+01
8.671140e+01 1.39896666e+02
8.675570e+01 2.23612468e+02
8.680000e+01 2.79338637e+02
8.684430e+01 2.23429287e+02
8.688860e+01 1.39690490e+02
8.693980e+01 8.01186308e+01
8.699100e+01 4.95741159e+01
