Ca-43(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
21342.9 3.52548
21351.4 4.72287
21360.0 6.55595
21368.5 9.43362
21377.1 14.0722
21385.6 21.5651
21397.8 38.9509
21410.0 55.0187
21422.2 49.6846
21434.4 34.9788
21442.3 27.4424
21450.1 21.9222
21465.8 15.0101
21481.5 11.1620
21497.2 8.83123
21512.9 7.30813
21528.6 6.25289
21560.0 4.90618
21591.4 4.09341
21622.9 3.55276
21685.7 2.87606
21748.5 2.45905
21811.3 2.15339
21842.7 2.01198
21858.4 1.93751
21874.1 1.85709
21889.8 1.76971
21905.5 1.69630
21913.4 1.71386
21917.3 1.77756
21921.2 1.93774
21925.2 2.33369
21927.1 2.72827
21929.1 3.39643
21931.0 4.60042
21933.0 6.91402
21934.0 8.88222
21935.0 11.8087
21935.9 16.2438
21936.9 22.9682
21938.5 39.2819
21940.0 53.2988
21941.5 46.7994
21943.1 32.3638
21944.7 21.6534
21946.4 15.5032
21948.0 11.8394
21949.6 9.55036
21951.3 8.01576
21952.9 6.94834
21956.2 5.58217
21959.4 4.76316
21962.7 4.23026
21969.2 3.58718
21975.7 3.22005
21982.3 2.98527
21995.3 2.70490
22008.4 2.54476
22021.5 2.44229
22047.6 2.32254
22099.8 2.23326
22152.1 2.24200
22256.6 2.47354
22361.0 3.06871
22465.5 4.32498
22570.0 6.99956
22622.3 9.40943
22674.5 13.1400
22726.8 19.0425
22779.0 28.3933
22854.5 49.7445
22930.0 68.2825
23005.5 60.1600
23081.0 41.4736
23149.6 29.0741
23218.1 21.2399
23286.6 16.2551
23355.2 12.9489
23492.3 8.99216
23629.4 6.78160
23766.4 5.38983
23903.5 4.42692
23972.1 4.04213
24040.6 3.70035
24074.9 3.54321
24109.2 3.40034
24126.3 3.34368
24143.4 3.32566
24152.0 3.36601
24156.3 3.42194
24160.6 3.53198
24164.9 3.76389
24167.0 3.97802
24169.1 4.32889
24171.3 4.95185
24173.4 6.19223
24174.5 7.31101
24175.6 9.09862
24176.6 12.0975
24177.7 17.2267
24178.9 25.7217
24180.0 31.2709
24181.2 25.5140
24182.3 17.0582
24183.6 11.2077
24184.9 8.14759
24186.1 6.45760
24187.4 5.45414
24188.7 4.81742
24189.9 4.39036
24192.5 3.87189
24195.0 3.57993
24197.6 3.39750
24202.6 3.18509
24207.7 3.06389
24212.8 2.98212
24223.0 2.86811
24243.3 2.69972
24263.6 2.53866
24283.9 2.35811
24304.3 2.16086
24314.4 2.09875
24319.5 2.11792
24324.6 2.23198
24329.7 2.57938
24332.2 2.94600
24334.7 3.57196
24337.3 4.67445
24339.8 6.70545
24342.4 10.6489
24343.6 13.9251
24344.9 18.5550
24347.5 32.9702
24350.0 46.6761
24352.6 42.8716
24355.1 30.9929
24357.8 21.7475
24360.5 16.1865
24363.2 12.7949
24365.8 10.6108
24368.5 9.12582
24371.2 8.06774
24376.5 6.68633
24381.9 5.83573
24387.3 5.26654
24398.0 4.55846
24408.7 4.13527
24419.4 3.85261
24440.8 3.49205
24462.3 3.26418
24483.7 3.10115
24526.5 2.87102
24569.4 2.70612
24612.2 2.57899
24633.7 2.53003
24655.1 2.50403
24665.8 2.51776
24671.2 2.54405
24676.5 2.60066
24681.9 2.72832
24684.6 2.85258
24687.2 3.06476
24689.9 3.46703
24691.2 3.81365
24692.6 4.34958
24693.9 5.23257
24695.3 6.80988
24696.6 9.91316
24697.3 12.5850
24697.9 16.4054
24699.0 24.9803
24700.0 30.7047
24701.0 25.0809
24702.1 16.6390
24703.1 11.3540
24704.1 8.31007
24705.0 6.51551
24706.0 5.39975
24708.0 4.16640
24710.0 3.54642
24712.0 3.19005
24713.9 2.96839
24717.9 2.71500
24721.8 2.57951
24725.8 2.49684
24733.7 2.40122
