Nb-93(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
364.461 0.380639
364.577 0.524680
364.635 0.651100
364.693 0.850159
364.751 1.18900
364.809 1.82373
364.838 2.36351
364.867 3.17742
364.896 4.44330
364.925 6.42167
364.962 10.1873
365.000 12.6961
365.038 10.1760
365.075 6.41281
365.110 4.14719
365.145 2.81873
365.179 2.02455
365.214 1.52737
365.283 0.972163
365.352 0.691778
365.421 0.532065
365.490 0.433387
365.628 0.323489
365.767 0.267569
365.905 0.235893
366.182 0.204588
366.735 0.187236
367.288 0.188959
369.500 0.252256
370.596 0.313138
371.691 0.407585
372.787 0.563304
373.882 0.845883
374.430 1.08244
374.978 1.44112
375.525 2.02322
376.073 3.06096
376.347 3.91566
376.621 5.19154
376.895 7.21781
377.169 10.7180
377.306 13.5131
377.442 17.5565
377.579 23.7208
377.716 33.7526
377.785 41.3071
377.853 51.6546
377.922 66.3152
377.990 87.9114
378.059 121.419
378.127 176.312
378.196 272.062
378.264 443.699
378.332 710.968
378.400 889.532
378.468 710.767
378.536 443.482
378.591 298.965
378.645 208.495
378.700 151.186
378.754 113.735
378.863 70.2127
378.972 47.2921
379.082 33.8998
379.191 25.4447
379.409 15.8161
379.627 10.7625
379.845 7.79298
380.063 5.90330
380.281 4.62818
380.718 3.06704
381.154 2.18524
381.591 1.63904
382.027 1.27776
382.900 0.844782
383.772 0.605532
384.645 0.460059
385.518 0.365673
387.263 0.257962
389.008 0.213307
389.881 0.216531
390.754 0.266299
391.190 0.347177
391.408 0.427943
391.627 0.570684
391.845 0.854747
391.954 1.11388
392.063 1.53974
392.172 2.30974
392.227 2.94893
392.281 3.90180
392.336 5.40522
392.390 7.92351
392.445 12.4482
392.499 20.9029
392.550 33.3782
392.600 41.6702
392.651 33.3548
392.701 20.8852
392.761 11.8968
392.820 7.34421
392.880 4.91082
392.939 3.50127
392.998 2.62088
393.058 2.03914
393.177 1.34663
393.296 0.966937
393.415 0.737372
393.653 0.485349
393.891 0.357135
394.128 0.282800
394.604 0.203596
395.080 0.163646
395.556 0.140095
396.507 0.113719
398.410 0.0895465
400.313 0.0773926
404.120 0.0642470
407.926 0.0570091
415.538 0.0493551
423.151 0.0456366
430.763 0.0437803
438.375 0.0432665
445.988 0.0449792
449.794 0.0485202
451.697 0.0524875
453.600 0.0604296
454.427 0.0665500
455.254 0.0759409
456.081 0.0914030
456.908 0.119520
457.321 0.143128
457.735 0.179038
458.148 0.237544
458.562 0.342448
458.769 0.429379
458.975 0.559823
459.182 0.768562
459.389 1.13329
459.595 1.85861
459.699 2.52465
459.802 3.63045
459.906 5.66533
459.957 7.38512
460.009 9.99807
460.061 14.2328
460.112 21.6234
460.164 35.7000
460.190 47.4351
460.216 64.1028
460.237 82.0937
460.258 102.545
460.300 128.071
460.342 102.438
460.385 64.0149
460.424 40.7602
460.463 27.1818
460.502 19.0917
460.541 14.0375
460.620 8.41189
460.698 5.56893
460.776 3.94916
460.855 2.94622
461.011 1.82268
461.168 1.24223
461.325 0.904813
461.481 0.691450
461.638 0.548249
461.951 0.373854
462.264 0.275819
462.578 0.215309
462.891 0.175373
463.518 0.127580
464.144 0.101176
464.771 0.0850703
465.397 0.0745319
466.650 0.0620358
467.904 0.0551993
470.410 0.0483830
472.916 0.0452666
475.422 0.0436539
480.435 0.0424271
485.448 0.0428620
487.954 0.0439045
490.460 0.0461131
492.967 0.0511409
494.220 0.0562490
495.473 0.0656155
496.099 0.0735162
496.726 0.0855703
497.353 0.105272
497.979 0.140734
498.292 0.170210
498.606 0.214596
498.919 0.285921
499.232 0.411280
499.389 0.513045
499.546 0.662676
499.702 0.895790
499.859 1.28704
500.016 2.01833
500.094 2.64621
500.172 3.61850
500.251 5.22929
500.329 8.13992
500.368 10.5267
500.407 13.9880
500.446 19.1442
500.485 26.7744
500.543 42.8134
500.600 53.5060
500.657 42.7880
500.715 26.7568
500.770 16.8192
500.824 11.1124
500.879 7.75720
500.934 5.68009
500.989 4.31983
501.043 3.38941
501.153 2.24319
501.263 1.59378
501.372 1.19292
501.591 0.745189
501.810 0.514736
502.029 0.380937
502.248 0.296489
502.467 0.239842
502.906 0.170896
503.344 0.132163
503.782 0.108260
504.220 0.0924837
505.097 0.0735993
505.973 0.0631582
507.725 0.0526025
509.478 0.0476336
511.231 0.0449012
514.736 0.0421486
521.747 0.0401517
528.757 0.0394610
542.779 0.0390586
556.800 0.0391021
577.964 0.0397996
583.254 0.0403248
588.545 0.0414747
591.191 0.0427571
593.836 0.0457008
595.159 0.0491409
596.482 0.0575442
597.143 0.0680312
597.804 0.0952089
598.135 0.130220
598.300 0.163389
598.466 0.220750
598.631 0.333609
598.714 0.436288
598.796 0.605209
598.879 0.912218
598.920 1.16805
598.962 1.55257
599.003 2.16559
599.044 3.20646
599.086 5.11549
599.127 8.78275
599.164 14.0245
599.200 17.5046
599.237 14.0104
599.273 8.77264
599.310 5.43805
599.346 3.56284
599.382 2.47845
599.419 1.81420
599.455 1.38397
599.491 1.09164
599.564 0.733789
599.636 0.532793
599.709 0.409375
599.854 0.272792
599.999 0.203383
600.144 0.163866
600.435 0.124168
600.725 0.107461
601.015 0.101277
601.596 0.107063
602.177 0.138736
602.467 0.173385
602.757 0.236709
602.903 0.289224
603.048 0.367660
603.193 0.491924
603.338 0.705228
603.483 1.11748
603.556 1.48426
603.628 2.07234
603.701 3.10037
603.774 5.11466
