45-Rh_n-tot
> 45-Rh-103:1.000000
1.131710e+02 4.64435000e+00
1.133340e+02 4.68254000e+00
1.134960e+02 4.77483000e+00
1.135770e+02 4.86179000e+00
1.136580e+02 5.00441000e+00
1.137390e+02 5.25794000e+00
1.138200e+02 5.76178000e+00
1.138610e+02 6.21730000e+00
1.139010e+02 6.94348000e+00
1.139420e+02 8.16154000e+00
1.139820e+02 1.02466000e+01
1.140260e+02 1.37256000e+01
1.140700e+02 1.60580000e+01
1.141140e+02 1.37270000e+01
1.141580e+02 1.02466000e+01
1.142030e+02 8.00358000e+00
1.142470e+02 6.76246000e+00
1.142920e+02 6.05135000e+00
1.143360e+02 5.61828000e+00
1.144250e+02 5.14909000e+00
1.145140e+02 4.91689000e+00
1.146030e+02 4.78583000e+00
1.146920e+02 4.70481000e+00
1.148700e+02 4.61337000e+00
1.150480e+02 4.56491000e+00
1.152260e+02 4.53552000e+00
1.155820e+02 4.50161000e+00
1.162940e+02 4.46819000e+00
1.170070e+02 4.44837000e+00
1.184310e+02 4.42006000e+00
1.198550e+02 4.40200000e+00
1.205670e+02 4.40074000e+00
1.212790e+02 4.41167000e+00
1.219910e+02 4.44892000e+00
1.227040e+02 4.54899000e+00
1.230600e+02 4.65104000e+00
1.234160e+02 4.82470000e+00
1.237720e+02 5.13660000e+00
1.241280e+02 5.74539000e+00
1.243060e+02 6.27743000e+00
1.244840e+02 7.10296000e+00
1.246620e+02 8.46420000e+00
1.248400e+02 1.09036000e+01
1.250180e+02 1.58436000e+01
1.251070e+02 2.04021000e+01
1.251960e+02 2.79552000e+01
1.252850e+02 4.16603000e+01
1.253300e+02 5.30243000e+01
1.253740e+02 6.99471000e+01
1.254190e+02 9.64257000e+01
1.254410e+02 1.15512000e+02
1.254630e+02 1.40340000e+02
1.254850e+02 1.73446000e+02
1.255080e+02 2.17781000e+02
1.255300e+02 2.78134000e+02
1.255520e+02 3.58932000e+02
1.255740e+02 4.62203000e+02
1.255960e+02 5.81798000e+02
1.256400e+02 7.38204000e+02
1.256620e+02 6.99620000e+02
1.256840e+02 5.98740000e+02
1.257280e+02 3.80051000e+02
1.257560e+02 2.81533000e+02
1.257840e+02 2.12931000e+02
1.258390e+02 1.31280000e+02
1.258950e+02 8.86443000e+01
1.259500e+02 6.42609000e+01
1.260050e+02 4.91223000e+01
1.260610e+02 3.91551000e+01
1.261720e+02 2.72519000e+01
1.262830e+02 2.06922000e+01
1.263940e+02 1.66890000e+01
1.266150e+02 1.22372000e+01
1.268370e+02 9.92866000e+00
1.270590e+02 8.56725000e+00
1.272810e+02 7.69085000e+00
1.275030e+02 7.08966000e+00
1.279460e+02 6.33320000e+00
1.283900e+02 5.88674000e+00
1.288330e+02 5.59689000e+00
1.292770e+02 5.39547000e+00
1.301640e+02 5.13588000e+00
1.310520e+02 4.97624000e+00
1.328260e+02 4.78769000e+00
1.346010e+02 4.67511000e+00
1.363750e+02 4.59497000e+00
1.399240e+02 4.47391000e+00
1.434730e+02 4.36995000e+00
1.452480e+02 4.32154000e+00
1.470220e+02 4.28359000e+00
1.479090e+02 4.27681000e+00
1.487970e+02 4.29075000e+00
1.496840e+02 4.35073000e+00
1.505710e+02 4.52266000e+00
1.510150e+02 4.70225000e+00
1.514580e+02 5.01146000e+00
1.519020e+02 5.57167000e+00
1.523460e+02 6.67228000e+00
1.525670e+02 7.63666000e+00
1.527890e+02 9.13436000e+00
1.530110e+02 1.16027000e+01
1.532330e+02 1.60152000e+01
1.534550e+02 2.48905000e+01
1.535660e+02 3.30207000e+01
1.536760e+02 4.63702000e+01
1.537870e+02 7.02509000e+01
1.538430e+02 8.97798000e+01
1.538980e+02 1.18378000e+02
1.539540e+02 1.62307000e+02
1.540090e+02 2.33005000e+02
1.540650e+02 3.53087000e+02
1.541200e+02 5.60825000e+02
1.541800e+02 9.11960000e+02
1.542400e+02 1.15982000e+03
1.543000e+02 9.43302000e+02
1.543600e+02 6.00002000e+02
1.544090e+02 4.08695000e+02
1.544580e+02 2.88673000e+02
1.545070e+02 2.12591000e+02
1.545560e+02 1.62613000e+02
1.546540e+02 1.04252000e+02
1.547510e+02 7.32088000e+01
1.548490e+02 5.48553000e+01
1.549470e+02 4.31485000e+01
1.551430e+02 2.95875000e+01
1.553380e+02 2.22982000e+01
1.555340e+02 1.79142000e+01
1.557300e+02 1.50565000e+01
1.559250e+02 1.30832000e+01
1.563170e+02 1.05882000e+01
1.567080e+02 9.11423000e+00
1.570990e+02 8.16090000e+00
1.574900e+02 7.50283000e+00
1.582730e+02 6.66625000e+00
1.590560e+02 6.16431000e+00
1.598380e+02 5.83282000e+00
1.606210e+02 5.59831000e+00
1.621860e+02 5.28782000e+00
1.637510e+02 5.08878000e+00
1.668820e+02 4.83663000e+00
1.700120e+02 4.66586000e+00
1.731420e+02 4.52282000e+00
1.762730e+02 4.38517000e+00
1.778380e+02 4.32491000e+00
1.786210e+02 4.33369000e+00
1.788160e+02 4.36595000e+00
1.790120e+02 4.45666000e+00
1.791100e+02 4.56485000e+00
1.792070e+02 4.79545000e+00
1.792560e+02 5.01735000e+00
1.793050e+02 5.39584000e+00
1.793540e+02 6.09031000e+00
1.794030e+02 7.42243000e+00
1.794470e+02 9.33252000e+00
1.794900e+02 1.06053000e+01
1.795340e+02 9.32990000e+00
1.795770e+02 7.41633000e+00
1.796060e+02 6.52513000e+00
1.796350e+02 5.91717000e+00
1.796930e+02 5.21686000e+00
1.797500e+02 4.86145000e+00
1.798080e+02 4.66225000e+00
1.799240e+02 4.46027000e+00
1.800390e+02 4.36493000e+00
1.802700e+02 4.27830000e+00
1.805010e+02 4.23883000e+00
1.814250e+02 4.18512000e+00
1.823490e+02 4.19959000e+00
1.832730e+02 4.32847000e+00
1.837350e+02 4.49071000e+00
1.841960e+02 4.79292000e+00
1.846580e+02 5.37386000e+00
1.851200e+02 6.57111000e+00
1.853510e+02 7.65223000e+00
1.855820e+02 9.36795000e+00
1.858130e+02 1.22592000e+01
1.860440e+02 1.75548000e+01
1.861600e+02 2.19637000e+01
1.862750e+02 2.85454000e+01
1.863910e+02 3.89039000e+01
1.865060e+02 5.63700000e+01
1.865640e+02 6.99181000e+01
1.866220e+02 8.88673000e+01
1.866790e+02 1.16467000e+02
1.867370e+02 1.58390000e+02
1.867950e+02 2.25985000e+02
1.868530e+02 3.42285000e+02
1.868820e+02 4.33071000e+02
1.869100e+02 5.58561000e+02
1.869390e+02 7.35283000e+02
1.869680e+02 9.80916000e+02
1.870190e+02 1.59590000e+03
1.870700e+02 2.02987000e+03
1.871210e+02 1.65250000e+03
1.871720e+02 1.05169000e+03
1.872200e+02 6.76521000e+02
1.872680e+02 4.56913000e+02
1.873160e+02 3.25725000e+02
1.873640e+02 2.43287000e+02
1.874610e+02 1.51077000e+02
1.875570e+02 1.03981000e+02
1.876530e+02 7.67960000e+01
1.877490e+02 5.97268000e+01
1.879410e+02 4.02198000e+01
1.881340e+02 2.98634000e+01
1.883260e+02 2.36712000e+01
1.885180e+02 1.96510000e+01
1.887110e+02 1.68786000e+01
1.890950e+02 1.33770000e+01
1.894800e+02 1.13082000e+01
1.898640e+02 9.96851000e+00
1.902490e+02 9.04244000e+00
1.910180e+02 7.86289000e+00
1.917880e+02 7.15434000e+00
1.925570e+02 6.68669000e+00
1.933260e+02 6.35702000e+00
1.948650e+02 5.92536000e+00
1.964030e+02 5.65779000e+00
1.979420e+02 5.48785000e+00
1.987110e+02 5.45814000e+00
1.990950e+02 5.50709000e+00
1.992880e+02 5.59344000e+00
1.994800e+02 5.79149000e+00
1.996300e+02 6.05914000e+00
1.997800e+02 6.23425000e+00
1.999300e+02 6.03757000e+00
2.000800e+02 5.74792000e+00
2.002370e+02 5.55213000e+00
2.003940e+02 5.44061000e+00
2.007080e+02 5.32884000e+00
2.010210e+02 5.27258000e+00
2.013350e+02 5.23610000e+00
2.025900e+02 5.14831000e+00
2.032180e+02 5.11919000e+00
2.038450e+02 5.10179000e+00
2.041590e+02 5.10452000e+00
2.044730e+02 5.13419000e+00
2.046290e+02 5.18019000e+00
2.047080e+02 5.22363000e+00
2.047860e+02 5.29508000e+00
2.048650e+02 5.42188000e+00
2.049430e+02 5.67129000e+00
2.049820e+02 5.89282000e+00
2.050220e+02 6.24068000e+00
2.050610e+02 6.81018000e+00
2.051000e+02 7.75503000e+00
2.051450e+02 9.39100000e+00
2.051900e+02 1.04809000e+01
