Se-82(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.52971E+07 3.68632
1.53975E+07 3.67533
1.54979E+07 3.66452
1.55984E+07 3.65389
1.56988E+07 3.64345
1.57992E+07 3.63319
1.58996E+07 3.62311
1.60000E+07 3.61322
1.61736E+07 3.59246
1.61736E+07 3.59245
1.63802E+07 3.56778
1.65868E+07 3.54384
1.67934E+07 3.52061
1.70000E+07 3.49810
1.72440E+07 3.47086
1.74879E+07 3.44466
1.77319E+07 3.41949
1.79758E+07 3.39535
1.80000E+07 3.39291
1.84073E+07 3.33575
1.88145E+07 3.28199
1.90000E+07 3.25789
1.90483E+07 3.25168
1.95242E+07 3.19141
2.00000E+07 3.13477
