Cu-65(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
6584.10 16.2188
6584.20 15.0819
6584.37 13.9607
6584.53 13.4598
6584.86 13.0602
6585.52 12.7969
6586.84 12.5844
6589.47 12.3094
6594.74 11.8510
6605.28 11.0716
6626.35 9.85981
6668.50 8.25020
6710.65 7.21318
6731.73 6.81309
6742.26 6.62894
6747.53 6.53218
6750.17 6.47206
6751.48 6.43434
6752.14 6.44216
6752.47 6.55036
6752.64 6.77213
6752.80 7.46516
6753.00 9.32484
6753.20 8.33521
6753.33 7.62871
6753.46 7.24690
6753.72 6.89959
6754.23 6.67003
6755.26 6.54149
6757.32 6.45846
6761.44 6.37430
6769.67 6.24724
6786.15 6.02564
6819.10 5.64004
6884.99 5.00625
6950.89 4.47314
6983.83 4.21607
6992.07 4.14629
7000.31 4.06628
7004.43 4.01637
7008.54 3.94854
7010.60 3.89909
7012.66 3.82597
7013.69 3.77415
7014.72 3.71523
7015.24 3.70235
7015.75 3.77747
7016.01 3.94533
7016.27 4.42501
7016.40 4.97704
7016.52 6.03009
7016.65 8.23376
7016.78 13.0378
7016.89 20.7074
7017.00 27.7114
7017.11 25.2386
7017.22 18.6939
7017.29 15.2355
7017.37 12.7458
7017.52 9.71486
7017.66 8.05496
7017.81 7.07189
7018.11 5.99837
7018.40 5.44848
7018.99 4.91025
7019.58 4.65244
7020.76 4.40537
7021.94 4.28512
7024.30 4.16260
7026.66 4.09576
7031.38 4.01466
7036.09 3.95885
7045.53 3.87170
7054.97 3.79665
7092.72 3.52686
7168.21 3.00965
7243.71 2.47479
7319.20 1.89938
7394.70 1.27724
7432.44 0.963071
7470.19 0.686817
7489.06 0.593048
7507.94 0.568400
7526.81 0.682161
7536.25 0.833310
7545.69 1.08949
7555.12 1.50718
7564.56 2.18151
7574.00 3.28088
7583.43 5.12057
7592.87 8.33138
7602.31 14.2725
7607.03 19.1240
7611.74 26.0739
7616.46 36.1629
7621.18 50.7923
7638.00 128.657
7642.21 128.801
7646.41 115.892
7654.82 79.9423
7661.61 57.8294
7668.39 43.1405
7675.18 33.4649
7681.97 26.9252
7695.54 19.0926
7709.12 14.9135
7736.26 11.4071
7763.41 11.3398
7790.56 14.2972
7817.71 22.0282
7831.28 29.0700
7844.85 39.6822
7858.43 55.6985
7872.00 79.6157
7896.50 147.827
7921.00 210.643
7945.50 191.473
7970.00 137.622
7997.48 93.7518
8024.97 67.9851
8052.45 52.4786
8079.93 42.5511
8107.42 35.8106
8134.90 31.0030
8189.86 24.6943
8244.83 20.7920
8299.79 18.1601
8354.76 16.2604
8382.24 15.4703
8389.11 15.2735
8395.98 15.0607
8399.42 14.9368
8402.86 14.7811
8404.57 14.6779
8406.29 14.5443
