29-Cu_n-tot
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
6.504890e+02 1.34836978e+01
6.506420e+02 1.09914851e+01
6.507950e+02 9.67022400e+00
6.509480e+02 8.89038663e+00
6.511010e+02 8.39203816e+00
6.514070e+02 7.81318702e+00
6.517130e+02 7.50011391e+00
6.520180e+02 7.30992846e+00
6.526300e+02 7.09660082e+00
6.532420e+02 6.98258640e+00
6.538530e+02 6.91218610e+00
6.550760e+02 6.82889634e+00
6.562990e+02 6.77931029e+00
6.575230e+02 6.74459028e+00
6.599690e+02 6.69526150e+00
6.648620e+02 6.62770640e+00
6.697540e+02 6.57594637e+00
6.795390e+02 6.49207754e+00
6.893250e+02 6.42248697e+00
7.088950e+02 6.30745542e+00
7.284660e+02 6.21189531e+00
7.500000e+02 6.12371594e+00
7.676070e+02 6.05458830e+00
7.871780e+02 5.98425817e+00
7.920700e+02 5.96597627e+00
7.969630e+02 5.94660076e+00
7.994090e+02 5.93662310e+00
8.006330e+02 5.93203776e+00
8.018560e+02 5.92878805e+00
8.030790e+02 5.93017139e+00
8.036900e+02 5.93594610e+00
8.043020e+02 5.95081300e+00
8.049140e+02 5.98896962e+00
8.052190e+02 6.02911898e+00
8.055250e+02 6.10159492e+00
8.058310e+02 6.24510174e+00
8.059840e+02 6.37235148e+00
8.061370e+02 6.57245766e+00
8.062900e+02 6.90647282e+00
8.064430e+02 7.50724793e+00
8.065950e+02 8.68641543e+00
8.066720e+02 9.69304179e+00
8.067480e+02 1.11496697e+01
8.068740e+02 1.46593852e+01
8.070000e+02 1.73159972e+01
8.071260e+02 1.54201880e+01
8.072520e+02 1.21002346e+01
8.073430e+02 1.03753315e+01
8.074340e+02 9.21325411e+00
8.075260e+02 8.43219216e+00
8.076170e+02 7.89501637e+00
8.077990e+02 7.23476267e+00
8.079810e+02 6.86440651e+00
8.081630e+02 6.63674829e+00
8.083450e+02 6.48683542e+00
8.087090e+02 6.30680513e+00
8.090740e+02 6.20578459e+00
8.094380e+02 6.14268003e+00
8.101660e+02 6.06964727e+00
8.108950e+02 6.02927302e+00
8.116230e+02 6.00372556e+00
8.130800e+02 5.97277993e+00
8.145370e+02 5.95399777e+00
8.159940e+02 5.94071996e+00
8.189080e+02 5.92170168e+00
8.247360e+02 5.89513712e+00
8.305640e+02 5.87386252e+00
8.538750e+02 5.80195901e+00
9.004980e+02 5.67371662e+00
9.471210e+02 5.54968546e+00
9.587760e+02 5.51701194e+00
9.704320e+02 5.48107349e+00
9.762600e+02 5.46017231e+00
9.791740e+02 5.44826957e+00
9.820880e+02 5.43488010e+00
9.850020e+02 5.41972040e+00
9.864590e+02 5.41184320e+00
9.879160e+02 5.40523144e+00
9.886440e+02 5.40368596e+00
9.893730e+02 5.40520969e+00
9.901010e+02 5.41352499e+00
9.908300e+02 5.43795811e+00
9.915580e+02 5.50599135e+00
9.919220e+02 5.58114531e+00
9.922870e+02 5.72178328e+00
9.926510e+02 6.01218044e+00
9.928330e+02 6.27887557e+00
9.930150e+02 6.71187645e+00
9.931970e+02 7.46499342e+00
9.933790e+02 8.89880225e+00
9.934700e+02 1.01224137e+01
9.935610e+02 1.19580441e+01
9.936530e+02 1.47900558e+01
9.937440e+02 1.91636295e+01
9.938080e+02 2.34351659e+01
9.938720e+02 2.84707406e+01
9.940000e+02 3.55652592e+01
9.941290e+02 3.06124637e+01
9.942570e+02 2.18490894e+01
9.943470e+02 1.74045178e+01
9.944360e+02 1.43690168e+01
9.945260e+02 1.23015457e+01
9.946160e+02 1.08630629e+01
9.947950e+02 9.07593012e+00
9.949750e+02 8.06330392e+00
9.951540e+02 7.43647353e+00
9.953340e+02 7.02178739e+00
9.956930e+02 6.52176376e+00
9.960510e+02 6.24069773e+00
9.964100e+02 6.06522271e+00
9.971280e+02 5.86331858e+00
9.978460e+02 5.75328023e+00
9.985640e+02 5.68511220e+00
9.992810e+02 5.63904555e+00
9.999990e+02 5.60588817e+00
1.000000e+03 5.60580902e+00
1.000010e+03 5.60548859e+00
1.000020e+03 5.60517199e+00
1.000030e+03 5.60459085e+00
1.000050e+03 5.60378814e+00
1.000060e+03 5.60338319e+00
1.000090e+03 5.60221673e+00
1.000120e+03 5.60105388e+00
1.000180e+03 5.59896967e+00
1.000250e+03 5.59653689e+00
1.000360e+03 5.59267372e+00
1.000490e+03 5.58810681e+00
1.000710e+03 5.58143187e+00
1.000980e+03 5.57324129e+00
1.001420e+03 5.56259167e+00
1.001960e+03 5.54952028e+00
1.002830e+03 5.53494711e+00
1.003910e+03 5.51685746e+00
1.005650e+03 5.49719677e+00
1.005860e+03 5.49482478e+00
1.007810e+03 5.47843482e+00
1.011310e+03 5.45693221e+00
1.011720e+03 5.45441396e+00
1.015630e+03 5.43637998e+00
1.022610e+03 5.41116827e+00
1.023440e+03 5.40817556e+00
1.031250e+03 5.38473129e+00
1.045230e+03 5.34914433e+00
1.062500e+03 5.30534942e+00
1.090450e+03 5.24171043e+00
1.125000e+03 5.16357558e+00
1.180900e+03 5.04329918e+00
1.250000e+03 4.89497225e+00
1.271340e+03 4.85058022e+00
1.316570e+03 4.75459448e+00
1.327870e+03 4.72946976e+00
1.339180e+03 4.70267392e+00
1.344830e+03 4.68781787e+00
1.347660e+03 4.67963449e+00
1.350480e+03 4.67064497e+00
1.353310e+03 4.66047794e+00
1.354720e+03 4.65493274e+00
1.356140e+03 4.64940392e+00
1.357550e+03 4.64556781e+00
1.358260e+03 4.64627094e+00
1.358960e+03 4.65255388e+00
1.359320e+03 4.66042715e+00
1.359670e+03 4.67480573e+00
1.360020e+03 4.70158293e+00
1.360380e+03 4.75415477e+00
1.360730e+03 4.86826523e+00
1.360910e+03 4.97705947e+00
1.361080e+03 5.15821144e+00
1.361260e+03 5.48796881e+00
1.361440e+03 6.14786128e+00
1.361520e+03 6.74953028e+00
1.361610e+03 7.69183359e+00
1.361700e+03 9.24058620e+00
1.361790e+03 1.18201299e+01
1.361890e+03 1.66647617e+01
1.362000e+03 2.03641684e+01
1.362110e+03 1.77965211e+01
1.362210e+03 1.32296817e+01
1.362290e+03 1.08128324e+01
1.362370e+03 9.19311633e+00
1.362450e+03 8.10982003e+00
1.362520e+03 7.36702657e+00
1.362680e+03 6.45840442e+00
1.362840e+03 5.95308431e+00
1.362990e+03 5.64086575e+00
1.363150e+03 5.43550020e+00
1.363460e+03 5.18992053e+00
1.363770e+03 5.05193641e+00
1.364080e+03 4.96619368e+00
1.364390e+03 4.90833626e+00
1.364700e+03 4.86730444e+00
1.365330e+03 4.81323811e+00
1.365950e+03 4.77957811e+00
1.366570e+03 4.75667550e+00
1.367200e+03 4.74006416e+00
1.368440e+03 4.71735326e+00
1.369690e+03 4.70226017e+00
1.372180e+03 4.68255895e+00
1.374670e+03 4.66928071e+00
1.375000e+03 4.66791590e+00
1.377160e+03 4.65925167e+00
1.382140e+03 4.64345291e+00
1.387130e+03 4.63027551e+00
1.392110e+03 4.61835767e+00
1.402070e+03 4.59631439e+00
1.441940e+03 4.51517240e+00
1.500000e+03 4.40086714e+00
1.521660e+03 4.36864397e+00
1.625000e+03 4.21251192e+00
1.681110e+03 4.19276350e+00
1.687500e+03 4.18979871e+00
1.750000e+03 4.29696362e+00
1.812500e+03 4.75811430e+00
1.840550e+03 5.25117976e+00
1.843750e+03 5.30663850e+00
1.875000e+03 6.32879952e+00
1.906250e+03 8.37680771e+00
1.921880e+03 1.01763120e+01
1.937500e+03 1.29591150e+01
1.953130e+03 1.74878038e+01
1.968750e+03 2.53721481e+01
1.984380e+03 4.03872961e+01
1.992190e+03 5.32022430e+01
2.000000e+03 7.24801564e+01
2.008200e+03 1.04184406e+02
2.016400e+03 1.54792883e+02
2.027200e+03 2.57711391e+02
2.038000e+03 3.40050168e+02
2.048800e+03 2.88222040e+02
2.059600e+03 1.89605639e+02
2.068660e+03 1.31133273e+02
2.077710e+03 9.41506713e+01
2.086760e+03 7.06532184e+01
2.095820e+03 5.51723069e+01
2.113930e+03 3.69770442e+01
2.130000e+03 2.82752218e+01
2.132030e+03 2.71747471e+01
2.150140e+03 2.12815465e+01
2.168250e+03 1.74461117e+01
2.195000e+03 1.40625135e+01
2.204470e+03 1.28579843e+01
2.240690e+03 1.02435670e+01
2.260000e+03 9.34841757e+00
2.276900e+03 8.55199555e+00
2.292500e+03 8.03171365e+00
2.313120e+03 7.32982892e+00
2.325000e+03 7.02016524e+00
2.349340e+03 6.36594466e+00
2.357500e+03 6.19846392e+00
2.390000e+03 5.50724033e+00
2.406250e+03 5.16071074e+00
2.421770e+03 4.84468959e+00
2.422500e+03 4.83218004e+00
2.438750e+03 4.60560979e+00
2.446880e+03 4.53737865e+00
2.455000e+03 4.52810057e+00
2.457990e+03 4.56195301e+00
2.463130e+03 4.62363880e+00
2.471250e+03 4.90195002e+00
2.479380e+03 5.51723769e+00
2.483440e+03 6.04366261e+00
2.487500e+03 6.80439327e+00
2.491560e+03 7.91406520e+00
2.494200e+03 8.98020675e+00
2.495630e+03 9.55710636e+00
2.499690e+03 1.20478204e+01
2.503750e+03 1.59402659e+01
2.507810e+03 2.22645553e+01
2.511880e+03 3.30139447e+01
2.515940e+03 5.21630418e+01
2.520000e+03 8.69516081e+01
2.524500e+03 1.50970364e+02
2.529000e+03 2.03107243e+02
2.530420e+03 1.94348786e+02
2.533500e+03 1.75348137e+02
2.538000e+03 1.20200053e+02
2.542720e+03 8.03328707e+01
2.547440e+03 5.70922958e+01
2.548530e+03 5.38722405e+01
2.552150e+03 4.31744711e+01
2.556870e+03 3.43293120e+01
2.561590e+03 2.83761245e+01
2.566300e+03 2.41703877e+01
2.566640e+03 2.39740177e+01
2.575690e+03 1.87441904e+01
2.575740e+03 1.87153457e+01
2.584750e+03 1.55430429e+01
2.585170e+03 1.53967983e+01
2.593800e+03 1.34037654e+01
2.594610e+03 1.32267080e+01
2.602850e+03 1.21485124e+01
2.607380e+03 1.16603610e+01
2.611910e+03 1.13248029e+01
2.613480e+03 1.13127118e+01
2.616440e+03 1.14595213e+01
2.620960e+03 1.23275152e+01
2.623230e+03 1.32394118e+01
2.625490e+03 1.47424573e+01
2.627750e+03 1.72612057e+01
2.630020e+03 2.16378700e+01
2.632280e+03 2.97299701e+01
2.632340e+03 3.00834125e+01
