49-In_n-tot
> 49-In-113:0.042900
> 49-In-115:0.957100
2.174650e+01 1.00222290e+01
2.179890e+01 8.77669251e+00
2.184870e+01 8.18890362e+00
2.185140e+01 8.16214209e+00
2.190380e+01 7.93547778e+00
2.200870e+01 7.88489325e+00
2.201680e+01 7.89941288e+00
2.210080e+01 8.28820379e+00
2.211360e+01 8.39350851e+00
2.218480e+01 9.04967922e+00
2.221850e+01 9.57794141e+00
2.226890e+01 1.04003220e+01
2.235290e+01 1.28548494e+01
2.242830e+01 1.72812879e+01
2.243690e+01 1.77893520e+01
2.247890e+01 2.23261587e+01
2.252090e+01 2.97892988e+01
2.256300e+01 4.32452892e+01
2.258400e+01 5.43561002e+01
2.260500e+01 7.08503116e+01
2.262600e+01 9.66147064e+01
2.263810e+01 1.21201601e+02
2.264700e+01 1.39287659e+02
2.266800e+01 2.14490628e+02
2.267850e+01 2.72893245e+02
2.268900e+01 3.51350935e+02
2.269930e+01 4.49724949e+02
2.270950e+01 5.62718680e+02
2.273000e+01 7.06742955e+02
2.275050e+01 5.69922505e+02
2.277100e+01 3.60350013e+02
2.278440e+01 2.63841741e+02
2.279770e+01 1.97364411e+02
2.282440e+01 1.19840183e+02
2.284790e+01 8.50520015e+01
2.285120e+01 8.01673027e+01
2.287790e+01 5.77843860e+01
2.290460e+01 4.40779635e+01
2.293130e+01 3.51252654e+01
2.298480e+01 2.45684818e+01
2.303820e+01 1.88284965e+01
2.309160e+01 1.53665048e+01
2.319850e+01 1.15720461e+01
2.326750e+01 1.03248944e+01
2.330540e+01 9.64447625e+00
2.341230e+01 8.53643471e+00
2.347730e+01 8.11146911e+00
2.351910e+01 7.84306148e+00
2.362600e+01 7.38715354e+00
2.368700e+01 7.23178128e+00
2.383980e+01 6.87305587e+00
2.389680e+01 6.80612829e+00
2.405350e+01 6.68533149e+00
2.410660e+01 6.67535865e+00
2.421150e+01 6.71865150e+00
2.426730e+01 6.78437218e+00
2.431640e+01 6.85804878e+00
2.442130e+01 7.16080938e+00
2.448100e+01 7.49912163e+00
2.452620e+01 7.76688273e+00
2.457870e+01 8.28805270e+00
2.463110e+01 9.06658077e+00
2.468360e+01 1.02894746e+01
2.473600e+01 1.23466114e+01
2.476220e+01 1.39364835e+01
2.478850e+01 1.61603736e+01
2.481470e+01 1.93938733e+01
2.484090e+01 2.43169037e+01
2.486710e+01 3.22705188e+01
2.489340e+01 4.60741056e+01
2.490650e+01 5.69227424e+01
2.490850e+01 5.92401020e+01
2.491960e+01 7.21033954e+01
2.493270e+01 9.36288803e+01
2.494580e+01 1.23971602e+02
2.496790e+01 1.95979436e+02
2.499000e+01 2.44870605e+02
2.501210e+01 1.98179716e+02
2.503420e+01 1.26726089e+02
2.504770e+01 9.55106373e+01
2.506120e+01 7.34920879e+01
2.508820e+01 4.70273008e+01
2.511520e+01 3.30519907e+01
2.514220e+01 2.50073483e+01
2.516920e+01 2.00099786e+01
2.519620e+01 1.67138942e+01
2.525020e+01 1.27858584e+01
2.530420e+01 1.06263322e+01
2.533600e+01 9.85242768e+00
2.535820e+01 9.31464133e+00
2.546630e+01 7.86795523e+00
2.557430e+01 7.12186701e+00
2.568230e+01 6.68247519e+00
2.579030e+01 6.39867308e+00
2.589830e+01 6.20258003e+00
2.611430e+01 5.95311793e+00
2.619100e+01 5.90295417e+00
2.633040e+01 5.82073539e+00
2.643840e+01 5.79278352e+00
2.654640e+01 5.81417523e+00
2.660040e+01 5.87419750e+00
2.665440e+01 6.03503477e+00
2.668140e+01 6.21079223e+00
2.670840e+01 6.54280435e+00
2.673540e+01 7.23972387e+00
2.674890e+01 7.87453041e+00
2.676240e+01 8.84152880e+00
2.678120e+01 1.08054299e+01
2.680000e+01 1.21402111e+01
2.681880e+01 1.08625539e+01
2.683760e+01 8.90488447e+00
2.685320e+01 7.80823974e+00
2.686870e+01 7.12523696e+00
2.688430e+01 6.69540839e+00
2.689990e+01 6.41441708e+00
2.693100e+01 6.08642835e+00
2.696210e+01 5.91064883e+00
2.702440e+01 5.73549873e+00
2.704600e+01 5.70598974e+00
2.708670e+01 5.65153253e+00
2.721120e+01 5.56901732e+00
2.733570e+01 5.52442700e+00
2.758480e+01 5.46924772e+00
2.783380e+01 5.43069036e+00
2.790100e+01 5.42281732e+00
2.833190e+01 5.37979583e+00
2.875600e+01 5.34787605e+00
2.883010e+01 5.34434610e+00
2.918350e+01 5.33300529e+00
2.932820e+01 5.34347788e+00
2.939730e+01 5.34956907e+00
2.950410e+01 5.39464455e+00
2.955760e+01 5.45152282e+00
2.961100e+01 5.56727252e+00
2.965550e+01 5.72690559e+00
2.970000e+01 5.83305591e+00
2.974450e+01 5.72430857e+00
2.978900e+01 5.56159993e+00
2.982630e+01 5.47033424e+00
2.982720e+01 5.46815634e+00
2.986540e+01 5.41183752e+00
2.994180e+01 5.35458727e+00
3.001820e+01 5.32879689e+00
3.009460e+01 5.31519997e+00
3.032440e+01 5.30043488e+00
3.040020e+01 5.29921569e+00
3.057350e+01 5.30493434e+00
3.069800e+01 5.32025415e+00
3.076020e+01 5.34319703e+00
3.079140e+01 5.37223246e+00
3.082250e+01 5.44189947e+00
3.086000e+01 5.56930252e+00
3.089750e+01 5.45174485e+00
3.093790e+01 5.38147642e+00
3.097830e+01 5.36494281e+00
3.101150e+01 5.36651750e+00
3.105910e+01 5.36930372e+00
3.122060e+01 5.41982573e+00
3.138220e+01 5.51788877e+00
3.154370e+01 5.70688554e+00
3.162450e+01 5.86908512e+00
3.170530e+01 6.11729491e+00
3.178600e+01 6.52058250e+00
3.186680e+01 7.23218093e+00
3.190720e+01 7.80809147e+00
3.194760e+01 8.64972031e+00
3.198800e+01 9.94374682e+00
3.202840e+01 1.20696086e+01
3.204860e+01 1.36803082e+01
3.206870e+01 1.58948710e+01
3.208890e+01 1.90473536e+01
3.210910e+01 2.37167803e+01
3.212930e+01 3.09875771e+01
3.214950e+01 4.29663487e+01
3.216970e+01 6.39289379e+01
3.218990e+01 1.01759292e+02
3.221000e+01 1.61028925e+02
3.223000e+01 2.01601453e+02
3.223390e+01 1.94202410e+02
3.225010e+01 1.63467988e+02
3.227010e+01 1.04812468e+02
3.229140e+01 6.52650046e+01
3.231260e+01 4.37560073e+01
3.233390e+01 3.16272641e+01
3.235520e+01 2.43206095e+01
3.237650e+01 1.96384483e+01
3.239770e+01 1.64783387e+01
3.244030e+01 1.26291973e+01
