La-139(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
905.103 2.49933
905.132 3.42186
905.161 4.95498
905.190 7.79847
905.205 10.2064
905.219 13.8903
905.234 19.8900
905.248 30.4609
905.263 50.8879
905.270 68.3408
905.277 93.0847
905.289 148.942
905.300 186.183
905.312 148.943
905.323 93.0861
905.330 68.6296
905.337 51.6865
905.351 31.3625
905.365 20.6601
905.379 14.5141
905.393 10.6881
905.407 8.19389
905.435 5.23751
905.463 3.62258
905.491 2.65411
905.547 1.59659
905.604 1.06441
905.660 0.759836
905.772 0.442713
905.884 0.289629
905.996 0.204269
906.221 0.117443
906.669 0.0537704
907.118 0.0310342
908.016 0.0145687
908.913 0.00873666
910.708 0.00452700
912.503 0.00303402
919.683 0.00157468
926.863 0.00134597
934.043 0.00137554
941.223 0.00162926
944.813 0.00191824
948.403 0.00246252
951.993 0.00364393
953.788 0.00482988
955.583 0.00700602
957.378 0.0116839
958.276 0.0163642
959.173 0.0249321
960.071 0.0432818
960.519 0.0615662
960.968 0.0948636
961.417 0.165609
961.641 0.235459
961.866 0.361306
961.978 0.466115
962.090 0.624260
962.202 0.879117
962.314 1.32901
962.370 1.69574
962.427 2.23769
962.483 3.08660
962.539 4.52474
962.595 7.24746
962.623 9.62529
962.651 13.3494
962.679 19.6760
962.693 24.5741
962.707 31.4399
962.721 41.3835
962.735 56.2884
962.749 79.2948
962.763 114.932
962.782 183.761
962.800 229.592
962.819 183.756
962.837 114.927
962.855 71.2869
962.873 46.7055
962.892 32.3294
962.910 23.5374
962.928 17.7935
962.946 13.9033
962.982 9.11339
963.019 6.41459
963.055 4.75237
963.127 2.90235
963.200 1.95279
963.273 1.40250
963.345 1.05565
963.418 0.823403
963.563 0.540754
963.708 0.382168
963.853 0.284409
963.998 0.219970
964.289 0.142889
964.579 0.100353
965.160 0.0574531
965.740 0.0373362
966.321 0.0263228
967.482 0.0152993
968.644 0.0101673
969.805 0.00737154
972.128 0.00458808
974.451 0.00330244
976.773 0.00260874
981.419 0.00193225
990.709 0.00149113
1000.00 0.00138991
1022.20 0.00149916
1044.40 0.00184747
1066.60 0.00247965
1088.81 0.00366121
1099.91 0.00466305
1111.01 0.00619661
1122.11 0.00871492
1133.21 0.0132837
1138.76 0.0171145
1144.31 0.0229356
1149.86 0.0324135
1155.41 0.0494074
1158.19 0.0634908
1160.96 0.0846354
1163.74 0.118500
1166.51 0.177763
1167.90 0.225678
1169.29 0.295857
1170.67 0.404656
1172.06 0.585983
1173.45 0.921431
1174.14 1.20659
1174.84 1.64272
1175.53 2.35526
1176.22 3.61439
1176.57 4.62265
1176.92 6.05836
1177.26 8.13797
1177.61 11.1268
1178.16 17.7871
1178.70 22.2123
1179.25 17.7660
1179.79 11.1065
1180.23 7.47314
1180.67 5.20359
1181.11 3.76796
1181.55 2.83168
1182.43 1.74523
1183.31 1.17456
1184.19 0.841069
1185.08 0.630741
1186.84 0.391500
1188.60 0.266078
1190.36 0.192509
1192.12 0.145739
1193.88 0.114268
1197.41 0.0760871
1200.93 0.0556293
1204.45 0.0494550
1205.33 0.0544278
1206.21 0.0733766
1206.65 0.101712
1207.09 0.182648
1207.31 0.293454
1207.42 0.402120
1207.53 0.596221
1207.64 0.995330
1207.70 1.37538
1207.75 2.03298
1207.81 3.31963
1207.84 4.50749
1207.86 6.37614
1207.89 9.85018
1207.91 12.7340
1207.92 16.6713
1207.93 23.2353
1207.95 34.1965
1207.96 53.7469
1207.97 88.1415
1207.99 142.220
1208.00 176.556
1208.01 142.219
1208.03 88.1419
1208.04 57.6565
1208.05 38.6392
1208.06 27.2195
1208.07 20.0348
1208.10 12.0206
1208.12 8.08381
1208.15 5.71727
1208.17 4.30183
1208.22 2.66318
1208.26 1.81189
1208.31 1.31466
1208.40 0.787391
1208.50 0.526507
1208.59 0.381372
1208.78 0.232009
1209.16 0.120692
1209.53 0.0802417
1210.29 0.0500458
1211.04 0.0385867
1212.55 0.0290240
1214.06 0.0245216
1220.09 0.0163757
1226.12 0.0123325
1232.15 0.00981243
1238.18 0.00823482
1244.21 0.00763515
1247.23 0.00812802
1250.24 0.0105907
1251.75 0.0144661
1253.26 0.0258553
1254.01 0.0418442
1254.76 0.0870572
1255.14 0.149284
1255.33 0.211073
1255.52 0.322118
1255.71 0.556245
1255.80 0.782950
1255.90 1.18428
1255.94 1.51235
1255.99 1.99855
1256.04 2.76304
1256.08 4.06541
1256.13 6.55281
1256.15 8.79880
1256.18 12.2155
1256.20 18.3550
1256.22 29.5934
1256.24 39.7544
1256.25 55.5624
1256.26 81.1588
1256.27 122.195
1256.29 195.985
1256.30 244.222
1256.31 195.984
1256.33 122.195
1256.34 83.9265
1256.35 60.8288
1256.36 44.2405
1256.37 34.1452
1256.39 21.4291
1256.41 14.8307
1256.43 10.6784
1256.45 8.03923
1256.49 5.06499
1256.54 3.44726
1256.58 2.51326
1256.62 1.90095
1256.66 1.49609
1256.74 0.991589
1256.83 0.705483
1256.99 0.409997
1257.16 0.268405
1257.32 0.189811
1257.66 0.110153
1258.32 0.0519961
1258.98 0.0312598
1260.31 0.0162066
1261.64 0.0108169
1264.30 0.00679798
1266.95 0.00525468
1272.26 0.00392875
1277.57 0.00328084
1288.19 0.00254783
1298.82 0.00209733
1320.06 0.00154084
1341.30 0.00121050
1383.79 0.000869540
1405.04 0.000852197
1415.66 0.00109745
1420.97 0.00200338
1423.62 0.00519287
1424.95 0.0171073
