Sn-116(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1926.07 0.172360
1926.35 0.299524
1926.48 0.423294
1926.62 0.643427
1926.76 1.09831
1926.82 1.52739
1926.89 2.26615
1926.96 3.70054
1926.99 4.98472
1927.03 7.06192
1927.06 10.7287
1927.10 18.0425
1927.11 24.6830
1927.13 35.3893
1927.15 53.6061
1927.16 86.8834
1927.18 138.071
1927.20 173.771
1927.22 138.072
1927.24 86.8847
1927.25 53.6073
1927.27 34.5977
1927.29 23.7369
1927.31 17.1443
1927.33 12.9027
1927.34 10.0349
1927.38 6.61230
1927.41 4.62929
1927.45 3.44356
1927.52 2.10179
1927.59 1.41372
1927.66 1.01518
1927.80 0.595760
1927.95 0.391301
1928.09 0.276596
1928.37 0.159257
1928.94 0.0726655
1929.51 0.0416788
1930.65 0.0191696
1931.78 0.0111940
1936.33 0.00342438
1945.43 0.00146409
1954.52 0.00112593
1963.62 0.00106663
1972.71 0.00115044
1981.81 0.00141644
1990.91 0.00209553
2000.00 0.00423912
2004.24 0.00715442
2008.47 0.0154708
2010.59 0.0270526
2011.65 0.0386370
2012.71 0.0598256
2013.77 0.105121
2014.30 0.150202
2014.83 0.231934
2015.36 0.405112
2015.62 0.575345
2015.89 0.879102
2016.02 1.13243
2016.15 1.50970
2016.28 2.11199
2016.41 3.16077
2016.55 5.25648
2016.61 7.16160
2016.68 10.3116
2016.75 16.0579
2016.78 20.8746
2016.81 28.1499
2016.84 39.7912
2016.88 59.7852
2016.91 96.9918
2016.94 171.522
2016.97 275.345
2017.00 342.917
2017.03 275.346
2017.06 171.525
2017.07 126.348
2017.09 93.9667
2017.13 56.6942
2017.16 36.8085
2017.20 25.8397
2017.23 18.9055
2017.27 14.5006
2017.34 9.27601
2017.41 6.39648
2017.48 4.69073
2017.62 2.81824
2017.76 1.87715
2017.90 1.33897
2018.04 1.00284
2018.19 0.779020
2018.47 0.508886
2018.75 0.358320
2019.31 0.205177
2019.88 0.132809
2020.44 0.0929872
2021.57 0.0529380
2023.83 0.0239618
2026.08 0.0137151
2030.59 0.00634167
2035.11 0.00374354
2044.13 0.00187379
2053.16 0.00121269
2071.21 0.000738532
2089.26 0.000587635
2107.31 0.000567180
2125.36 0.000718335
2143.41 0.00179179
2152.43 0.00619162
2154.69 0.0107394
2156.94 0.0236418
2158.07 0.0415325
2159.20 0.0918745
2159.76 0.160974
2160.05 0.229243
2160.33 0.352399
2160.61 0.609933
2160.75 0.859833
2160.89 1.30155
2160.96 1.66515
2161.03 2.19557
2161.10 3.04020
2161.17 4.45428
2161.24 7.18327
2161.28 9.54093
2161.31 13.2522
2161.35 19.7885
2161.39 31.8242
2161.40 42.4456
2161.42 57.6059
2161.44 82.6954
2161.46 119.840
2161.48 193.455
2161.50 239.700
2161.52 190.045
2161.55 119.841
2161.56 82.6965
2161.58 59.8521
2161.59 44.6864
2161.61 34.3603
2161.64 21.8730
2161.67 15.0257
2161.71 10.9163
2161.74 8.27283
2161.80 5.20627
2161.87 3.56958
2161.93 2.59685
2161.99 1.97285
2162.06 1.54909
2162.19 1.02434
2162.32 0.728855
2162.57 0.422751
2162.83 0.275246
2163.08 0.193631
2163.60 0.110763
2164.62 0.0501397
2165.65 0.0285469
2167.70 0.0129472
2169.75 0.00743751
2177.95 0.00208300
2194.35 0.000732040
2227.15 0.000428253
2259.96 0.000665436
