Cl-35(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
0.974132 6.95352
0.997853 6.86859
1.02443 6.77708
1.05416 6.67879
1.06902 6.63086
1.11646 6.48507
1.16390 6.34822
1.21134 6.21943
1.25878 6.09793
1.33090 5.92645
1.39349 5.78963
1.44855 5.67268
1.54343 5.48984
1.65466 5.29660
1.75874 5.13184
1.89157 4.94122
2.11273 4.66316
2.32459 4.43645
2.50672 4.26333
2.72784 4.07783
2.88678 3.95628
3.13539 3.78679
3.37949 3.63761
3.71808 3.45527
3.97454 3.33470
4.21665 3.22673
4.64918 3.05948
5.01345 2.93440
5.45568 2.80004
5.77356 2.71208
6.27078 2.58898
6.75898 2.48051
7.30421 2.37213
7.69447 2.30211
8.43330 2.18159
9.13409 2.08036
10.0269 1.96778
10.6522 1.89608
11.5471 1.80476
12.1704 1.74617
13.2372 1.65661
14.3409 1.57338
15.3889 1.50280
16.7247 1.42188
18.2429 1.34081
20.0538 1.25651
21.2944 1.20400
23.0942 1.13625
24.3154 1.09388
26.4745 1.02713
28.1399 0.980465
29.7447 0.939144
31.7963 0.891071
33.7332 0.849614
36.2077 0.801254
38.7170 0.757570
41.4123 0.714707
43.6454 0.682614
45.4363 0.658733
48.5705 0.619721
51.8610 0.582881
55.3496 0.547767
59.4893 0.510638
62.3268 0.487182
65.8154 0.460869
69.3006 0.436903
72.7608 0.414948
77.0204 0.390068
81.3779 0.367076
85.7354 0.346129
90.8725 0.323836
95.0698 0.307115
98.8079 0.293253
103.629 0.276880
108.144 0.262740
112.559 0.249928
116.867 0.238329
121.060 0.227794
124.019 0.220712
128.065 0.211625
134.933 0.197516
138.601 0.190434
145.522 0.178222
151.889 0.167940
159.190 0.157189
165.649 0.148556
170.707 0.142232
178.366 0.133457
185.128 0.126309
190.315 0.121227
195.399 0.116537
203.232 0.109829
211.796 0.103158
217.394 0.0991009
225.119 0.0939264
233.735 0.0886364
242.120 0.0839155
250.075 0.0798128
258.687 0.0757565
269.995 0.0709806
279.540 0.0674094
287.840 0.0646367
298.215 0.0616138
306.515 0.0595753
314.815 0.0579230
321.040 0.0569864
327.265 0.0563728
332.972 0.0561717
338.159 0.0563833
342.828 0.0570024
345.940 0.0577106
349.164 0.0587669
352.165 0.0601189
354.240 0.0613170
356.733 0.0631190
358.390 0.0645591
360.465 0.0667301
362.540 0.0693847
363.578 0.0709305
364.615 0.0726464
365.653 0.0745545
366.690 0.0766809
367.728 0.0790559
368.765 0.0817156
369.803 0.0847029
370.840 0.0880689
371.878 0.0918754
372.915 0.0961972
373.953 0.101126
374.990 0.106774
375.509 0.109910
376.028 0.113282
376.547 0.116911
377.065 0.120825
377.584 0.125053
378.103 0.129629
378.622 0.134589
379.140 0.139979
379.659 0.145847
380.279 0.153622
380.697 0.159257
381.215 0.166940
381.734 0.175391
382.253 0.184712
382.772 0.195025
383.290 0.206476
383.809 0.219235
384.328 0.233508
384.847 0.249540
385.106 0.258307
385.365 0.267631
385.625 0.277559
385.884 0.288146
386.144 0.299449
386.403 0.311534
386.662 0.324476
386.922 0.338355
387.181 0.353265
387.440 0.369310
387.700 0.386607
387.959 0.405288
388.219 0.425507
388.478 0.447433
388.737 0.471266
388.997 0.497231
389.256 0.525590
389.515 0.556643
389.775 0.590744
390.034 0.628302
390.294 0.669799
390.553 0.715803
390.760 0.756301
390.916 0.789090
391.072 0.824163
391.175 0.848919
391.383 0.902051
391.590 0.960546
391.798 1.02515
392.005 1.09674
392.213 1.17635
392.317 1.21954
392.420 1.26523
392.524 1.31359
392.628 1.36486
392.732 1.41925
392.835 1.47704
392.939 1.53851
393.043 1.60397
393.147 1.67378
393.250 1.74832
393.354 1.82804
393.458 1.91343
393.562 2.00502
393.665 2.10344
393.769 2.20937
393.873 2.32358
393.977 2.44698
394.080 2.58055
394.184 2.72543
394.288 2.88294
394.392 3.05457
394.495 3.24204
394.599 3.44735
394.703 3.67280
394.807 3.92110
394.910 4.19540
395.014 4.49941
395.118 4.83752
395.170 5.02096
395.222 5.21496
395.274 5.42034
395.325 5.63797
395.377 5.86886
395.429 6.11406
395.512 6.53920
395.595 7.00964
395.678 7.53190
395.740 7.96220
395.803 8.42975
395.865 8.93885
395.927 9.49443
395.989 10.1022
396.052 10.7686
396.114 11.5012
396.176 12.3088
396.238 13.2014
396.301 14.1910
396.363 15.2913
396.425 16.5188
396.467 17.4169
396.508 18.3865
396.550 19.4347
396.591 20.5697
396.633 21.8006
396.674 23.1376
396.716 24.5921
396.757 26.1768
396.799 27.9061
396.840 29.7960
396.882 31.8641
396.923 34.1302
396.965 36.6161
397.006 39.3456
397.048 42.3445
397.089 45.6402
397.131 49.2614
397.172 53.2372
397.214 57.5951
397.255 62.3596
397.297 67.5485
397.338 73.1687
397.380 79.2100
397.421 85.6382
397.483 95.8476
397.587 113.199
397.639 121.118
397.681 126.567
397.712 129.928
397.743 132.531
397.774 134.273
397.807 135.101
397.815 135.137
397.847 134.656
397.867 133.805
397.888 132.548
397.909 130.908
397.930 128.913
397.950 126.598
397.992 121.157
398.033 114.902
398.106 102.912
398.189 89.0448
398.230 82.4491
398.272 76.2106
398.313 70.3789
398.355 64.9754
398.396 60.0009
398.438 55.4424
398.479 51.2787
398.521 47.4833
398.562 44.0277
398.604 40.8830
398.645 38.0210
398.687 35.4153
398.728 33.0409
398.770 30.8750
398.811 28.8971
398.853 27.0883
398.894 25.4318
398.936 23.9126
398.977 22.5171
399.019 21.2332
399.060 20.0502
399.102 18.9584
399.143 17.9492
399.185 17.0150
399.226 16.1489
399.268 15.3447
399.309 14.5970
399.351 13.9008
399.392 13.2516
399.434 12.6455
399.475 12.0789
399.517 11.5485
399.558 11.0514
399.600 10.5850
399.641 10.1468
399.683 9.73473
399.724 9.34675
399.766 8.98108
399.807 8.63607
399.849 8.31024
399.890 8.00222
399.953 7.57089
400.036 7.04732
400.119 6.57564
400.207 6.12407
400.254 5.90344
400.305 5.67188
400.357 5.45359
400.435 5.14891
400.513 4.86895
400.617 4.52971
400.720 4.22464
400.824 3.94935
400.928 3.70011
401.032 3.47377
401.135 3.26763
401.239 3.07936
401.343 2.90698
401.447 2.74876
401.550 2.60319
401.654 2.46898
401.758 2.34497
401.862 2.23016
401.965 2.12367
402.069 2.02471
402.173 1.93260
402.277 1.84672
402.380 1.76653
402.484 1.69152
402.588 1.62128
402.692 1.55539
402.795 1.49352
402.899 1.43534
403.003 1.38056
403.107 1.32893
403.210 1.28021
403.314 1.23419
403.418 1.19066
403.625 1.11042
403.833 1.03824
404.040 0.973079
404.248 0.914057
404.404 0.873365
404.559 0.835429
404.689 0.805746
404.819 0.777682
405.078 0.725956
405.337 0.679443
405.597 0.637465
405.856 0.599451
406.115 0.564917
406.375 0.533451
406.634 0.504700
406.894 0.478359
407.153 0.454167
407.412 0.431895
407.672 0.411346
407.931 0.392345
408.190 0.374741
408.450 0.358400
408.709 0.343204
408.969 0.329048
409.228 0.315838
409.487 0.303492
409.747 0.291937
410.006 0.281105
410.265 0.270937
410.525 0.261381
410.784 0.252387
411.303 0.235918
411.822 0.221229
412.340 0.208070
412.859 0.196236
413.378 0.185552
413.897 0.175875
414.515 0.165537
414.934 0.159062
415.453 0.151732
415.972 0.145012
416.490 0.138836
417.009 0.133146
417.528 0.127891
418.047 0.123029
418.565 0.118519
419.084 0.114329
419.603 0.110429
420.122 0.106791
420.640 0.103392
421.678 0.0972315
422.715 0.0918043
423.753 0.0869961
424.790 0.0827139
425.828 0.0788817
426.865 0.0754365
427.903 0.0723264
428.940 0.0695075
429.978 0.0669432
431.015 0.0646024
432.574 0.0614684
434.128 0.0586742
435.165 0.0569976
437.240 0.0540019
439.315 0.0514063
441.458 0.0490702
443.465 0.0471376
445.540 0.0453621
448.653 0.0430426
451.247 0.0413663
454.359 0.0396018
457.472 0.0380564
460.584 0.0366892
464.215 0.0352773
468.365 0.0338590
472.515 0.0326082
478.740 0.0309774
484.965 0.0295740
492.446 0.0281156
499.490 0.0269119
508.741 0.0255296
515.987 0.0245620
524.507 0.0235346
534.869 0.0224104
546.852 0.0212477
558.161 0.0202591
574.190 0.0190027
589.753 0.0179148
607.555 0.0168007
624.924 0.0158217
645.700 0.0147709
667.565 0.0137826
681.419 0.0132111
698.327 0.0125640
718.610 0.0118457
739.016 0.0111888
760.559 0.0105551
779.667 0.0100364
802.659 0.00946449
829.030 0.00886888
854.315 0.00834710
882.916 0.00781609
911.378 0.00733315
934.939 0.00697059
965.847 0.00653205
984.892 0.00628386
1020.32 0.00585882
