24-Cr_n-g
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.482270e+04 3.09598083e-01
1.482280e+04 2.43687138e-01
1.482290e+04 1.55131328e-01
1.482300e+04 9.08867791e-02
1.482320e+04 5.90706239e-02
1.482340e+04 2.93555558e-02
1.482400e+04 1.18784199e-02
1.482510e+04 4.69305581e-03
1.482720e+04 2.32248029e-03
1.482920e+04 2.00311786e-03
1.483150e+04 1.63752202e-03
1.484000e+04 1.45140322e-03
1.485720e+04 1.39810312e-03
1.489150e+04 1.37460793e-03
1.496000e+04 1.34973196e-03
1.500050e+04 1.33725980e-03
1.509710e+04 1.31738064e-03
1.534310e+04 1.27105605e-03
1.537130e+04 1.26641277e-03
1.568570e+04 1.21686365e-03
1.585700e+04 1.19194795e-03
1.591960e+04 1.18421082e-03
1.594270e+04 1.18141188e-03
1.598550e+04 1.18228054e-03
1.600690e+04 1.20631644e-03
1.601760e+04 1.31040028e-03
1.602300e+04 1.71198105e-03
1.602430e+04 2.11005179e-03
1.602570e+04 3.18046601e-03
1.602630e+04 4.56605237e-03
1.602700e+04 8.07358270e-03
1.602740e+04 1.23687007e-02
1.602770e+04 2.18008497e-02
1.602790e+04 3.19651779e-02
1.602800e+04 4.98555600e-02
1.602810e+04 6.71359411e-02
1.602820e+04 9.06059190e-02
1.602830e+04 1.58912355e-01
1.602850e+04 3.00065703e-01
1.602860e+04 3.81964116e-01
1.602870e+04 3.00747797e-01
1.602880e+04 1.91561298e-01
1.602890e+04 1.11588542e-01
1.602900e+04 7.22782818e-02
1.602910e+04 4.99471617e-02
1.602920e+04 3.64165497e-02
1.602940e+04 2.18276203e-02
1.602970e+04 1.46515133e-02
1.603010e+04 8.16732942e-03
1.603050e+04 5.43239607e-03
1.603140e+04 3.20885710e-03
1.603230e+04 2.36543492e-03
1.603410e+04 1.72063699e-03
1.603590e+04 1.48417119e-03
1.604290e+04 1.24727369e-03
1.605710e+04 1.18415144e-03
1.608540e+04 1.16473942e-03
1.614200e+04 1.15319774e-03
1.625510e+04 1.13727756e-03
1.647260e+04 1.10942028e-03
1.648150e+04 1.10845912e-03
1.693420e+04 1.06451677e-03
1.701630e+04 1.05863489e-03
1.701810e+04 1.05850776e-03
1.755140e+04 1.02405441e-03
1.783970e+04 1.01403510e-03
1.809080e+04 1.01817907e-03
1.811300e+04 1.02049235e-03
1.818780e+04 1.02836830e-03
1.822560e+04 1.03247201e-03
1.829240e+04 1.05348376e-03
1.836040e+04 1.08301683e-03
1.842790e+04 1.15004142e-03
1.846160e+04 1.21277371e-03
1.849530e+04 1.32365430e-03
1.852900e+04 1.55444418e-03
1.854590e+04 1.78025166e-03
1.856270e+04 2.18512275e-03
1.857110e+04 2.52148340e-03
1.857960e+04 3.02823924e-03
1.858800e+04 3.84364093e-03
1.859640e+04 5.27837642e-03
1.860060e+04 6.44873884e-03
1.860490e+04 8.17189070e-03
1.860910e+04 1.08727078e-02
1.861330e+04 1.54256431e-02
1.861750e+04 2.40339378e-02
1.861960e+04 3.15105969e-02
1.862170e+04 4.31512415e-02
1.862380e+04 6.28180069e-02
1.862590e+04 9.89725176e-02
1.862700e+04 1.29558291e-01
1.862800e+04 1.74603486e-01
1.862910e+04 2.43286166e-01
1.863010e+04 3.48221267e-01
1.863160e+04 5.57645605e-01
1.863300e+04 6.96235293e-01
1.863440e+04 5.56359836e-01
1.863590e+04 3.48449702e-01
1.863700e+04 2.36334689e-01
1.863810e+04 1.66108937e-01
1.863930e+04 1.21337765e-01
1.864040e+04 9.18350630e-02
1.864270e+04 5.72544649e-02
1.864490e+04 3.90292056e-02
1.864720e+04 2.82944232e-02
1.864950e+04 2.15314885e-02
1.865400e+04 1.38009816e-02
1.865850e+04 9.72582930e-03
1.866140e+04 8.18078179e-03
1.866300e+04 7.32834667e-03
1.866760e+04 5.80145911e-03
1.867210e+04 4.77203964e-03
1.868120e+04 3.50858292e-03
1.869020e+04 2.79528662e-03
1.869930e+04 2.35352975e-03
1.870830e+04 2.06136811e-03
1.872640e+04 1.71164268e-03
