48-Cd_n-g
> 48-Cd-106:0.014972
> 48-Cd-108:0.010660
> 48-Cd-110:0.149599
> 48-Cd-111:0.153312
> 48-Cd-112:0.289017
> 48-Cd-113:0.146365
> 48-Cd-114:0.146365
> 48-Cd-116:0.089711
5.637180e+01 2.78889480e+00
5.637630e+01 3.02887095e+00
5.638880e+01 4.03665158e+00
5.640180e+01 5.56874067e+00
5.640670e+01 6.14622322e+00
5.642460e+01 7.53447253e+00
5.642920e+01 7.14872004e+00
5.644250e+01 6.05422811e+00
5.646040e+01 3.86164594e+00
5.648170e+01 2.26012489e+00
5.648650e+01 2.07376452e+00
5.650290e+01 1.44849885e+00
5.652420e+01 1.00951720e+00
5.654380e+01 7.67657396e-01
5.654540e+01 7.48465994e-01
5.656670e+01 5.86065573e-01
5.658800e+01 4.75148983e-01
5.660120e+01 4.31416643e-01
5.663050e+01 3.39773965e-01
5.665850e+01 2.87676318e-01
5.667300e+01 2.62759984e-01
5.671550e+01 2.15449457e-01
5.677320e+01 1.75374794e-01
5.680060e+01 1.58867941e-01
5.688560e+01 1.28801142e-01
5.688790e+01 1.28236702e-01
5.697060e+01 1.11499012e-01
5.700250e+01 1.06783876e-01
5.705570e+01 1.00485014e-01
5.711650e+01 9.51248300e-02
5.714070e+01 9.29989079e-02
5.723190e+01 8.71795339e-02
5.731080e+01 8.38245333e-02
5.748090e+01 7.93475003e-02
5.769050e+01 7.59362497e-02
5.782100e+01 7.50088169e-02
5.783120e+01 7.49924060e-02
5.814920e+01 7.45207756e-02
5.816120e+01 7.45630099e-02
5.837220e+01 7.57736161e-02
5.850130e+01 7.68551823e-02
5.854600e+01 7.72901545e-02
5.906660e+01 8.23958678e-02
5.918160e+01 8.41965659e-02
5.941870e+01 8.81169282e-02
5.976250e+01 9.49843870e-02
5.985780e+01 9.69101959e-02
5.997540e+01 9.93527095e-02
5.998390e+01 9.95296722e-02
6.046530e+01 1.15296737e-01
6.054220e+01 1.18308919e-01
6.090130e+01 1.32491154e-01
6.135990e+01 1.60479122e-01
6.151180e+01 1.75086122e-01
6.181860e+01 2.08725396e-01
6.190290e+01 2.22432237e-01
6.204790e+01 2.46028921e-01
6.227730e+01 2.98969173e-01
6.250000e+01 3.78237838e-01
6.250660e+01 3.80587074e-01
6.255830e+01 4.12253161e-01
6.273600e+01 5.24741029e-01
6.283430e+01 6.24489444e-01
6.285060e+01 6.41029916e-01
6.296530e+01 8.12559484e-01
6.308000e+01 1.08339320e+00
6.308160e+01 1.08993681e+00
6.319460e+01 1.55510146e+00
6.330930e+01 2.48369283e+00
6.336660e+01 3.33253257e+00
6.342400e+01 4.74025966e+00
6.348130e+01 7.32576207e+00
6.351000e+01 9.50984977e+00
6.353860e+01 1.28345361e+01
6.356730e+01 1.82175883e+01
6.358160e+01 2.22200344e+01
6.359600e+01 2.76142715e+01
6.360480e+01 3.21947866e+01
6.361030e+01 3.50578820e+01
6.362460e+01 4.55397322e+01
6.363900e+01 6.05318276e+01
6.365330e+01 8.18613612e+01
6.366500e+01 1.04706901e+02
6.367670e+01 1.30777882e+02
6.370000e+01 1.63344706e+02
6.371170e+01 1.53740284e+02
6.372340e+01 1.30733234e+02
6.374670e+01 8.18112901e+01
6.376400e+01 5.69118758e+01
6.378130e+01 4.07038981e+01
6.379860e+01 3.01204282e+01
6.381590e+01 2.30159041e+01
6.385050e+01 1.45565642e+01
6.388510e+01 9.99448068e+00
6.391970e+01 7.28727874e+00
6.395430e+01 5.56149692e+00
6.402350e+01 3.57866048e+00
6.409270e+01 2.53239798e+00
6.412810e+01 2.21781887e+00
6.416190e+01 1.92097878e+00
6.423120e+01 1.53835450e+00
6.430040e+01 1.28447435e+00
6.443880e+01 9.85226868e-01
6.457720e+01 8.29623295e-01
6.464370e+01 7.89105689e-01
6.465140e+01 7.84418486e-01
6.471560e+01 7.55480999e-01
6.478670e+01 7.43638185e-01
6.485400e+01 7.32506730e-01
6.491300e+01 7.35912284e-01
6.513080e+01 7.93043139e-01
6.517460e+01 8.11079862e-01
6.540770e+01 9.95164013e-01
6.543630e+01 1.01981557e+00
6.568450e+01 1.42863135e+00
6.569320e+01 1.44330234e+00
6.569790e+01 1.45122808e+00
6.582870e+01 1.82579505e+00
6.586400e+01 1.98006914e+00
6.595950e+01 2.39755363e+00
6.596130e+01 2.41036972e+00
6.609030e+01 3.33276871e+00
6.622110e+01 4.99884589e+00
6.628660e+01 6.36815098e+00
6.631930e+01 7.28020377e+00
6.635200e+01 8.40708264e+00
6.636830e+01 9.07332723e+00
6.638470e+01 9.82263133e+00
6.639290e+01 1.02332659e+01
6.640100e+01 1.06699159e+01
6.640920e+01 1.11359840e+01
6.641740e+01 1.16329190e+01
6.643370e+01 1.27336134e+01
6.645010e+01 1.39995058e+01
6.646640e+01 1.54651416e+01
6.648280e+01 1.71746746e+01
6.649910e+01 1.91863784e+01
6.651500e+01 2.14994996e+01
6.651550e+01 2.15722493e+01
6.653180e+01 2.44326016e+01
6.654820e+01 2.79004362e+01
6.656450e+01 3.21619702e+01
6.658090e+01 3.74691645e+01
6.659720e+01 4.41931203e+01
6.661360e+01 5.28783412e+01
6.663000e+01 6.43592202e+01
6.664630e+01 7.99207271e+01
6.666270e+01 1.01691755e+02
6.667900e+01 1.33293108e+02
6.669540e+01 1.81197888e+02
6.671170e+01 2.57473700e+02
6.672810e+01 3.84924821e+02
6.674440e+01 6.01941337e+02
6.676220e+01 9.62315863e+02
6.678000e+01 1.20224848e+03
6.679780e+01 9.62138895e+02
6.681560e+01 6.01682778e+02
6.683080e+01 3.96044257e+02
6.684610e+01 2.70843403e+02
6.686130e+01 1.93665557e+02
6.687660e+01 1.44114233e+02
6.690700e+01 8.77114864e+01
6.693750e+01 5.85604065e+01
6.696800e+01 4.17321294e+01
6.699850e+01 3.11960338e+01
6.705940e+01 1.92894005e+01
6.706860e+01 1.83541919e+01
6.708430e+01 1.67584304e+01
6.712040e+01 1.30893087e+01
6.718140e+01 9.46376573e+00
6.724230e+01 7.16428927e+00
6.730330e+01 5.61608235e+00
6.734530e+01 4.96483303e+00
6.742520e+01 3.72591345e+00
6.754710e+01 2.66065546e+00
6.766900e+01 2.00188494e+00
6.769450e+01 1.91079343e+00
6.779090e+01 1.56688917e+00
6.799950e+01 1.12162898e+00
6.803480e+01 1.04654958e+00
6.817590e+01 8.81136713e-01
6.827860e+01 7.61432181e-01
6.830460e+01 7.43103787e-01
6.852240e+01 5.93576732e-01
6.860970e+01 5.55386868e-01
6.876220e+01 4.93658873e-01
6.876620e+01 4.92242400e-01
6.891480e+01 4.68177213e-01
6.906730e+01 4.61276827e-01
6.914360e+01 4.72697848e-01
6.921980e+01 5.05651410e-01
6.925390e+01 5.40438217e-01
6.928320e+01 5.74036968e-01
6.929610e+01 5.88866998e-01
6.933420e+01 6.66415746e-01
6.937240e+01 7.86593000e-01
6.941050e+01 9.82739137e-01
6.944860e+01 1.32439041e+00
6.948680e+01 1.96675830e+00
6.952490e+01 3.23553800e+00
6.955750e+01 5.00508611e+00
6.959000e+01 6.18245201e+00
6.962260e+01 4.99302156e+00
6.965510e+01 3.21306466e+00
6.968730e+01 2.08092617e+00
6.971560e+01 1.51656352e+00
6.971940e+01 1.44079008e+00
6.974160e+01 1.18362761e+00
6.975160e+01 1.06839180e+00
6.978370e+01 8.39754285e-01
6.981590e+01 6.90448188e-01
6.984800e+01 5.88030721e-01
6.991230e+01 4.60270458e-01
6.997670e+01 3.85875198e-01
7.004100e+01 3.37898688e-01
7.016960e+01 2.79460447e-01
7.022920e+01 2.62982283e-01
7.029820e+01 2.46139497e-01
7.039050e+01 2.30883393e-01
7.042680e+01 2.24966415e-01
7.068410e+01 1.96256234e-01
7.071690e+01 1.93554974e-01
7.094130e+01 1.80636754e-01
7.119850e+01 1.68972281e-01
7.169220e+01 1.50353309e-01
7.171300e+01 1.49906800e-01
7.218000e+01 1.42256086e-01
7.260510e+01 1.36264741e-01
7.266750e+01 1.35547230e-01
7.274200e+01 1.35265936e-01
7.364280e+01 1.33644874e-01
7.377090e+01 1.33948106e-01
7.461820e+01 1.36704216e-01
7.464440e+01 1.36876312e-01
7.481970e+01 1.38773077e-01
7.500000e+01 1.41504929e-01
7.582880e+01 1.54064082e-01
7.656880e+01 1.65844254e-01
7.703430e+01 1.74528198e-01
7.710890e+01 1.76423358e-01
7.712880e+01 1.77106024e-01
7.788670e+01 2.03107762e-01
7.814160e+01 2.12184653e-01
7.823020e+01 2.16185409e-01
7.851940e+01 2.29263808e-01
7.924890e+01 2.64053155e-01
7.949480e+01 2.80689282e-01
7.957330e+01 2.86334721e-01
7.994460e+01 3.18048657e-01
8.035620e+01 3.54123316e-01
8.047010e+01 3.67719924e-01
8.080560e+01 4.10779301e-01
8.090990e+01 4.25396172e-01
8.095770e+01 4.33962499e-01
8.097360e+01 4.36994458e-01
8.118670e+01 4.78392829e-01
8.120160e+01 4.82524926e-01
8.132510e+01 5.18783934e-01
8.139430e+01 5.54774932e-01
8.142170e+01 5.90968135e-01
8.144540e+01 6.22466807e-01
8.146350e+01 6.47154856e-01
8.152000e+01 7.76761848e-01
8.157650e+01 6.79383329e-01
8.162750e+01 6.29965561e-01
8.167850e+01 6.21827067e-01
8.168920e+01 6.23580054e-01
8.172970e+01 6.32509416e-01
8.178050e+01 6.43953789e-01
8.181110e+01 6.55309086e-01
8.188380e+01 6.88266124e-01
8.193310e+01 7.10793354e-01
8.198450e+01 7.43628221e-01
8.200250e+01 7.57061735e-01
8.203780e+01 7.83717399e-01
8.205500e+01 7.96772261e-01
8.211590e+01 8.61186531e-01
8.217690e+01 9.51784827e-01
8.219180e+01 9.87454181e-01
8.223780e+01 1.09776827e+00
8.226830e+01 1.21303500e+00
8.229880e+01 1.38323512e+00
8.232930e+01 1.65477605e+00
8.234580e+01 1.91242025e+00
8.235980e+01 2.13109098e+00
8.239020e+01 3.06561898e+00
8.239240e+01 3.18221688e+00
8.240550e+01 3.87891664e+00
8.242070e+01 5.07291280e+00
8.244340e+01 7.60819957e+00
8.246600e+01 9.30646763e+00
