I-127(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
139.665 1498.87
139.710 1871.41
139.756 1498.22
139.801 937.565
139.848 570.454
139.894 367.996
139.941 252.267
139.988 182.230
140.034 137.091
140.081 106.645
140.174 69.5466
140.267 48.7736
140.361 36.0456
140.547 21.9547
140.734 14.7515
140.920 10.5924
141.107 7.97666
141.293 6.22637
141.666 4.10393
142.039 2.91710
142.413 2.18801
142.786 1.70990
143.532 1.14774
144.278 0.864028
144.651 0.799337
145.024 0.826093
145.211 0.933622
145.397 1.26257
145.490 1.67916
145.537 2.04864
145.584 2.63522
145.630 3.63974
145.677 5.52926
145.700 7.14060
145.723 9.57474
145.747 13.3672
145.770 19.3008
145.800 30.4877
145.830 37.9048
145.860 30.4737
145.890 19.2775
145.921 11.9409
145.951 7.88286
145.982 5.55889
146.013 4.14465
146.074 2.61216
146.135 1.85608
146.196 1.42931
146.258 1.16566
146.380 0.867939
146.625 0.615015
146.870 0.506180
147.360 0.404624
147.850 0.352389
149.810 0.262183
151.770 0.241659
152.750 0.276447
152.995 0.313644
153.240 0.409520
153.363 0.526095
153.485 0.794960
153.546 1.08303
153.608 1.64288
153.638 2.13974
153.669 2.91666
153.699 4.18805
153.730 6.29848
153.765 9.93902
153.800 12.3648
153.835 9.94153
153.870 6.30186
153.899 4.28854
153.928 3.04195
153.956 2.25751
153.985 1.74909
154.043 1.16170
154.100 0.854885
154.215 0.563897
154.330 0.436604
154.560 0.332051
154.789 0.292308
155.709 0.259892
157.547 0.290250
159.386 0.368039
161.224 0.521146
162.143 0.652624
163.063 0.854461
163.982 1.18592
164.901 1.78559
165.361 2.28657
165.820 3.04476
166.280 4.27227
166.740 6.45465
166.969 8.24785
167.199 10.9170
167.429 15.1419
167.659 22.4093
167.774 28.1823
167.889 36.5030
168.004 49.1051
168.118 69.4628
168.233 105.327
168.291 134.361
168.348 176.608
168.406 241.121
168.463 344.431
168.521 519.112
168.578 819.639
168.639 1308.51
168.700 1632.95
168.761 1307.66
168.822 818.746
168.864 585.692
168.905 428.579
168.947 322.360
168.988 249.365
169.071 159.951
169.154 110.398
169.238 80.4609
169.321 61.1179
169.487 38.5990
169.653 26.5287
169.819 19.3445
169.985 14.7276
170.151 11.5925
170.484 7.73127
170.816 5.54019
171.148 4.18399
171.481 3.29311
172.145 2.26543
172.810 1.83780
173.142 1.86936
173.474 2.33530
173.641 3.06946
173.724 3.78175
173.807 4.99880
173.890 7.30025
173.931 9.28980
173.973 12.3693
174.015 17.4889
174.056 26.7160
174.098 45.2097
174.118 61.4882
174.139 85.4480
174.170 135.905
174.200 169.428
174.231 135.864
174.261 85.3836
174.291 53.0058
174.322 34.8491
174.352 24.3384
174.382 17.8938
174.443 10.8729
174.504 7.38578
174.564 5.41895
174.625 4.20423
174.746 2.84334
174.867 2.13447
174.988 1.71598
175.231 1.25913
175.716 0.878899
176.201 0.721935
176.685 0.657508
177.170 0.693085
177.413 0.804252
177.534 0.923628
177.655 1.13962
177.776 1.57308
177.837 1.96812
177.898 2.61480
177.958 3.77169
178.019 6.12047
178.049 8.29013
178.079 11.8483
178.110 18.0368
178.140 29.1074
178.170 46.1387
178.200 57.4141
178.230 46.1269
178.260 29.0895
178.293 17.2297
178.327 10.9757
178.360 7.51656
178.393 5.47387
178.426 4.17782
178.460 3.31473
178.526 2.27345
178.593 1.69669
178.659 1.34479
178.792 0.954998
178.925 0.754217
179.058 0.636328
179.324 0.508246
179.856 0.401321
180.388 0.354718
182.516 0.297470
184.644 0.309457
186.772 0.379685
188.899 0.562683
189.963 0.752337
191.027 1.09996
191.559 1.39209
192.091 1.83599
192.623 2.55775
193.155 3.84809
193.421 4.91405
193.687 6.51033
193.953 9.05685
194.219 13.4854
194.352 17.0448
194.485 22.2324
194.618 30.2076
194.751 43.3652
194.884 67.2891
194.951 87.2753
195.017 117.361
195.084 165.274
195.150 246.997
195.217 397.474
195.250 519.077
195.283 687.604
195.342 1101.59
195.400 1377.97
195.459 1100.95
195.517 686.959
195.552 510.405
195.587 385.791
195.657 235.331
195.727 155.479
195.797 109.500
195.867 80.9181
195.937 62.1171
196.077 39.7812
196.218 27.5982
196.358 20.2554
196.638 12.2471
196.918 8.21536
197.198 5.90935
197.478 4.47063
197.759 3.51520
198.319 2.36914
198.879 1.74158
199.440 1.36980
200.000 1.14167
200.788 0.967828
201.577 0.914422
202.365 0.974660
203.154 1.19919
203.942 1.77456
204.336 2.36936
204.730 3.45163
204.927 4.35141
205.125 5.70147
205.322 7.85534
205.519 11.5951
205.716 18.9423
205.814 25.6037
205.913 36.5044
206.012 56.1288
206.061 72.3408
206.110 96.4118
206.159 134.212
206.209 197.096
206.258 309.344
206.282 397.300
206.307 516.349
206.354 826.551
206.400 1033.50
206.447 826.313
206.493 516.073
206.523 374.554
206.553 277.557
206.614 164.551
206.674 106.828
206.734 74.3406
206.794 54.5068
206.854 41.5948
206.975 26.4440
207.095 18.2646
207.216 13.3741
207.456 8.07152
207.697 5.41316
207.938 3.89560
208.179 2.94795
208.420 2.31655
208.901 1.55294
209.383 1.12558
209.865 0.861707
210.346 0.687007
211.310 0.476327
212.273 0.358181
214.200 0.236219
216.126 0.177696
218.053 0.146102
221.906 0.120950
225.759 0.129775
227.686 0.151467
229.613 0.197294
231.539 0.300756
232.503 0.405109
233.466 0.595492
233.948 0.755569
234.429 0.999287
234.911 1.39719
235.392 2.11302
235.633 2.70844
235.874 3.60556
236.115 5.04953
236.356 7.59475
236.476 9.66882
236.597 12.7284
236.717 17.5139
236.837 25.6053
236.898 31.9231
236.958 40.8798
237.018 54.1504
237.078 74.9454
237.138 109.986
237.169 137.089
237.199 174.950
237.229 229.544
237.259 310.918
237.289 435.628
237.319 627.213
237.360 1002.45
237.400 1252.10
237.441 1002.21
237.481 626.944
237.510 442.098
237.539 319.819
237.567 238.350
237.596 183.128
237.654 116.332
237.711 79.8423
237.768 57.9414
237.826 43.8972
237.941 27.6136
238.056 18.9375
238.171 13.7878
238.285 10.4878
238.400 8.24901
238.630 5.49510
238.860 3.93334
239.090 2.96424
239.320 2.32303
239.779 1.55738
240.239 1.14070
240.699 0.896348
241.158 0.750408
242.077 0.644109
242.537 0.678472
242.997 0.807317
243.456 1.14197
243.686 1.48898
243.916 2.11909
244.146 3.41996
244.261 4.65398
244.376 6.77324
244.491 10.8636
244.548 14.5031
244.605 20.3321
244.663 30.5140
244.720 50.3802
244.749 68.0892
244.778 95.8907
244.807 141.641
244.821 175.241
244.835 218.099
244.851 279.052
244.868 348.682
244.900 435.657
244.916 410.057
244.932 348.628
244.965 218.032
244.988 153.392
245.011 110.655
245.034 82.3827
245.058 63.2731
245.104 40.1571
245.150 27.5709
245.197 20.0273
245.243 15.1979
245.336 9.60288
245.428 6.62397
245.521 4.85598
245.706 2.95298
245.892 2.00482
246.077 1.46463
246.448 0.902677
246.819 0.629980
247.190 0.476305
247.931 0.316701
248.673 0.238605
249.414 0.194228
250.897 0.148719
252.381 0.129239
253.864 0.123301
255.347 0.128319
256.089 0.137477
256.459 0.151301
256.645 0.178802
256.737 0.227821
256.784 0.288952
256.830 0.418746
256.900 0.695550
256.970 0.421086
257.003 0.320832
257.035 0.262894
257.101 0.207441
257.231 0.173562
257.492 0.162852
258.014 0.170200
259.058 0.206200
260.102 0.270203
261.146 0.389411
261.668 0.490425
262.190 0.644787
262.713 0.897578
263.235 1.35382
263.496 1.73434
263.757 2.30917
264.018 3.23761
264.279 4.88242
264.409 6.22826
264.540 8.22486
264.670 11.3691
264.801 16.7374
264.866 20.9738
264.931 27.0264
264.996 36.1195
265.062 50.5896
265.127 75.6200
265.160 95.4322
265.192 123.749
265.225 165.969
265.257 231.231
265.290 336.399
265.323 507.769
265.361 812.059
265.400 1014.73
265.439 811.898
265.477 507.589
265.523 287.366
265.569 176.094
265.615 116.736
265.661 82.4173
265.706 60.9955
265.752 46.8559
265.844 30.0525
265.935 20.8570
266.027 15.3131
266.210 9.25637
266.393 6.20058
266.576 4.45086
266.759 3.35808
266.942 2.63169
267.308 1.75865
267.674 1.27931
268.040 0.994662
268.407 0.820533
269.139 0.674192
269.505 0.689872
269.871 0.794752
270.237 1.08712
270.420 1.39399
270.603 1.94984
270.787 3.08641
270.878 4.14932
