11-Na_n-tot
>  11-Na-23:1.000000
1.851300e+05 3.38320000e+00
1.875880e+05 3.44243000e+00
1.882030e+05 3.46153000e+00
1.888170e+05 3.48304000e+00
1.894320e+05 3.50771000e+00
1.897390e+05 3.52274000e+00
1.898930e+05 3.53578000e+00
1.899700e+05 3.55893000e+00
1.900080e+05 3.61315000e+00
1.900270e+05 3.71698000e+00
1.900370e+05 3.85247000e+00
1.900460e+05 4.15341000e+00
1.900600e+05 4.77041000e+00
1.900740e+05 4.14908000e+00
1.900900e+05 3.75343000e+00
1.901060e+05 3.64013000e+00
1.901370e+05 3.57673000e+00
1.902010e+05 3.55380000e+00
1.903270e+05 3.55185000e+00
1.905810e+05 3.56287000e+00
1.910880e+05 3.59159000e+00
1.915950e+05 3.62480000e+00
1.921020e+05 3.66287000e+00
1.941300e+05 3.88831000e+00
1.958000e+05 4.19391000e+00
1.967500e+05 4.48146000e+00
1.977000e+05 4.96031000e+00
1.986900e+05 5.70743000e+00
1.990700e+05 6.11198000e+00
1.999350e+05 7.50075000e+00
2.008000e+05 8.66546000e+00
2.011500e+05 8.82698000e+00
2.015200e+05 8.76017000e+00
2.027700e+05 7.13288000e+00
2.036100e+05 6.05662000e+00
2.039600e+05 5.69817000e+00
2.048500e+05 5.11234000e+00
2.060050e+05 4.75351000e+00
2.071600e+05 4.63150000e+00
2.076500e+05 4.62674000e+00
2.089050e+05 4.62267000e+00
2.101600e+05 4.70771000e+00
2.135500e+05 4.79762000e+00
2.143000e+05 4.79547000e+00
2.159400e+05 4.66388000e+00
2.198100e+05 4.25241000e+00
2.214400e+05 4.08237000e+00
2.235000e+05 3.93769000e+00
2.265700e+05 3.79000000e+00
2.296400e+05 3.80618000e+00
2.314850e+05 3.96286000e+00
2.333300e+05 4.33960000e+00
2.347250e+05 4.90768000e+00
2.354230e+05 5.39684000e+00
2.357710e+05 5.72041000e+00
2.359460e+05 5.90765000e+00
2.361200e+05 6.11631000e+00
2.362450e+05 6.24993000e+00
2.363700e+05 6.41124000e+00
2.364470e+05 6.54108000e+00
2.365230e+05 6.73940000e+00
2.365620e+05 6.91055000e+00
2.366000e+05 7.21985000e+00
2.366190e+05 7.49644000e+00
2.366380e+05 7.95048000e+00
2.366580e+05 8.77462000e+00
2.366770e+05 1.03461000e+01
2.366930e+05 1.25668000e+01
2.367100e+05 1.40525000e+01
2.367270e+05 1.25854000e+01
2.367430e+05 1.04031000e+01
2.367550e+05 9.35487000e+00
2.367670e+05 8.66355000e+00
2.367790e+05 8.20905000e+00
2.367900e+05 7.90655000e+00
2.368130e+05 7.55071000e+00
2.368370e+05 7.36983000e+00
2.368830e+05 7.22432000e+00
2.369300e+05 7.19488000e+00
2.370090e+05 7.24804000e+00
2.370880e+05 7.34475000e+00
2.372450e+05 7.58556000e+00
2.375600e+05 8.13557000e+00
2.381900e+05 9.25752000e+00
2.390000e+05 1.03122000e+01
2.390500e+05 1.03375000e+01
2.392550e+05 1.03844000e+01
2.394600e+05 1.03415000e+01
2.398700e+05 1.00188000e+01
2.406900e+05 8.81219000e+00
2.412100e+05 7.89120000e+00
2.417300e+05 7.01097000e+00
2.419850e+05 6.58800000e+00
2.422400e+05 6.14955000e+00
2.424600e+05 5.92925000e+00
2.425700e+05 5.81000000e+00
2.426800e+05 5.72950000e+00
2.427430e+05 5.74839000e+00
2.428050e+05 5.94513000e+00
2.428880e+05 6.83886000e+00
