64-Gd_n-tot
> 64-Gd-152:0.002000
> 64-Gd-154:0.021800
> 64-Gd-155:0.148000
> 64-Gd-156:0.204700
> 64-Gd-157:0.156500
> 64-Gd-158:0.248400
> 64-Gd-160:0.218600
9.198980e+00 7.76687190e+00
9.375000e+00 7.75357307e+00
9.450120e+00 7.74830649e+00
9.575690e+00 7.91076851e+00
9.701260e+00 8.42197774e+00
9.764050e+00 9.04044100e+00
9.826830e+00 1.03545790e+01
9.858220e+00 1.16104930e+01
9.889620e+00 1.37346926e+01
9.921010e+00 1.75841586e+01
9.952400e+00 2.48463714e+01
1.000000e+01 4.16590397e+01
1.001000e+01 4.27390707e+01
1.003900e+01 3.56385736e+01
1.006800e+01 2.49470045e+01
1.008990e+01 1.94522424e+01
1.011170e+01 1.59068053e+01
1.013360e+01 1.36088876e+01
1.015540e+01 1.20746669e+01
1.019920e+01 1.02577682e+01
1.024290e+01 9.28311020e+00
1.033030e+01 8.34593655e+00
1.038580e+01 8.08962508e+00
1.041780e+01 7.94257099e+00
1.057860e+01 7.69168053e+00
1.058010e+01 7.68939602e+00
1.059260e+01 7.67041067e+00
1.076750e+01 7.70736175e+00
1.077150e+01 7.71399110e+00
1.087010e+01 7.88643381e+00
1.094240e+01 8.01339462e+00
1.096440e+01 8.09119407e+00
1.102980e+01 8.33327316e+00
1.106080e+01 8.52031159e+00
1.111730e+01 8.87586977e+00
1.115730e+01 9.31754512e+00
1.116010e+01 9.35016614e+00
1.120470e+01 9.87063349e+00
1.125370e+01 1.10144676e+01
1.129210e+01 1.19505798e+01
1.129460e+01 1.20647161e+01
1.130190e+01 1.23982766e+01
1.133590e+01 1.40035759e+01
1.135010e+01 1.51592653e+01
1.137960e+01 1.76555244e+01
1.139840e+01 2.06994803e+01
1.142250e+01 2.47220262e+01
1.142330e+01 2.48607411e+01
1.144520e+01 3.12322436e+01
1.144660e+01 3.18290574e+01
1.145010e+01 3.33626886e+01
1.146700e+01 4.07685827e+01
1.147070e+01 4.30534383e+01
1.149480e+01 5.85089304e+01
1.149850e+01 6.10752355e+01
1.151890e+01 7.14179092e+01
1.153000e+01 7.78888389e+01
1.153100e+01 7.76996731e+01
1.154300e+01 7.64532521e+01
1.155230e+01 7.62710098e+01
1.156150e+01 7.65931852e+01
1.158000e+01 7.08626235e+01
1.159300e+01 6.03028055e+01
1.159510e+01 5.89683825e+01
1.159850e+01 5.68081120e+01
1.161430e+01 4.47246492e+01
1.161700e+01 4.30204818e+01
1.163340e+01 3.47477596e+01
