O-18(n,tot) JEFF-3.2
Energy(eV) XS(b)
1.32000E+08 0.510848
1.34000E+08 0.503876
1.36000E+08 0.497054
1.38000E+08 0.490552
1.40000E+08 0.484260
1.42000E+08 0.478370
1.44000E+08 0.472770
1.46000E+08 0.467270
1.48000E+08 0.462040
1.50000E+08 0.456990
1.52000E+08 0.452196
1.54000E+08 0.447652
1.56000E+08 0.443168
1.58000E+08 0.438934
1.60000E+08 0.434840
1.62000E+08 0.431057
1.64000E+08 0.427494
1.66000E+08 0.423981
1.68000E+08 0.420668
1.70000E+08 0.417485
1.72000E+08 0.414332
1.74000E+08 0.411369
1.76000E+08 0.408446
1.78000E+08 0.405703
1.80000E+08 0.402990
1.82000E+08 0.400645
1.84000E+08 0.398400
1.86000E+08 0.396175
1.88000E+08 0.394110
1.90000E+08 0.392065
1.92000E+08 0.390180
1.94000E+08 0.388305
1.96000E+08 0.386590
1.98000E+08 0.384955
2.00000E+08 0.383320
