77-Ir_n-tot
> 77-Ir-191:0.373000
> 77-Ir-193:0.627000
2.010470e+01 1.03427270e+02
2.012560e+01 1.43910968e+02
2.014660e+01 2.13994075e+02
2.016750e+01 3.38525117e+02
2.018880e+01 5.35966816e+02
2.021000e+01 6.69693407e+02
2.023130e+01 5.41148772e+02
2.025250e+01 3.44885994e+02
2.026780e+01 2.46947515e+02
2.028300e+01 1.82119134e+02
2.029830e+01 1.39129523e+02
2.031360e+01 1.09934199e+02
2.034410e+01 7.46751511e+01
2.037460e+01 5.53514093e+01
2.040510e+01 4.37279914e+01
2.043570e+01 3.62259933e+01
2.049670e+01 2.74559963e+01
2.055780e+01 2.27086113e+01
2.061880e+01 1.98388401e+01
2.074090e+01 1.66586682e+01
2.086300e+01 1.50002616e+01
2.098510e+01 1.40092267e+01
2.111510e+01 1.34222514e+01
2.122930e+01 1.29198563e+01
2.147350e+01 1.23637294e+01
2.167270e+01 1.20999141e+01
2.171770e+01 1.20498403e+01
2.220620e+01 1.18440762e+01
2.223030e+01 1.18474202e+01
2.269460e+01 1.21700324e+01
2.278780e+01 1.22940899e+01
2.306660e+01 1.29558025e+01
2.318300e+01 1.34289768e+01
2.334540e+01 1.42461389e+01
2.342720e+01 1.49906734e+01
2.362420e+01 1.71295155e+01
2.367140e+01 1.79808928e+01
2.376360e+01 1.99698726e+01
2.379350e+01 2.09475708e+01
2.390290e+01 2.53602084e+01
2.391560e+01 2.61969963e+01
2.397670e+01 3.12346095e+01
2.403770e+01 3.83896307e+01
2.404230e+01 3.92371646e+01
2.406820e+01 4.51277264e+01
2.409880e+01 5.55021241e+01
2.411200e+01 6.22311201e+01
2.411400e+01 6.33774736e+01
2.412930e+01 7.52547329e+01
2.414450e+01 9.22977512e+01
2.415980e+01 1.17507746e+02
2.416990e+01 1.39705113e+02
2.417990e+01 1.64977722e+02
2.418170e+01 1.67998867e+02
2.420000e+01 2.01203701e+02
2.422010e+01 1.79300831e+02
2.424020e+01 1.41893097e+02
2.425140e+01 1.28310794e+02
2.425430e+01 1.25403406e+02
2.426840e+01 1.18322779e+02
2.428630e+01 1.17286560e+02
2.429660e+01 1.19572974e+02
2.432110e+01 1.32140664e+02
2.432480e+01 1.35951724e+02
2.435300e+01 1.68629820e+02
2.435600e+01 1.72351201e+02
2.439080e+01 2.52983428e+02
2.440820e+01 3.20340797e+02
2.440940e+01 3.27148742e+02
2.442570e+01 4.20387210e+02
2.444310e+01 5.71007385e+02
2.446050e+01 7.97670747e+02
2.446580e+01 8.97311575e+02
2.448530e+01 1.26451620e+03
2.451000e+01 1.58070488e+03
2.453480e+01 1.27824062e+03
2.455950e+01 8.16861519e+02
2.457850e+01 5.94832929e+02
2.458650e+01 5.01623032e+02
2.461340e+01 3.35132515e+02
2.464040e+01 2.44359899e+02
2.466730e+01 1.92214118e+02
2.469130e+01 1.70313547e+02
2.472120e+01 1.44880721e+02
2.477510e+01 1.35081070e+02
2.480410e+01 1.42660775e+02
2.482900e+01 1.51669249e+02
2.486050e+01 1.82330128e+02
2.488290e+01 2.07380319e+02
2.490990e+01 2.62147457e+02
2.491690e+01 2.85397196e+02
2.493680e+01 3.57575038e+02
2.495030e+01 4.28842761e+02
2.496380e+01 5.23793529e+02
2.497320e+01 6.14055612e+02
2.497720e+01 6.54297652e+02
2.499070e+01 8.34611153e+02
2.500140e+01 1.01802645e+03
2.500300e+01 1.04638864e+03
2.501540e+01 1.29500319e+03
2.502960e+01 1.49010501e+03
2.504000e+01 1.64389731e+03
2.505230e+01 1.60379693e+03
2.505780e+01 1.53358200e+03
2.506470e+01 1.45944846e+03
2.508600e+01 1.19849433e+03
2.508930e+01 1.17199900e+03
2.511420e+01 1.13357077e+03
2.511870e+01 1.15308966e+03
2.512830e+01 1.24439697e+03
2.514240e+01 1.46412672e+03
2.514810e+01 1.60178283e+03
2.516620e+01 2.08378120e+03
2.517750e+01 2.27762822e+03
2.519000e+01 2.50713215e+03
2.520700e+01 2.15271715e+03
2.521380e+01 2.01517737e+03
2.523640e+01 1.32915187e+03
2.523760e+01 1.29315186e+03
2.526300e+01 8.04299344e+02
2.526580e+01 7.74067195e+02
2.528830e+01 5.37496891e+02
2.531370e+01 3.83159582e+02
2.532460e+01 3.41355512e+02
2.533900e+01 2.88905562e+02
2.536440e+01 2.27826211e+02
2.538340e+01 1.95491464e+02
2.538970e+01 1.85382539e+02
2.544040e+01 1.33345325e+02
2.544230e+01 1.32141290e+02
2.549110e+01 1.04961212e+02
2.554180e+01 8.64775902e+01
2.555990e+01 8.23366334e+01
2.564320e+01 6.93465720e+01
2.567760e+01 6.68225440e+01
2.573640e+01 6.66670850e+01
2.574460e+01 6.73678857e+01
2.579520e+01 7.35451541e+01
2.584600e+01 8.88169068e+01
2.585400e+01 9.13716575e+01
2.588340e+01 1.08615579e+02
2.591290e+01 1.35884476e+02
2.594230e+01 1.81193545e+02
2.594740e+01 1.93030720e+02
2.595700e+01 2.15414136e+02
2.597170e+01 2.61769150e+02
2.598640e+01 3.25854471e+02
2.600110e+01 4.16076914e+02
2.601580e+01 5.44962057e+02
2.603050e+01 7.27776725e+02
2.604290e+01 9.31040259e+02
2.604880e+01 1.04276636e+03
2.605530e+01 1.16591020e+03
2.608000e+01 1.47356656e+03
2.609240e+01 1.39927579e+03
2.610480e+01 1.20263224e+03
2.612950e+01 7.72704617e+02
2.614450e+01 5.83920647e+02
2.615960e+01 4.49701262e+02
2.618960e+01 2.86754169e+02
2.621970e+01 1.99551092e+02
2.624980e+01 1.48680158e+02
2.625150e+01 1.46864123e+02
2.627980e+01 1.16807623e+02
2.630990e+01 9.55261345e+01
2.637000e+01 6.96641540e+01
2.643020e+01 5.49996044e+01
2.645430e+01 5.12902977e+01
2.649030e+01 4.59210951e+01
2.661050e+01 3.56036351e+01
2.665710e+01 3.34077581e+01
2.670780e+01 3.13565544e+01
2.673080e+01 3.06454948e+01
2.675850e+01 3.02710007e+01
2.678390e+01 3.03589808e+01
2.680920e+01 3.11172419e+01
2.683460e+01 3.33181552e+01
2.685110e+01 3.68540423e+01
2.685990e+01 3.88429432e+01
2.688000e+01 4.67282315e+01
2.690000e+01 5.20259291e+01
2.692010e+01 4.63843724e+01
2.694010e+01 3.78756987e+01
2.696250e+01 3.17678310e+01
2.698490e+01 2.83604833e+01
2.700730e+01 2.63080580e+01
2.702970e+01 2.49338214e+01
2.707440e+01 2.31206678e+01
2.709160e+01 2.26329732e+01
2.711920e+01 2.20442693e+01
2.729830e+01 1.96635216e+01
2.733210e+01 1.93409622e+01
2.757260e+01 1.78066298e+01
2.765660e+01 1.74530641e+01
2.801480e+01 1.64961747e+01
2.805360e+01 1.64619615e+01
2.837310e+01 1.66084509e+01
2.853470e+01 1.73262720e+01
2.873130e+01 1.83223971e+01
2.891040e+01 2.05237535e+01
2.901570e+01 2.30495499e+01
2.908950e+01 2.48524359e+01
2.926870e+01 3.42857615e+01
2.935820e+01 4.34557647e+01
2.944780e+01 5.94266768e+01
2.949260e+01 7.21784946e+01
2.953730e+01 9.05738773e+01
2.958210e+01 1.18371769e+02
2.962690e+01 1.62970700e+02
2.967170e+01 2.40423098e+02
2.969410e+01 3.02003193e+02
2.971650e+01 3.90166253e+02
2.973880e+01 5.21244156e+02
2.976120e+01 7.24337094e+02
2.978360e+01 1.05120262e+03
2.980600e+01 1.58262881e+03
2.983300e+01 2.54722392e+03
2.986000e+01 3.20858868e+03
2.988700e+01 2.59147356e+03
2.991400e+01 1.63835630e+03
2.993950e+01 1.04731127e+03
2.996500e+01 7.03535405e+02
2.997770e+01 6.01812011e+02
2.999050e+01 4.99291223e+02
3.001600e+01 3.71613690e+02
3.006700e+01 2.29653981e+02
3.011810e+01 1.57692525e+02
3.016910e+01 1.16525995e+02
3.022010e+01 9.08546310e+01
3.032210e+01 6.18501272e+01
3.042410e+01 4.67010815e+01
3.052620e+01 3.78293924e+01
3.062820e+01 3.22466031e+01
3.073020e+01 2.86088595e+01
3.093430e+01 2.49883526e+01
3.093980e+01 2.49774422e+01
3.103630e+01 2.47987139e+01
3.113830e+01 2.61796814e+01
3.124030e+01 3.07298434e+01
3.129130e+01 3.55877069e+01
3.134240e+01 4.41895989e+01
3.139340e+01 6.07016610e+01
3.141890e+01 7.49532380e+01
3.144440e+01 9.68688461e+01
3.146990e+01 1.32561209e+02
3.148260e+01 1.59127588e+02
3.149540e+01 1.94882415e+02
3.150820e+01 2.44057036e+02
3.152090e+01 3.12908187e+02
3.153370e+01 4.10633608e+02
3.154640e+01 5.48583381e+02
3.156820e+01 8.83891851e+02
3.159000e+01 1.12111997e+03
3.160090e+01 1.06599809e+03
3.161180e+01 9.17062981e+02
3.163360e+01 5.89942101e+02
3.165240e+01 3.98929931e+02
3.167110e+01 2.81476006e+02
3.168990e+01 2.08443363e+02
3.170860e+01 1.61155213e+02
3.174620e+01 1.06673363e+02
3.178370e+01 7.80165748e+01
3.182120e+01 6.11600145e+01
3.185870e+01 5.04034961e+01
3.190180e+01 4.32130598e+01
3.193370e+01 3.78940870e+01
3.200880e+01 3.10970700e+01
3.208380e+01 2.69362922e+01
3.223390e+01 2.22068887e+01
