C-13(n,g) JEFF-3.2
Energy(eV) XS(b)
5.42800E+06 6.63882E-07
5.51400E+06 6.35865E-07
5.60000E+06 7.11914E-07
5.68600E+06 9.67491E-07
5.77200E+06 1.77145E-06
5.81500E+06 2.80821E-06
5.85800E+06 4.85897E-06
5.90300E+06 7.29123E-06
5.92550E+06 7.06947E-06
5.94800E+06 5.82219E-06
5.99300E+06 3.28418E-06
6.03800E+06 1.94041E-06
6.08281E+06 1.28982E-06
6.12763E+06 9.46510E-07
6.17244E+06 7.49694E-07
6.21725E+06 6.29924E-07
6.30688E+06 5.07823E-07
6.39650E+06 4.68979E-07
6.48613E+06 4.85975E-07
6.57575E+06 5.63852E-07
6.66538E+06 7.34425E-07
6.75500E+06 1.05110E-06
6.85250E+06 1.49079E-06
6.90125E+06 1.57184E-06
6.95000E+06 1.46494E-06
6.95010E+06 1.46456E-06
6.95010E+06 5.42185E-06
7.00000E+06 5.49710E-06
7.20000E+06 5.83837E-06
7.39644E+06 6.20630E-06
7.40000E+06 6.21297E-06
7.60000E+06 6.58298E-06
7.76083E+06 6.93036E-06
7.80000E+06 7.01496E-06
8.00000E+06 7.48073E-06
8.07315E+06 7.54233E-06
8.07315E+06 7.54233E-06
8.13242E+06 7.59225E-06
8.28220E+06 7.71838E-06
8.28220E+06 7.71838E-06
8.50000E+06 7.90180E-06
8.83607E+06 8.17237E-06
8.83607E+06 8.17237E-06
9.00000E+06 8.30435E-06
9.50000E+06 8.64011E-06
9.54727E+06 8.61694E-06
1.00000E+07 8.39500E-06
1.02367E+07 8.40587E-06
1.02367E+07 8.40587E-06
1.05000E+07 8.41795E-06
1.05521E+07 8.41149E-06
1.05537E+07 8.41129E-06
1.06647E+07 8.39753E-06
1.06647E+07 8.39753E-06
1.07902E+07 8.38197E-06
1.08807E+07 8.37074E-06
1.09946E+07 8.35662E-06
1.10000E+07 8.35595E-06
1.12714E+07 8.47508E-06
1.14723E+07 8.56326E-06
1.15000E+07 8.57542E-06
1.15871E+07 8.59683E-06
1.15871E+07 8.59683E-06
1.16571E+07 8.61403E-06
1.16572E+07 8.61405E-06
1.18490E+07 8.66120E-06
1.19395E+07 8.68344E-06
1.20000E+07 8.69831E-06
1.20743E+07 8.75485E-06
1.21199E+07 8.78955E-06
1.21200E+07 8.78961E-06
1.22586E+07 8.89510E-06
1.25000E+07 9.07880E-06
1.26593E+07 9.19018E-06
1.27670E+07 9.26549E-06
1.27671E+07 9.26552E-06
1.28770E+07 9.34240E-06
1.30000E+07 9.42840E-06
1.30451E+07 9.46101E-06
1.30709E+07 9.47966E-06
1.30709E+07 9.47968E-06
1.30817E+07 9.48747E-06
1.31323E+07 9.52405E-06
1.31324E+07 9.52409E-06
1.32016E+07 9.57416E-06
1.32655E+07 9.62036E-06
1.32668E+07 9.62130E-06
1.32668E+07 9.62132E-06
1.33837E+07 9.70582E-06
1.33838E+07 9.70585E-06
1.34028E+07 9.71963E-06
1.34028E+07 9.71964E-06
1.35000E+07 9.78990E-06
1.36352E+07 1.00174E-05
1.36353E+07 1.00175E-05
1.40000E+07 1.06313E-05
