V-50(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
38983.4 0.00188276
39322.3 0.00205130
39661.1 0.00274232
39830.6 0.00348810
40000.0 0.00480657
40111.8 0.00626037
40223.5 0.00856769
40335.3 0.0123811
40447.0 0.0187640
40510.3 0.0238658
40573.5 0.0296845
40700.0 0.0368466
40826.5 0.0294068
40953.0 0.0184526
41049.7 0.0127643
41146.4 0.00911308
41243.1 0.00675639
41339.8 0.00518735
41533.1 0.00333137
41726.5 0.00233295
41919.9 0.00173888
42113.3 0.00135737
42500.0 0.000912046
42500.0 0.0166791
50000.0 0.0140040
51949.9 0.0137420
60000.0 0.0127984
70000.0 0.0113629
80000.0 0.0102778
90000.0 0.00951496
100000 0.00884244
105000 0.00860352
105001 0.00860349
110000 0.00838173
120000 0.00787598
130000 0.00734855
140000 0.00712254
150000 0.00686293
160000 0.00658345
170000 0.00629625
180000 0.00600356
190000 0.00570837
200000 0.00550610
215511 0.00531126
225000 0.00520202
230768 0.00512614
230768 0.00512613
230840 0.00512100
230912 0.00511587
231057 0.00510555
231201 0.00509533
231346 0.00508507
231636 0.00506462
231926 0.00504428
232216 0.00502405
232507 0.00500386
233089 0.00496379
233673 0.00492400
234258 0.00488456
235433 0.00480659
236614 0.00472987
237801 0.00465436
240192 0.00450699
242607 0.00436429
245047 0.00422607
250000 0.00396266
275000 0.00349234
300000 0.00316058
326626 0.00293967
344602 0.00260059
362577 0.00231501
362577 0.00231501
373423 0.00222499
395868 0.00205692
396244 0.00205429
397898 0.00206010
400000 0.00206748
500000 0.00171136
551060 0.00161425
570321 0.00158128
600000 0.00153381
647142 0.00147712
660506 0.00146216
700000 0.00142049
800000 0.00134321
800000 0.00134321
800000 0.00134321
853189 0.00132325
893002 0.00125838
898522 0.00124986
899844 0.00124784
900000 0.00124760
928377 0.00124360
928377 0.00124357
928479 0.00122645
928479 0.00122645
979419 0.00106660
1.00000E+06 0.00101016
1.00738E+06 0.00100266
1.00798E+06 0.00100205
1.06165E+06 0.000950695
1.06206E+06 0.000950323
1.10000E+06 0.000917090
1.12235E+06 0.000904370
1.14387E+06 0.000892521
1.18295E+06 0.000871942
1.18315E+06 0.000871839
1.20000E+06 0.000863320
1.20843E+06 0.000860297
1.20897E+06 0.000860104
1.27048E+06 0.000838979
1.30000E+06 0.000829377
1.30000E+06 0.000829377
1.30000E+06 0.000829377
1.32768E+06 0.000831441
1.32768E+06 0.000831440
1.34909E+06 0.000822807
1.35839E+06 0.000819127
1.40000E+06 0.000804552
1.41933E+06 0.000806342
1.43021E+06 0.000807341
1.43021E+06 0.000807340
1.45125E+06 0.000800047
1.47982E+06 0.000790413
1.50000E+06 0.000783788
1.50482E+06 0.000784996
1.52550E+06 0.000790158
1.52952E+06 0.000789137
1.54906E+06 0.000784232
1.54907E+06 0.000784231
1.57981E+06 0.000777638
1.59324E+06 0.000774815
1.60000E+06 0.000773454
1.62061E+06 0.000771753
1.70000E+06 0.000765432
1.71107E+06 0.000763596
1.71107E+06 0.000763596
1.73453E+06 0.000769465
1.73454E+06 0.000769466
1.73454E+06 0.000769467
1.73749E+06 0.000767297
1.73749E+06 0.000767291
1.75361E+06 0.000744359
1.75361E+06 0.000744357
1.75943E+06 0.000740910
1.76004E+06 0.000732211
1.76004E+06 0.000732209
1.78687E+06 0.000691493
1.78687E+06 0.000691491
1.79707E+06 0.000683435
1.79707E+06 0.000683418
1.79789E+06 0.000679921
1.80000E+06 0.000675823
1.83889E+06 0.000652964
1.84737E+06 0.000648146
1.90000E+06 0.000622685
1.92041E+06 0.000614517
1.92042E+06 0.000614515
1.93145E+06 0.000610874
1.97510E+06 0.000596875
1.97972E+06 0.000595242
1.99197E+06 0.000590952
1.99346E+06 0.000590434
1.99346E+06 0.000590434
2.00000E+06 0.000588307
2.07916E+06 0.000576878
2.07917E+06 0.000576854
2.15363E+06 0.000567178
2.15363E+06 0.000567178
