42-Mo_n-tot
> 42-Mo-100:0.098200
>  42-Mo-92:0.145300
>  42-Mo-94:0.091500
>  42-Mo-95:0.158400
>  42-Mo-96:0.166700
>  42-Mo-97:0.096000
>  42-Mo-98:0.243900
4.332760e+01 4.38046531e+01
4.352050e+01 5.94835740e+01
4.371340e+01 8.59683844e+01
4.390630e+01 1.35498811e+02
4.400270e+01 1.77898617e+02
4.409920e+01 2.43103588e+02
4.419570e+01 3.49809358e+02
4.429210e+01 5.38472873e+02
4.438860e+01 9.03766644e+02
4.443680e+01 1.21345587e+03
4.448500e+01 1.65872125e+03
4.456250e+01 2.67831005e+03
4.464000e+01 3.37897630e+03
4.471750e+01 2.73024879e+03
4.479500e+01 1.72578656e+03
4.484570e+01 1.26029944e+03
4.489630e+01 9.39330147e+02
4.499760e+01 5.64439707e+02
4.509890e+01 3.72193970e+02
4.520020e+01 2.63489977e+02
4.530150e+01 1.96763568e+02
4.540280e+01 1.53084201e+02
4.560550e+01 1.01399523e+02
4.580810e+01 7.31754683e+01
4.601070e+01 5.60764797e+01
4.621330e+01 4.49185998e+01
4.641590e+01 3.72211263e+01
4.641600e+01 3.72180371e+01
4.641610e+01 3.72136807e+01
4.641640e+01 3.72067099e+01
4.641680e+01 3.71927690e+01
4.641770e+01 3.71647286e+01
4.641940e+01 3.71091234e+01
4.642290e+01 3.69983876e+01
4.642990e+01 3.67788170e+01
4.644390e+01 3.63471205e+01
4.647190e+01 3.55117643e+01
4.652790e+01 3.39462296e+01
4.663990e+01 3.11832816e+01
4.686390e+01 2.68056274e+01
4.731190e+01 2.09952917e+01
4.776000e+01 1.74013518e+01
4.820800e+01 1.50101118e+01
4.910400e+01 1.20998882e+01
5.000000e+01 1.04424501e+01
5.077930e+01 9.50887966e+00
5.155850e+01 8.84661721e+00
5.311710e+01 7.98089694e+00
5.467560e+01 7.44742116e+00
5.521120e+01 7.32426424e+00
5.623410e+01 7.08873888e+00
5.623420e+01 7.08872251e+00
5.623430e+01 7.08870614e+00
5.623450e+01 7.08867341e+00
5.623480e+01 7.08859263e+00
5.623560e+01 7.08846171e+00
