Y-90(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3009.40 261.206
3010.00 323.339
3010.60 258.802
3011.20 164.106
3011.62 118.911
3012.03 88.7886
3012.45 68.7013
3012.86 54.9860
3013.70 38.3661
3014.53 29.2511
3015.36 23.7727
3016.19 20.2498
3017.85 16.1667
3019.52 13.9846
3021.18 12.6850
3024.51 11.2731
3027.83 10.5539
3031.16 10.1304
3034.49 9.85373
3037.81 9.65853
3044.47 9.39711
3051.12 9.22399
3057.77 9.09551
3064.43 8.99280
3077.73 8.83174
3091.04 8.70529
3117.65 8.50919
3144.26 8.35830
3170.88 8.23631
3224.10 8.05050
3277.33 7.92297
3303.94 7.88179
3330.55 7.86403
3357.16 7.89409
3370.47 7.94970
3383.78 8.06890
3390.43 8.17515
3397.08 8.33991
3403.74 8.60928
3410.39 9.08559
3417.04 10.0350
3420.37 10.9034
3423.69 12.3360
3427.02 14.9375
3428.68 17.1047
3430.35 20.3574
3432.01 25.5192
3433.67 34.2658
3435.34 50.2327
3437.00 80.7628
3438.50 125.406
3440.00 155.359
3441.50 125.176
3443.00 80.5832
3444.55 51.6473
3446.10 35.8520
3447.65 26.9014
3449.19 21.5001
3450.74 18.0337
3452.29 15.6961
3455.39 12.8517
3458.49 11.2618
3461.58 10.2870
3467.78 9.20450
3473.97 8.64778
3480.16 8.32295
3486.36 8.11587
3492.55 7.97486
3504.94 7.79816
3517.33 7.69309
3542.10 7.57292
3566.88 7.50291
3591.65 7.45392
3641.20 7.38344
3690.75 7.33082
3715.52 7.30980
3740.30 7.29437
3765.07 7.29027
3777.46 7.29659
3789.85 7.31265
3802.24 7.34239
3808.43 7.36223
3814.62 7.38166
3820.82 7.38967
3823.91 7.38229
3827.01 7.36453
3830.11 7.35721
3831.66 7.39714
3833.20 7.55842
3834.75 8.12070
3835.53 8.82443
3836.30 10.2507
3837.08 13.4026
3837.46 16.4145
3837.85 21.4130
3838.24 30.2360
3838.62 47.0982
3838.82 61.4305
3839.01 82.5974
3839.20 114.824
3839.40 163.417
3839.70 280.306
3840.00 379.071
3840.30 330.806
3840.60 227.152
3840.80 174.740
3841.00 137.592
3841.40 92.5027
3841.80 68.3746
3842.20 54.2483
3842.60 45.2699
3843.00 39.2424
3843.79 31.8823
3844.59 27.7655
3845.39 25.2828
3846.98 22.7675
3848.58 21.9340
3850.17 22.0606
3853.36 24.4688
3856.55 30.2622
3859.73 42.3759
3861.33 53.1540
3862.92 69.8940
3864.52 96.8044
3866.11 140.466
