Pb-207(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
40801.0 0.0836169
40954.0 0.104286
41260.0 0.130207
41413.0 0.122583
41566.0 0.104202
41872.0 0.0650896
42126.0 0.0433560
42380.0 0.0299566
42634.0 0.0216127
42888.0 0.0162160
43396.0 0.0100315
43904.0 0.00681692
44412.0 0.00495576
44920.0 0.00378867
45936.0 0.00246823
46952.0 0.00178011
47968.0 0.00137721
50000.0 0.000948119
52294.7 0.000715868
54589.3 0.000590366
59178.6 0.000463274
63767.9 0.000401333
66062.5 0.000382162
67209.8 0.000377681
67783.5 0.000389020
68070.3 0.000446910
68142.0 0.000507612
68213.7 0.000679097
68249.6 0.000914711
68285.5 0.00156681
68303.4 0.00244316
68312.3 0.00329192
68321.3 0.00478961
68330.3 0.00781773
68334.8 0.0106436
68339.2 0.0154299
68343.7 0.0244907
68346.0 0.0323884
68348.2 0.0448099
68350.4 0.0658637
68352.7 0.105294
68353.8 0.138826
68354.9 0.189471
68356.0 0.268635
68357.2 0.393929
68360.0 0.829059
68361.4 0.690468
68362.9 0.436554
68364.0 0.294092
68365.1 0.204914
68366.3 0.148038
68367.4 0.111227
68369.7 0.0684538
68371.9 0.0461250
68374.2 0.0330629
68376.5 0.0248462
68381.0 0.0155350
68385.5 0.0106552
68390.1 0.00780053
68399.1 0.00476170
68417.3 0.00241825
68435.4 0.00154922
68471.7 0.000904390
68507.9 0.000671948
68653.0 0.000442008
68943.1 0.000381822
69523.4 0.000363946
70683.9 0.000354941
71844.4 0.000351540
72424.7 0.000357705
72714.8 0.000388303
72787.4 0.000418660
72859.9 0.000498325
72896.2 0.000597883
72932.4 0.000836589
72950.6 0.00110455
72968.7 0.00165897
72977.8 0.00218404
72986.8 0.00306957
72995.9 0.00468457
73005.0 0.00779342
73021.0 0.0163230
73029.0 0.0138693
73037.0 0.00891393
73045.8 0.00534821
73054.6 0.00346236
73063.4 0.00243038
73072.2 0.00182401
73089.8 0.00119003
73107.4 0.000887748
73142.5 0.000621195
73177.7 0.000511108
73248.1 0.000423409
73318.4 0.000389904
73599.8 0.000354810
74162.5 0.000344184
75287.9 0.000339612
77538.8 0.000338996
79789.6 0.000356479
80915.1 0.000416005
81196.4 0.000469619
81477.8 0.000606041
81618.5 0.000775479
81688.8 0.000930357
81759.2 0.00118793
81829.5 0.00166424
81864.7 0.00207041
81899.8 0.00269592
81935.0 0.00372622
81970.2 0.00557747
82005.3 0.00928627
82022.9 0.0125643
82040.5 0.0174968
82091.0 0.0374491
82103.6 0.0366384
82116.3 0.0320605
82141.5 0.0205122
82167.3 0.0125658
82193.1 0.00817176
82218.9 0.00569248
82244.7 0.00420677
82296.3 0.00263146
82347.9 0.00187740
82399.5 0.00147131
82451.1 0.00123876
82554.3 0.00104061
82657.5 0.00108030
82709.1 0.00121367
82760.7 0.00149792
82812.3 0.00212513
82838.1 0.00273469
82863.9 0.00379427
82889.7 0.00586376
82902.6 0.00772201
82915.5 0.0107338
82928.4 0.0160643
82941.3 0.0267446
82947.8 0.0364987
82954.2 0.0523467
82960.7 0.0796804
82967.1 0.128650
82980.0 0.274830
82983.2 0.267134
82986.5 0.232396
82992.9 0.147340
82997.5 0.103172
83002.2 0.0739843
83006.8 0.0547826
83011.4 0.0418530
83020.7 0.0264311
83030.0 0.0181252
83039.2 0.0131966
83048.5 0.0100588
83067.0 0.00645008
83085.6 0.00454117
83104.1 0.00341295
83141.1 0.00220302
83178.2 0.00160152
83215.3 0.00125915
83289.4 0.000902936
83363.5 0.000729878
83437.6 0.000632344
83585.8 0.000531398
83882.3 0.000456022
84178.7 0.000430735
85364.6 0.000436554
86550.4 0.000522861
87143.3 0.000622867
87439.8 0.000729079
87588.0 0.000913999
87625.1 0.00106736
87662.1 0.00146646
87680.7 0.00198552
87699.2 0.00333923
87708.5 0.00503861
87713.1 0.00658970
87717.7 0.00915553
87722.3 0.0138431
87724.7 0.0177914
87727.0 0.0237462
87729.3 0.0333634
87731.6 0.0499511
87733.9 0.0814841
87735.1 0.107858
87736.2 0.145301
87740.0 0.311470
87741.0 0.302996
87741.9 0.263702
87743.8 0.167400
87746.0 0.0940138
87748.3 0.0571556
87750.5 0.0377646
87752.7 0.0266700
87755.0 0.0198290
87757.2 0.0153467
87761.7 0.0100575
87766.2 0.00719038
87770.7 0.00547011
87779.6 0.00360396
87797.5 0.00213527
87815.4 0.00158492
87851.2 0.00118196
87887.1 0.00104620
88030.4 0.000969581
88316.9 0.00113482
88603.5 0.00145202
88890.1 0.00201012
89176.7 0.00310258
89320.0 0.00408599
89463.3 0.00568533
89606.5 0.00853212
89678.2 0.0108604
89749.8 0.0142935
89821.5 0.0196166
89893.1 0.0283766
89964.8 0.0437805
90036.4 0.0721840
90173.0 0.157600
90207.2 0.154840
90241.3 0.135715
90309.6 0.0864081
90372.4 0.0548877
90435.1 0.0363669
90497.9 0.0254036
90560.6 0.0186005
90686.1 0.0111257
90811.6 0.00739578
90937.1 0.00529165
91062.6 0.00399522
91313.5 0.00255231
91564.5 0.00181186
91815.5 0.00138286
92317.5 0.000931325
92819.4 0.000711286
93321.4 0.000588043
94325.3 0.000462946
96333.2 0.000379717
97337.1 0.000387555
97839.0 0.000468010
97964.5 0.000544572
98090.0 0.000731927
98152.8 0.000946369
98215.5 0.00140145
98246.9 0.00184447
98278.3 0.00261594
98309.6 0.00408825
98325.3 0.00532961
98341.0 0.00712235
98391.0 0.0150285
98403.5 0.0147090
98416.0 0.0128943
98441.0 0.00831566
98465.4 0.00527330
98489.7 0.00354288
98514.1 0.00254400
98538.4 0.00193505
98587.2 0.00127710
98635.9 0.000953753
98733.3 0.000662573
98830.8 0.000540533
99025.6 0.000443294
99220.5 0.000407530
100000 0.000388745
100441 0.000414603
100882 0.000495352
101102 0.000603028
101212 0.000706163
101322 0.000886609
101433 0.00124797
101488 0.00158366
101543 0.00215007
101598 0.00321769
101625 0.00414671
101653 0.00559695
101681 0.00805061
101708 0.0125872
101736 0.0220941
101749 0.0308777
101763 0.0443356
101772 0.0568413
101782 0.0711034
101800 0.0895647
101819 0.0719589
101837 0.0449955
101850 0.0322086
101862 0.0236599
101875 0.0178601
101887 0.0139034
101912 0.00904898
101937 0.00636367
101963 0.00474381
101988 0.00369867
102038 0.00248595
102088 0.00183776
102138 0.00145519
102238 0.00104927
102339 0.000857192
102439 0.000759999
102640 0.000702772
102840 0.000768076
103041 0.00101215
103141 0.00128580
103241 0.00180658
103292 0.00225125
103342 0.00292122
103392 0.00397049
103442 0.00563584
103570 0.0120123
103602 0.0118572
103634 0.0104616
103698 0.00678623
103763 0.00424174
103828 0.00283165
103893 0.00203562
103958 0.00155809
104088 0.00104962
104218 0.000802876
104478 0.000582686
104738 0.000491337
105258 0.000420491
105778 0.000397418
107857 0.000414355
109937 0.000538870
110977 0.000719109
111237 0.000816582
111497 0.00100649
111627 0.00121349
111757 0.00170724
111822 0.00230645
111854 0.00285125
111887 0.00375583
111919 0.00542809
111936 0.00685996
111952 0.00905268
111968 0.0126907
111984 0.0191950
112001 0.0322266
112009 0.0437597
112017 0.0611558
112040 0.132974
112046 0.130843
112052 0.114900
112063 0.0734777
112074 0.0476142
112084 0.0321330
112094 0.0228336
112104 0.0170016
112125 0.0105338
112146 0.00728133
112166 0.00544059
112187 0.00430614
112228 0.00304854
112269 0.00241187
112310 0.00205198
112393 0.00169597
112558 0.00149459
112722 0.00150749
113052 0.00176184
113382 0.00225164
113711 0.00309276
114041 0.00461938
114370 0.00768606
114535 0.0104047
114700 0.0145205
115170 0.0321836
115288 0.0320474
115405 0.0284071
115640 0.0182966
115826 0.0124075
116012 0.00866954
116199 0.00631513
116385 0.00478817
116757 0.00303847
117129 0.00213255
117502 0.00161117
117874 0.00128694
118618 0.000927182
119363 0.000749509
120107 0.000657401
121597 0.000605032
123086 0.000686966
123830 0.000802899
124575 0.00102172
125319 0.00146735
125692 0.00187578
126064 0.00254756
126436 0.00376118
126622 0.00476928
126809 0.00628079
126995 0.00869195
127181 0.0128775
127274 0.0162594
127367 0.0213031
127460 0.0297775
127507 0.0368751
127553 0.0485624
127607 0.0767161
127670 0.136164
127702 0.127907
127733 0.101327
127775 0.0807003
127817 0.0734084
127900 0.0702670
128074 0.0572187
128247 0.0363394
128367 0.0258684
128486 0.0188194
128606 0.0141263
128725 0.0109458
128964 0.00715389
129204 0.00517566
129443 0.00418149
129682 0.00407073
129801 0.00465276
129861 0.00533217
129921 0.00655750
129981 0.00892713
130011 0.0109739
130041 0.0141232
130070 0.0192561
130100 0.0282473
130130 0.0453346
130160 0.0791314
130185 0.123472
130210 0.146560
130235 0.112835
130260 0.0706476
130289 0.0412680
130318 0.0262282
130348 0.0180669
130377 0.0132689
130435 0.00822147
130494 0.00577820
130552 0.00441128
130610 0.00356493
130727 0.00260189
130961 0.00175722
131194 0.00137698
131661 0.00102981
131895 0.00100988
132012 0.00122580
132041 0.00141320
132070 0.00179491
132099 0.00270175
132114 0.00364155
132128 0.00523015
132144 0.00784168
132160 0.00940809
132176 0.00754410
132192 0.00499316
132204 0.00370336
132215 0.00287054
132239 0.00195485
132262 0.00150956
132286 0.00126662
132332 0.00102286
132379 0.000907022
132567 0.000741838
132942 0.000638120
133692 0.000548751
134443 0.000566292
134630 0.000628105
134818 0.000798041
134912 0.00100188
135006 0.00144821
135052 0.00189467
135099 0.00269559
135146 0.00429654
135170 0.00570936
135193 0.00784702
135260 0.0173132
135277 0.0173763
135294 0.0155282
135327 0.0101280
135363 0.00609891
135399 0.00394702
135435 0.00277001
135471 0.00208068
135543 0.00136415
135615 0.00102538
135759 0.000734184
135903 0.000629641
136047 0.000611971
136191 0.000707044
136263 0.000874064
136299 0.00104348
136335 0.00134789
136371 0.00196942
136389 0.00255312
136407 0.00354538
136425 0.00543218
136434 0.00708414
136443 0.00969503
136452 0.0141545
136461 0.0226199
136466 0.0299351
136470 0.0411886
136475 0.0592830
136479 0.0892259
136490 0.203333
136493 0.203605
136495 0.181196
136501 0.116049
136507 0.0655802
136513 0.0398269
136519 0.0262337
136525 0.0185563
136531 0.0137313
136537 0.0105766
136549 0.00688482
136561 0.00486785
136574 0.00366821
136598 0.00236239
136646 0.00132798
136695 0.000935228
136792 0.000636838
136889 0.000525436
137277 0.000405429
138053 0.000374930
138442 0.000390754
138830 0.000454120
139024 0.000540485
139218 0.000752954
139315 0.000993610
139412 0.00149331
139461 0.00196762
139509 0.00277129
139558 0.00424579
139606 0.00713513
139690 0.0155809
139711 0.0154538
139732 0.0136606
139774 0.00881183
139818 0.00537851
139861 0.00350319
139905 0.00245792
139948 0.00183789
140036 0.00118190
140123 0.000866536
140297 0.000586107
140471 0.000469098
140820 0.000374462
141168 0.000337479
142563 0.000303149
143260 0.000311839
143957 0.000353728
144305 0.000415232
144654 0.000582789
144828 0.000798520
144915 0.000999099
145003 0.00133616
145090 0.00196819
145133 0.00251302
145177 0.00335777
145220 0.00476904
145264 0.00734121
145286 0.00948025
145308 0.0126398
145329 0.0174484
145351 0.0248112
145410 0.0535988
145425 0.0526927
145440 0.0463186
145469 0.0296928
145490 0.0207974
145512 0.0149013
145533 0.0110360
145555 0.00844414
145597 0.00537177
145640 0.00372496
145683 0.00275316
145726 0.00213588
145811 0.00142965
145897 0.00105712
145983 0.000837833
146154 0.000604216
146325 0.000489586
146496 0.000425961
146838 0.000365318
147180 0.000348803
147523 0.000375983
147865 0.000595824
148036 0.00142472
148079 0.00220731
148122 0.00418725
148143 0.00656094
148165 0.0119393
148175 0.0175818
148186 0.0283153
148191 0.0377024
148197 0.0518554
148202 0.0743983
148207 0.111011
148220 0.239476
148223 0.234070
148226 0.204458
148233 0.129993
148240 0.0755882
148247 0.0472460
148254 0.0315529
148261 0.0224875
148268 0.0167214
148275 0.0129533
148289 0.00841711
148303 0.00593112
148317 0.00442867
148346 0.00278636
148402 0.00148402
148458 0.000992628
148571 0.000631681
148684 0.000520648
148909 0.000634683
149022 0.00142838
149078 0.00433314
149093 0.00701742
149107 0.0136300
149114 0.0213725
149121 0.0378773
149124 0.0542054
149128 0.0831821
149131 0.140056
149133 0.191001
149135 0.261990
149140 0.564171
149141 0.544952
149143 0.472003
149145 0.299676
149148 0.194669
149150 0.131360
149154 0.0694514
149159 0.0421462
149163 0.0281258
149172 0.0150419
