16-S_n-g
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
5.251350e+04 4.73734731e-04
5.259060e+04 4.66842722e-04
5.274470e+04 4.61513432e-04
5.289870e+04 4.63899597e-04
5.305280e+04 4.75499049e-04
5.312990e+04 4.87780457e-04
5.320690e+04 5.09009843e-04
5.328400e+04 5.47876085e-04
5.332250e+04 5.78996628e-04
5.336100e+04 6.21726083e-04
5.343050e+04 7.28464867e-04
5.350000e+04 7.99299810e-04
5.356950e+04 7.28251316e-04
5.363900e+04 6.22271078e-04
5.368560e+04 5.72743560e-04
5.373230e+04 5.39262813e-04
5.382550e+04 5.01244005e-04
5.391870e+04 4.82571882e-04
5.401200e+04 4.72573594e-04
5.410520e+04 4.66875143e-04
5.419850e+04 4.63519519e-04
5.438500e+04 4.60411888e-04
5.457150e+04 4.59669702e-04
5.475790e+04 4.60050846e-04
5.513090e+04 4.62380544e-04
5.550390e+04 4.65662216e-04
5.565080e+04 4.67123180e-04
5.587690e+04 4.70711398e-04
5.662280e+04 4.83124589e-04
5.736880e+04 4.95882256e-04
5.811480e+04 5.08791398e-04
5.960670e+04 5.34808880e-04
6.109860e+04 5.60944424e-04
6.130150e+04 5.64505979e-04
6.250000e+04 5.96213391e-04
6.259050e+04 5.98608075e-04
6.557440e+04 6.77638530e-04
6.695230e+04 7.14163892e-04
6.855820e+04 7.73160683e-04
6.977760e+04 8.17986401e-04
7.005010e+04 8.29936444e-04
7.119030e+04 8.79974737e-04
7.154200e+04 8.96899024e-04
7.189670e+04 9.13984220e-04
7.228800e+04 9.34065015e-04
7.260300e+04 9.50248821e-04
7.303400e+04 9.73861503e-04
7.330940e+04 9.88979035e-04
7.377990e+04 1.01656152e-03
7.401570e+04 1.03043632e-03
7.452590e+04 1.06252277e-03
7.472200e+04 1.07491817e-03
7.489890e+04 1.08687870e-03
7.500000e+04 1.09375472e-03
7.527180e+04 1.11224156e-03
7.542840e+04 1.12300418e-03
7.564480e+04 1.13892946e-03
7.601780e+04 1.16689913e-03
7.613470e+04 1.17603209e-03
7.639080e+04 1.19739118e-03
7.657730e+04 1.21390398e-03
7.676380e+04 1.23176357e-03
7.684110e+04 1.24029305e-03
7.695020e+04 1.25296800e-03
7.704350e+04 1.26576216e-03
7.713670e+04 1.28092008e-03
7.723000e+04 1.30009827e-03
7.732320e+04 1.32643080e-03
7.736980e+04 1.34404569e-03
7.741650e+04 1.36615663e-03
7.746310e+04 1.39433977e-03
7.750970e+04 1.43033120e-03
7.754740e+04 1.46647224e-03
7.755730e+04 1.47602611e-03
7.760490e+04 1.52784176e-03
7.770000e+04 1.59542978e-03
7.774760e+04 1.58192890e-03
7.779520e+04 1.54405358e-03
7.789030e+04 1.46329852e-03
7.798490e+04 1.41484361e-03
7.807950e+04 1.39132809e-03
7.817410e+04 1.38130515e-03
7.825380e+04 1.37889351e-03
7.826870e+04 1.37860587e-03
7.836330e+04 1.38076241e-03
7.845800e+04 1.38527527e-03
7.864720e+04 1.39813732e-03
7.883640e+04 1.41366365e-03
7.902560e+04 1.43050671e-03
7.940400e+04 1.46606052e-03
7.966640e+04 1.49150453e-03
7.978250e+04 1.50476723e-03
8.016090e+04 1.54849690e-03
8.053930e+04 1.59248263e-03
8.091770e+04 1.63661208e-03
8.107910e+04 1.65548359e-03
8.125000e+04 1.67910325e-03
8.167460e+04 1.73778829e-03
8.243140e+04 1.84254287e-03
8.249180e+04 1.85090937e-03
8.318830e+04 1.96580852e-03
8.390450e+04 2.08399684e-03
8.394520e+04 2.09206088e-03
8.531720e+04 2.36395901e-03
8.545890e+04 2.39796376e-03
8.672990e+04 2.70301078e-03
8.697260e+04 2.77415191e-03
8.750000e+04 2.92875261e-03
