17-Cl_n-g
>  17-Cl-35:0.757600
>  17-Cl-37:0.242400
1.056090e-01 1.62050079e+01
1.083230e-01 1.59999266e+01
1.112880e-01 1.57848648e+01
1.142530e-01 1.55781366e+01
1.172180e-01 1.53792874e+01
1.202260e-01 1.51852015e+01
1.231480e-01 1.50033322e+01
1.250000e-01 1.48921402e+01
1.261130e-01 1.48253820e+01
1.290790e-01 1.46537521e+01
1.320440e-01 1.44878043e+01
1.353530e-01 1.43093753e+01
1.388000e-01 1.41302417e+01
1.421110e-01 1.39642370e+01
1.452870e-01 1.38102246e+01
1.483290e-01 1.36673710e+01
1.500000e-01 1.35915922e+01
1.527990e-01 1.34647966e+01
1.566700e-01 1.32973744e+01
1.587300e-01 1.32101640e+01
1.617670e-01 1.30851880e+01
1.663620e-01 1.29029848e+01
1.705900e-01 1.27411276e+01
1.741860e-01 1.26086626e+01
1.794850e-01 1.24201657e+01
1.856830e-01 1.22104280e+01
1.913460e-01 1.20274196e+01
1.972760e-01 1.18443803e+01
2.000000e-01 1.17639885e+01
2.032060e-01 1.16695070e+01
2.091360e-01 1.15021733e+01
2.155560e-01 1.13291216e+01
2.209970e-01 1.11879609e+01
2.282570e-01 1.10082565e+01
2.328570e-01 1.08979917e+01
2.387870e-01 1.07611135e+01
2.447170e-01 1.06291596e+01
2.506480e-01 1.05019786e+01
2.565780e-01 1.03791917e+01
2.635410e-01 1.02405711e+01
2.707060e-01 1.01034508e+01
2.743680e-01 1.00348470e+01
2.750000e-01 1.00234017e+01
2.802990e-01 9.92757201e+00
2.862290e-01 9.82357062e+00
2.921590e-01 9.72275115e+00
2.980890e-01 9.62496207e+00
3.040190e-01 9.52997612e+00
3.099500e-01 9.43779324e+00
3.158800e-01 9.34818625e+00
3.235340e-01 9.23637420e+00
3.327240e-01 9.10691176e+00
3.409800e-01 8.99514645e+00
3.500000e-01 8.87774372e+00
3.514610e-01 8.85875315e+00
3.608470e-01 8.74217308e+00
3.713670e-01 8.61684576e+00
3.811120e-01 8.50457297e+00
3.929720e-01 8.37420431e+00
4.048330e-01 8.24959337e+00
4.166930e-01 8.13028566e+00
4.285540e-01 8.01597809e+00
4.404140e-01 7.90629190e+00
4.522740e-01 7.80084828e+00
4.647600e-01 7.69432477e+00
4.759950e-01 7.60193107e+00
4.878560e-01 7.50791202e+00
