60-Nd_n-g
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
8.690530e+00 7.51985292e-01
9.127020e+00 7.02916132e-01
9.999990e+00 6.07749328e-01
1.000000e+01 6.07748509e-01
1.000010e+01 6.07741018e-01
1.000030e+01 6.07728081e-01
1.000050e+01 6.07707529e-01
1.000110e+01 6.07665844e-01
1.000210e+01 6.07587147e-01
1.000420e+01 6.07426394e-01
1.000830e+01 6.07107418e-01
1.001650e+01 6.06469467e-01
1.003310e+01 6.05194202e-01
1.006610e+01 6.02661789e-01
1.013220e+01 5.97645775e-01
1.026440e+01 5.87815910e-01
1.052880e+01 5.68928428e-01
1.105770e+01 5.33936310e-01
1.211530e+01 4.73168302e-01
1.211540e+01 4.73163115e-01
1.211550e+01 4.73159367e-01
1.211560e+01 4.73152355e-01
1.211590e+01 4.73134971e-01
1.211660e+01 4.73101765e-01
1.211780e+01 4.73036321e-01
1.212030e+01 4.72905779e-01
1.212530e+01 4.72641818e-01
1.213530e+01 4.72117990e-01
1.215540e+01 4.71071455e-01
1.219540e+01 4.68989975e-01
1.227550e+01 4.64865206e-01
1.243570e+01 4.56770862e-01
1.250000e+01 4.53639170e-01
1.275600e+01 4.42047523e-01
1.339670e+01 4.15173453e-01
1.467800e+01 3.68540951e-01
1.467810e+01 3.68538472e-01
1.467820e+01 3.68534818e-01
1.467830e+01 3.68530832e-01
1.467860e+01 3.68519620e-01
1.467930e+01 3.68498494e-01
1.468050e+01 3.68457049e-01
1.468310e+01 3.68373353e-01
1.468810e+01 3.68205633e-01
1.469810e+01 3.67873927e-01
1.471830e+01 3.67207440e-01
1.475850e+01 3.65881138e-01
1.483900e+01 3.63249805e-01
1.500000e+01 3.58070986e-01
1.534790e+01 3.48556400e-01
1.569570e+01 3.39510860e-01
1.639140e+01 3.22704806e-01
1.778280e+01 2.93500916e-01
1.778290e+01 2.93499386e-01
1.778300e+01 2.93497856e-01
1.778310e+01 2.93495391e-01
1.778340e+01 2.93489988e-01
1.778390e+01 2.93479816e-01
1.778500e+01 2.93459164e-01
1.778720e+01 2.93417495e-01
1.779150e+01 2.93334911e-01
1.780010e+01 2.93169911e-01
1.781750e+01 2.92839209e-01
1.785210e+01 2.92181360e-01
1.792140e+01 2.90873511e-01
1.806000e+01 2.88292734e-01
1.833710e+01 2.83266532e-01
1.889140e+01 2.73728195e-01
2.000000e+01 2.56531389e-01
2.154430e+01 2.40465589e-01
2.154440e+01 2.40464843e-01
2.154450e+01 2.40464117e-01
2.154460e+01 2.40462905e-01
2.154480e+01 2.40461211e-01
2.154490e+01 2.40460323e-01
2.154530e+01 2.40456250e-01
2.154540e+01 2.40455249e-01
2.154630e+01 2.40446972e-01
2.154650e+01 2.40445124e-01
2.154830e+01 2.40429042e-01
2.154880e+01 2.40424597e-01
2.155220e+01 2.40393344e-01
2.155320e+01 2.40384139e-01
2.156010e+01 2.40321261e-01
2.156210e+01 2.40303056e-01
2.157590e+01 2.40177539e-01
2.157990e+01 2.40141210e-01
2.160750e+01 2.39891293e-01
2.161550e+01 2.39819097e-01
2.167060e+01 2.39324488e-01
2.168670e+01 2.39180935e-01
2.179690e+01 2.38209189e-01
2.182910e+01 2.37929218e-01
2.204940e+01 2.36056267e-01
2.211400e+01 2.35523296e-01
2.255460e+01 2.32046340e-01
2.268360e+01 2.31097740e-01
2.356480e+01 2.25192368e-01
2.382300e+01 2.23788737e-01
2.558530e+01 2.16092258e-01
2.610160e+01 2.14500544e-01
2.610170e+01 2.14500333e-01
2.610180e+01 2.14500000e-01
2.610190e+01 2.14500120e-01
2.610200e+01 2.14499991e-01
2.610220e+01 2.14499449e-01
2.610230e+01 2.14499108e-01
2.610290e+01 2.14497544e-01
2.610300e+01 2.14497361e-01
2.610410e+01 2.14495256e-01
2.610440e+01 2.14494622e-01
2.610660e+01 2.14489664e-01
2.610710e+01 2.14488578e-01
2.611150e+01 2.14479121e-01
2.611250e+01 2.14476930e-01
2.612140e+01 2.14457959e-01
2.612350e+01 2.14453527e-01
2.614120e+01 2.14415848e-01
2.614530e+01 2.14407266e-01
2.618080e+01 2.14333764e-01
2.618900e+01 2.14317396e-01
2.626000e+01 2.14177847e-01
2.627640e+01 2.14148060e-01
2.641840e+01 2.13898654e-01
2.645120e+01 2.13851382e-01
2.673520e+01 2.13475902e-01
2.680080e+01 2.13433820e-01
2.736880e+01 2.13197124e-01
2.750000e+01 2.13355479e-01
2.863610e+01 2.16975875e-01
2.956140e+01 2.24464278e-01
3.117050e+01 2.38548630e-01
3.162280e+01 2.45150689e-01
3.162290e+01 2.45152404e-01
3.162300e+01 2.45154057e-01
3.162320e+01 2.45157486e-01
3.162360e+01 2.45164221e-01
3.162450e+01 2.45176930e-01
3.162610e+01 2.45203286e-01
3.162940e+01 2.45255943e-01
3.163590e+01 2.45361622e-01
3.163600e+01 2.45363254e-01
3.164890e+01 2.45573928e-01
3.164920e+01 2.45578810e-01
3.167510e+01 2.46000303e-01
3.167560e+01 2.46008581e-01
3.172730e+01 2.46865157e-01
3.172840e+01 2.46883863e-01
3.183190e+01 2.48645757e-01
3.183390e+01 2.48681763e-01
3.204090e+01 2.52417303e-01
3.204500e+01 2.52499891e-01
3.245900e+01 2.60872765e-01
3.246710e+01 2.61077948e-01
3.329510e+01 2.82183416e-01
3.331140e+01 2.82855594e-01
3.496740e+01 3.51648509e-01
3.500000e+01 3.54400624e-01
3.663960e+01 4.95033580e-01
3.747580e+01 6.26018057e-01
3.831190e+01 8.41935461e-01
3.831200e+01 8.41972264e-01
3.831220e+01 8.42023065e-01
3.831240e+01 8.42107331e-01
3.831290e+01 8.42272567e-01
3.831390e+01 8.42603038e-01
3.831590e+01 8.43268127e-01
3.831980e+01 8.44598405e-01
3.832770e+01 8.47273788e-01
3.834340e+01 8.52668067e-01
3.834360e+01 8.52737734e-01
3.837490e+01 8.63640441e-01
3.837520e+01 8.63748694e-01
3.843780e+01 8.86338593e-01
3.843850e+01 8.86609060e-01
3.856370e+01 9.34987132e-01
3.856520e+01 9.35656200e-01
3.881560e+01 1.04735944e+00
3.881840e+01 1.04907112e+00
3.931920e+01 1.35527287e+00
3.932490e+01 1.36083681e+00
3.982280e+01 1.84697256e+00
4.032650e+01 2.70361532e+00
4.033790e+01 2.73483275e+00
4.057830e+01 3.39328163e+00
4.083010e+01 4.40036937e+00
4.108190e+01 5.95319456e+00
4.133370e+01 8.52676365e+00
4.158560e+01 1.32419502e+01
4.171150e+01 1.72136101e+01
4.183740e+01 2.32437584e+01
4.196330e+01 3.29635454e+01
4.208920e+01 4.98367083e+01
4.221510e+01 8.17297382e+01
4.227810e+01 1.08187796e+02
4.234100e+01 1.45577604e+02
4.236390e+01 1.64644716e+02
4.244550e+01 2.32587099e+02
4.250000e+01 2.62506664e+02
4.255000e+01 2.89955819e+02
4.265450e+01 2.31245773e+02
4.275900e+01 1.44264060e+02
4.287330e+01 8.49635758e+01
4.298760e+01 5.35180345e+01
4.310180e+01 3.61297913e+01
4.321610e+01 2.58100869e+01
4.333040e+01 1.92755566e+01
4.344470e+01 1.49090652e+01
4.367320e+01 9.65350291e+00
4.390180e+01 6.74900639e+00
4.413030e+01 4.98396783e+00
4.458750e+01 3.04518519e+00
4.504460e+01 2.06336476e+00
4.550170e+01 1.50001741e+00
4.595880e+01 1.14784300e+00
4.641590e+01 9.13487251e-01
4.641600e+01 9.13447028e-01
4.641610e+01 9.13390523e-01
4.641640e+01 9.13297926e-01
4.641680e+01 9.13113713e-01
4.641770e+01 9.12744261e-01
4.641940e+01 9.12010407e-01
4.642290e+01 9.10545941e-01
4.642990e+01 9.07628742e-01
4.644390e+01 9.01843636e-01
4.647190e+01 8.90463016e-01
4.652790e+01 8.68434551e-01
4.663990e+01 8.27130783e-01
4.686390e+01 7.54235718e-01
4.731190e+01 6.39199004e-01
4.820800e+01 4.90333586e-01
4.910400e+01 4.10101114e-01
5.000000e+01 3.62958541e-01
5.131850e+01 3.65548081e-01
5.155850e+01 3.77107945e-01
