42-Mo_n-g
> 42-Mo-100:0.098200
>  42-Mo-92:0.145300
>  42-Mo-94:0.091500
>  42-Mo-95:0.158400
>  42-Mo-96:0.166700
>  42-Mo-97:0.096000
>  42-Mo-98:0.243900
4.471750e+01 1.04308493e+03
4.479500e+01 6.51231855e+02
4.484570e+01 4.71579333e+02
4.489630e+01 3.48428091e+02
4.499760e+01 2.05586150e+02
4.509890e+01 1.32979404e+02
4.520020e+01 9.22582603e+01
4.530150e+01 6.74569505e+01
4.540280e+01 5.13438807e+01
4.560550e+01 3.24767219e+01
4.580810e+01 2.23225135e+01
4.601070e+01 1.62577179e+01
4.621330e+01 1.23551457e+01
4.641590e+01 9.69964079e+00
4.641600e+01 9.69859537e+00
4.641610e+01 9.69712226e+00
4.641640e+01 9.69473045e+00
4.641680e+01 9.68991514e+00
4.641770e+01 9.68033204e+00
4.641940e+01 9.66129256e+00
4.642290e+01 9.62340369e+00
4.642990e+01 9.54825954e+00
4.644390e+01 9.40058485e+00
4.647190e+01 9.11526220e+00
4.652790e+01 8.58201512e+00
4.663990e+01 7.64612177e+00
4.686390e+01 6.17915794e+00
4.731190e+01 4.27239092e+00
4.776000e+01 3.12640328e+00
4.820800e+01 2.38508011e+00
4.910400e+01 1.51727128e+00
5.000000e+01 1.04882528e+00
5.077930e+01 7.97978368e-01
5.155850e+01 6.27774440e-01
5.311710e+01 4.18678682e-01
5.467560e+01 3.00387268e-01
5.521120e+01 2.75272287e-01
5.623410e+01 2.27668219e-01
5.623420e+01 2.27665128e-01
5.623430e+01 2.27661244e-01
5.623450e+01 2.27655061e-01
5.623480e+01 2.27641035e-01
5.623560e+01 2.27614720e-01
5.623700e+01 2.27560352e-01
5.623990e+01 2.27453276e-01
5.624570e+01 2.27237541e-01
5.625740e+01 2.26809316e-01
5.628060e+01 2.25955879e-01
5.632710e+01 2.24264924e-01
5.642000e+01 2.20944712e-01
5.660580e+01 2.14545056e-01
5.697760e+01 2.02637689e-01
5.772100e+01 1.81921106e-01
5.781680e+01 1.79865059e-01
5.920790e+01 1.50812488e-01
6.042250e+01 1.35169131e-01
6.172530e+01 1.19529458e-01
6.218170e+01 1.14569221e-01
6.250000e+01 1.12964149e-01
6.302810e+01 1.10349705e-01
6.433090e+01 1.06651344e-01
6.515540e+01 1.07955117e-01
6.563370e+01 1.10166826e-01
6.628510e+01 1.17543992e-01
6.693650e+01 1.30579974e-01
6.758790e+01 1.54091764e-01
6.812920e+01 1.91728869e-01
6.812930e+01 1.91735961e-01
6.812940e+01 1.91742816e-01
6.812970e+01 1.91764331e-01
6.813010e+01 1.91792384e-01
6.813100e+01 1.91855979e-01
6.813270e+01 1.91975681e-01
6.813630e+01 1.92230060e-01
6.814330e+01 1.92723684e-01
6.815740e+01 1.93718736e-01
6.818550e+01 1.95701670e-01
6.823930e+01 1.99499800e-01
6.824180e+01 1.99802020e-01
6.835440e+01 2.13419395e-01
6.856500e+01 2.38907738e-01
6.857960e+01 2.41617600e-01
6.889070e+01 2.99414242e-01
6.902990e+01 3.41733885e-01
6.921640e+01 3.98493798e-01
6.954210e+01 5.76376615e-01
6.970500e+01 7.23473690e-01
6.986780e+01 9.43733672e-01
6.993060e+01 1.07906603e+00
7.003070e+01 1.29483344e+00
7.019350e+01 1.90442852e+00
7.035640e+01 3.10328091e+00
7.043780e+01 4.19144325e+00
7.051920e+01 5.97739119e+00
7.060060e+01 9.20014233e+00
7.064130e+01 1.18707531e+01
7.068210e+01 1.58586660e+01
7.072280e+01 2.21415551e+01
7.076350e+01 3.26886683e+01
7.080420e+01 5.16689975e+01
7.082460e+01 6.67141539e+01
7.084490e+01 8.72183507e+01
7.088250e+01 1.39501569e+02
7.092000e+01 1.74326419e+02
7.095760e+01 1.39412070e+02
7.099510e+01 8.71132721e+01
7.102830e+01 5.65812392e+01
7.106150e+01 3.83091743e+01
7.109470e+01 2.71965013e+01
7.112780e+01 2.01370447e+01
7.119420e+01 1.21805628e+01
7.126060e+01 8.10781855e+00
7.132690e+01 5.77045698e+00
7.139330e+01 4.31325191e+00
7.152600e+01 2.67255087e+00
7.165880e+01 1.82138234e+00
7.173200e+01 1.54741496e+00
7.179150e+01 1.32477047e+00
7.192420e+01 1.01030991e+00
7.205700e+01 7.98771706e-01
7.232240e+01 5.40738916e-01
7.258790e+01 3.95329274e-01
7.285330e+01 3.05335845e-01
7.311880e+01 2.45737723e-01
7.358000e+01 1.83434258e-01
7.364970e+01 1.74018803e-01
7.418070e+01 1.33942177e-01
7.471160e+01 1.09105474e-01
7.500000e+01 1.00090907e-01
7.524250e+01 9.25620005e-02
7.533480e+01 9.08067280e-02
7.630440e+01 7.32691188e-02
7.736620e+01 6.27893018e-02
7.842810e+01 5.87455153e-02
7.869350e+01 6.03222738e-02
7.895900e+01 6.68325668e-02
7.909170e+01 7.59856661e-02
7.915810e+01 8.45703589e-02
7.922440e+01 9.88885574e-02
7.929080e+01 1.25053154e-01
7.935720e+01 1.79706519e-01
7.939040e+01 2.31699393e-01
7.942350e+01 3.19600205e-01
7.945670e+01 4.79267640e-01
7.947490e+01 6.45151252e-01
7.948990e+01 7.81868642e-01
7.952000e+01 1.22129296e+00
7.955000e+01 1.51437113e+00
7.958010e+01 1.22149401e+00
7.961010e+01 7.81944341e-01
7.963000e+01 5.77707167e-01
7.964990e+01 4.38391913e-01
7.968980e+01 2.77696347e-01
7.972960e+01 1.96405358e-01
7.976940e+01 1.50924289e-01
7.980920e+01 1.23225301e-01
7.984910e+01 1.05207719e-01
7.992870e+01 8.40143492e-02
8.000840e+01 7.24872188e-02
8.008800e+01 6.54934011e-02
8.024730e+01 5.76862450e-02
8.056590e+01 5.09559648e-02
8.088450e+01 4.78501646e-02
8.152170e+01 4.45002281e-02
8.215880e+01 4.23631180e-02
8.254040e+01 4.15284822e-02
8.254050e+01 4.15284012e-02
8.254060e+01 4.15281619e-02
8.254070e+01 4.15280809e-02
8.254100e+01 4.15275213e-02
8.254150e+01 4.15266414e-02
8.254260e+01 4.15246423e-02
8.254470e+01 4.15208833e-02
8.254890e+01 4.15132071e-02
8.255750e+01 4.14978510e-02
8.257450e+01 4.14673008e-02
8.260860e+01 4.14062778e-02
8.267680e+01 4.12842319e-02
8.281320e+01 4.10415657e-02
8.308600e+01 4.05605100e-02
8.363160e+01 3.96155059e-02
8.470760e+01 3.78143873e-02
8.472290e+01 3.77981653e-02
8.536990e+01 3.71786577e-02
8.690530e+01 3.57438110e-02
8.725630e+01 3.54729616e-02
8.750000e+01 3.53438126e-02
8.831740e+01 3.51866216e-02
8.979120e+01 3.49562138e-02
8.980510e+01 3.49548745e-02
9.126490e+01 3.50553297e-02
9.127020e+01 3.50564984e-02
9.273870e+01 3.57108591e-02
9.347550e+01 3.62485495e-02
9.375000e+01 3.65782693e-02
9.421240e+01 3.73618833e-02
9.458090e+01 3.82507541e-02
9.490250e+01 3.93269184e-02
9.494930e+01 3.94886487e-02
9.531770e+01 4.14004001e-02
9.568620e+01 4.46441345e-02
9.587040e+01 4.72704315e-02
9.605460e+01 5.11899734e-02
9.623880e+01 5.74830093e-02
9.642300e+01 6.86442120e-02
9.651510e+01 7.78309137e-02
9.660730e+01 9.15679855e-02
9.669940e+01 1.13465793e-01
9.679150e+01 1.51563263e-01
9.687500e+01 2.19808532e-01
9.688360e+01 2.26837536e-01
9.692960e+01 2.95545840e-01
9.697570e+01 4.08996107e-01
9.702180e+01 6.15653885e-01
9.704480e+01 7.88583458e-01
9.706780e+01 1.04918599e+00
9.709080e+01 1.46522832e+00
9.711390e+01 2.17656795e+00
9.713690e+01 3.49226958e+00
9.715990e+01 6.04640087e+00
9.718000e+01 9.65461851e+00
9.720000e+01 1.20616340e+01
9.722010e+01 9.65660413e+00
9.724010e+01 6.04892857e+00
9.726170e+01 3.61019760e+00
9.728320e+01 2.30264218e+00
9.730480e+01 1.57338663e+00
9.732640e+01 1.13794548e+00
9.734790e+01 8.60883183e-01
9.736950e+01 6.75214719e-01
9.741260e+01 4.50897841e-01
9.745570e+01 3.26409120e-01
9.749890e+01 2.50540279e-01
9.758510e+01 1.66910033e-01
9.767130e+01 1.24379825e-01
9.775760e+01 9.98938475e-02
9.784380e+01 8.45412754e-02
9.793010e+01 7.42998952e-02
9.810260e+01 6.19387858e-02
9.827510e+01 5.50792332e-02
9.844760e+01 5.09085929e-02
9.862010e+01 4.82064355e-02
9.896500e+01 4.50876669e-02
9.931000e+01 4.34880422e-02
9.965500e+01 4.26184070e-02
9.999990e+01 4.21429076e-02
1.000000e+02 4.21427596e-02
1.000010e+02 4.21437019e-02
1.000030e+02 4.21456735e-02
1.000050e+02 4.21474314e-02
1.000100e+02 4.21521507e-02
1.000200e+02 4.21615577e-02
1.000400e+02 4.21804033e-02
1.000800e+02 4.22181421e-02
1.001600e+02 4.22937622e-02
1.003200e+02 4.24456043e-02
1.006410e+02 4.27531216e-02
1.007810e+02 4.28896079e-02
1.012810e+02 4.36779748e-02
1.015630e+02 4.41343776e-02
1.021770e+02 4.52909123e-02
1.023440e+02 4.56180151e-02
1.023690e+02 4.56703768e-02
1.025610e+02 4.60916843e-02
1.031250e+02 4.74125927e-02
1.032650e+02 4.77544400e-02
1.043530e+02 5.05458534e-02
1.046880e+02 5.14682283e-02
1.047380e+02 5.16090384e-02
1.048970e+02 5.20947645e-02
1.051230e+02 5.28400049e-02
1.054410e+02 5.40098607e-02
1.059220e+02 5.59947166e-02
1.059850e+02 5.62771047e-02
1.062500e+02 5.77090818e-02
1.064030e+02 5.85414267e-02
1.065140e+02 5.92534947e-02
1.065300e+02 5.93653189e-02
1.066660e+02 6.05042541e-02
1.068020e+02 6.20085405e-02
1.070740e+02 6.54954113e-02
1.071060e+02 6.60075419e-02
1.073460e+02 7.01827114e-02
1.076180e+02 7.66561445e-02
1.076840e+02 7.88414256e-02
1.076990e+02 7.93753040e-02
1.077540e+02 8.14708879e-02
1.078900e+02 8.82082870e-02
1.079950e+02 9.55096180e-02
1.080260e+02 9.77874923e-02
1.081620e+02 1.12976849e-01
1.082910e+02 1.38075595e-01
1.082980e+02 1.39502109e-01
1.083240e+02 1.48157883e-01
1.083660e+02 1.62291600e-01
1.084340e+02 1.96849520e-01
1.085020e+02 2.53367074e-01
1.085700e+02 3.55565089e-01
1.085870e+02 3.97810597e-01
1.086040e+02 4.40324268e-01
1.086380e+02 5.65307828e-01
1.086440e+02 5.98632945e-01
1.086720e+02 7.54305043e-01
1.087060e+02 1.04055511e+00
1.087350e+02 1.39378356e+00
1.087530e+02 1.61344837e+00
1.088000e+02 1.99698124e+00
1.088470e+02 1.62119222e+00
1.088830e+02 1.18741560e+00
1.088940e+02 1.05542698e+00
1.089390e+02 7.10009771e-01
1.089640e+02 5.97914684e-01
1.089830e+02 5.12959514e-01
1.090280e+02 3.99383818e-01
1.090310e+02 3.94717910e-01
1.090720e+02 3.34154527e-01
1.091050e+02 3.10794197e-01
1.091610e+02 2.76938017e-01
1.091790e+02 2.74343543e-01
1.092500e+02 2.77815936e-01
1.092530e+02 2.78564024e-01
1.092850e+02 2.99263999e-01
1.093270e+02 3.27305554e-01
1.093390e+02 3.42213548e-01
1.093640e+02 3.75783492e-01
1.093750e+02 3.98025039e-01
1.094010e+02 4.50596462e-01
1.094280e+02 5.34117984e-01
1.094380e+02 5.65771055e-01
1.094450e+02 5.99182208e-01
1.094750e+02 7.43251802e-01
1.095280e+02 1.10677914e+00
1.095800e+02 1.34866477e+00
1.096050e+02 1.23426778e+00
1.096060e+02 1.22975179e+00
1.096330e+02 1.10900976e+00
1.096850e+02 7.49904457e-01
1.097180e+02 5.89272754e-01
1.097520e+02 4.78851358e-01
1.097650e+02 4.54140217e-01
1.097840e+02 4.20703400e-01
1.098190e+02 3.59797746e-01
1.098850e+02 3.07667281e-01
1.099250e+02 2.94539884e-01
1.099520e+02 2.92114860e-01
1.099620e+02 2.93470253e-01
1.099990e+02 2.98856337e-01
1.100050e+02 2.99758142e-01
1.100190e+02 3.06557816e-01
1.100850e+02 3.46791308e-01
1.100860e+02 3.48046861e-01
1.101400e+02 4.20972038e-01
1.101650e+02 4.54875319e-01
1.102190e+02 5.94209695e-01
1.102450e+02 6.62960121e-01
1.103180e+02 9.67608658e-01
1.103230e+02 9.88497602e-01
1.103530e+02 1.07245160e+00
1.104000e+02 1.20537593e+00
1.104780e+02 9.81739623e-01
1.104870e+02 9.42640570e-01
1.105550e+02 6.48602202e-01
1.106110e+02 4.82319501e-01
1.106670e+02 3.72424033e-01
1.106740e+02 3.63300499e-01
1.107230e+02 2.99586152e-01
1.107540e+02 2.71606436e-01
1.107780e+02 2.50234720e-01
1.108320e+02 2.21690502e-01
1.108900e+02 1.91547408e-01
1.110020e+02 1.59999725e-01
1.110210e+02 1.56790096e-01
1.110290e+02 1.55480409e-01
1.111130e+02 1.41856750e-01
1.112250e+02 1.30704282e-01
1.112880e+02 1.27304492e-01
1.113850e+02 1.22394562e-01
1.114480e+02 1.19257914e-01
1.116660e+02 1.14890747e-01
1.116720e+02 1.14905468e-01
1.117410e+02 1.16010293e-01
1.118230e+02 1.17376339e-01
1.118950e+02 1.18710194e-01
1.120820e+02 1.23907829e-01
1.123410e+02 1.46329976e-01
1.123570e+02 1.47821877e-01
1.124530e+02 1.56847627e-01
1.124990e+02 1.61192321e-01
1.125000e+02 1.61435115e-01
1.127070e+02 2.11695773e-01
1.128110e+02 2.58818378e-01
1.128910e+02 3.20129239e-01
1.129150e+02 3.38534068e-01
1.130200e+02 4.89644264e-01
1.130720e+02 6.21433940e-01
1.131240e+02 8.28310297e-01
1.131650e+02 1.10524313e+00
1.131760e+02 1.17954509e+00
1.132280e+02 1.83678357e+00
1.132340e+02 1.96575402e+00
1.132540e+02 2.39571400e+00
1.132800e+02 3.23321767e+00
1.133060e+02 4.53036325e+00
1.133320e+02 6.54713606e+00
1.133660e+02 1.04032955e+01
1.134000e+02 1.29672632e+01
1.134340e+02 1.04067729e+01
1.134680e+02 6.55180715e+00
1.135030e+02 4.03512380e+00
1.135370e+02 2.64246703e+00
1.135720e+02 1.84507748e+00
1.136070e+02 1.36016540e+00
1.136760e+02 8.35773808e-01
1.137450e+02 5.78225571e-01
1.138140e+02 4.33978323e-01
1.138840e+02 3.45803807e-01
1.139600e+02 2.92155175e-01
1.140220e+02 2.48409173e-01
1.141280e+02 2.10824666e-01
1.141610e+02 1.99175749e-01
1.142990e+02 1.71361428e-01
1.145760e+02 1.43454081e-01
1.145880e+02 1.43075835e-01
1.150210e+02 1.29489518e-01
1.151300e+02 1.26377393e-01
1.156840e+02 1.25885701e-01
1.159140e+02 1.29195792e-01
1.160120e+02 1.31253819e-01
1.160980e+02 1.33064772e-01
1.163600e+02 1.38617150e-01
1.165840e+02 1.45481199e-01
1.168070e+02 1.55614498e-01
1.170300e+02 1.73258016e-01
1.171420e+02 1.88342578e-01
1.172540e+02 2.12379908e-01
1.173650e+02 2.55006777e-01
1.174210e+02 2.90089671e-01
1.174350e+02 3.03174418e-01
1.174770e+02 3.42430123e-01
1.175330e+02 4.25054293e-01
