47-Ag_n-tot
> 47-Ag-107:0.518390
> 47-Ag-109:0.481610
5.776790e+01 9.77934443e+00
5.790570e+01 9.42118412e+00
5.823790e+01 8.59746580e+00
5.870780e+01 7.87228392e+00
5.917780e+01 7.36737793e+00
5.947140e+01 7.12900010e+00
5.964780e+01 7.00071200e+00
6.058770e+01 6.51509418e+00
6.103710e+01 6.34843681e+00
6.152760e+01 6.18925432e+00
6.260280e+01 5.94426130e+00
6.338570e+01 5.79606937e+00
6.340740e+01 5.79325346e+00
6.358140e+01 5.78274729e+00
6.377710e+01 5.79141246e+00
6.387490e+01 5.81783444e+00
6.397280e+01 5.88906964e+00
6.402170e+01 5.96609185e+00
6.407070e+01 6.10912942e+00
6.411960e+01 6.40101910e+00
6.414400e+01 6.65953831e+00
6.416850e+01 7.04412837e+00
6.420430e+01 7.85209842e+00
6.424000e+01 8.39180843e+00
6.427580e+01 7.85512666e+00
6.431150e+01 7.05003452e+00
6.435610e+01 6.45010824e+00
6.440080e+01 6.16608203e+00
6.444540e+01 6.03187733e+00
6.449000e+01 5.97727659e+00
6.453460e+01 5.98051780e+00
6.457930e+01 6.04982622e+00
6.462390e+01 6.23192236e+00
6.466850e+01 6.64373265e+00
6.470430e+01 7.20823566e+00
6.474000e+01 7.58206087e+00
6.477580e+01 7.18505928e+00
6.481150e+01 6.59582992e+00
6.484400e+01 6.24151356e+00
6.487660e+01 6.02974768e+00
6.490910e+01 5.90002379e+00
6.494160e+01 5.81614631e+00
6.500670e+01 5.71754817e+00
6.507170e+01 5.66247047e+00
6.520180e+01 5.60145684e+00
6.528720e+01 5.57776367e+00
6.533190e+01 5.56803827e+00
6.585240e+01 5.51306001e+00
6.622710e+01 5.49084241e+00
6.689330e+01 5.51227499e+00
6.716710e+01 5.52524333e+00
6.763700e+01 5.61690814e+00
6.810700e+01 5.80488172e+00
6.857690e+01 6.18170782e+00
6.897500e+01 6.85244601e+00
6.904690e+01 6.97426548e+00
6.928190e+01 7.69720702e+00
6.951680e+01 8.84931872e+00
6.975180e+01 1.08028653e+01
6.998680e+01 1.44213377e+01
7.010430e+01 1.74698286e+01
7.022180e+01 2.20798437e+01
7.033930e+01 2.94709639e+01
7.039800e+01 3.49368273e+01
7.045680e+01 4.22983051e+01
7.051550e+01 5.25171294e+01
7.057420e+01 6.72268226e+01
7.063300e+01 8.94043577e+01
7.069170e+01 1.24853141e+02
7.075050e+01 1.86093581e+02
7.077990e+01 2.34501826e+02
7.080920e+01 3.03420399e+02
7.083860e+01 4.05127941e+02
7.086800e+01 5.61151459e+02
7.089730e+01 8.08987183e+02
7.092670e+01 1.20592454e+03
7.096340e+01 1.94687092e+03
7.100000e+01 2.45810859e+03
7.103670e+01 1.98897613e+03
7.105680e+01 1.58792299e+03
7.107330e+01 1.25870049e+03
7.110200e+01 8.66231288e+02
7.113070e+01 6.15307267e+02
7.115940e+01 4.54027724e+02
7.118810e+01 3.47016478e+02
7.124550e+01 2.20905148e+02
7.130280e+01 1.53366264e+02
7.136020e+01 1.13348982e+02
7.141760e+01 8.77852979e+01
7.153240e+01 5.82191279e+01
7.164720e+01 4.24043200e+01
7.176190e+01 3.29418049e+01
7.187670e+01 2.68154973e+01
7.199150e+01 2.26108135e+01
7.209760e+01 2.01766068e+01
7.222100e+01 1.73492261e+01
7.235790e+01 1.55218979e+01
7.245050e+01 1.42916180e+01
7.261810e+01 1.28757521e+01
7.268010e+01 1.23610125e+01
7.274820e+01 1.19804292e+01
7.281320e+01 1.16297060e+01
7.287830e+01 1.12957832e+01
7.290960e+01 1.11518279e+01
7.294340e+01 1.10701934e+01
7.300840e+01 1.09912600e+01
7.304090e+01 1.10144018e+01
7.307350e+01 1.11204757e+01
7.310600e+01 1.13766701e+01
7.313850e+01 1.18933192e+01
7.317430e+01 1.28265933e+01
7.321000e+01 1.34060506e+01
7.324580e+01 1.25670374e+01
7.328150e+01 1.13731810e+01
7.332130e+01 1.04900685e+01
7.336120e+01 9.95709210e+00
7.336870e+01 9.88966026e+00
7.340100e+01 9.64783283e+00
7.344080e+01 9.43691712e+00
7.352050e+01 9.13390076e+00
7.360020e+01 8.89950886e+00
7.367980e+01 8.69376313e+00
7.375950e+01 8.50156300e+00
7.382780e+01 8.34507025e+00
7.391880e+01 8.20521693e+00
7.423750e+01 7.74363998e+00
7.428680e+01 7.67404666e+00
7.455610e+01 7.40811539e+00
7.474590e+01 7.22404990e+00
7.566410e+01 6.64751490e+00
7.583080e+01 6.58251136e+00
7.658220e+01 6.29491419e+00
7.750040e+01 6.05661251e+00
