Mn-55(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
12691.6 0.414713
12692.1 0.562203
12692.6 0.800010
12693.1 1.23917
12693.4 1.60619
12693.6 2.15871
12693.9 3.03826
12694.1 4.53614
12694.4 7.28202
12694.7 12.2557
12694.9 19.4799
12695.1 24.2465
12695.3 19.4824
12695.6 12.2579
12695.8 7.28335
12696.1 4.61379
12696.3 3.12684
12696.6 2.26821
12696.8 1.69526
12697.1 1.32496
12697.5 0.864366
12698.0 0.603691
12698.5 0.448181
12699.5 0.275980
12700.5 0.187339
12701.5 0.136756
12703.5 0.0834007
12705.4 0.0574912
12707.4 0.0429904
12711.3 0.0281874
12719.2 0.0172966
12727.1 0.0133935
12742.9 0.0105576
12758.6 0.00954670
12790.1 0.00880606
12821.6 0.00853241
12947.7 0.00821047
13199.8 0.00801535
13704.1 0.00779473
14208.3 0.00765463
14460.4 0.00762156
14586.5 0.00766350
14649.5 0.00788265
14681.0 0.00875604
14696.8 0.0121580
14704.7 0.0250900
14708.6 0.0718267
14710.6 0.224610
14711.1 0.352477
14711.6 0.633959
14712.1 1.43843
14712.3 2.52588
14712.6 4.84683
14712.7 7.84314
14712.9 9.69578
14713.1 7.66708
14713.3 4.84784
14713.5 2.52639
14713.7 1.46816
14714.2 0.661346
14714.7 0.367638
14715.2 0.236109
14717.0 0.0762359
14720.8 0.0264043
14728.4 0.0125301
14743.5 0.00886731
14773.8 0.00794031
14834.4 0.00778846
14895.0 0.00824455
14925.3 0.0102350
14940.4 0.0180296
14948.0 0.0475875
14949.9 0.0767599
14951.8 0.154083
14952.7 0.253578
14953.7 0.497755
14954.2 0.790632
14954.6 1.42121
14954.9 2.07268
14955.1 3.19906
14955.3 5.56854
14955.5 7.68591
14955.6 10.8345
14955.7 17.3557
14955.9 21.6711
14956.1 17.3555
14956.3 10.8344
14956.4 7.07172
14956.6 4.79440
14956.7 3.40740
14956.9 2.52495
14957.2 1.52944
14957.5 1.01925
14958.1 0.543550
14958.6 0.340084
14959.8 0.170122
14961.0 0.103518
14963.4 0.0523252
14965.8 0.0333568
14975.3 0.0142382
14994.4 0.00924347
15032.5 0.00796278
15108.7 0.00763193
15261.1 0.00754224
15565.9 0.00753031
15870.7 0.00759710
16023.1 0.00779146
16099.3 0.00847596
16137.4 0.0111111
16156.4 0.0212657
16161.2 0.0314204
16165.9 0.0591151
16168.3 0.0956335
16170.7 0.190726
16171.9 0.308893
16173.1 0.590473
16173.7 0.907417
16174.3 1.54478
16174.6 2.14902
16174.9 3.15595
16175.2 4.94638
16175.4 8.09271
16175.7 13.0197
16176.0 16.1468
16176.3 12.8365
16176.6 8.09096
16176.8 5.73370
16177.0 4.22523
16177.4 2.48791
16177.7 1.60986
16178.1 1.11880
16178.9 0.626355
16179.6 0.399480
16181.2 0.203645
16182.7 0.125060
16185.7 0.0631345
16188.8 0.0398791
16194.9 0.0224167
16201.0 0.0160756
16225.3 0.00978878
16274.0 0.00818640
16371.5 0.00781418
16566.4 0.00781485
16956.3 0.00820131
17151.2 0.00864848
17346.1 0.00960085
17443.6 0.0105806
17541.0 0.0125146
17589.7 0.0143429
17638.5 0.0175976
17662.8 0.0203467
17687.2 0.0246627
17699.4 0.0278892
17711.6 0.0324815
17723.7 0.0407800
17729.8 0.0542699
17732.9 0.0916114
17734.4 0.207115
17735.2 0.516065
17735.5 1.12779
17735.7 1.94083
17735.9 3.89180
17736.1 6.22665
17736.2 7.73625
17736.3 6.22707
17736.5 3.89242
17736.6 2.36835
17736.7 1.52156
17737.0 0.780508
17737.6 0.324594
17738.6 0.135889
17740.8 0.0751241
17745.2 0.0618388
17753.9 0.0699974
17762.7 0.0890093
17771.4 0.121601
17775.8 0.146750
17780.1 0.181814
17784.5 0.232947
17788.8 0.311051
17793.2 0.439000
17797.6 0.665957
17799.8 0.850397
17801.9 1.11538
17804.1 1.50752
17806.3 2.09421
17812.7 4.66578
17814.3 4.64056
17815.9 4.10582
17819.1 2.63248
17821.3 1.87882
17823.4 1.36830
17825.6 1.02589
