In-115(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
63.1402 20.6804
63.1658 16.8955
63.1913 14.3395
63.2425 11.2223
63.2936 9.47050
63.3448 8.38995
63.4470 7.17915
63.5493 6.54897
63.6516 6.17770
63.7539 5.93939
63.8562 5.77658
64.0608 5.57304
64.2653 5.45396
64.6745 5.32445
65.0836 5.25708
65.4927 5.21645
65.9019 5.18987
66.3110 5.17587
66.4000 5.17729
66.4890 5.17003
66.6723 5.16160
66.8555 5.15750
67.2220 5.15448
67.5885 5.15983
67.9550 5.18057
68.3214 5.23773
68.5047 5.29881
68.6879 5.41070
68.8712 5.63971
68.9628 5.85194
69.0544 6.20409
69.1460 6.84379
69.1919 7.37476
69.2377 8.16633
69.2835 9.40698
69.3293 11.4700
69.3751 15.1215
69.4209 21.8045
69.4655 32.1381
69.5100 39.2807
69.5546 32.7540
69.5991 22.5732
69.6520 15.0981
69.7048 11.2908
69.7576 9.24481
69.8105 8.05142
69.8633 7.30305
69.9162 6.80555
70.0218 6.20756
70.1275 5.87562
70.2332 5.67203
70.4446 5.44417
70.6560 5.32478
70.8673 5.25344
71.2901 5.17439
71.7128 5.13379
72.1355 5.11571
72.3469 5.11854
72.5583 5.14350
72.6640 5.17900
72.7696 5.25965
72.8225 5.33997
72.8753 5.48048
72.9282 5.74629
72.9810 6.27588
73.0255 7.00762
73.0700 7.49534
73.1145 7.00547
73.1590 6.27069
73.1947 5.87251
73.2303 5.62177
73.2659 5.46249
73.3016 5.35765
73.3729 5.23479
73.4441 5.16887
73.5867 5.10354
73.7293 5.07218
74.0144 5.04096
74.2995 5.02353
75.4400 4.98105
76.5805 4.94658
77.1508 4.93281
77.4359 4.93503
77.5784 4.95377
77.6497 4.98441
77.7210 5.06326
77.8100 5.21390
77.8990 5.05850
77.9448 4.99711
77.9907 4.96279
78.0823 4.93023
78.2656 4.90777
78.6322 4.89472
78.9988 4.89555
79.3654 4.91692
79.7319 4.99294
79.9152 5.08466
80.0985 5.26793
80.2818 5.68280
80.3735 6.10305
80.4651 6.86322
80.5568 8.42388
80.6026 9.88703
80.6484 12.3530
80.6942 16.9464
80.7172 20.8580
80.7401 26.8419
80.7630 36.5570
80.7859 53.5363
80.8088 85.8319
80.8203 112.760
80.8317 150.934
80.8413 193.042
80.8509 241.546
80.8700 304.412
80.8892 247.363
80.9083 158.207
80.9267 102.090
80.9451 69.6645
80.9634 50.4980
80.9818 38.5582
81.0186 25.3133
81.0553 18.6119
81.0921 14.7784
81.1288 12.3869
81.2023 9.68171
81.2758 8.26582
81.3493 7.43369
81.4964 6.55222
81.6434 6.13823
81.7904 5.94224
82.0844 5.93068
82.2314 6.10922
82.3784 6.47577
82.5254 7.17313
82.6725 8.54991
82.7460 9.74722
82.8195 11.5931
82.8930 14.6090
82.9665 19.9511
83.0400 30.6010
83.0767 40.2968
83.1135 56.1514
83.1503 84.4152
83.1686 107.450
83.1870 141.172
83.2054 192.833
83.2238 275.983
83.2421 416.870
83.2605 660.495
83.2803 1066.65
83.3000 1348.49
83.3198 1093.83
83.3395 694.502
83.3554 474.828
83.3713 335.922
83.3871 247.458
83.4030 189.169
83.4347 120.949
83.4665 84.6244
83.4982 63.1717
83.5300 49.4948
83.5934 33.6942
83.6569 25.2409
83.7204 20.1784
83.7839 16.8951
83.8474 14.6375
83.9744 11.8021
84.1013 10.1416
84.2283 9.07656
84.3553 8.34753
84.6092 7.43212
84.8631 6.89568
85.1171 6.56555
85.2440 6.47718
85.3075 6.47768
85.3710 6.55670
85.4600 6.75829
85.5490 6.42690
85.6393 6.20754
85.7295 6.10340
85.9100 5.98596
86.0905 5.92033
86.1808 5.91809
86.2710 5.98898
86.3600 6.13124
86.4490 5.93099
86.5084 5.83219
86.5679 5.77764
86.6868 5.71665
86.9245 5.64579
87.4000 5.55145
87.8755 5.48379
88.1133 5.46091
88.2321 5.45967
88.2916 5.46883
88.3510 5.49618
88.4400 5.55852
88.5290 5.47812
88.6191 5.42618
88.7093 5.40351
88.8895 5.37875
89.2500 5.34574
89.9709 5.29482
90.6919 5.25437
91.4129 5.22422
92.1338 5.21485
92.4943 5.23093
92.8548 5.28535
93.0350 5.34387
93.2153 5.44526
93.3955 5.62920
93.5757 5.99035
93.6659 6.30654
93.7560 6.79806
93.8461 7.60960
93.9362 9.06627
94.0263 12.0207
94.0714 14.7549
94.1165 19.2978
94.1615 27.5756
94.1841 34.4692
94.2066 44.7792
94.2291 61.0051
94.2516 88.1337
94.2742 136.510
94.2854 174.503
94.2967 225.909
94.3075 289.790
94.3184 363.473
94.3400 459.426
94.3617 373.517
94.3833 238.461
94.4053 149.753
94.4272 99.9944
94.4491 71.2420
94.4711 53.6072
94.4930 42.1527
94.5150 34.3392
94.5588 24.7083
94.6027 19.2368
94.6466 15.8337
94.7344 11.9884
94.8221 9.96924
94.9099 8.77154
94.9976 7.99874
95.0854 7.46847
95.2609 6.80249
95.4364 6.41120
95.6120 6.15877
95.7875 5.98466
96.1385 5.76308
96.4896 5.62964
96.8406 5.54107
97.1917 5.47814
97.8937 5.39476
98.5958 5.34286
99.2979 5.31182
99.6490 5.30655
100.000 5.31938
100.183 5.34686
100.274 5.37455
100.366 5.42183
100.457 5.50906
100.548 5.69011
100.594 5.85957
100.640 6.14028
100.685 6.63435
100.731 7.52884
100.776 8.90004
100.820 9.81406
100.865 8.89894
100.909 7.52545
100.951 6.67670
100.994 6.18790
101.036 5.89891
101.078 5.71878
101.162 5.51881
101.247 5.41742
101.331 5.35892
101.416 5.32195
101.585 5.27877
101.753 5.25454
101.922 5.23883
102.260 5.21883
102.936 5.19567
103.273 5.18860
103.442 5.18837
103.527 5.19233
103.611 5.20722
103.700 5.23405
103.789 5.20349
103.899 5.18216
104.008 5.17480
104.227 5.16777
104.664 5.15877
105.540 5.14413
107.290 5.11961
108.165 5.10936
109.041 5.10194
109.478 5.10136
109.916 5.10868
110.135 5.12194
110.244 5.13520
110.353 5.15810
110.463 5.20127
110.518 5.23821
110.572 5.29483
110.627 5.38692
110.682 5.54834
110.736 5.85703
110.764 6.11631
110.791 6.48431
110.836 7.32934
110.880 7.89274
110.925 7.32931
110.969 6.48358
111.022 5.87180
111.074 5.56257
111.127 5.39685
111.179 5.30076
111.232 5.24060
111.284 5.20077
111.389 5.15297
111.494 5.12638
111.599 5.11001
111.810 5.09145
112.230 5.07572
112.650 5.07093
113.070 5.07547
113.280 5.08438
113.491 5.10341
113.701 5.14608
113.806 5.18754
113.911 5.25847
114.016 5.39202
114.068 5.50614
114.121 5.68089
114.174 5.96516
114.226 6.46012
114.279 7.39683
114.331 9.26985
114.376 11.9043
114.420 13.7407
114.465 12.0994
114.509 9.51303
114.557 7.74282
114.604 6.78018
114.652 6.23597
114.699 5.90715
114.747 5.69535
114.794 5.55220
114.889 5.37665
114.984 5.27705
115.079 5.21501
115.269 5.14413
115.459 5.10586
115.649 5.08222
116.030 5.05431
116.790 5.02585
117.550 5.00857
118.310 4.99542
119.071 4.98657
119.451 4.98664
119.831 4.99821
120.021 5.01798
120.116 5.03736
120.211 5.07031
120.306 5.13118
120.401 5.25837
120.449 5.37866
120.496 5.58027
120.544 5.94129
120.591 6.61195
120.636 7.60992
120.680 8.27516
120.725 7.60908
120.769 6.60954
120.809 6.01758
120.849 5.66576
120.889 5.45298
120.929 5.31814
121.009 5.16620
121.089 5.08794
121.169 5.04244
121.249 5.01349
121.409 4.97945
121.729 4.94750
122.049 4.93087
122.689 4.91042
123.329 4.89897
123.969 4.90697
124.289 4.93296
124.609 5.00122
124.769 5.07021
124.929 5.18711
125.089 5.39626
125.249 5.80324
125.329 6.15782
125.409 6.70720
125.489 7.61102
125.569 9.22595
125.649 12.4794
125.689 15.4691
125.729 20.3985
125.769 29.2778
125.789 36.5850
125.809 47.3850
125.829 64.1097
125.849 91.4434
125.869 138.626
125.879 174.567
125.889 222.101
125.899 284.522
125.910 355.449
125.930 447.784
125.951 365.991
125.971 235.364
125.984 173.959
125.998 131.562
126.024 81.3911
126.051 55.4445
126.078 40.6854
126.105 31.5854
126.131 25.6048
126.185 18.5045
126.238 14.5947
126.291 12.2170
126.398 9.57285
126.505 8.20163
126.611 7.39390
126.718 6.87375
126.825 6.51678
127.038 6.06726
127.252 5.80192
127.679 5.51029
128.105 5.35742
128.532 5.26559
129.386 5.16859
129.813 5.14808
130.240 5.14700
130.667 5.17566
131.094 5.26346
131.307 5.35247
131.520 5.50056
131.734 5.75889
131.947 6.24513
132.161 7.28117
132.268 8.27806
132.374 9.99457
132.481 13.2770
132.534 16.1441
132.588 20.6213
132.641 28.1242
132.694 41.7676
132.721 53.0117
132.748 69.4065
132.774 93.8208
132.801 129.955
132.821 166.130
132.841 207.611
132.880 261.864
132.920 214.141
132.959 138.140
133.002 85.0691
133.045 56.4077
133.088 40.3352
133.131 30.6989
133.174 24.5130
133.217 20.3454
133.304 15.2501
133.390 12.3796
133.476 10.6023
133.648 8.59969
133.820 7.54794
133.992 6.92309
134.165 6.51836
134.337 6.23929
134.681 5.88579
135.026 5.67526
135.370 5.53728
135.715 5.44041
136.403 5.31356
137.092 5.23363
138.470 5.13586
139.848 5.07518
141.226 5.03310
141.914 5.01925
142.603 5.01781
142.948 5.03167
143.120 5.04894
143.292 5.08192
143.464 5.15013
143.551 5.21297
143.637 5.31608
143.723 5.50017
143.809 5.87090
143.852 6.21024
143.895 6.75889
143.938 7.69962
143.981 9.34445
144.026 11.9753
144.070 13.7284
144.115 11.9761
144.159 9.34443
144.204 7.63893
144.249 6.69040
144.294 6.14663
144.339 5.81615
144.429 5.45804
144.520 5.28173
144.610 5.18346
144.700 5.12432
144.880 5.06414
145.060 5.04780
145.241 5.07645
145.331 5.12556
145.421 5.23529
145.466 5.34027
145.511 5.51450
145.556 5.82135
145.601 6.37394
145.646 7.23007
145.690 7.80059
145.735 7.22831
145.779 6.36994
145.808 5.98227
145.836 5.71421
145.893 5.40051
145.950 5.24028
146.007 5.15122
146.121 5.06742
146.235 5.04248
146.349 5.05689
146.463 5.12974
146.520 5.21291
146.577 5.36665
146.634 5.67263
146.663 5.93598
146.691 6.31808
146.736 7.16613
146.780 7.73064
146.825 7.16045
146.869 6.30619
146.922 5.68571
146.975 5.37132
147.027 5.20256
147.080 5.10398
147.186 4.99971
147.291 4.94826
147.502 4.89918
147.713 4.87589
148.135 4.85604
148.558 4.86184
148.769 4.88075
148.980 4.92140
149.191 5.00502
149.402 5.18361
149.507 5.34763
149.613 5.60991
149.718 6.05503
149.824 6.87628
149.929 8.59517
149.982 10.2268
150.035 12.9932
150.088 18.1947
150.114 22.6505
150.140 29.4630
150.167 40.6017
150.193 60.1512
150.220 97.5034
150.233 128.737
150.246 172.769
150.257 222.066
150.268 278.570
150.290 352.662
150.312 287.569
150.334 184.647
150.358 114.091
150.381 75.6533
150.405 53.7711
150.428 40.5829
150.451 32.0552
150.475 26.2983
150.522 19.2338
150.569 15.2266
150.615 12.7431
150.709 9.93262
150.803 8.45326
150.896 7.57249
150.990 7.00172
151.084 6.60822
151.271 6.11054
151.459 5.81504
151.646 5.62233
151.833 5.48787
152.208 5.31369
152.583 5.20580
153.333 5.07715
154.082 4.99957
154.832 4.94459
155.581 4.90389
155.956 4.89595
156.144 4.91455
156.237 4.95665
156.284 5.00617
156.331 5.09895
156.376 5.23968
156.420 5.33288
156.465 5.23579
156.509 5.09111
156.570 4.97396
156.632 4.91944
156.754 4.87452
157.000 4.84517
157.490 4.82868
157.735 4.83541
157.981 4.87235
158.103 4.92442
158.226 5.04616
158.287 5.17219
158.348 5.40304
158.410 5.87187
158.440 6.28819
158.471 6.90653
158.516 8.19882
158.560 9.05947
158.605 8.19512
158.649 6.89848
158.677 6.32435
158.705 5.92427
158.760 5.44742
158.816 5.19792
158.871 5.05456
158.982 4.90575
159.093 4.83323
159.315 4.76385
159.537 4.72891
159.981 4.68840
160.425 4.66198
160.869 4.64615
161.313 4.65349
161.535 4.68241
161.757 4.76749
161.868 4.86975
161.979 5.09032
162.035 5.30676
162.090 5.68607
162.146 6.41362
162.201 7.90229
162.246 9.88456
162.290 11.2074
162.335 9.89503
162.379 7.92215
162.414 6.86612
162.449 6.20184
162.520 5.50559
162.590 5.19219
162.660 5.03641
162.801 4.91768
162.941 4.91226
163.222 5.08941
163.504 5.58132
163.644 6.05355
163.785 6.82257
163.925 8.14652
164.066 10.6215
164.136 12.7157
164.206 15.8834
164.277 20.9490
164.347 29.6619
164.417 46.3579
164.452 60.9631
164.488 83.7638
164.523 122.038
164.558 191.609
164.575 249.014
164.593 332.153
164.611 456.503
164.628 639.967
164.654 1033.39
164.680 1308.02
164.706 1068.46
164.732 684.049
164.758 431.024
164.784 286.829
164.810 202.604
164.836 150.551
164.862 116.550
164.888 93.2543
164.940 64.4012
164.992 47.9219
165.044 37.6291
165.148 25.9506
165.252 19.7758
165.356 16.0961
165.460 13.7125
165.564 12.0727
165.772 10.0032
165.980 8.78376
166.188 7.99718
166.396 7.45895
166.812 6.80450
167.020 6.62244
167.227 6.53996
167.435 6.62620
167.539 6.80344
167.643 7.18352
167.747 8.02994
167.799 8.84307
167.851 10.2168
167.903 12.7470
167.929 14.8640
167.955 18.0353
167.981 23.0266
168.007 31.3568
168.033 46.1475
168.059 73.1542
168.085 115.481
168.110 145.354
168.135 119.465
168.161 78.1206
168.184 52.9617
168.207 37.9806
168.230 28.8338
168.253 23.0366
168.299 16.4505
168.345 13.0397
168.391 11.0540
168.437 9.79526
168.530 8.34057
168.622 7.55381
168.714 7.07306
168.898 6.52570
169.083 6.22489
169.267 6.03341
169.636 5.79807
170.005 5.65294
170.373 5.55046
171.111 5.40890
171.849 5.31226
172.586 5.24569
172.955 5.22785
173.324 5.23885
173.508 5.27682
173.600 5.31740
173.692 5.38849
173.785 5.52168
173.877 5.80123
173.923 6.06458
173.969 6.50272
174.015 7.27768
174.061 8.68835
174.106 10.8365
174.150 12.2668
174.195 10.8313
174.239 8.67707
174.267 7.70880
174.296 7.03662
174.352 6.24558
174.409 5.83546
174.465 5.60140
174.578 5.36032
174.691 5.24418
174.917 5.13539
175.143 5.08298
175.595 5.02761
176.047 4.99956
176.499 5.00274
176.725 5.03201
176.951 5.10960
177.177 5.31377
177.290 5.53541
177.403 5.95232
177.516 6.83787
177.573 7.68704
177.629 9.14205
177.686 11.9016
177.714 14.2928
177.742 17.9855
177.771 24.1005
177.799 34.9786
177.827 56.3741
177.841 74.6389
177.855 101.111
177.866 129.134
177.878 161.548
177.900 204.149
177.922 167.164
177.945 108.132
177.962 76.6769
177.979 56.2963
177.996 43.0520
178.014 34.1849
178.048 23.6310
178.082 17.9142
178.117 14.4972
178.151 12.2973
178.220 9.72916
178.289 8.33873
178.358 7.49733
178.495 6.56435
178.633 6.07807
178.770 5.78773
179.046 5.46430
179.321 5.29000
179.596 5.18019
180.146 5.04456
