Cd-110(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
652.183 4.49883
652.219 6.03874
652.256 8.51242
652.292 12.8340
652.328 21.3092
652.346 28.8885
652.364 40.8032
652.383 60.6325
652.401 93.8203
652.421 150.357
652.441 187.842
652.462 150.064
652.482 93.8260
652.495 67.6965
652.509 49.8670
652.535 29.3090
652.562 18.9198
652.589 13.1133
652.616 9.58508
652.643 7.29584
652.696 4.62198
652.750 3.18051
652.803 2.31973
652.857 1.76572
652.910 1.38918
653.018 0.923420
653.125 0.658178
653.232 0.492725
653.339 0.382834
653.553 0.250350
653.768 0.176627
653.982 0.131436
654.196 0.101763
654.625 0.0664232
655.053 0.0469958
655.910 0.0274797
656.768 0.0183638
657.625 0.0133890
659.339 0.00843152
662.767 0.00491439
666.196 0.00372932
673.053 0.00300027
679.910 0.00289177
693.624 0.00321763
707.338 0.00397052
721.053 0.00528365
734.767 0.00776265
741.624 0.0100470
748.481 0.0144052
751.909 0.0189265
753.624 0.0228650
755.338 0.0294948
757.052 0.0427953
757.909 0.0556278
758.766 0.0786725
759.195 0.0979569
759.624 0.127332
760.052 0.175442
760.481 0.262633
760.695 0.335755
760.909 0.446942
761.124 0.628119
761.338 0.953082
761.445 1.22271
761.552 1.62748
761.659 2.27671
761.766 3.41233
761.874 5.67856
761.927 7.76662
761.981 11.2420
762.034 17.6766
762.061 23.1457
762.088 31.4841
762.115 45.1245
762.141 69.2064
762.168 115.884
762.182 155.549
762.195 212.195
762.216 340.019
762.237 424.783
762.258 339.385
762.279 212.206
762.298 138.696
762.316 94.3438
762.335 67.2016
762.353 49.9445
762.390 30.2776
762.426 20.1858
762.463 14.3592
762.500 10.7279
762.573 6.62750
762.647 4.49210
762.720 3.24592
762.794 2.45475
762.867 1.92286
763.014 1.27326
763.161 0.907224
763.308 0.680947
763.455 0.531421
763.749 0.352414
764.042 0.253511
764.336 0.193250
764.630 0.153897
765.218 0.107474
765.805 0.0823744
766.980 0.0580522
768.156 0.0477218
769.331 0.0430806
771.681 0.0411462
776.382 0.0501766
781.083 0.0736168
783.434 0.0943348
785.784 0.126370
788.135 0.179237
790.485 0.275372
791.660 0.356013
792.248 0.410458
792.836 0.478530
793.423 0.565198
793.717 0.617679
794.011 0.677860
794.305 0.747320
794.599 0.828072
794.892 0.922699
795.186 1.03457
795.480 1.16819
795.774 1.32946
796.068 1.52662
796.361 1.77118
796.655 2.07960
796.949 2.47615
797.243 2.99783
797.537 3.70321
797.830 4.68942
798.124 6.12703
798.418 8.33755
798.712 11.9852
799.006 18.6188
799.153 24.1616
799.299 32.5068
799.446 45.7997
799.593 68.4801
799.740 110.264
799.814 144.137
799.887 191.066
800.016 306.115
800.145 383.127
800.274 306.831
800.402 191.974
800.496 133.908
800.591 95.9013
800.685 70.9827
800.779 54.2166
800.968 34.1649
801.156 23.3142
801.345 16.8557
801.533 12.7295
801.910 7.97252
802.287 5.44843
802.665 3.95455
803.042 2.99910
803.419 2.35188
804.173 1.55663
804.927 1.10566
805.681 0.825614
806.435 0.639943
807.943 0.416881
809.452 0.293194
810.960 0.217639
812.468 0.168234
815.485 0.110190
818.501 0.0805718
820.010 0.0734601
821.518 0.0755846
822.272 0.0868484
822.649 0.100010
823.026 0.125389
823.403 0.180949
823.592 0.236274
823.780 0.336000
823.969 0.543196
824.063 0.742237
824.157 1.08920
824.252 1.77754
824.299 2.40664
824.346 3.44773
824.393 5.35465
824.417 6.95691
824.440 9.36981
824.464 13.2541
824.487 19.9108
824.511 32.3857
824.534 56.8056
824.554 90.8336
824.575 113.507
824.595 90.8356
824.615 56.8080
824.637 32.9754
824.660 20.5652
824.683 13.7973
824.706 9.81861
824.728 7.31564
824.751 5.65076
824.796 3.65538
824.842 2.55670
824.887 1.89027
824.978 1.15945
825.069 0.788576
825.159 0.575340
825.341 0.352333
825.523 0.243965
825.704 0.183208
826.067 0.120757
826.430 0.0906557
826.793 0.0736566
