16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
4.586780e+04 4.85061296e-01
4.632850e+04 4.77992395e-01
4.655880e+04 4.74720646e-01
4.667400e+04 4.74191487e-01
4.673160e+04 4.78301160e-01
4.674460e+04 4.86856062e-01
4.676040e+04 4.97250572e-01
4.677480e+04 5.69727242e-01
4.677840e+04 6.40134372e-01
4.678200e+04 8.24580802e-01
4.678380e+04 1.05542634e+00
4.678560e+04 1.61111506e+00
4.678650e+04 2.23705659e+00
4.678740e+04 3.53791257e+00
4.678780e+04 4.77249727e+00
4.678830e+04 6.85845792e+00
4.678870e+04 1.06443587e+01
4.678920e+04 1.76351815e+01
4.678960e+04 2.79263820e+01
4.679000e+04 3.48401604e+01
4.679040e+04 2.79270464e+01
4.679080e+04 1.76362253e+01
4.679120e+04 1.12348737e+01
4.679160e+04 7.58014764e+00
4.679240e+04 4.09471039e+00
4.679320e+04 2.61205259e+00
4.679400e+04 1.88115434e+00
4.679550e+04 1.20768276e+00
4.679710e+04 9.22458864e-01
4.680020e+04 6.88914519e-01
4.680340e+04 5.98818393e-01
4.681590e+04 5.04508717e-01
4.684100e+04 4.78723181e-01
4.689110e+04 4.71326953e-01
4.699140e+04 4.68049310e-01
4.719200e+04 4.64430459e-01
4.755850e+04 4.58476017e-01
4.759310e+04 4.57906279e-01
4.837230e+04 4.45161127e-01
4.839540e+04 4.44774761e-01
4.918620e+04 4.31375708e-01
4.959310e+04 4.24297350e-01
5.000000e+04 4.17027798e-01
5.046790e+04 4.08018407e-01
5.070190e+04 4.03323245e-01
5.093590e+04 3.98492740e-01
5.116980e+04 3.93637722e-01
5.128680e+04 3.91357779e-01
5.140380e+04 3.89471461e-01
5.146230e+04 3.88860165e-01
5.152080e+04 3.88677506e-01
5.157930e+04 3.89231429e-01
5.163770e+04 3.91093806e-01
5.169620e+04 3.95369586e-01
5.175470e+04 4.04325159e-01
5.178400e+04 4.11895025e-01
5.181320e+04 4.22749604e-01
5.184250e+04 4.38292467e-01
5.187170e+04 4.60308838e-01
5.193590e+04 5.37676636e-01
5.200000e+04 6.18674183e-01
5.203210e+04 6.25523773e-01
5.206420e+04 6.07018579e-01
5.212830e+04 5.45426117e-01
5.220540e+04 4.88764243e-01
5.228240e+04 4.55438088e-01
5.235940e+04 4.35176140e-01
5.243650e+04 4.21855400e-01
5.251350e+04 4.12432411e-01
5.259060e+04 4.05351245e-01
5.274470e+04 3.95231878e-01
5.289870e+04 3.88353872e-01
5.305280e+04 3.84361568e-01
5.312990e+04 3.84239073e-01
5.320690e+04 3.86922069e-01
5.328400e+04 3.95831377e-01
5.332250e+04 4.04940502e-01
5.336100e+04 4.19332781e-01
5.343050e+04 4.63489435e-01
5.350000e+04 5.10416491e-01
5.356950e+04 5.03453659e-01
5.363900e+04 4.66904867e-01
5.368560e+04 4.45841725e-01
5.373230e+04 4.29851203e-01
5.382550e+04 4.08822203e-01
5.391870e+04 3.96110184e-01
5.401200e+04 3.87588323e-01
5.410520e+04 3.81347126e-01
5.419850e+04 3.76447377e-01
5.438500e+04 3.68904392e-01
5.457150e+04 3.62993269e-01
5.475790e+04 3.57953045e-01
5.513090e+04 3.49237160e-01
5.550390e+04 3.41473946e-01
5.565080e+04 3.38613004e-01
5.587690e+04 3.34089234e-01
5.662280e+04 3.19949437e-01
5.736880e+04 3.06357531e-01
5.811480e+04 2.93054929e-01
5.960670e+04 2.66905210e-01
6.109860e+04 2.41067746e-01
6.130150e+04 2.37575042e-01
6.250000e+04 2.18313566e-01
6.259050e+04 2.16860392e-01
6.557440e+04 1.69153919e-01
6.695230e+04 1.47144950e-01
6.855820e+04 1.26754577e-01
6.977760e+04 1.11222091e-01
7.005010e+04 1.08633631e-01
7.119030e+04 9.77202229e-02
7.154200e+04 9.51422860e-02
7.189670e+04 9.25083622e-02
7.228800e+04 9.03060023e-02
7.260300e+04 8.85003339e-02
7.303400e+04 8.69205699e-02
7.330940e+04 8.58676058e-02
7.377990e+04 8.51849830e-02
7.401570e+04 8.47833158e-02
7.452590e+04 8.53037033e-02
7.472200e+04 8.54466773e-02
7.489890e+04 8.61282385e-02
7.500000e+04 8.64891919e-02
7.527180e+04 8.74613449e-02
7.542840e+04 8.79616279e-02
7.564480e+04 8.94288555e-02
7.601780e+04 9.17667376e-02
7.613470e+04 9.24282833e-02
7.639080e+04 9.49305396e-02
7.657730e+04 9.66966550e-02
7.676380e+04 9.85318598e-02
7.684110e+04 9.94547678e-02
