48-Cd_n-tot
> 48-Cd-106:0.014972
> 48-Cd-108:0.010660
> 48-Cd-110:0.149599
> 48-Cd-111:0.153312
> 48-Cd-112:0.289017
> 48-Cd-113:0.146365
> 48-Cd-114:0.146365
> 48-Cd-116:0.089711
2.973440e+01 5.18016732e+00
2.983410e+01 5.14078757e+00
2.999800e+01 5.07852882e+00
3.008390e+01 5.04653437e+00
3.016200e+01 5.02637051e+00
3.032590e+01 4.98471300e+00
3.043330e+01 4.95775277e+00
3.065380e+01 4.92239434e+00
3.098170e+01 4.87049642e+00
3.113210e+01 4.84684184e+00
3.130960e+01 4.82988028e+00
3.163750e+01 4.79872529e+00
3.183090e+01 4.78042981e+00
3.229330e+01 4.75084107e+00
3.252970e+01 4.73577863e+00
3.259400e+01 4.73277781e+00
3.294910e+01 4.71631411e+00
3.322850e+01 4.70340714e+00
3.426070e+01 4.66981680e+00
3.462610e+01 4.65795902e+00
3.500000e+01 4.64935397e+00
3.557230e+01 4.63589032e+00
3.602380e+01 4.62528491e+00
3.688390e+01 4.61037433e+00
3.795500e+01 4.59183080e+00
3.881900e+01 4.57694559e+00
3.950720e+01 4.56758544e+00
4.063550e+01 4.55225823e+00
4.161430e+01 4.53926281e+00
4.197580e+01 4.53505203e+00
4.231080e+01 4.53150989e+00
4.250000e+01 4.52996554e+00
4.264590e+01 4.52860256e+00
4.281340e+01 4.52804344e+00
4.298090e+01 4.52991544e+00
4.306470e+01 4.53355861e+00
4.314850e+01 4.54275046e+00
4.319040e+01 4.55245233e+00
4.323220e+01 4.57018201e+00
4.327410e+01 4.60560896e+00
4.329510e+01 4.63636515e+00
4.331600e+01 4.68135649e+00
4.334800e+01 4.77946861e+00
4.338000e+01 4.84481402e+00
4.341200e+01 4.77881603e+00
4.344400e+01 4.67990644e+00
4.346840e+01 4.62831611e+00
4.349280e+01 4.59502138e+00
4.351720e+01 4.57340511e+00
4.354160e+01 4.55890948e+00
4.359040e+01 4.54153667e+00
4.363920e+01 4.53194022e+00
4.368800e+01 4.52600728e+00
4.373680e+01 4.52199904e+00
4.383440e+01 4.51685131e+00
4.402960e+01 4.51102729e+00
4.422480e+01 4.50715578e+00
4.440950e+01 4.50438606e+00
4.475360e+01 4.49961379e+00
4.500550e+01 4.49612243e+00
4.625000e+01 4.48081367e+00
4.656700e+01 4.47670476e+00
4.812500e+01 4.45771789e+00
4.812850e+01 4.45767532e+00
4.851890e+01 4.45383644e+00
4.890930e+01 4.45202325e+00
4.906250e+01 4.45327411e+00
4.910440e+01 4.45361788e+00
4.920200e+01 4.45614843e+00
4.929960e+01 4.46119353e+00
4.939720e+01 4.47153411e+00
4.944600e+01 4.48071041e+00
4.949480e+01 4.49500655e+00
4.954360e+01 4.51852806e+00
4.959240e+01 4.56001000e+00
4.964120e+01 4.63951460e+00
4.966560e+01 4.70609191e+00
4.969000e+01 4.80073615e+00
4.973000e+01 5.01938394e+00
4.977000e+01 5.16512594e+00
4.981000e+01 5.01881301e+00
4.985000e+01 4.79924156e+00
4.988750e+01 4.66483985e+00
4.992500e+01 4.58658369e+00
4.996250e+01 4.53996576e+00
5.000000e+01 4.51069352e+00
5.004800e+01 4.48700610e+00
5.009600e+01 4.47193517e+00
5.019210e+01 4.45441022e+00
5.028810e+01 4.44472431e+00
5.038410e+01 4.43854823e+00
5.057620e+01 4.43078341e+00
5.076820e+01 4.42563094e+00
5.103560e+01 4.42034317e+00
5.115230e+01 4.41805792e+00
5.153640e+01 4.41182289e+00
5.155340e+01 4.41157893e+00
5.159720e+01 4.41096425e+00
5.207120e+01 4.40439173e+00
5.209310e+01 4.40409853e+00
5.233010e+01 4.40070457e+00
5.258900e+01 4.39715635e+00
5.284790e+01 4.39390043e+00
5.307280e+01 4.39159297e+00
5.310680e+01 4.39128099e+00
5.319440e+01 4.39077733e+00
5.323630e+01 4.39055796e+00
5.336570e+01 4.39044122e+00
5.349520e+01 4.39132640e+00
5.362460e+01 4.39420234e+00
5.375410e+01 4.40163317e+00
5.381880e+01 4.40914747e+00
5.384090e+01 4.41357719e+00
5.388350e+01 4.42219922e+00
5.394820e+01 4.44660813e+00
5.398060e+01 4.46721881e+00
5.399300e+01 4.47914509e+00
5.401300e+01 4.49839745e+00
5.404530e+01 4.54816557e+00
5.407770e+01 4.63294308e+00
5.411000e+01 4.78841321e+00
5.414240e+01 5.08659458e+00
5.417120e+01 5.51460300e+00
5.418610e+01 5.66235687e+00
5.420000e+01 5.80017537e+00
5.422880e+01 5.51451346e+00
5.425760e+01 5.08597185e+00
5.427990e+01 4.85984683e+00
5.430230e+01 4.71548033e+00
5.432460e+01 4.62278602e+00
5.434700e+01 4.56135186e+00
5.439160e+01 4.48898653e+00
5.439230e+01 4.48837912e+00
5.443630e+01 4.45025898e+00
5.448100e+01 4.42726479e+00
5.452560e+01 4.41249512e+00
5.460910e+01 4.39630559e+00
5.461500e+01 4.39519175e+00
5.470430e+01 4.38604238e+00
5.479160e+01 4.38055884e+00
5.479370e+01 4.38043412e+00
5.488120e+01 4.37703264e+00
5.488300e+01 4.37696316e+00
5.492890e+01 4.37573015e+00
5.497230e+01 4.37452033e+00
5.499320e+01 4.37413618e+00
5.515100e+01 4.37242280e+00
5.518530e+01 4.37227391e+00
5.519090e+01 4.37231525e+00
5.532970e+01 4.37421366e+00
5.537730e+01 4.37501849e+00
5.539060e+01 4.37560050e+00
5.550840e+01 4.38196205e+00
5.556940e+01 4.38536488e+00
5.559020e+01 4.38745937e+00
5.566540e+01 4.39617927e+00
5.568710e+01 4.40009797e+00
5.569000e+01 4.40062572e+00
5.576140e+01 4.41499957e+00
5.578990e+01 4.42456386e+00
5.585740e+01 4.44958886e+00
5.588970e+01 4.46799497e+00
5.590550e+01 4.47811130e+00
5.595350e+01 4.52097927e+00
5.598950e+01 4.56912646e+00
5.600150e+01 4.58715153e+00
5.604440e+01 4.68771273e+00
5.604950e+01 4.69967233e+00
5.608930e+01 4.86106089e+00
5.609750e+01 4.89661549e+00
5.613920e+01 5.22254249e+00
5.614550e+01 5.27438809e+00
5.618780e+01 5.81026624e+00
5.618920e+01 5.82259508e+00
5.623000e+01 6.21848249e+00
5.623910e+01 6.16513988e+00
5.626400e+01 6.05390846e+00
5.627230e+01 6.03186198e+00
5.627920e+01 5.98644484e+00
5.628900e+01 5.92191904e+00
5.631390e+01 5.84363675e+00
5.631450e+01 5.84591702e+00
5.633890e+01 6.02515488e+00
5.634320e+01 6.10002533e+00
5.635140e+01 6.26427051e+00
5.636390e+01 6.66270692e+00
5.637180e+01 7.06515858e+00
5.637630e+01 7.30514218e+00
5.638880e+01 8.31310166e+00
5.640180e+01 9.84565185e+00
5.640670e+01 1.04233082e+01
5.642460e+01 1.18118119e+01
5.642920e+01 1.14257373e+01
5.644250e+01 1.03303196e+01
5.646040e+01 8.13611079e+00
5.648170e+01 6.53316652e+00
5.648650e+01 6.34658228e+00
5.650290e+01 5.72055515e+00
5.652420e+01 5.28076807e+00
5.654380e+01 5.03825399e+00
5.654540e+01 5.01900925e+00
5.656670e+01 4.85594914e+00
5.658800e+01 4.74439629e+00
5.660120e+01 4.70028407e+00
5.663050e+01 4.60779807e+00
5.665850e+01 4.55491283e+00
5.667300e+01 4.52958826e+00
5.671550e+01 4.48109347e+00
5.677320e+01 4.43942442e+00
5.680060e+01 4.42215831e+00
5.688560e+01 4.38974755e+00
5.688790e+01 4.38911979e+00
5.697060e+01 4.37009597e+00
5.700250e+01 4.36449988e+00
5.705570e+01 4.35672218e+00
5.711650e+01 4.34967252e+00
5.714070e+01 4.34687415e+00
5.723190e+01 4.33852177e+00
5.731080e+01 4.33294221e+00
5.748090e+01 4.32367077e+00
5.769050e+01 4.31435126e+00
5.782100e+01 4.30965731e+00
5.783120e+01 4.30934641e+00
5.814920e+01 4.29969376e+00
5.816120e+01 4.29937295e+00
5.837220e+01 4.29419929e+00
5.850130e+01 4.29075034e+00
5.854600e+01 4.28961601e+00
5.906660e+01 4.27644467e+00
5.918160e+01 4.27387492e+00
