34-Se_n-g
>  34-Se-74:0.008900
>  34-Se-76:0.093700
>  34-Se-77:0.076300
>  34-Se-78:0.237700
>  34-Se-80:0.496100
>  34-Se-82:0.087300
2.604890e+02 2.81569716e-01
2.612050e+02 3.20558006e-01
2.626490e+02 3.99745065e-01
2.637290e+02 4.95117302e-01
2.648090e+02 6.33416020e-01
2.658900e+02 8.42736405e-01
2.669700e+02 1.17512543e+00
2.680500e+02 1.72836351e+00
2.685250e+02 2.14022606e+00
2.691300e+02 2.66482436e+00
2.703150e+02 4.22040248e+00
2.709380e+02 4.75233366e+00
2.715000e+02 5.23234784e+00
2.726850e+02 4.17483578e+00
2.738700e+02 2.62022311e+00
2.747530e+02 1.82817494e+00
2.750000e+02 1.68452653e+00
2.756370e+02 1.31406638e+00
2.758050e+02 1.25036555e+00
2.765200e+02 9.79627405e-01
2.774030e+02 7.55797247e-01
2.791700e+02 4.90268819e-01
2.806710e+02 3.69222558e-01
2.809370e+02 3.48108117e-01
2.827030e+02 2.66303108e-01
2.831040e+02 2.54736247e-01
2.843210e+02 2.21938693e-01
2.844700e+02 2.18379879e-01
2.855380e+02 2.06794070e-01
2.867540e+02 2.02711115e-01
2.873630e+02 2.08839000e-01
2.879710e+02 2.27931859e-01
2.880030e+02 2.30541476e-01
2.885790e+02 2.82297139e-01
2.888650e+02 3.32714554e-01
2.888830e+02 3.35888789e-01
2.891870e+02 4.28781152e-01
2.894920e+02 6.07661982e-01
2.896440e+02 7.65037300e-01
2.897960e+02 1.01373990e+00
2.899480e+02 1.43767385e+00
2.901000e+02 2.23540150e+00
2.901760e+02 2.91611752e+00
2.902520e+02 3.94347207e+00
2.903280e+02 5.54510620e+00
2.904040e+02 8.05471034e+00
2.904530e+02 1.02745101e+01
2.905020e+02 1.28104208e+01
2.906000e+02 1.59771075e+01
2.906980e+02 1.28041035e+01
2.907960e+02 8.04550919e+00
2.908930e+02 5.01230367e+00
2.909900e+02 3.30635955e+00
2.910870e+02 2.31858154e+00
2.911850e+02 1.71276733e+00
2.912820e+02 1.31952655e+00
2.913670e+02 1.08530128e+00
2.913790e+02 1.05223465e+00
2.915370e+02 7.84994098e-01
2.915730e+02 7.24240952e-01
2.917670e+02 5.39572726e-01
2.919620e+02 4.25636051e-01
2.923500e+02 2.98048520e-01
2.927380e+02 2.31604756e-01
2.931270e+02 1.92248180e-01
2.939040e+02 1.48872838e-01
2.946810e+02 1.25594840e-01
2.950700e+02 1.18143411e-01
2.954580e+02 1.11481291e-01
2.970120e+02 9.52826988e-02
2.985650e+02 8.48653555e-02
2.986030e+02 8.46682965e-02
3.001190e+02 7.85233389e-02
3.021360e+02 7.22699047e-02
3.027870e+02 7.08472109e-02
3.032270e+02 6.99077266e-02
3.092030e+02 6.13312778e-02
3.094430e+02 6.11374740e-02
3.110810e+02 6.05963456e-02
3.142080e+02 5.99149252e-02
3.156580e+02 5.97344484e-02
3.162690e+02 6.00827359e-02
3.218740e+02 6.50171822e-02
