40-Zr_n-g
>  40-Zr-90:0.514500
>  40-Zr-91:0.112200
>  40-Zr-92:0.171500
>  40-Zr-94:0.173800
>  40-Zr-96:0.028000
8.688980e+02 1.68596788e-02
8.689890e+02 2.27160877e-02
8.690790e+02 3.26198897e-02
8.691690e+02 5.13245117e-02
8.692140e+02 6.75847027e-02
8.692590e+02 9.30804137e-02
8.693040e+02 1.36081165e-01
8.693490e+02 2.15908356e-01
8.693720e+02 2.83264643e-01
8.693950e+02 3.83338090e-01
8.694170e+02 5.36799074e-01
8.694400e+02 7.72745321e-01
8.694700e+02 1.23576361e+00
8.695000e+02 1.54285270e+00
8.695300e+02 1.23417978e+00
8.695610e+02 7.71532133e-01
8.695930e+02 4.63828146e-01
8.696240e+02 2.97084496e-01
8.696560e+02 2.02832909e-01
8.696880e+02 1.46334562e-01
8.697200e+02 1.10101216e-01
8.697520e+02 8.57939088e-02
8.698150e+02 5.62637522e-02
8.698790e+02 3.98202985e-02
8.699430e+02 2.97728848e-02
8.700700e+02 1.86741145e-02
8.701980e+02 1.30193351e-02
8.703250e+02 9.75941676e-03
8.705800e+02 6.34862306e-03
8.708350e+02 4.69835735e-03
8.710890e+02 3.78130393e-03
8.715990e+02 2.86065772e-03
8.726180e+02 2.22348158e-03
8.727860e+02 2.19262587e-03
8.736370e+02 2.09186034e-03
8.756750e+02 2.17077110e-03
8.760770e+02 2.20954416e-03
8.777130e+02 2.54449869e-03
8.793680e+02 2.92300075e-03
8.810140e+02 3.57085584e-03
8.826590e+02 4.57250778e-03
8.843050e+02 6.23239565e-03
8.858660e+02 9.11443649e-03
8.859500e+02 9.27008989e-03
8.867730e+02 1.18370721e-02
8.875950e+02 1.57517458e-02
8.884180e+02 2.21527703e-02
8.892410e+02 3.36912084e-02
8.896520e+02 4.32972192e-02
8.900640e+02 5.77881926e-02
8.904750e+02 8.11318592e-02
8.908860e+02 1.22299057e-01
8.910920e+02 1.55837660e-01
8.912980e+02 2.05363641e-01
8.915030e+02 2.82857717e-01
8.917090e+02 4.13857728e-01
8.919150e+02 6.61348267e-01
8.920180e+02 8.76581416e-01
8.921200e+02 1.21363684e+00
8.922230e+02 1.78243463e+00
8.923260e+02 2.83662084e+00
8.923780e+02 3.72293346e+00
8.924290e+02 5.04460453e+00
8.924800e+02 7.07149747e+00
8.925320e+02 1.01883461e+01
8.926010e+02 1.63071169e+01
8.926700e+02 2.03790792e+01
8.927390e+02 1.62984774e+01
8.928080e+02 1.01895015e+01
8.928610e+02 7.02423842e+00
8.929130e+02 4.98642831e+00
8.929650e+02 3.66436443e+00
8.930180e+02 2.78437978e+00
8.931220e+02 1.74246802e+00
8.932270e+02 1.18377923e+00
8.933320e+02 8.53517296e-01
8.934370e+02 6.43318338e-01
8.936460e+02 4.02088113e-01
8.938550e+02 2.74540051e-01
8.940650e+02 1.99259236e-01
8.942740e+02 1.51161116e-01
8.944830e+02 1.18624013e-01
8.949020e+02 7.86782320e-02
8.953210e+02 5.60499596e-02
8.957390e+02 4.20048761e-02
8.961580e+02 3.26945193e-02
8.969960e+02 2.15075046e-02
8.978330e+02 1.53000391e-02
8.986700e+02 1.15012608e-02
8.995080e+02 9.00861279e-03
9.011830e+02 6.04355746e-03
9.021710e+02 5.08213457e-03
9.028580e+02 4.41420317e-03
9.045330e+02 3.42396715e-03
9.062070e+02 2.77696237e-03
9.095570e+02 2.01000066e-03
9.129070e+02 1.58919838e-03
9.196060e+02 1.16505547e-03
9.263060e+02 9.64405757e-04
9.330050e+02 8.52576030e-04
9.347800e+02 8.37199497e-04
9.464040e+02 7.37832751e-04
9.732020e+02 6.49433243e-04
1.000000e+03 6.15906267e-04
1.065760e+03 6.06128911e-04
1.125000e+03 6.36109452e-04
1.131530e+03 6.39472460e-04
1.197290e+03 7.16903635e-04
1.250000e+03 8.40231741e-04
1.263050e+03 8.72416195e-04
1.328810e+03 1.21478047e-03
1.361690e+03 1.54895892e-03
1.394580e+03 2.14617282e-03
1.411020e+03 2.64057356e-03
1.427460e+03 3.38385635e-03
1.443900e+03 4.57780166e-03
1.460340e+03 6.67948984e-03
1.468560e+03 8.39017652e-03
1.476780e+03 1.09159401e-02
1.485000e+03 1.48703351e-02
1.493220e+03 2.15695684e-02
1.497330e+03 2.68141309e-02
1.500000e+03 3.16554202e-02
1.501440e+03 3.42668061e-02
1.505550e+03 4.53483480e-02
1.509660e+03 6.28008303e-02
1.513770e+03 9.24336324e-02
1.515830e+03 1.15531517e-01
1.517880e+03 1.48037817e-01
1.519940e+03 1.95364619e-01
1.521990e+03 2.66806563e-01
1.524050e+03 3.78132245e-01
1.526100e+03 5.52783603e-01
1.531400e+03 1.23821220e+00
1.531790e+03 1.34050510e+00
1.532170e+03 1.58874776e+00
1.532370e+03 1.88139910e+00
1.532560e+03 2.51828004e+00
1.532660e+03 3.15225496e+00
1.532750e+03 4.25556247e+00
1.532850e+03 6.36511326e+00
1.532940e+03 1.06471365e+01
1.533020e+03 1.64890315e+01
1.533100e+03 2.03209982e+01
1.533180e+03 1.63918664e+01
1.533260e+03 1.06129269e+01
1.533310e+03 7.82949174e+00
1.533370e+03 5.95820895e+00
1.533470e+03 3.83549719e+00
1.533580e+03 2.77639655e+00
1.533690e+03 2.18977012e+00
1.533900e+03 1.58942166e+00
1.534120e+03 1.29977745e+00
1.534550e+03 1.01922490e+00
1.534980e+03 8.73247262e-01
1.536700e+03 5.76025677e-01
1.538330e+03 4.16251299e-01
1.539960e+03 3.10059153e-01
1.543210e+03 1.86235439e-01
1.546470e+03 1.22112228e-01
1.549720e+03 8.55840408e-02
1.552980e+03 6.30850095e-02
1.556230e+03 4.83437066e-02
1.562740e+03 3.09396591e-02
1.569250e+03 2.14974359e-02
1.575760e+03 1.58286108e-02
1.588780e+03 9.67095418e-03
1.601800e+03 6.58534478e-03
1.614820e+03 4.82785800e-03
1.625000e+03 3.97388007e-03
1.627840e+03 3.73574364e-03
1.640860e+03 3.01354744e-03
1.666900e+03 2.15309994e-03
1.692940e+03 1.68673249e-03
1.718980e+03 1.41379224e-03
1.745020e+03 1.24902625e-03
1.750000e+03 1.23550748e-03
1.797100e+03 1.13496360e-03
1.823150e+03 1.15336000e-03
1.849190e+03 1.23645974e-03
1.875000e+03 1.44531459e-03
1.875230e+03 1.44742384e-03
1.888250e+03 1.67510405e-03
1.901270e+03 2.07470496e-03
1.906250e+03 2.38913075e-03
1.914290e+03 2.90985203e-03
1.920800e+03 3.72024822e-03
1.927310e+03 5.16891655e-03
1.930560e+03 6.37639330e-03
1.933820e+03 8.21023022e-03
1.937070e+03 1.12042563e-02
1.937500e+03 1.19178170e-02
1.940330e+03 1.66253651e-02
1.941950e+03 2.11580955e-02
1.943580e+03 2.80289268e-02
1.945210e+03 3.92011695e-02
1.946840e+03 5.91731460e-02
1.947650e+03 7.56898649e-02
1.948460e+03 1.00442625e-01
1.949280e+03 1.39969173e-01
1.950090e+03 2.08715889e-01
1.950910e+03 3.44799513e-01
1.951310e+03 4.69065228e-01
1.951720e+03 6.74392155e-01
1.952130e+03 1.04853408e+00
1.952330e+03 1.36269002e+00
1.952530e+03 1.83424572e+00
1.952740e+03 2.59117099e+00
1.952940e+03 3.88078811e+00
1.953130e+03 6.14554995e+00
1.953140e+03 6.26474802e+00
1.953350e+03 1.08953576e+01
1.953520e+03 1.74515654e+01
1.953700e+03 2.18292757e+01
1.953880e+03 1.74498882e+01
1.954050e+03 1.08948191e+01
