As-75(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
896.385 19.9406
896.512 15.5217
896.768 10.1494
897.023 7.15043
897.278 5.31517
897.788 3.28560
898.299 2.25111
898.809 1.65523
899.830 1.03375
900.851 0.736286
901.871 0.574427
903.913 0.422048
905.954 0.368075
907.996 0.360338
912.079 0.436109
914.121 0.525512
916.162 0.670870
918.204 0.913961
920.245 1.35215
921.266 1.71326
922.287 2.25082
923.307 3.09994
924.328 4.55387
924.838 5.70302
925.349 7.35084
925.859 9.82909
926.370 13.7921
926.880 20.6727
927.135 26.1547
927.390 34.0308
927.646 45.8090
927.901 64.2225
928.156 94.2424
928.411 143.819
928.706 229.923
929.000 287.193
929.295 229.600
929.590 143.410
929.865 91.0282
930.140 60.5618
930.415 42.4532
930.690 31.1440
931.240 18.6046
931.790 12.2825
932.341 8.68947
932.891 6.46349
933.991 3.97258
935.091 2.68732
936.191 1.94002
937.291 1.46779
938.391 1.15064
940.592 0.764378
942.792 0.547035
944.992 0.412699
947.193 0.323862
951.593 0.217258
955.994 0.158054
960.394 0.121723
964.795 0.0977852
973.596 0.0691086
982.398 0.0531766
1000.00 0.0369913
1027.44 0.0272155
1054.87 0.0252763
1068.59 0.0275747
1082.31 0.0366366
1089.17 0.0499311
1092.60 0.0633098
1096.03 0.0877553
1097.74 0.108363
1099.46 0.139818
1101.17 0.191311
1102.89 0.284240
1103.74 0.361841
1104.60 0.479019
1105.46 0.668596
1106.32 1.00419
1106.75 1.27917
1107.17 1.68729
1107.60 2.33031
1108.03 3.42548
1108.46 5.52920
1108.67 7.38215
1108.89 10.3328
1109.10 15.4543
1109.21 19.4966
1109.32 25.2713
1109.42 33.8430
1109.53 47.1120
1109.64 68.4658
1109.75 103.208
1109.87 165.369
1110.00 206.365
1110.13 164.822
1110.26 103.176
1110.35 72.3627
1110.44 52.2419
1110.53 38.7960
1110.62 29.7825
1110.80 18.8713
1110.99 12.9489
1111.17 9.38619
1111.35 7.11272
1111.72 4.47338
1112.08 3.06547
1112.45 2.23302
1112.81 1.69961
1113.18 1.33769
1113.91 0.892043
1114.64 0.639353
1115.37 0.482093
1116.10 0.377909
1117.56 0.252561
1119.02 0.182988
1120.48 0.140433
