Mo-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
4362.41 45.8963
4363.16 58.8890
4363.91 78.9819
4364.66 112.314
4365.40 172.451
4365.78 221.821
4366.15 293.415
4366.53 399.752
4366.90 557.502
4367.45 890.955
4368.00 1113.32
4368.55 890.602
4369.10 558.095
4369.59 361.557
4370.09 245.210
4370.58 174.828
4371.07 130.423
4372.06 80.5616
4373.05 55.1618
4374.03 40.6040
4375.02 31.5475
4376.99 21.3542
4378.97 16.0659
4380.94 12.9812
4382.91 11.0262
4384.89 9.70963
4388.83 8.10045
4392.78 7.19090
4396.72 6.62574
4400.67 6.24966
4408.56 5.79321
4416.46 5.53412
4424.35 5.37004
4432.24 5.25725
4448.03 5.10999
4463.81 5.01295
4479.60 4.93770
4495.38 4.87132
4526.95 4.73631
4542.74 4.65426
4558.52 4.54813
4574.31 4.39252
4582.20 4.27812
4590.09 4.11654
4594.04 4.00644
4597.99 3.86516
4601.93 3.67637
4605.88 3.41033
4607.85 3.23168
4609.82 3.00753
4611.80 2.71923
4613.77 2.33972
4614.76 2.10558
4615.74 1.83951
4616.73 1.55026
4617.72 1.28703
4618.21 1.21444
4618.70 1.25488
4619.20 1.54889
4619.44 1.88343
4619.69 2.43707
4619.94 3.35020
4620.18 4.86274
4620.31 5.97727
4620.43 7.42833
4620.55 9.35191
4620.68 11.9362
4620.80 15.4982
4620.92 20.4224
4621.05 27.4342
4621.17 37.6869
4621.29 53.2912
4621.42 77.4201
4621.54 116.047
4621.66 178.294
4621.83 314.059
4622.00 430.982
4622.17 377.455
4622.34 257.546
4622.49 180.515
4622.64 131.550
4622.79 100.293
4622.93 79.5633
4623.23 54.9096
4623.53 41.3814
4623.83 33.1152
4624.13 27.6525
4624.72 21.0273
4625.32 17.2277
4625.91 14.8056
4626.51 13.1424
4627.10 11.9386
4628.30 10.3176
4629.49 9.28598
4630.68 8.57390
4631.87 8.05491
4634.25 7.34974
4636.64 6.89391
4639.02 6.57517
4641.40 6.33964
4646.17 6.01425
4650.93 5.79920
4655.70 5.64564
4660.47 5.52981
4670.00 5.36482
4679.53 5.25085
4698.59 5.09787
4717.66 4.99369
4736.72 4.91312
4774.85 4.78550
4812.97 4.67871
4832.04 4.63031
4851.10 4.58683
4860.63 4.56866
4870.16 4.55519
4879.70 4.55073
4889.23 4.56556
4893.99 4.58782
4898.76 4.62951
4903.53 4.70735
4908.29 4.86058
4910.67 4.99401
4913.06 5.20035
4915.44 5.53996
4917.82 6.15116
4919.01 6.65660
4920.21 7.41112
4921.40 8.60946
4922.59 10.6723
4923.78 14.6779
4924.38 18.2579
4924.97 24.0224
4925.57 34.1669
4926.16 54.1941
4926.46 72.2275
4926.76 100.998
4927.06 149.196
4927.35 231.181
4927.68 367.975
4928.00 459.031
4928.32 367.879
4928.65 231.668
4928.93 153.504
4929.21 106.122
4929.48 77.0107
4929.76 58.4175
4930.32 37.2078
4930.88 26.2808
4931.44 19.9643
4931.99 16.0169
4933.11 11.5487
4934.22 9.21929
4935.34 7.85446
4936.45 6.98664
4937.57 6.40046
4939.80 5.68094
4942.03 5.27122
4944.26 5.01442
4946.49 4.84177
4950.95 4.62802
4955.41 4.50228
4959.87 4.41898
4964.32 4.35863
4973.24 4.27309
4982.16 4.21038
5000.00 4.11084
5032.96 3.94849
5065.93 3.77942
5082.41 3.68807
5098.89 3.59231
5107.13 3.54506
5115.37 3.50678
5119.49 3.50295
5121.55 3.51385
5123.61 3.54663
5125.67 3.63538
5126.70 3.73223
5127.73 3.91571
5128.76 4.31395
5129.27 4.70873
5129.79 5.41645
5130.05 6.00132
5130.30 6.86998
5130.56 8.25024
5130.82 10.6093
5131.08 15.1736
