Br-79(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
607.542 24.2250
608.581 17.3059
609.620 13.5937
610.659 11.3307
611.699 9.82393
612.738 8.75408
614.816 7.33542
616.894 6.42729
621.050 5.28165
625.206 4.50859
627.284 4.17763
629.363 3.86452
631.441 3.57745
632.480 3.46621
633.519 3.42645
634.558 3.60416
635.077 3.91744
635.597 4.61920
636.117 6.29184
636.376 7.99116
636.636 10.9943
636.766 13.3931
636.896 16.8246
637.026 21.9174
637.156 29.8212
637.285 42.8267
637.350 52.5887
637.415 65.7712
637.480 84.0000
637.545 109.619
637.610 146.149
637.675 198.000
637.788 328.077
637.900 426.051
638.013 354.950
638.125 231.597
638.246 144.405
638.368 96.3075
638.489 68.8121
638.610 52.0500
638.731 41.1622
638.853 33.7279
639.095 24.5162
639.337 19.2372
639.580 15.9342
640.065 12.2147
640.550 10.3561
641.035 9.43501
642.005 9.34208
642.974 11.8520
643.459 15.0029
643.944 20.9847
644.187 25.9681
644.429 33.3207
644.672 44.6313
644.914 63.0041
645.157 95.1395
645.278 120.677
645.399 157.093
645.520 210.849
645.642 292.954
645.763 422.452
645.884 628.036
646.042 1032.68
646.200 1328.88
646.359 1095.95
646.517 706.757
646.618 527.639
646.718 401.490
646.919 250.455
647.120 170.710
647.321 124.614
647.522 95.7718
647.723 76.5853
648.125 53.3999
648.527 40.3955
648.928 32.3212
649.732 23.1265
650.536 18.1972
651.340 15.1961
652.144 13.2038
652.947 11.7961
654.555 9.95153
656.162 8.80251
657.770 8.01844
659.377 7.44790
662.593 6.66743
665.808 6.15109
672.238 5.48939
678.668 5.06154
685.098 4.74382
697.959 4.25636
710.819 3.83165
717.249 3.60990
723.679 3.36355
730.110 3.07555
733.325 2.91318
736.540 2.74935
738.147 2.68030
739.755 2.64214
741.362 2.68195
742.970 2.92589
743.774 3.22466
744.578 3.77281
745.381 4.80758
746.185 6.89051
746.587 8.72998
746.989 11.5882
747.391 16.2716
747.793 24.5209
747.994 31.1311
748.194 40.6397
748.395 54.9066
748.596 77.4283
748.797 115.456
748.998 185.296
749.099 243.112
749.199 327.631
749.300 454.104
749.400 642.894
749.550 1056.97
749.700 1358.27
749.850 1117.63
750.000 718.807
750.148 458.136
750.296 307.985
750.444 219.409
750.592 164.221
750.739 127.864
750.887 102.796
751.183 71.4539
751.479 53.3459
751.774 41.9168
752.366 28.7623
752.957 21.6894
753.549 17.4024
754.140 14.5800
754.731 12.6057
755.914 10.0598
757.097 8.50852
759.463 6.72814
761.828 5.72724
764.194 5.06785
768.925 4.19511
771.291 3.86929
773.656 3.59248
776.022 3.37994
778.388 3.31057
779.570 3.40243
780.753 3.68060
781.936 4.33613
783.119 5.83354
783.710 7.23866
784.302 9.49652
784.893 13.3017
785.484 20.1664
785.780 25.7443
786.076 33.8436
786.372 46.0851
786.667 65.5478
786.963 98.5612
787.259 159.403
787.407 209.785
787.554 283.395
787.702 393.305
787.850 557.093
788.075 925.501
788.300 1201.80
788.525 999.231
788.750 649.362
788.934 449.033
789.119 321.460
789.303 239.787
789.487 185.662
789.856 121.725
790.224 87.1927
790.593 66.4838
790.962 53.0713
791.699 37.2394
792.436 28.5113
793.173 23.1318
793.910 19.5457
794.647 17.0143
796.122 13.7199
797.596 11.7009
799.070 10.3889
799.439 10.1698
799.807 10.0629
799.992 10.1213
800.176 10.4013
800.268 10.7416
800.360 11.3882
800.452 12.6864
800.544 15.3966
800.622 19.3283
800.700 22.2466
800.778 19.9904
800.856 16.1606
800.907 14.3230
800.958 13.0364
801.060 11.4923
801.163 10.6636
801.265 10.1672
801.469 9.60656
801.674 9.28913
802.083 8.90680
802.492 8.65051
804.128 7.96831
807.400 7.10223
810.673 6.51651
811.491 6.40128
812.309 6.31439
812.718 6.30515
813.127 6.38589
813.331 6.53380
813.434 6.67796
813.536 6.91615
813.638 7.33234
813.740 8.11482
813.843 9.73671
813.894 11.1862
813.945 13.3610
814.022 18.2806
814.100 22.0447
814.178 19.4327
814.255 14.7879
814.318 12.1454
814.380 10.4408
814.442 9.33320
814.505 8.59171
