15-P_n-g
>   15-P-31:1.000000
2.780000e+06 8.05926000e-04
2.840000e+06 7.77037000e-04
2.940000e+06 7.28889000e-04
2.950000e+06 7.24074000e-04
3.000000e+06 7.00000000e-04
3.050000e+06 6.98182000e-04
3.125000e+06 6.95455000e-04
3.200000e+06 6.92727000e-04
3.210000e+06 6.92364000e-04
3.300000e+06 6.89091000e-04
3.350000e+06 6.87273000e-04
3.460000e+06 6.83273000e-04
3.500000e+06 6.81818000e-04
3.600000e+06 6.78182000e-04
3.610000e+06 6.77818000e-04
3.720000e+06 6.73818000e-04
3.750000e+06 6.72727000e-04
3.820000e+06 6.70182000e-04
3.850000e+06 6.69091000e-04
4.100000e+06 6.60000000e-04
4.140000e+06 6.58546000e-04
4.220000e+06 6.55636000e-04
4.250000e+06 6.54546000e-04
4.350000e+06 6.50909000e-04
4.400000e+06 6.49091000e-04
4.425000e+06 6.48182000e-04
4.500000e+06 6.45455000e-04
4.540000e+06 6.44000000e-04
4.750000e+06 6.36364000e-04
4.800000e+06 6.34546000e-04
4.850000e+06 6.32727000e-04
5.000000e+06 6.27273000e-04
5.050000e+06 6.25455000e-04
5.500000e+06 6.09091000e-04
6.000000e+06 5.90909000e-04
6.300000e+06 5.80000000e-04
6.750000e+06 5.63636000e-04
7.100000e+06 5.50909000e-04
7.537720e+06 5.34992000e-04
8.000000e+06 5.18182000e-04
9.000000e+06 4.81818000e-04
1.000000e+07 4.45455000e-04
1.100000e+07 4.09091000e-04
1.200000e+07 3.72727000e-04
1.271100e+07 3.46873000e-04
1.300000e+07 3.36364000e-04
1.350000e+07 3.18182000e-04
1.400000e+07 3.00000000e-04
1.450000e+07 2.91667000e-04
1.500000e+07 2.83333000e-04
1.700000e+07 2.50000000e-04
1.800000e+07 2.33333000e-04
2.000000e+07 1.00000000e-04
2.040210e+07 0.00000000e+00
2.100000e+07 0.00000000e+00
2.200000e+07 0.00000000e+00
2.300000e+07 0.00000000e+00
2.346720e+07 0.00000000e+00
2.400000e+07 0.00000000e+00
2.411320e+07 0.00000000e+00
2.439660e+07 0.00000000e+00
2.440170e+07 0.00000000e+00
2.494210e+07 0.00000000e+00
2.500000e+07 0.00000000e+00
2.600000e+07 0.00000000e+00
2.700000e+07 0.00000000e+00
2.718570e+07 0.00000000e+00
2.733080e+07 0.00000000e+00
2.768210e+07 0.00000000e+00
2.800000e+07 0.00000000e+00
2.900000e+07 0.00000000e+00
3.000000e+07 0.00000000e+00
3.001100e+07 0.00000000e+00
3.083170e+07 0.00000000e+00
3.100000e+07 0.00000000e+00
3.121290e+07 0.00000000e+00
3.200000e+07 0.00000000e+00
3.278560e+07 0.00000000e+00
3.300000e+07 0.00000000e+00
3.322510e+07 0.00000000e+00
3.400000e+07 0.00000000e+00
3.500000e+07 0.00000000e+00
3.520340e+07 0.00000000e+00
3.525160e+07 0.00000000e+00
3.535740e+07 0.00000000e+00
3.538160e+07 0.00000000e+00
3.600000e+07 0.00000000e+00
3.700000e+07 0.00000000e+00
3.717050e+07 0.00000000e+00
3.788420e+07 0.00000000e+00
3.800000e+07 0.00000000e+00
3.900000e+07 0.00000000e+00
3.988560e+07 0.00000000e+00
4.000000e+07 0.00000000e+00
4.100000e+07 0.00000000e+00
4.187940e+07 0.00000000e+00
4.198480e+07 0.00000000e+00
4.200000e+07 0.00000000e+00
4.268050e+07 0.00000000e+00
4.284560e+07 0.00000000e+00
4.295160e+07 0.00000000e+00
4.300000e+07 0.00000000e+00
4.322720e+07 0.00000000e+00
4.360030e+07 0.00000000e+00
4.400000e+07 0.00000000e+00
4.463960e+07 0.00000000e+00
4.465230e+07 0.00000000e+00
4.486540e+07 0.00000000e+00
4.500000e+07 0.00000000e+00
4.547700e+07 0.00000000e+00
4.600000e+07 0.00000000e+00
4.654360e+07 0.00000000e+00
4.670710e+07 0.00000000e+00
4.700000e+07 0.00000000e+00
4.800000e+07 0.00000000e+00
4.900000e+07 0.00000000e+00
4.975530e+07 0.00000000e+00
5.000000e+07 0.00000000e+00
5.100000e+07 0.00000000e+00
5.143260e+07 0.00000000e+00
5.200000e+07 0.00000000e+00
5.204300e+07 0.00000000e+00
5.232110e+07 0.00000000e+00
5.268680e+07 0.00000000e+00
5.300000e+07 0.00000000e+00
5.363190e+07 0.00000000e+00
5.400000e+07 0.00000000e+00
5.444760e+07 0.00000000e+00
5.500000e+07 0.00000000e+00
5.600000e+07 0.00000000e+00
5.642580e+07 0.00000000e+00
5.700000e+07 0.00000000e+00
5.715040e+07 0.00000000e+00
5.744070e+07 0.00000000e+00
5.800000e+07 0.00000000e+00
5.853420e+07 0.00000000e+00
5.900000e+07 0.00000000e+00
6.000000e+07 0.00000000e+00
6.100000e+07 0.00000000e+00
6.200000e+07 0.00000000e+00
6.228500e+07 0.00000000e+00
6.230930e+07 0.00000000e+00
6.300000e+07 0.00000000e+00
6.303740e+07 0.00000000e+00
6.400000e+07 0.00000000e+00
6.475700e+07 0.00000000e+00
6.500000e+07 0.00000000e+00
6.589740e+07 0.00000000e+00
6.592920e+07 0.00000000e+00
6.600000e+07 0.00000000e+00
6.700000e+07 0.00000000e+00
6.724520e+07 0.00000000e+00
6.800000e+07 0.00000000e+00
6.900000e+07 0.00000000e+00
7.000000e+07 0.00000000e+00
7.100000e+07 0.00000000e+00
7.200000e+07 0.00000000e+00
7.300000e+07 0.00000000e+00
7.400000e+07 0.00000000e+00
7.430340e+07 0.00000000e+00
7.500000e+07 0.00000000e+00
7.600000e+07 0.00000000e+00
7.648190e+07 0.00000000e+00
7.700000e+07 0.00000000e+00
7.800000e+07 0.00000000e+00
7.900000e+07 0.00000000e+00
7.958230e+07 0.00000000e+00
8.000000e+07 0.00000000e+00
8.100000e+07 0.00000000e+00
8.200000e+07 0.00000000e+00
