Zr-94(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
12268.1 6.77945
12297.6 6.84289
12327.2 6.94261
12356.7 7.10792
12386.3 7.40633
12401.1 7.65382
12415.8 8.02511
12430.6 8.61869
12445.4 9.65435
12452.8 10.4907
12460.2 11.7162
12467.6 13.6153
12475.0 16.7885
12482.3 22.6804
12486.0 27.7258
12489.7 35.4866
12493.4 48.3193
12497.1 71.3062
12499.0 90.0771
12500.8 117.084
12502.7 157.207
12504.5 216.081
12507.3 342.253
12510.0 425.923
12512.8 339.846
12515.5 213.245
12517.2 158.008
12518.9 119.575
12522.3 74.2373
12525.8 50.6389
12529.2 37.2651
12532.6 29.0240
12536.0 23.6536
12542.8 17.3277
12549.6 13.9023
12556.5 11.8548
12570.1 9.63655
12583.8 8.52924
12597.4 7.89983
12611.1 7.50876
12624.7 7.24944
12652.0 6.93758
12679.3 6.76398
12706.6 6.65683
12733.9 6.58543
12788.5 6.49734
12843.1 6.44487
12897.7 6.40905
12952.3 6.38199
13061.5 6.34096
13116.2 6.32407
13170.8 6.30890
13225.4 6.29592
13280.0 6.28895
13307.3 6.29382
13320.9 6.30303
13334.6 6.32383
13341.4 6.34323
13348.2 6.37444
13355.0 6.42796
13361.9 6.52825
13365.3 6.61425
13368.7 6.74611
13372.1 6.96273
13375.5 7.35349
13377.2 7.67891
13378.9 8.16792
13380.6 8.94989
13382.3 10.3008
13384.1 12.9714
13384.9 15.3752
13385.8 19.2976
13386.6 26.4171
13387.0 32.2924
13387.5 40.7734
13387.9 54.2641
13388.3 75.9281
13388.7 114.700
13389.2 182.819
13389.6 289.242
13390.0 360.637
13390.4 290.471
13390.8 184.372
13391.3 117.354
13391.7 79.9286
13392.1 57.4007
13392.5 43.7964
13392.9 34.6839
13393.3 28.6051
13394.1 20.9981
13394.9 16.6896
13395.7 14.0247
13397.3 11.0565
13398.9 9.51135
13400.6 8.61141
13402.2 8.04141
13403.8 7.65945
13407.0 7.18880
13410.3 6.92282
13413.5 6.75657
13416.7 6.64606
13423.2 6.51153
13429.7 6.43534
13436.1 6.38753
13442.6 6.35528
13455.5 6.31488
13468.5 6.29072
13494.3 6.26252
13520.2 6.24544
13546.1 6.23298
13597.8 6.21387
13649.6 6.19806
13701.3 6.18370
13804.8 6.15707
13908.3 6.13253
13960.0 6.12155
14011.8 6.11261
