U-235(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
16.4894 30.4016
16.5179 37.4765
16.5465 49.6045
16.5750 70.6276
16.6460 164.129
16.6635 168.055
16.6810 155.106
16.7160 112.045
16.7387 88.9166
16.7614 72.0548
16.8068 51.3841
16.8521 40.2225
16.8975 33.6243
16.9883 26.5148
17.0790 22.9085
17.2605 19.4764
17.4420 18.2812
17.5440 18.6172
17.6450 19.5716
17.7155 21.3781
17.7860 25.7274
17.8213 29.8159
17.8565 36.3214
17.8918 46.9545
17.9270 64.5694
18.0200 146.346
18.0557 150.604
18.1020 129.131
18.1053 127.026
18.1130 121.557
18.1340 103.818
18.1549 86.8137
18.1970 63.7368
18.2392 50.8227
18.3235 38.2436
18.4077 33.4052
18.4920 32.4055
18.5895 34.3007
18.6870 38.7347
18.7845 46.3637
18.8333 52.4422
18.8820 61.9202
18.9241 77.3386
18.9451 92.8224
18.9556 105.575
18.9661 124.281
18.9779 152.032
18.9897 166.270
19.0015 145.671
19.0132 122.133
19.0247 111.615
19.0361 109.506
19.0590 117.550
19.1048 160.391
19.1277 197.021
19.1506 250.732
19.1735 333.329
19.1964 467.808
19.2124 607.605
19.2284 769.652
19.2392 881.460
19.2603 1179.94
19.2965 1773.22
19.3108 1756.23
19.3251 1549.06
19.3537 994.611
19.3739 704.933
19.3941 511.825
19.4143 384.494
19.4345 298.709
19.4749 196.352
19.5153 141.148
19.5557 108.428
19.5961 87.6124
19.6769 63.8453
19.7576 51.5805
19.8384 44.8048
19.9192 41.2282
20.0000 40.1940
20.0736 42.3960
20.1103 46.0815
20.1287 49.3481
20.1471 53.9926
20.1720 59.8226
20.1843 58.4615
20.2029 50.9600
20.2215 44.9499
20.2360 41.6770
20.2680 34.0107
20.2840 30.8467
20.3000 28.8402
20.3389 27.4648
20.3779 28.3527
20.4557 33.0464
20.4946 37.4372
20.5336 45.1819
20.5530 51.7286
20.5725 61.9116
20.5919 78.9608
20.6114 108.795
20.6283 146.561
20.6451 166.027
20.6620 129.074
20.6704 103.915
20.6788 83.2741
20.6873 67.9900
20.6958 57.3732
20.7129 45.2197
20.7299 39.7723
20.7469 37.6678
20.7810 38.2919
20.8150 42.5185
20.8735 57.4379
20.9028 71.0341
20.9320 93.8666
20.9563 127.091
20.9805 187.298
21.0048 306.203
21.0169 408.826
21.0290 559.472
21.0390 729.976
21.0490 935.484
21.0668 1212.65
21.0763 1182.07
21.0857 1030.57
21.1046 658.637
21.1186 461.792
21.1325 333.062
21.1464 249.150
21.1604 193.087
21.1883 126.657
21.2162 91.0134
21.2440 69.9200
21.2719 56.4879
21.3277 41.0602
21.3835 32.9018
21.4393 28.0859
21.5508 22.9370
21.6624 20.4052
21.7739 18.9989
21.9970 17.6828
22.2201 17.4197
22.4432 18.2937
22.5548 19.7328
22.6663 23.2991
22.7221 27.2999
22.7779 35.6049
22.8057 43.5703
22.8336 57.3524
22.8615 83.7494
22.8755 106.370
22.8894 140.080
22.9112 225.684
22.9329 326.469
22.9438 337.566
