Bi-209(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
6524.49 78.8999
6524.64 60.8036
6524.80 48.1202
6525.10 33.0116
6525.40 25.1146
6525.71 20.6128
6526.01 17.8235
6526.31 15.9936
6526.92 13.8316
6527.53 12.6530
6528.14 11.9443
6529.35 11.1700
6530.57 10.7790
6531.78 10.5544
6533.00 10.4133
6534.21 10.3189
6536.64 10.2039
6539.07 10.1389
6543.93 10.0712
6548.79 10.0378
6553.65 10.0183
6563.37 9.99655
6573.09 9.98419
6582.81 9.97565
6602.25 9.96331
6641.13 9.94502
6680.01 9.92927
6757.77 9.89996
6835.53 9.87178
7146.57 9.76257
7768.64 9.54104
8390.71 9.29185
8701.75 9.14827
8857.27 9.06966
8935.03 9.02835
8973.91 9.00882
8983.63 9.00601
8993.35 9.00921
8998.21 9.01968
9003.07 9.05668
9005.50 9.11222
9006.71 9.16890
9007.93 9.27312
9009.14 9.49446
9009.75 9.71125
9010.36 10.0953
9010.96 10.8748
9011.27 11.6035
9011.57 12.8308
9011.87 15.1487
9012.03 17.1555
9012.18 20.2594
9012.33 25.4747
9012.48 35.0162
9012.56 42.9225
9012.63 54.5445
9012.71 72.0453
9012.78 98.2748
9012.89 152.021
9013.00 188.465
9013.11 152.753
9013.22 99.1911
9013.28 74.9382
9013.35 58.0637
9013.49 38.3727
9013.63 28.1482
9013.77 22.4013
9013.90 18.8499
9014.04 16.5462
9014.31 13.8265
9014.59 12.3448
9014.86 11.4543
9015.41 10.4850
9015.96 9.99470
9016.51 9.71335
9017.61 9.41779
9018.71 9.27327
9019.81 9.19151
9022.01 9.10642
9026.40 9.04052
9030.80 9.01434
9039.59 8.99120
9048.38 8.97924
9065.96 8.96367
9083.54 8.95134
9118.70 8.92944
9136.28 8.92262
9145.07 8.93831
9147.27 8.96046
9149.46 9.02768
9150.56 9.12283
9151.66 9.38848
9152.21 9.74352
9152.49 10.0836
9152.76 10.6712
9153.04 11.8261
9153.17 12.8635
9153.31 14.5500
9153.45 17.5750
9153.52 20.0502
9153.59 23.6328
9153.65 29.2319
9153.72 38.2011
9153.79 53.8566
9153.86 81.5115
9153.93 125.445
9154.00 154.871
9154.07 126.035
9154.14 82.2514
9154.21 54.8430
9154.28 39.1407
9154.34 29.9550
9154.41 24.3462
9154.48 20.6238
9154.55 18.1138
9154.68 14.9885
9154.82 13.2063
9154.95 12.1129
9155.22 10.8879
9155.49 10.2524
9155.76 9.88329
9156.30 9.49059
9157.39 9.18701
9158.47 9.07278
9160.63 8.98550
9162.79 8.95219
9167.12 8.92522
9171.45 8.91339
9188.75 8.89282
9223.36 8.86829
9292.58 8.82371
9431.02 8.73207
9569.46 8.63383
9638.68 8.58187
9673.29 8.55547
9690.60 8.54313
9699.25 8.54092
9703.58 8.55713
9705.74 8.63574
9706.82 8.93725
9707.09 9.22430
9707.36 9.94436
9707.50 10.7964
9707.63 12.6830
9707.70 14.6223
9707.77 18.1169
9707.84 25.3856
9707.87 31.9344
9707.90 41.6976
9707.95 61.6225
9708.00 75.2594
9708.05 61.9216
9708.10 42.0702
9708.15 28.6582
9708.20 21.4516
9708.30 14.9154
9708.40 12.2564
9708.50 10.9698
9708.70 9.80382
9708.90 9.31252
9709.30 8.91442
9709.70 8.75978
9711.31 8.59550
9714.52 8.54740
9720.95 8.53139
9733.81 8.52965
9740.24 8.54260
9743.46 8.55901
9746.67 8.59183
9749.88 8.66557
9751.49 8.73985
9753.10 8.87420
9754.71 9.15209
9755.51 9.41663
9756.31 9.87110
9757.12 10.7497
9757.52 11.5299
9757.92 12.7748
9758.32 14.9388
9758.72 19.1292
9758.92 22.8101
9759.13 28.5391
9759.33 37.8206
9759.53 52.9447
9759.76 79.8906
9760.00 98.0604
9760.24 80.3443
9760.47 53.5148
9760.71 36.4367
9760.94 26.7863
9761.18 21.1832
9761.41 17.7393
9761.64 15.5019
9761.88 13.9775
9762.35 12.1044
9762.81 11.0467
9763.28 10.3935
9764.22 9.66392
9765.15 9.28642
9766.09 9.06607
9767.96 8.83151
9769.83 8.71488
9771.70 8.64802
9775.45 8.57695
9779.19 8.54077
9782.93 8.51897
9790.42 8.49327
9805.39 8.46570
9820.36 8.44723
9850.30 8.41689
9880.24 8.38882
9940.12 8.33331
10000.0 8.27656
10123.0 8.15343
10246.0 8.01961
10492.0 7.71275
10738.0 7.34069
10984.0 6.88889
11230.0 6.36727
11353.0 6.11823
11476.0 5.96327
11599.0 6.12790
11722.0 7.34334
11783.5 9.02383
11845.0 12.4249
11906.5 19.4695
11937.3 25.5257
11968.0 34.2695
12033.0 64.5339
12098.0 97.4982
12163.0 95.1021
12228.0 72.6498
12278.4 57.8759
12328.8 47.2995
12379.2 39.8708
12429.6 34.5570
12530.4 27.6944
12631.1 23.5812
12731.9 20.8932
12832.7 19.0160
13034.3 16.5787
13235.8 15.0587
13437.4 14.0019
13840.5 12.5464
14243.6 11.4219
14445.2 10.8533
14646.8 10.2030
14848.3 9.37043
14949.1 8.83074
15049.9 8.15991
15150.7 7.31184
15201.1 6.81919
15251.4 6.31675
15301.8 5.93799
15352.2 6.17800
15377.4 7.01607
15402.6 9.06707
15427.8 13.7421
15440.4 17.9185
15453.0 24.0561
15467.3 34.2138
15481.5 48.2234
15510.0 78.3748
15538.5 82.1716
15567.0 66.6637
15596.3 51.9869
15625.5 42.1076
15654.8 35.6053
15684.0 31.1765
15713.3 28.0268
15742.5 25.7000
15801.0 22.5268
15859.5 20.4847
15918.1 19.0691
16035.1 17.2415
16152.1 16.1122
16269.1 15.3425
16503.1 14.3520
16737.1 13.7321
16971.2 13.2995
17205.2 12.9734
17263.7 12.9030
17322.2 12.8361
17351.5 12.8045
17380.7 12.7767
17395.3 12.7685
17410.0 12.7780
17417.3 12.8085
17420.9 12.8443
17424.6 12.9140
17428.3 13.0682
17430.1 13.2217
17431.9 13.4937
17433.7 14.0458
17434.7 14.5611
17435.6 15.4123
17436.5 16.9994
17436.9 18.3439
17437.4 20.3370
17437.9 23.6091
17438.3 29.1176
17438.8 39.6208
17439.2 59.7629
17439.6 89.0934
17440.0 108.503
17440.4 89.3473
17440.8 61.0551
17441.2 43.1379
17441.5 33.0633
17441.9 27.0640
17442.3 23.3043
17443.0 19.1162
17443.8 16.9894
17444.5 15.7719
17445.2 15.0123
17446.7 14.1536
17448.2 13.7041
17449.7 13.4389
17452.6 13.1526
17455.6 13.0077
17458.6 12.9231
17464.5 12.8309
17470.4 12.7821
17476.3 12.7514
17488.2 12.7132
17511.9 12.6683
17535.5 12.6361
17582.9 12.5811
17630.3 12.5285
17677.6 12.4719
17725.0 12.4007
17748.7 12.3491
17760.5 12.3135
17772.4 12.2650
17784.2 12.1906
17790.1 12.1343
17796.1 12.0527
17802.0 11.9217
17804.9 11.8199
17807.9 11.6714
17810.9 11.4328
17812.3 11.2493
17813.8 10.9855
17815.3 10.5744
17816.0 10.2698
17816.8 9.85074
17817.5 9.24485
17818.3 8.33094
17819.0 7.21716
