Ga-71(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1537.92 1.33434
1540.60 0.914827
1543.27 0.665612
1545.95 0.505815
1548.63 0.397348
1553.98 0.263857
1559.34 0.188040
1564.69 0.140911
1570.04 0.109642
1580.75 0.0720476
1591.46 0.0511834
1602.17 0.0384204
1612.88 0.0300522
1634.29 0.0201161
1655.71 0.0146767
1677.13 0.0113907
1698.54 0.00926861
1741.38 0.00684675
1784.21 0.00573542
1827.04 0.00572189
1837.75 0.00611079
1848.46 0.00714363
1853.81 0.00844393
1859.17 0.0118624
1861.84 0.0164147
1864.52 0.0289535
1865.86 0.0459827
1867.20 0.0927232
1867.87 0.155220
1868.20 0.215529
1868.54 0.321059
1868.87 0.532982
1869.04 0.728523
1869.21 1.05605
1869.37 1.67050
1869.46 2.19826
1869.54 3.00311
1869.63 4.34720
1869.71 6.73059
1869.75 8.69147
1869.79 11.5315
1869.83 15.7304
1869.88 21.7461
1869.94 34.9451
1870.00 43.5765
1870.06 34.7223
1870.13 21.7473
1870.18 13.7270
1870.24 9.09433
1870.30 6.35751
1870.36 4.65471
1870.48 2.77444
1870.60 1.83570
1870.71 1.29765
1870.83 0.965004
1871.07 0.594575
1871.30 0.402792
1871.54 0.291841
1872.01 0.174451
1872.48 0.117104
1872.95 0.0849010
1873.89 0.0519636
1875.78 0.0277873
1877.66 0.0192743
1881.43 0.0134975
1885.19 0.0119907
1892.73 0.0126220
1900.26 0.0162295
1907.80 0.0249735
1911.56 0.0338882
1915.33 0.0502299
1917.22 0.0640179
1919.10 0.0850531
1920.98 0.119491
1922.87 0.181591
1923.81 0.233352
1924.75 0.311512
1925.69 0.437591
1926.63 0.660146
1927.10 0.841935
1927.57 1.11093
1928.05 1.53303
1928.52 2.24992
1928.99 3.61254
1929.22 4.80811
1929.46 6.68766
1929.69 9.90364
1929.81 12.4206
1929.93 15.9395
1930.05 21.1202
1930.16 28.8970
1930.28 41.1641
1930.40 60.2924
1930.55 96.6535
1930.70 120.700
1930.85 96.3814
1931.00 60.2770
1931.14 38.8962
1931.27 26.1992
1931.41 18.5293
1931.54 13.6786
1931.81 8.23749
1932.08 5.47128
1932.35 3.88082
1932.62 2.89404
1933.16 1.78179
1933.70 1.20534
1934.24 0.869213
1934.78 0.656439
1935.31 0.513359
1936.39 0.338951
1937.47 0.240780
1938.55 0.180131
1939.63 0.140066
1941.78 0.0920850
1943.94 0.0655710
1946.10 0.0493881
1948.25 0.0387908
1952.56 0.0262125
1956.88 0.0193185
1965.50 0.0124051
1974.13 0.00918067
1982.75 0.00742295
2000.00 0.00568170
2024.81 0.00469778
2049.62 0.00434231
2099.23 0.00435163
2148.85 0.00497582
2198.47 0.00642770
2248.08 0.00973165
2272.89 0.0130508
2297.70 0.0190683
2310.10 0.0240931
2322.51 0.0316911
2334.91 0.0439699
2347.31 0.0657370
2353.52 0.0835598
2359.72 0.110020
2365.92 0.151736
2372.12 0.223087
2378.32 0.360247
2381.43 0.481757
2384.53 0.676126
2387.63 1.01365
2389.18 1.28279
2390.73 1.66941
2392.28 2.24836
2393.83 3.15379
2395.38 4.63309
2396.93 7.08053
2398.72 11.3277
2400.50 14.1506
2402.29 11.3063
2404.07 7.05989
2405.57 4.68319
2407.06 3.22254
2408.56 2.31484
2410.05 1.72872
2413.05 1.05688
2416.04 0.707701
2419.03 0.505301
2422.02 0.378305
2428.00 0.234438
2433.98 0.159372
2439.97 0.115436
2445.95 0.0875494
2451.93 0.0687718
2463.90 0.0458566
2475.86 0.0329588
2487.83 0.0250039
2499.79 0.0197671
2523.72 0.0135556
2547.65 0.0102096
2595.51 0.00716198
2643.37 0.00651516
2667.30 0.00698806
2691.23 0.00837312
2715.16 0.0118142
2727.13 0.0153840
2739.09 0.0219707
2745.08 0.0275431
2751.06 0.0360629
2757.04 0.0500367
2763.02 0.0753288
2766.02 0.0964856
2769.01 0.128543
2772.00 0.180536
2774.99 0.273199
2776.48 0.349510
2777.98 0.463406
2779.48 0.644252
2780.97 0.956442
2782.47 1.56624
2783.22 2.11541
2783.96 3.00774
2784.71 4.59893
2785.08 5.90037
2785.46 7.81853
2785.83 10.7863
2786.21 15.6458
2786.58 24.0847
2786.95 39.1169
2787.33 62.6328
2787.70 78.2525
2788.07 62.5460
2788.45 39.0976
2788.77 25.7800
2789.08 17.6557
2789.40 12.6386
2789.72 9.42081
2790.35 5.74307
2790.99 3.83819
2791.62 2.73565
2792.26 2.04598
2793.53 1.26568
2794.80 0.858768
2796.07 0.620887
2797.34 0.469848
2798.61 0.368208
2801.15 0.244096
2803.69 0.174190
2806.23 0.131027
2808.77 0.102576
2813.86 0.0687006
2818.94 0.0503021
2824.02 0.0395031
2829.10 0.0330231
2839.26 0.0281245
2844.35 0.0294400
2849.43 0.0348328
2854.51 0.0492720
2857.05 0.0645939
2859.59 0.0930801
2860.86 0.117256
2862.13 0.154182
2863.40 0.214625
2864.67 0.323297
2865.31 0.413662
2865.94 0.549364
2866.58 0.766955
2867.21 1.14816
2867.85 1.90873
2868.17 2.61122
2868.48 3.78018
2868.80 5.95100
2868.96 7.79999
2869.12 10.6160
2869.28 15.2449
2869.36 18.7476
2869.44 23.4509
2869.52 30.0916
2869.59 39.4558
2869.67 53.0349
2869.75 72.6513
2869.88 116.361
2870.00 145.549
2870.12 116.351
2870.25 72.6416
2870.37 45.8585
2870.48 30.3825
2870.60 21.2372
2870.72 15.5462
2870.95 9.26092
2871.18 6.10290
2871.42 4.31183
2871.65 3.20378
2872.12 1.96539
2872.59 1.32726
2873.06 0.956513
2873.52 0.722404
2873.99 0.565254
2874.93 0.374014
2875.86 0.266524
2876.80 0.200161
2877.74 0.156329
2879.61 0.103825
2881.48 0.0747426
2883.35 0.0569399
2885.22 0.0452357
2888.97 0.0312424
2892.71 0.0234669
2900.20 0.0154786
2907.69 0.0115883
2915.18 0.00935882
2930.15 0.00697203
2960.10 0.00506082
2990.05 0.00438495
3020.01 0.00423077
3049.96 0.00452397
3064.93 0.00498083
3079.91 0.00611707
3087.40 0.00755160
3094.88 0.0114019
3098.63 0.0166140
3102.37 0.0311393
3104.24 0.0510187
3106.12 0.106100
3107.05 0.180326
3107.52 0.252484
3107.99 0.380305
3108.46 0.639914
3108.69 0.883921
3108.92 1.30008
3109.16 2.09617
3109.27 2.79755
3109.39 3.91274
3109.51 5.83174
3109.63 9.50567
3109.68 12.7304
3109.74 17.6101
3109.80 25.3712
3109.86 37.8189
3109.93 60.4223
3110.00 75.4558
3110.07 60.4226
3110.14 37.8197
3110.19 27.8712
3110.23 20.8994
3110.32 12.5986
3110.41 8.26390
3110.49 5.81082
3110.58 4.27742
3110.67 3.28229
3110.84 2.09677
3111.02 1.45211
3111.19 1.06430
3111.54 0.641957
3111.89 0.429051
3112.24 0.307663
3112.94 0.181275
3113.65 0.120207
3114.35 0.0862245
3115.75 0.0516504
3118.55 0.0263878
3121.35 0.0174440
3126.95 0.0111417
3132.56 0.00911449
3143.77 0.00818646
3154.97 0.00868420
3166.18 0.0102384
3177.39 0.0141735
3182.99 0.0190993
3188.60 0.0322040
3191.40 0.0497828
3192.80 0.0670450
3194.20 0.0981363
3195.60 0.163228
3196.30 0.226638
3197.00 0.339035
3197.70 0.568542
3198.05 0.784924
3198.40 1.15568
3198.75 1.87012
3198.93 2.50455
3199.10 3.52179
3199.28 5.29408
3199.45 8.75457
3199.54 11.8459
3199.63 16.6527
3199.72 24.6475
3199.80 37.8328
3199.90 60.4749
3200.00 75.5469
3200.10 60.4731
3200.20 37.8323
3200.31 21.8417
3200.42 13.5662
3200.54 9.07428
3200.65 6.46019
3200.76 4.80166
3200.87 3.70885
3201.10 2.39268
3201.33 1.66588
3201.55 1.22757
3202.00 0.746582
3202.45 0.502537
3202.90 0.362683
3203.80 0.216441
3204.70 0.145707
3205.60 0.106259
3207.41 0.0662137
3211.01 0.0372565
3214.61 0.0274095
3221.82 0.0214996
3229.03 0.0209974
3243.44 0.0255300
3257.86 0.0364171
3265.07 0.0457575
3272.28 0.0598341
3279.48 0.0822817
3286.69 0.121127
3293.90 0.197022
3297.50 0.265386
3301.11 0.376651
3304.71 0.575005
3306.51 0.737346
3308.31 0.976783
3310.12 1.34761
3311.92 1.95570
3313.72 3.01394
3315.52 4.90952
3317.31 7.85251
3319.10 9.80973
3320.89 7.84181
3322.68 4.89927
3324.12 3.29976
3325.57 2.29815
3327.01 1.66585
3328.46 1.25243
3331.34 0.773235
3334.23 0.521283
3337.12 0.374271
3340.01 0.281584
3345.78 0.176250
3351.56 0.121290
3357.34 0.0893219
3363.11 0.0693856
3368.89 0.0564779
3380.44 0.0432828
3386.22 0.0417232
3391.99 0.0446166
3397.77 0.0564630
3400.66 0.0701256
3403.54 0.0962184
3404.99 0.118578
3406.43 0.152897
3407.88 0.209146
3409.32 0.310377
3410.04 0.394321
3410.76 0.520356
3411.49 0.721959
3412.21 1.07382
3412.93 1.77143
3413.29 2.41004
3413.65 3.46795
3414.01 5.40311
3414.19 7.03513
3414.37 9.49311
3414.55 13.4630
3414.73 20.2761
3414.82 25.5999
3414.91 33.0144
3415.00 43.4742
3415.09 58.1378
3415.25 93.0181
3415.40 116.271
3415.55 93.0097
3415.71 58.1292
3415.80 43.1928
3415.89 32.6218
3416.07 19.8746
3416.26 13.1274
3416.44 9.24005
3416.63 6.82860
3416.81 5.24075
3417.18 3.35668
3417.55 2.32929
3417.91 1.71010
3418.65 1.03521
3419.39 0.694527
3420.12 0.499374
3420.86 0.377318
3421.59 0.296030
3423.06 0.197589
3424.54 0.142591
3426.01 0.108714
3427.48 0.0863437
3430.42 0.0594798
3433.36 0.0444997
3439.25 0.0290489
3445.13 0.0214841
3451.02 0.0171228
3462.79 0.0124241
3474.56 0.0101308
3486.33 0.00938394
3492.22 0.0100132
3498.10 0.0130137
3501.04 0.0176581
3503.99 0.0311336
3505.46 0.0497986
3506.93 0.101494
3507.66 0.170899
3508.03 0.238049
3508.40 0.355882
3508.77 0.593338
3508.95 0.814127
3509.14 1.18620
3509.32 1.88487
3509.41 2.48843
3509.50 3.42855
3509.60 4.99900
3509.69 7.87191
3509.73 10.2533
3509.78 13.7556
3509.83 19.0325
3509.87 26.7721
3509.94 42.8769
3510.00 53.6322
3510.07 42.8773
3510.13 26.7728
3510.20 16.0073
3510.27 10.2540
3510.34 6.96742
3510.40 5.02193
3510.47 3.76020
3510.54 2.92386
3510.68 1.90662
3510.81 1.33517
3510.95 0.988267
3511.22 0.602933
3511.50 0.405808
3511.77 0.292514
3512.32 0.173578
3513.41 0.0832521
3514.50 0.0501230
3516.69 0.0256434
3518.87 0.0168086
3523.24 0.0102725
3527.61 0.00784018
3536.36 0.00588922
