41-Nb_n-g
>  41-Nb-93:1.000000
1.060160e+02 4.43319000e+00
1.060820e+02 2.76579000e+00
1.061490e+02 1.88258000e+00
1.062150e+02 1.36401000e+00
1.062810e+02 1.03640000e+00
1.064130e+02 6.62327000e-01
1.065450e+02 4.65613000e-01
1.066780e+02 3.50029000e-01
1.069420e+02 2.26795000e-01
1.072070e+02 1.66167000e-01
1.074710e+02 1.32088000e-01
1.080000e+02 9.75011000e-02
1.086960e+02 7.84720000e-02
1.093920e+02 7.05029000e-02
1.107840e+02 6.69367000e-02
1.121760e+02 7.18925000e-02
1.135680e+02 8.58542000e-02
1.142640e+02 9.86371000e-02
1.149600e+02 1.18666000e-01
1.156560e+02 1.51993000e-01
1.163520e+02 2.12944000e-01
1.167000e+02 2.64246000e-01
1.170480e+02 3.42401000e-01
1.173960e+02 4.69959000e-01
1.177440e+02 6.99278000e-01
1.179180e+02 8.89666000e-01
1.180920e+02 1.17616000e+00
1.182660e+02 1.63616000e+00
1.184400e+02 2.44394000e+00
1.185270e+02 3.09896000e+00
1.186140e+02 4.06211000e+00
1.187010e+02 5.56056000e+00
1.187880e+02 8.07473000e+00
1.188750e+02 1.27647000e+01
1.189190e+02 1.67886000e+01
1.189620e+02 2.30121000e+01
1.190060e+02 3.33052000e+01
1.190490e+02 5.18563000e+01
1.190710e+02 6.70461000e+01
1.190930e+02 8.89700000e+01
1.191140e+02 1.21582000e+02
1.191360e+02 1.69526000e+02
1.191520e+02 2.16667000e+02
1.191680e+02 2.70378000e+02
1.192000e+02 3.37249000e+02
1.192320e+02 2.70302000e+02
1.192640e+02 1.69432000e+02
1.192900e+02 1.13825000e+02
1.193160e+02 7.91869000e+01
1.193420e+02 5.72741000e+01
1.193680e+02 4.30251000e+01
1.194200e+02 2.64993000e+01
1.194720e+02 1.78247000e+01
1.195250e+02 1.27676000e+01
1.195770e+02 9.57994000e+00
1.196810e+02 5.95448000e+00
1.197850e+02 4.05570000e+00
1.198890e+02 2.94110000e+00
1.199930e+02 2.23231000e+00
1.200980e+02 1.75450000e+00
1.203060e+02 1.16949000e+00
1.205140e+02 8.39168000e-01
1.207230e+02 6.34681000e-01
1.209310e+02 4.99461000e-01
1.213480e+02 3.37280000e-01
1.217650e+02 2.47529000e-01
1.221810e+02 1.92709000e-01
1.225980e+02 1.56813000e-01
1.234320e+02 1.14214000e-01
1.242650e+02 9.08786000e-02
1.250990e+02 7.67345000e-02
1.259320e+02 6.75264000e-02
1.275990e+02 5.66831000e-02
1.292660e+02 5.08111000e-02
1.326000e+02 4.50737000e-02
1.363630e+02 4.23571000e-02
1.401250e+02 4.12028000e-02
1.476500e+02 4.08897000e-02
1.551750e+02 4.21836000e-02
1.627000e+02 4.53922000e-02
1.702540e+02 5.27322000e-02
1.740310e+02 6.01641000e-02
1.778080e+02 7.37907000e-02
1.796970e+02 8.53171000e-02
1.815850e+02 1.02988000e-01
1.834740e+02 1.32111000e-01
1.853620e+02 1.85288000e-01
1.863060e+02 2.30174000e-01
1.872510e+02 2.98849000e-01
1.881950e+02 4.11739000e-01
1.891390e+02 6.16944000e-01
1.896110e+02 7.89354000e-01
1.900830e+02 1.05181000e+00
1.905550e+02 1.48012000e+00
1.910280e+02 2.25047000e+00
1.912640e+02 2.89062000e+00
1.915000e+02 3.85469000e+00
1.917360e+02 5.40444000e+00
1.919720e+02 8.12897000e+00
1.920900e+02 1.03439000e+01
1.922080e+02 1.36033000e+01
1.923260e+02 1.86847000e+01
1.924440e+02 2.72358000e+01
1.925030e+02 3.38943000e+01
1.925620e+02 4.32794000e+01
1.926210e+02 5.71045000e+01
1.926800e+02 7.85984000e+01
1.927390e+02 1.14412000e+02
1.927690e+02 1.41808000e+02
1.927980e+02 1.79688000e+02
1.928280e+02 2.33609000e+02
1.928570e+02 3.12668000e+02
1.928870e+02 4.31373000e+02
1.929160e+02 6.09600000e+02
1.929580e+02 9.75851000e+02
1.930000e+02 1.22015000e+03
1.930420e+02 9.75571000e+02
1.930840e+02 6.09281000e+02
1.931100e+02 4.47159000e+02
1.931370e+02 3.34523000e+02
1.931890e+02 2.00827000e+02
1.932420e+02 1.31380000e+02
1.932940e+02 9.19230000e+01
1.933460e+02 6.75986000e+01
1.933990e+02 5.16817000e+01
1.935040e+02 3.29247000e+01
1.936090e+02 2.27452000e+01
1.937140e+02 1.66398000e+01
1.939240e+02 1.00017000e+01
1.941330e+02 6.66672000e+00
1.943430e+02 4.76107000e+00
1.945530e+02 3.57162000e+00
1.947630e+02 2.78033000e+00
1.951830e+02 1.82546000e+00
1.956030e+02 1.29380000e+00
1.960220e+02 9.67705000e-01
1.964420e+02 7.53531000e-01
1.972820e+02 4.98589000e-01
1.981210e+02 3.58497000e-01
1.989610e+02 2.73393000e-01
1.998000e+02 2.17878000e-01
2.000000e+02 2.07514000e-01
2.006860e+02 1.77939000e-01
2.013710e+02 1.55353000e-01
2.027420e+02 1.23694000e-01
2.054850e+02 8.88950000e-02
2.082270e+02 7.12611000e-02
2.109690e+02 6.11714000e-02
2.164540e+02 5.08437000e-02
2.219380e+02 4.62924000e-02
2.274230e+02 4.46630000e-02
2.329070e+02 4.62781000e-02
2.356490e+02 5.02317000e-02
2.370200e+02 5.45019000e-02
2.383920e+02 6.25037000e-02
2.397630e+02 7.97593000e-02
2.404480e+02 9.68819000e-02
2.411340e+02 1.27776000e-01
2.414770e+02 1.53490000e-01
2.418190e+02 1.92245000e-01
2.421620e+02 2.54573000e-01
2.425050e+02 3.64181000e-01
2.428480e+02 5.84294000e-01
2.430190e+02 7.88547000e-01
