29-Cu_n-g
>  29-Cu-63:0.691500
>  29-Cu-65:0.308500
6.496110e+02 8.60719246e+00
6.496790e+02 1.16641063e+01
6.497480e+02 1.63625028e+01
6.498170e+02 2.36065874e+01
6.499080e+02 3.77655336e+01
6.500000e+02 4.72179234e+01
6.500920e+02 3.77909802e+01
6.501840e+02 2.36366664e+01
6.502600e+02 1.57269434e+01
6.503360e+02 1.08555331e+01
6.504130e+02 7.81604458e+00
6.504890e+02 5.85109866e+00
6.506420e+02 3.59434640e+00
6.507950e+02 2.41883737e+00
6.509480e+02 1.73681731e+00
6.511010e+02 1.30830807e+00
6.514070e+02 8.22341571e-01
6.517130e+02 5.68442473e-01
6.520180e+02 4.19575312e-01
6.526300e+02 2.61085574e-01
6.532420e+02 1.82891432e-01
6.538530e+02 1.38597391e-01
6.550760e+02 9.26914491e-02
6.562990e+02 7.04081850e-02
6.575230e+02 5.77721722e-02
6.599690e+02 4.43804001e-02
6.648620e+02 3.32568381e-02
6.697540e+02 2.81524413e-02
6.795390e+02 2.27521969e-02
6.893250e+02 1.95987018e-02
7.088950e+02 1.57928047e-02
7.284660e+02 1.35395292e-02
7.500000e+02 1.22937967e-02
7.676070e+02 1.13054864e-02
7.871780e+02 1.19115082e-02
7.920700e+02 1.31544958e-02
7.969630e+02 1.69306537e-02
7.994090e+02 2.22116474e-02
8.006330e+02 2.74346876e-02
8.018560e+02 3.68247776e-02
8.030790e+02 5.63053048e-02
8.036900e+02 7.50224839e-02
8.043020e+02 1.07719717e-01
8.049140e+02 1.72680265e-01
8.052190e+02 2.32278751e-01
8.055250e+02 3.31254702e-01
8.058310e+02 5.13000438e-01
8.059840e+02 6.66380411e-01
8.061370e+02 8.99641772e-01
8.062900e+02 1.27639146e+00
8.064430e+02 1.93214065e+00
8.065950e+02 3.17621113e+00
8.066720e+02 4.21114447e+00
8.067480e+02 5.67761531e+00
8.068740e+02 9.07704292e+00
8.070000e+02 1.13423276e+01
8.071260e+02 9.07552120e+00
8.072520e+02 5.67576123e+00
8.073430e+02 3.98059032e+00
8.074340e+02 2.86476502e+00
8.075260e+02 2.12940994e+00
8.076170e+02 1.63256703e+00
8.077990e+02 1.03591978e+00
8.079810e+02 7.11405436e-01
8.081630e+02 5.17677254e-01
8.083450e+02 3.93659878e-01
8.087090e+02 2.50396366e-01
8.090740e+02 1.74231172e-01
8.094380e+02 1.29103266e-01
8.101660e+02 8.06112878e-02
8.108950e+02 5.65176404e-02
8.116230e+02 4.28355646e-02
8.130800e+02 2.86809282e-02
8.145370e+02 2.18778357e-02
8.159940e+02 1.80870556e-02
8.189080e+02 1.42148396e-02
8.247360e+02 1.13149874e-02
8.305640e+02 1.02127587e-02
8.538750e+02 8.86380208e-03
9.004980e+02 8.15929497e-03
9.471210e+02 8.40237796e-03
9.587760e+02 9.01156652e-03
9.704320e+02 1.08841930e-02
9.762600e+02 1.35369476e-02
9.791740e+02 1.61926299e-02
