Ga-71(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
3199.72 46.3223
3199.80 68.4177
3199.90 106.369
3200.00 131.648
3200.10 106.404
3200.20 68.4632
3200.31 41.6597
3200.42 27.7853
3200.54 20.2526
3200.65 15.8677
3200.76 13.0848
3200.87 11.2504
3201.10 9.03961
3201.33 7.81718
3201.55 7.07866
3202.00 6.26535
3202.45 5.84960
3202.90 5.60874
3203.80 5.35103
3204.70 5.22007
3205.60 5.14157
3207.41 5.04956
3211.01 4.95007
3214.61 4.88056
3221.82 4.75738
3229.03 4.63215
3243.44 4.35055
3257.86 4.01519
3265.07 3.83016
3272.28 3.64669
3279.48 3.50001
3286.69 3.49316
3293.90 3.95800
3297.50 4.67668
3301.11 6.19433
3304.71 9.52694
3306.51 12.6225
3308.31 17.5778
3310.12 25.8725
3311.92 40.5384
3313.72 68.0651
3315.52 121.570
3317.31 213.962
3319.10 294.793
3320.89 260.117
3322.68 179.333
3324.12 130.672
3325.57 98.3563
3327.01 76.9536
3328.46 62.3565
3331.34 44.5054
3334.23 34.4482
3337.12 28.1972
3340.01 24.0164
3345.78 18.8766
3351.56 15.8945
3357.34 13.9690
3363.11 12.6273
3368.89 11.6362
3380.44 10.2419
3386.22 9.70807
3391.99 9.22187
3397.77 8.73387
3400.66 8.46514
3403.54 8.15624
3404.99 7.97697
3406.43 7.77340
3407.88 7.53823
3409.32 7.26686
3410.04 7.12133
3410.76 6.98078
3411.49 6.87481
3412.21 6.88931
3412.93 7.30240
3413.29 7.92152
3413.65 9.22927
3414.01 12.1392
3414.19 14.9038
3414.37 19.4018
3414.55 27.2189
3414.73 41.6198
3414.82 53.4485
3414.91 70.5239
3415.00 95.5394
3415.09 132.100
3415.25 225.943
3415.40 305.056
3415.55 265.635
3415.71 181.707
3415.80 142.808
3415.89 114.181
3416.07 78.0746
3416.26 57.8954
3416.44 45.6978
3416.63 37.7899
3416.81 32.3632
3417.18 25.5599
3417.55 21.5705
3417.91 18.9983
3418.65 15.9371
3419.39 14.2029
3420.12 13.0992
3420.86 12.3383
3421.59 11.7832
3423.06 11.0242
3424.54 10.5275
3426.01 10.1737
3427.48 9.90624
3430.42 9.52183
3433.36 9.25205
3439.25 8.88179
3445.13 8.62573
3451.02 8.42942
3462.79 8.13436
3474.56 7.91331
3486.33 7.73662
3492.22 7.66069
3498.10 7.59334
3501.04 7.56503
3503.99 7.54754
3505.46 7.55221
3506.93 7.59323
3507.66 7.66146
3508.03 7.73110
3508.40 7.85625
3508.77 8.11239
3508.95 8.35225
3509.14 8.75786
3509.32 9.52134
3509.41 10.1817
3509.50 11.2110
3509.60 12.9312
3509.69 16.0792
3509.73 18.6893
3509.78 22.5285
3509.83 28.3136
3509.87 36.7998
3509.94 54.4614
3510.00 66.2635
3510.07 54.4779
3510.13 36.8196
3510.20 25.0128
3510.27 18.7017
3510.34 15.0958
3510.40 12.9608
3510.47 11.5757
3510.54 10.6573
3510.68 9.53958
3510.81 8.91094
3510.95 8.52873
3511.22 8.10285
3511.50 7.88358
3511.77 7.75638
3512.32 7.62025
3513.41 7.51022
3514.50 7.46322
3516.69 7.41559
3518.87 7.38569
3523.24 7.33948
3527.61 7.29946
3536.36 7.22699
3545.10 7.16083
3580.07 6.93660
3650.00 6.59629
3719.94 6.31003
3737.42 6.23672
3754.90 6.15853
3763.65 6.11654
3772.39 6.07230
3781.13 6.03040
3783.32 6.02559
3785.50 6.03608
3786.59 6.06226
3787.69 6.14611
3788.23 6.26310
3788.51 6.37627
3788.78 6.57385
3789.05 6.96340
3789.19 7.31845
3789.32 7.89589
3789.46 8.94190
3789.53 9.79918
3789.60 11.0717
3789.67 13.0963
3789.73 16.4212
3789.80 22.3133
3789.87 33.1295
3789.94 49.4876
3790.00 60.4225
3790.07 49.5126
3790.13 33.1601
3790.19 22.9321
3790.26 17.1765
3790.32 13.7880
3790.38 11.6841
3790.44 10.2894
3790.50 9.35210
3790.63 8.19393
3790.75 7.53258
3790.88 7.12697
3791.13 6.67241
3791.37 6.43632
3791.62 6.29894
3792.12 6.15183
3793.11 6.03488
3794.11 5.98695
3796.10 5.94163
3798.08 5.91481
3806.04 5.83187
3813.99 5.73886
3821.94 5.61551
3825.92 5.53444
3829.89 5.43278
3833.87 5.29994
3837.85 5.11706
3839.83 4.99661
3841.82 4.84775
3843.81 4.66004
3845.80 4.42004
3846.79 4.27700
3847.79 4.12063
3848.78 3.96311
3849.77 3.84882
3850.77 3.93882
3851.26 4.22130
3851.76 4.92220
3852.26 6.62339
3852.51 8.29918
3852.76 11.0753
3853.00 15.9344
3853.25 24.8951
3853.38 32.2780
3853.50 42.7741
3853.63 57.9729
3853.75 79.9069
3853.98 140.971
3854.20 195.248
3854.43 173.844
3854.65 121.327
3854.81 93.4519
3854.96 73.5890
3855.11 59.5942
3855.27 49.5733
3855.58 36.6923
3855.88 29.0848
3856.19 24.2140
3856.50 20.8924
3857.11 16.7445
3857.73 14.3035
3858.35 12.7248
3858.96 11.6276
3859.58 10.8277
3860.81 9.74408
3862.04 9.04923
3863.27 8.56789
3864.50 8.21554
3866.96 7.73482
3869.43 7.42247
3871.89 7.20274
3874.35 7.03931
3879.27 6.81103
3884.20 6.65754
3889.12 6.54569
3894.05 6.45941
3903.90 6.33202
3913.74 6.23921
3933.44 6.10432
3972.84 5.91593
4012.23 5.76350
4051.63 5.61829
4091.02 5.46404
4110.72 5.37560
4130.42 5.26656
4140.27 5.19320
4145.19 5.14592
4150.11 5.08523
4155.04 4.99927
4157.50 4.93865
4159.96 4.85653
4161.19 4.80283
4162.42 4.73652
4163.66 4.65255
4164.89 4.54369
4166.12 4.40281
4166.73 4.32317
4167.35 4.25415
4167.96 4.25925
4168.27 4.35871
4168.58 4.64202
4168.89 5.40508
4169.04 6.21321
4169.20 7.65141
4169.35 10.3908
4169.50 16.1451
4169.58 21.4570
4169.66 29.9840
4169.73 44.1872
4169.81 67.7479
4169.91 114.928
4170.00 154.465
4170.10 134.482
4170.19 92.2175
4170.30 59.7952
4170.40 41.8965
4170.51 31.5633
4170.62 25.1825
4170.72 20.9870
4170.83 18.0804
4171.04 14.4058
4171.25 12.2371
4171.46 10.8352
4171.89 9.16508
4172.31 8.22402
4172.74 7.62888
4173.16 7.22186
4173.58 6.92738
4174.43 6.53161
4175.28 6.27883
4176.13 6.10364
4176.98 5.97501
4178.67 5.79813
4180.37 5.68152
4182.06 5.59796
4183.76 5.53445
4187.15 5.44247
4190.55 5.37702
4197.33 5.28442
4204.12 5.21626
4210.90 5.15953
4224.47 5.06099
4251.61 4.87627
4278.75 4.67070
4305.89 4.40656
4319.46 4.23200
4333.03 4.00590
4346.60 3.68997
4353.39 3.47572
4360.17 3.20360
4363.56 3.04009
4366.96 2.85753
4370.35 2.66321
4373.74 2.49112
4377.13 2.47663
4378.83 2.67079
4380.53 3.23813
4382.22 4.73446
4383.07 6.26955
4383.92 8.90251
4384.77 13.6506
4385.61 22.8190
4386.04 30.5910
4386.46 42.0835
4386.89 59.3644
4387.31 85.3329
4388.01 151.474
4388.70 210.355
4389.40 186.827
4390.09 129.505
4390.67 93.5684
4391.26 70.0393
4391.84 54.6484
4392.43 44.2469
4393.59 31.6327
4394.76 24.5733
4395.93 20.1996
4397.10 17.2785
4399.43 13.6900
4401.77 11.6092
4404.11 10.2680
4406.44 9.33778
4408.78 8.65731
4413.45 7.72960
4418.12 7.12657
4422.79 6.70134
4427.46 6.38342
4436.81 5.93341
4446.15 5.62239
