Hg-200(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1.61249E+06 0.0214388
1.61653E+06 0.0213589
1.63913E+06 0.0209204
1.64676E+06 0.0207758
1.64968E+06 0.0207209
1.65126E+06 0.0206913
1.65143E+06 0.0206881
1.66737E+06 0.0203934
1.66740E+06 0.0203928
1.68423E+06 0.0200891
1.69347E+06 0.0199256
1.70108E+06 0.0197926
1.70894E+06 0.0196568
1.71530E+06 0.0195480
1.71531E+06 0.0195478
1.72122E+06 0.0194477
1.72697E+06 0.0193510
1.72934E+06 0.0193114
1.73726E+06 0.0191800
1.73963E+06 0.0191410
1.73963E+06 0.0191410
1.74305E+06 0.0190849
1.75000E+06 0.0189718
1.75052E+06 0.0189634
1.78456E+06 0.0184256
1.80072E+06 0.0181791
1.81956E+06 0.0178987
1.82484E+06 0.0178214
1.83368E+06 0.0176932
1.83370E+06 0.0176929
1.85511E+06 0.0173887
1.85511E+06 0.0173887
1.85765E+06 0.0173532
1.86080E+06 0.0173094
1.86084E+06 0.0173088
1.86617E+06 0.0172350
1.89240E+06 0.0168794
1.97250E+06 0.0158658
1.97250E+06 0.0158658
1.98225E+06 0.0157493
1.98426E+06 0.0157255
2.00000E+06 0.0155410
2.05944E+06 0.0147409
2.07170E+06 0.0145839
2.08476E+06 0.0144194
2.08476E+06 0.0144194
2.12496E+06 0.0139309
2.12497E+06 0.0139308
2.12718E+06 0.0139046
2.13763E+06 0.0137822
2.13773E+06 0.0137810
2.13863E+06 0.0137706
2.13863E+06 0.0137705
2.14627E+06 0.0136822
2.14627E+06 0.0136822
2.15461E+06 0.0135868
2.15462E+06 0.0135868
2.16225E+06 0.0135003
2.16225E+06 0.0135003
2.16230E+06 0.0134997
2.20054E+06 0.0130793
2.20055E+06 0.0130793
2.25000E+06 0.0125651
2.50000E+06 0.0103893
2.62320E+06 0.00945040
2.75000E+06 0.00861156
2.85130E+06 0.00801950
3.00000E+06 0.00725561
3.50000E+06 0.00517875
3.75000E+06 0.00445327
4.00000E+06 0.00386692
4.50000E+06 0.00276993
5.00000E+06 0.00205520
5.50000E+06 0.00144724
5.50222E+06 0.00144509
5.57981E+06 0.00137251
6.00000E+06 0.00105072
6.50000E+06 0.000733459
7.00000E+06 0.000525823
7.73806E+06 0.000335223
7.81565E+06 0.000320535
8.00000E+06 0.000288673
8.06919E+06 0.000265783
8.22839E+06 0.000220357
8.55189E+06 0.000152217
9.03459E+06 8.98865E-05
9.51730E+06 5.45549E-05
1.00000E+07 3.39394E-05
1.02500E+07 2.38504E-05
1.05000E+07 1.69035E-05
1.07500E+07 1.20776E-05
1.10000E+07 8.69635E-06
1.12500E+07 6.30813E-06
1.15000E+07 4.60817E-06
1.20000E+07 2.50877E-06
1.25000E+07 1.37281E-06
1.30000E+07 7.69187E-07
1.35000E+07 4.40503E-07
1.40000E+07 2.57437E-07
1.43757E+07 1.77374E-07
1.47514E+07 1.23391E-07
1.47514E+07 1.23386E-07
1.51653E+07 8.36050E-08
1.53757E+07 6.88732E-08
1.60000E+07 3.93472E-08
1.70000E+07 2.44715E-08
1.80000E+07 1.56387E-08
1.85000E+07 1.14149E-08
1.90000E+07 8.40214E-09
2.00000E+07 9.49703E-09
2.00000E+07 0.00000
2.02338E+07 0.00000
2.10000E+07 0.00000
2.14922E+07 0.00000
2.17904E+07 0.00000
2.20000E+07 0.00000
2.30000E+07 0.00000
2.32940E+07 0.00000
2.40000E+07 0.00000
2.50000E+07 0.00000
2.56510E+07 0.00000
2.60000E+07 0.00000
2.64644E+07 0.00000
2.70000E+07 0.00000
2.80000E+07 0.00000
2.80773E+07 0.00000
2.81691E+07 0.00000
2.90000E+07 0.00000
3.00000E+07 0.00000
3.01136E+07 0.00000
3.10000E+07 0.00000
3.20000E+07 0.00000
3.30000E+07 0.00000
3.36807E+07 0.00000
3.40000E+07 0.00000
3.45816E+07 0.00000
3.50000E+07 0.00000
3.60000E+07 0.00000
3.65817E+07 0.00000
3.67945E+07 0.00000
3.70000E+07 0.00000
3.79789E+07 0.00000
3.80000E+07 0.00000
3.90000E+07 0.00000
3.90117E+07 0.00000
4.00000E+07 0.00000
4.00049E+07 0.00000
4.09327E+07 0.00000
4.10000E+07 0.00000
4.20000E+07 0.00000
4.30000E+07 0.00000
4.32684E+07 0.00000
4.33289E+07 0.00000
4.40000E+07 0.00000
4.50000E+07 0.00000
4.59328E+07 0.00000
4.60000E+07 0.00000
4.70000E+07 0.00000
4.80000E+07 0.00000
4.90000E+07 0.00000
4.91745E+07 0.00000
5.00000E+07 0.00000
5.10000E+07 0.00000
5.20000E+07 0.00000
5.22247E+07 0.00000
5.23113E+07 0.00000
5.30000E+07 0.00000
5.40000E+07 0.00000
5.50000E+07 0.00000
5.53605E+07 0.00000
5.58675E+07 0.00000
5.60000E+07 0.00000
5.70000E+07 0.00000
5.80000E+07 0.00000
5.89940E+07 0.00000
5.90000E+07 0.00000
5.93350E+07 0.00000
6.00000E+07 0.00000
6.10000E+07 0.00000
6.20000E+07 0.00000
6.25620E+07 0.00000
6.30000E+07 0.00000
6.40000E+07 0.00000
6.50000E+07 0.00000
6.60000E+07 0.00000
6.70000E+07 0.00000
6.80000E+07 0.00000
6.84331E+07 0.00000
6.90000E+07 0.00000
7.00000E+07 0.00000
7.10000E+07 0.00000
7.18420E+07 0.00000
7.20000E+07 0.00000
7.30000E+07 0.00000
7.40000E+07 0.00000
7.50000E+07 0.00000
7.56075E+07 0.00000
7.60000E+07 0.00000
7.70000E+07 0.00000
7.80000E+07 0.00000
7.90000E+07 0.00000
7.95350E+07 0.00000
8.00000E+07 0.00000
8.10000E+07 0.00000
8.20000E+07 0.00000
8.30000E+07 0.00000
8.40000E+07 0.00000
8.50000E+07 0.00000
8.60000E+07 0.00000
8.70000E+07 0.00000
8.80000E+07 0.00000
8.90000E+07 0.00000
9.00000E+07 0.00000
9.10000E+07 0.00000
9.20000E+07 0.00000
9.30000E+07 0.00000
9.40000E+07 0.00000
9.50000E+07 0.00000
9.60000E+07 0.00000
9.70000E+07 0.00000
9.80000E+07 0.00000
9.90000E+07 0.00000
1.00000E+08 0.00000
1.02000E+08 0.00000
1.04000E+08 0.00000
1.06000E+08 0.00000
