Ca-43(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
20308.8 0.0890317
20313.1 0.0608037
20317.4 0.0446895
20325.9 0.0278920
20334.5 0.0197568
20343.0 0.0152115
20360.1 0.0105514
20377.2 0.00831568
20394.3 0.00706132
20428.5 0.00575241
20496.8 0.00471827
20565.2 0.00431192
20701.9 0.00409887
20838.7 0.00438986
20975.4 0.00542113
21043.8 0.00652106
21112.1 0.00850470
21180.5 0.0125253
21214.7 0.0162631
21248.9 0.0225501
21283.1 0.0343237
21300.2 0.0444628
21317.2 0.0602123
21334.3 0.0864277
21342.9 0.106478
21351.4 0.134148
21360.0 0.173547
21368.5 0.231180
21377.1 0.317695
21385.6 0.447208
21397.8 0.713744
21410.0 0.890943
21422.2 0.712736
21434.4 0.446272
21442.3 0.325485
21450.1 0.242276
21465.8 0.145043
21481.5 0.0952173
21497.2 0.0671594
21512.9 0.0500145
21528.6 0.0388671
21560.0 0.0258177
21591.4 0.0188265
21622.9 0.0147030
21685.7 0.0104397
21748.5 0.00872692
21811.3 0.00879710
21842.7 0.0100707
21858.4 0.0115257
21874.1 0.0142611
21889.8 0.0200773
21905.5 0.0356318
21913.4 0.0554370
21917.3 0.0737290
21921.2 0.104183
21925.2 0.160674
21927.1 0.208604
21929.1 0.282024
21931.0 0.402605
21933.0 0.614894
21934.0 0.784920
21935.0 1.02709
21935.9 1.37803
21936.9 1.88454
21938.5 3.01314
21940.0 3.76569
21941.5 3.01242
21943.1 1.88406
21944.7 1.12739
21946.4 0.721006
21948.0 0.491613
21949.6 0.354946
21951.3 0.267221
21952.9 0.208641
21956.2 0.137615
21959.4 0.0979707
21962.7 0.0738329
21969.2 0.0471256
21975.7 0.0335172
21982.3 0.0256691
21995.3 0.0174485
22008.4 0.0134687
22021.5 0.0112576
22047.6 0.00905137
22099.8 0.00762398
22152.1 0.00740681
22256.6 0.00820395
22361.0 0.0101668
22465.5 0.0137653
22570.0 0.0205067
22622.3 0.0261002
22674.5 0.0342844
22726.8 0.0465152
22779.0 0.0647380
22854.5 0.102437
22930.0 0.127078
23005.5 0.101535
23081.0 0.0638246
23149.6 0.0413886
23218.1 0.0281488
23286.6 0.0201945
23355.2 0.0151925
23492.3 0.00963890
23629.4 0.00689221
23766.4 0.00546111
23903.5 0.00489917
23972.1 0.00504412
24040.6 0.00594349
24074.9 0.00725726
24109.2 0.0107873
24126.3 0.0154049
24143.4 0.0276267
24152.0 0.0434380
24156.3 0.0583647
24160.6 0.0839116
24164.9 0.133454
24167.0 0.177579
24169.1 0.248710
24171.3 0.373670
24173.4 0.620984
