Co-59(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
13232.0 18.8553
13232.1 15.0206
13232.2 9.45167
13232.3 5.75575
13232.4 3.60076
13232.6 1.79998
13232.8 1.05613
13233.0 0.718090
13233.3 0.408857
13233.7 0.281451
13235.3 0.144788
13238.4 0.114387
13244.6 0.129553
13250.8 0.165057
13257.0 0.221258
13263.3 0.312851
13269.5 0.472216
13272.6 0.598254
13275.7 0.775731
13278.8 1.03001
13281.9 1.39301
13292.0 2.93164
13294.5 2.82215
13297.1 2.43648
13302.1 1.53460
13307.6 0.898895
13313.2 0.562423
13318.7 0.377808
13324.2 0.269181
13329.7 0.200645
13335.3 0.155125
13346.3 0.100515
13357.4 0.0704623
13368.4 0.0522462
13390.5 0.0322766
13412.6 0.0221716
13434.7 0.0163771
13478.9 0.0103446
13523.1 0.00746592
13567.3 0.00597261
13611.5 0.00570702
13633.6 0.00823472
13644.7 0.0193018
13647.5 0.0306134
13650.2 0.0617212
13651.6 0.103226
13653.0 0.213175
13653.7 0.352807
13654.4 0.696337
13654.7 1.10196
13655.0 1.95091
13655.2 2.84694
13655.4 4.35923
13655.6 7.28504
13655.7 9.94523
13655.7 13.3956
13655.9 21.7409
13656.0 26.8373
13656.1 21.7432
13656.3 13.3974
13656.4 8.94087
13656.5 6.01094
13656.6 4.24243
13656.7 3.12624
13657.0 1.87797
13657.2 1.24393
13657.7 0.657252
13658.2 0.405098
13659.1 0.198860
13660.1 0.119203
13662.0 0.0574720
13663.9 0.0347995
13671.6 0.0118718
13686.9 0.00577690
13717.5 0.00400469
13778.8 0.00325503
13901.3 0.00275517
14146.3 0.00248859
14391.4 0.00258557
14636.4 0.00298524
14881.4 0.00393561
15003.9 0.00487028
15126.4 0.00651235
15249.0 0.00980077
15310.2 0.0128549
15371.5 0.0180123
15432.7 0.0277674
15463.4 0.0362782
15494.0 0.0496907
15509.3 0.0594784
15524.6 0.0725053
15539.9 0.0903377
15555.3 0.115482
15570.6 0.152254
15585.9 0.208034
15601.2 0.295650
15616.5 0.434609
15635.8 0.696442
15655.0 0.886215
15664.6 0.843907
15674.3 0.723769
15693.5 0.455677
15711.7 0.288104
15729.9 0.191106
15748.0 0.133924
15766.2 0.0984566
15802.6 0.0594721
15838.9 0.0400190
15875.3 0.0290724
15911.7 0.0223683
15984.4 0.0150389
16057.1 0.0114747
16129.8 0.00964646
16275.3 0.00858825
16420.7 0.00995446
16493.4 0.0118065
16566.1 0.0150428
16638.9 0.0208568
16675.2 0.0255193
16711.6 0.0322014
16747.9 0.0421248
16784.3 0.0574722
16820.7 0.0821734
16857.0 0.122641
16943.0 0.257354
16964.5 0.249241
16986.0 0.216393
17029.0 0.137415
17080.3 0.0775280
17131.6 0.0474730
17182.9 0.0316455
17234.2 0.0225774
17285.5 0.0169764
17336.8 0.0133013
17439.3 0.00895353
17541.9 0.00658797
17644.5 0.00516452
17849.7 0.00361775
18054.8 0.00285287
18260.0 0.00244391
18465.2 0.00228879
18567.8 0.00256355
18593.4 0.00291036
18619.1 0.00392024
18631.9 0.00532919
18644.7 0.00927992
18651.1 0.0146669
18657.5 0.0294224
18660.7 0.0490288
18663.9 0.100347
18665.5 0.165318
18667.1 0.322072
18667.9 0.500261
18668.7 0.875759
18669.1 1.23839
18669.5 1.86470
18669.9 3.04490
18670.1 4.02737
18670.3 5.43241
18671.0 11.7538
18671.2 11.4065
18671.3 9.93836
18671.7 6.26877
18671.9 4.29201
18672.2 3.01835
18672.4 2.20052
18672.7 1.67797
18673.1 1.04643
18673.6 0.709270
18674.1 0.510660
18674.6 0.384608
18675.6 0.240331
18676.6 0.163749
18677.6 0.119191
18679.5 0.0715386
18681.5 0.0478796
18683.5 0.0345700
18687.4 0.0208151
18691.3 0.0142401
18695.2 0.0105959
18703.1 0.00691026
18711.0 0.00517264
18718.8 0.00421936
18734.5 0.00326012
18765.9 0.00256358
18797.4 0.00231514
18923.1 0.00208771
19048.7 0.00221499
19080.2 0.00239235
19111.6 0.00290295
19127.3 0.00361227
19135.2 0.00432010
19143.0 0.00560867
19150.9 0.00835303
19154.8 0.0110678
19158.7 0.0159554
19162.7 0.0262163
19166.6 0.0538856
19168.6 0.0899815
19170.5 0.181471
19171.5 0.291867
19172.5 0.544202
19173.0 0.811557
19173.5 1.32603
19173.7 1.78732
19173.9 2.47477
19174.2 3.63662
19174.4 5.47698
19175.0 11.4780
19175.2 10.9859
19175.3 9.47145
19175.6 6.01366
19175.9 3.59642
19176.2 2.31492
19176.5 1.56594
19176.8 1.13121
19177.1 0.843872
19177.3 0.657298
19177.9 0.426859
19178.5 0.298852
19179.1 0.220773
19180.3 0.135170
19181.5 0.0911352
19182.6 0.0659486
19185.0 0.0393951
19187.3 0.0264556
19189.7 0.0192508
19194.4 0.0118924
19199.1 0.00839723
19203.8 0.00647514
19213.2 0.00453759
19222.6 0.00363142
19232.0 0.00313672
19250.9 0.00264450
19288.5 0.00229900
19326.1 0.00218832
19476.7 0.00216985
19627.2 0.00248623
19664.9 0.00277066
19702.5 0.00353258
19740.2 0.00738607
19749.6 0.0111924
19759.0 0.0214651
19763.7 0.0348686
19766.0 0.0474892
19768.4 0.0691004
19770.7 0.110732
19771.9 0.147912
19773.1 0.207092
19774.3 0.311479
19775.4 0.515261
19776.0 0.699871
19776.6 0.996215
19777.2 1.50115
19777.8 2.38207
19779.0 5.55260
19779.3 5.60341
19779.6 4.99725
19780.2 3.20606
19780.6 2.23138
19781.1 1.58439
19781.5 1.16171
19781.9 0.879548
19782.8 0.547048
19783.7 0.370023
19784.5 0.266073
19785.4 0.200287
19787.1 0.125540
19788.8 0.0860106
19790.5 0.0627948
19794.0 0.0381147
19797.4 0.0259092
19800.8 0.0190357
19807.7 0.0119518
19814.6 0.00857203
19821.4 0.00670297
19835.2 0.00481996
19848.9 0.00394106
19862.6 0.00346539
19890.1 0.00300323
20000.0 0.00265380
20221.7 0.00288343
20443.4 0.00338076
20665.1 0.00416891
20775.9 0.00476100
20831.3 0.00527775
20859.1 0.00621238
20872.9 0.00927117
20879.8 0.0207268
20883.3 0.0628030
20885.0 0.205914
20885.9 0.628904
20886.3 1.56831
20886.6 3.05651
20886.7 4.59918
20886.8 7.02726
20886.9 11.1775
20887.0 14.0370
20887.1 11.1783
20887.2 7.02785
20887.3 4.59957
20887.5 3.05676
20887.7 1.61070
20888.1 0.639942
20889.0 0.210037
20890.7 0.0638044
20894.1 0.0210943
20901.0 0.00954233
20914.7 0.00662903
20942.2 0.00607575
20997.1 0.00636154
21106.9 0.00751273
21216.8 0.00921957
21271.7 0.0107404
21299.1 0.0133528
21312.9 0.0215386
21319.7 0.0509989
21323.2 0.152022
21324.0 0.242362
21324.9 0.456777
21325.3 0.694656
21325.8 1.18070
21326.0 1.64826
21326.2 2.39224
21326.4 3.70974
21326.6 6.32798
21327.0 14.3382
21327.1 14.2703
21327.2 12.5395
21327.4 8.05452
21327.5 5.62365
21327.7 4.09456
21327.9 2.35988
21328.2 1.48062
21328.5 1.02097
21329.0 0.561387
