50-Sn_n-tot
> 50-Sn-112:0.009700
> 50-Sn-114:0.006600
> 50-Sn-115:0.003400
> 50-Sn-116:0.145400
> 50-Sn-117:0.076800
> 50-Sn-118:0.242200
> 50-Sn-119:0.085900
> 50-Sn-120:0.325800
> 50-Sn-122:0.046300
> 50-Sn-124:0.057900
5.625000e+01 4.86767425e+00
5.668070e+01 4.87110978e+00
5.730240e+01 4.88000889e+00
5.742300e+01 4.88173337e+00
5.816530e+01 4.90104306e+00
5.864080e+01 4.92495053e+00
5.890760e+01 4.93837914e+00
5.912800e+01 4.95747069e+00
5.927880e+01 4.97053538e+00
5.937500e+01 4.98332703e+00
5.964990e+01 5.01993080e+00
6.002110e+01 5.10053078e+00
6.039220e+01 5.24407480e+00
6.057780e+01 5.36162525e+00
6.076340e+01 5.53576717e+00
6.094890e+01 5.80905742e+00
6.095360e+01 5.82079689e+00
6.113450e+01 6.27265851e+00
6.132010e+01 7.15102669e+00
6.141290e+01 7.91654966e+00
6.150570e+01 9.11941448e+00
6.159840e+01 1.11543606e+01
6.169120e+01 1.49485631e+01
6.173760e+01 1.81562308e+01
6.178400e+01 2.29639650e+01
6.183040e+01 3.03878529e+01
6.186640e+01 3.93208606e+01
6.187680e+01 4.19015092e+01
6.193840e+01 6.43590891e+01
6.200000e+01 7.94261972e+01
6.206160e+01 6.44148343e+01
6.212320e+01 4.19744382e+01
6.216020e+01 3.24101592e+01
6.218100e+01 2.86097755e+01
6.219720e+01 2.56498649e+01
6.225500e+01 1.92884809e+01
6.227120e+01 1.75055324e+01
6.232280e+01 1.44969491e+01
6.234510e+01 1.31967356e+01
6.241910e+01 1.07142957e+01
6.249310e+01 9.17398141e+00
6.250000e+01 9.07938171e+00
6.256710e+01 8.15941464e+00
6.271500e+01 6.95493555e+00
6.277920e+01 6.66972605e+00
6.286300e+01 6.29751914e+00
6.296110e+01 6.03449473e+00
6.301090e+01 5.90097573e+00
6.323560e+01 5.57205433e+00
6.330690e+01 5.46780750e+00
6.346380e+01 5.35199691e+00
6.360280e+01 5.24980135e+00
6.369200e+01 5.21228598e+00
6.389870e+01 5.12683562e+00
6.392020e+01 5.12134836e+00
6.403430e+01 5.09370249e+00
6.404120e+01 5.09217035e+00
6.414840e+01 5.06838502e+00
6.419460e+01 5.06028713e+00
6.426250e+01 5.05436903e+00
6.431960e+01 5.05381953e+00
6.437660e+01 5.05962806e+00
6.443370e+01 5.07844218e+00
6.446220e+01 5.09742386e+00
6.449050e+01 5.12798475e+00
6.449070e+01 5.12821469e+00
6.451920e+01 5.18135463e+00
6.454780e+01 5.27177422e+00
6.457630e+01 5.43447178e+00
6.460480e+01 5.73518967e+00
6.463240e+01 6.19941885e+00
6.466000e+01 6.51737687e+00
6.468760e+01 6.21630999e+00
6.471520e+01 5.75173604e+00
6.474440e+01 5.43684673e+00
6.477360e+01 5.26357161e+00
6.480290e+01 5.16422177e+00
6.483210e+01 5.10299328e+00
6.486130e+01 5.06254705e+00
6.489050e+01 5.03417052e+00
6.494900e+01 4.99702809e+00
6.500740e+01 4.97333633e+00
6.506580e+01 4.95625521e+00
6.508230e+01 4.95275304e+00
6.512130e+01 4.94631353e+00
6.518270e+01 4.93620339e+00
6.529960e+01 4.92267334e+00
6.531870e+01 4.92087831e+00
6.541640e+01 4.91169716e+00
6.565020e+01 4.89308682e+00
6.566140e+01 4.89228804e+00
6.567420e+01 4.89139136e+00
6.588390e+01 4.88151928e+00
6.611770e+01 4.87133877e+00
6.620140e+01 4.86788329e+00
6.626600e+01 4.86543498e+00
6.647140e+01 4.86022590e+00
6.658510e+01 4.85791782e+00
6.660650e+01 4.85751093e+00
6.674150e+01 4.85603980e+00
6.685780e+01 4.85700940e+00
6.687650e+01 4.85734775e+00
6.694400e+01 4.86083338e+00
6.701150e+01 4.86774968e+00
6.705260e+01 4.87661087e+00
6.707900e+01 4.88231721e+00
6.711270e+01 4.89575939e+00
6.714650e+01 4.91768356e+00
6.718030e+01 4.95632779e+00
6.721400e+01 5.03221606e+00
6.723090e+01 5.09966209e+00
6.724780e+01 5.20563071e+00
6.726460e+01 5.37961192e+00
6.728150e+01 5.66898640e+00
6.730080e+01 6.16783549e+00
6.732000e+01 6.50039484e+00
6.733930e+01 6.16747653e+00
6.735850e+01 5.66798503e+00
6.737440e+01 5.39041421e+00
6.739040e+01 5.21855062e+00
6.740630e+01 5.11104740e+00
6.742230e+01 5.04119504e+00
6.745410e+01 4.96060065e+00
6.748600e+01 4.91824356e+00
6.751790e+01 4.89337216e+00
6.752010e+01 4.89227771e+00
6.754980e+01 4.87751363e+00
6.761350e+01 4.85900143e+00
6.767730e+01 4.84874646e+00
6.774100e+01 4.84224324e+00
6.786850e+01 4.83420021e+00
6.799600e+01 4.82902421e+00
6.804150e+01 4.82760960e+00
6.812350e+01 4.82559179e+00
6.827150e+01 4.82283903e+00
6.837860e+01 4.82085777e+00
6.838240e+01 4.82080259e+00
6.845510e+01 4.81974853e+00
6.875000e+01 4.81555765e+00
6.888860e+01 4.81353423e+00
6.922510e+01 4.80913114e+00
6.939000e+01 4.80748799e+00
6.939860e+01 4.80740593e+00
6.979410e+01 4.80384681e+00
6.991430e+01 4.80277635e+00
7.032500e+01 4.79913398e+00
7.040880e+01 4.79847186e+00
7.041870e+01 4.79841033e+00
7.068020e+01 4.79683857e+00
7.079250e+01 4.79617026e+00
7.102620e+01 4.79511462e+00
7.125990e+01 4.79459219e+00
7.131680e+01 4.79477382e+00
7.143870e+01 4.79518912e+00
7.144620e+01 4.79521539e+00
7.149370e+01 4.79538887e+00
7.159240e+01 4.79668438e+00
7.161060e+01 4.79694699e+00
7.172740e+01 4.80031790e+00
7.184430e+01 4.80744538e+00
7.190270e+01 4.81404830e+00
7.196120e+01 4.82485778e+00
7.201960e+01 4.84400270e+00
7.207800e+01 4.88188210e+00
7.207810e+01 4.88199784e+00
7.210730e+01 4.91580335e+00
7.213650e+01 4.96954320e+00
7.216570e+01 5.05862887e+00
7.219490e+01 5.20870621e+00
7.221210e+01 5.34283004e+00
7.222750e+01 5.46292194e+00
7.226000e+01 5.63254824e+00
7.229260e+01 5.46289622e+00
7.232510e+01 5.20842106e+00
7.234700e+01 5.08893278e+00
7.236880e+01 5.00784047e+00
7.241250e+01 4.91482998e+00
7.245620e+01 4.86802931e+00
7.245870e+01 4.86653397e+00
7.249990e+01 4.84191166e+00
7.254360e+01 4.82600385e+00
7.258740e+01 4.81563181e+00
7.259510e+01 4.81455051e+00
7.267480e+01 4.80339470e+00
7.276220e+01 4.79665799e+00
7.283940e+01 4.79297912e+00
7.284960e+01 4.79250567e+00
7.297800e+01 4.78911275e+00
7.302440e+01 4.78791796e+00
7.316950e+01 4.78588866e+00
7.319920e+01 4.78549914e+00
7.322000e+01 4.78533153e+00
7.336100e+01 4.78450716e+00
7.337410e+01 4.78445119e+00
7.341040e+01 4.78441281e+00
7.355250e+01 4.78475723e+00
7.360070e+01 4.78502757e+00
7.372370e+01 4.78671865e+00
7.374400e+01 4.78704165e+00
7.379100e+01 4.78800840e+00
7.383970e+01 4.78968604e+00
7.388620e+01 4.79155457e+00
7.393550e+01 4.79454820e+00
7.395970e+01 4.79626316e+00
7.398140e+01 4.79781966e+00
7.403120e+01 4.80360023e+00
7.407650e+01 4.80974366e+00
7.412410e+01 4.81946327e+00
7.412690e+01 4.82028868e+00
7.417170e+01 4.83541273e+00
7.421930e+01 4.85952913e+00
7.422270e+01 4.86243793e+00
7.426680e+01 4.90316652e+00
7.427060e+01 4.90857288e+00
7.429060e+01 4.93888107e+00
7.431440e+01 4.98899607e+00
7.431840e+01 5.00113433e+00
7.433820e+01 5.06472290e+00
7.436200e+01 5.17425768e+00
7.436630e+01 5.20199118e+00
7.439600e+01 5.40491292e+00
7.441420e+01 5.49273222e+00
7.442300e+01 5.54034916e+00
7.443000e+01 5.57823196e+00
7.443810e+01 5.55698173e+00
7.446200e+01 5.51173017e+00
7.446400e+01 5.51036863e+00
7.448600e+01 5.45111028e+00
7.449800e+01 5.44256828e+00
7.450990e+01 5.45644603e+00
7.452290e+01 5.50449806e+00
7.454000e+01 5.59222217e+00
7.454780e+01 5.61201591e+00
7.457000e+01 5.68907645e+00
7.457270e+01 5.67012223e+00
