Eu-151(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
22.1929 1930.09
22.2100 2405.73
22.2186 2265.06
22.2271 1928.26
22.2442 1212.73
22.2554 883.166
22.2666 657.634
22.2891 396.522
22.3115 264.232
22.3339 190.550
22.3563 146.195
22.3788 118.008
22.4236 87.1098
22.4685 74.2649
22.5133 72.6028
22.5582 82.0756
22.6030 109.735
22.6030 109.753
22.6031 109.801
22.6031 109.848
22.6032 109.943
22.6034 110.133
22.6038 110.516
22.6046 111.292
22.6062 112.872
22.6094 116.192
22.6157 123.532
22.6285 141.562
22.6539 197.507
22.6794 301.781
22.6921 386.297
22.7048 503.311
22.7161 638.377
22.7274 792.880
22.7500 985.583
22.7613 927.899
22.7726 790.479
22.7952 499.074
22.8223 286.654
22.8493 180.100
22.8764 123.425
22.9035 90.6023
22.9576 56.5777
23.0117 40.3883
23.0658 31.5103
23.1199 26.1817
23.2282 20.5883
23.4447 17.5850
23.6612 19.7386
23.8776 27.6357
23.9859 35.8419
24.0941 50.3308
24.1483 61.9790
24.2024 78.8824
24.2565 104.675
24.2836 122.954
24.3106 146.732
24.3377 178.413
24.3647 221.843
24.3918 283.447
24.4189 374.510
24.4459 515.989
24.4730 749.058
24.4865 923.487
24.5000 1157.36
24.5136 1473.11
24.5271 1895.68
24.5536 3027.37
24.5800 3780.26
24.6065 3024.22
24.6329 1892.24
24.6636 1085.05
24.6943 672.542
24.7250 450.852
24.7557 322.041
24.7864 241.912
24.8171 189.321
24.8785 128.277
24.9399 98.3957
25.0013 88.0884
25.0320 91.2264
25.0627 104.069
25.0934 136.532
25.1241 212.847
25.1471 312.508
25.1700 378.454
25.1930 308.446
25.2159 204.852
25.2371 142.121
25.2583 105.249
25.3007 69.3865
25.3431 54.6984
25.3856 49.1307
25.4280 49.8522
25.4704 58.7260
25.4916 68.7283
25.5128 85.8796
25.5340 115.942
25.5552 168.853
25.5776 255.432
25.6000 312.914
25.6224 253.996
25.6448 166.110
25.6609 122.393
25.6771 93.5273
25.7093 61.4511
25.7416 45.8278
25.7738 37.3294
25.8383 29.2234
25.9028 26.0929
26.0318 25.8095
26.1608 30.9591
26.2898 44.4256
26.3543 57.7102
26.4188 80.5560
26.4833 124.057
26.5156 161.979
26.5478 221.499
26.5801 321.940
26.6123 508.467
26.6284 665.536
26.6446 899.877
26.6607 1260.00
26.6768 1814.32
26.6984 2897.59
26.7200 3618.61
26.7416 2894.96
26.7632 1811.26
26.7825 1172.77
26.8018 793.084
26.8211 563.395
26.8405 418.012
26.8791 254.876
26.9177 171.873
26.9563 124.583
26.9950 95.4492
27.0722 63.8349
27.1495 49.9819
27.2267 47.7123
27.2653 52.3410
27.3040 64.8707
27.3426 95.7233
27.3619 126.144
27.3812 174.930
27.4056 266.621
27.4300 327.474
27.4544 264.724
27.4788 171.279
27.4965 124.527
27.5142 93.6923
27.5496 59.4466
27.5849 42.6707
27.6203 33.4371
27.6911 24.3762
27.7618 20.7068
27.8326 19.9479
27.9033 22.5497
27.9387 26.3767
27.9741 34.2047
28.0094 51.6467
28.0271 68.2750
28.0448 94.5287
28.0674 144.058
28.0900 177.018
28.1126 143.749
28.1352 93.9898
28.1630 57.0950
28.1907 38.9336
28.2184 29.4427
28.2462 24.0579
28.3017 18.7122
28.3572 16.4764
28.4681 15.5002
28.5791 16.9154
28.6901 20.6391
28.8011 28.3826
28.8565 35.2186
28.9120 45.9254
28.9675 63.9331
29.0230 97.4981
29.0230 97.5150
29.0231 97.5573
29.0231 97.5911
29.0232 97.6588
29.0233 97.7944
29.0237 98.0665
29.0243 98.6144
29.0256 99.7335
29.0282 102.024
29.0333 106.870
29.0436 117.714
29.0642 145.271
29.0848 184.124
29.1054 241.100
29.1260 328.675
29.1466 470.809
29.1672 714.662
29.1878 1143.66
29.2089 1824.43
29.2300 2277.45
29.2511 1823.24
29.2722 1142.42
29.2863 823.889
29.3004 607.490
29.3286 359.085
29.3568 234.286
29.3850 164.926
29.4132 123.011
29.4414 96.0267
29.4979 64.9739
29.5543 48.9667
29.6107 40.2271
29.7235 33.8292
29.8363 37.5712
29.8927 44.2882
29.9492 57.0047
30.0056 81.8199
30.0338 103.269
30.0620 136.264
30.0902 190.138
30.1184 284.944
30.1325 360.529
30.1466 467.538
30.1607 621.557
30.1748 842.181
30.1974 1341.79
30.2200 1674.62
30.2313 1576.22
30.2426 1340.70
30.2652 840.840
30.2807 602.714
30.2961 442.459
30.3116 334.761
30.3271 260.798
